ck3_terrain,rank,material,ordinal,share,regional,rank_nonregional,share_nonregional_renormalised
desert_mountains,23,medi_dry_mud,33,0.162,1,,
desert_mountains,24,medi_grass_01,35,0.1456,1,,
desert_mountains,,desert_02,12,0.1124,0,9,0.7035
desert_mountains,,steppe_bushes,57,0.0998,0,10,0.6243
desert_mountains,,beach_02_pebbles,8,0.0947,0,11,0.5925
desert_mountains,,steppe_rocks,59,0.0635,0,12,0.3974
desert_mountains,,forest_jungle_01,24,0.0633,0,13,0.3961
desert_mountains,,desert_cracked,13,0.0362,0,14,0.2268
desert_mountains,,desert_flat_01,14,0.0312,0,15,0.1954
desert_mountains,,mountain_02_snow,46,0.0301,0,16,0.1884
desert_mountains,,mountain_03,47,0.0187,0,17,0.1169
desert_mountains,,wetlands_02_mud,61,0.0102,0,18,0.064
desert_mountains,,steppe_grass,58,0.0101,0,19,0.0633
desert_mountains,,mountain_02_desert_c,45,0.0083,0,20,0.052
desert_mountains,,desert_wavy_01_larger,17,0.0078,0,21,0.0485
desert_mountains,,hills_01,28,0.0042,0,22,0.0263
desert_mountains,,mud_wet_01,48,0.0015,0,23,0.0097
desert_mountains,,mountain_02_d,42,0.001,0,24,0.0065
drylands,1,drylands_01_grassy,20,26.2456,0,1,60.8585
drylands,2,gen_steppe_mountain_transition,85,15.7354,1,,
drylands,3,gen_desert_base,86,14.637,1,,
drylands,4,gen_desert_lowlands,87,12.3551,1,,
drylands,5,drylands_01,18,9.7939,0,2,22.7102
drylands,6,medi_dry_mud,33,2.6131,1,,
drylands,7,gen_desert_lowlands_04,90,2.4509,1,,
drylands,8,mountain_02_d_valleys,44,1.9713,0,3,4.571
drylands,9,gen_central_mountain_transition,78,1.5453,1,,
drylands,10,gen_desert_lowlands_02,88,1.5435,1,,
drylands,11,drylands_01_cracked,19,0.7204,0,4,1.6706
drylands,12,plains_01_noisy,54,0.6987,0,5,1.6201
drylands,13,medi_grass_01,35,0.5927,1,,
drylands,14,gen_desert_lowlands_03,89,0.5534,1,,
drylands,15,gen_steppe_mountain,84,0.505,1,,
drylands,16,gen_steppe_lowlands,80,0.4628,1,,
drylands,17,gen_steppe_hills,83,0.4549,1,,
drylands,18,gen_northern_base,101,0.4433,1,,
drylands,19,mud_wet_01,48,0.3946,0,6,0.915
drylands,20,central_lowlands_02,63,0.3676,1,,
drylands,21,steppe_bushes,57,0.3412,0,7,0.7911
drylands,22,steppe_grass,58,0.334,0,8,0.7744
drylands,23,hills_01_rocks_medi,30,0.3109,0,9,0.721
drylands,24,mountain_02_desert_c,45,0.3088,0,10,0.7159
drylands,,mountain_02_d,42,0.2775,0,11,0.6435
drylands,,snow,56,0.2046,0,12,0.4745
drylands,,mountain_02_b,39,0.2025,0,13,0.4695
drylands,,desert_rocky,15,0.2015,0,14,0.4671
drylands,,forest_jungle_01,24,0.1786,0,15,0.4142
drylands,,desert_wavy_01,16,0.1532,0,16,0.3553
drylands,,debug,5,0.1117,0,17,0.2589
drylands,,coastline_cliff_desert,9,0.1011,0,18,0.2344
drylands,,mountain_03,47,0.0922,0,19,0.2137
drylands,,steppe_rocks,59,0.0892,0,20,0.2069
drylands,,desert_02,12,0.0803,0,21,0.1863
drylands,,beach_02,6,0.0679,0,22,0.1575
drylands,,wetlands_02_mud,61,0.0331,0,23,0.0768
drylands,,hills_01_rocks,29,0.0315,0,24,0.073
farmlands,1,india_farmlands,32,34.1861,1,,
farmlands,2,farmland_01,22,15.7377,0,1,50.671
farmlands,3,gen_tropical_base,65,8.2039,1,,
farmlands,4,central_lowlands_02,63,6.3789,1,,
farmlands,5,central_lowlands_03,64,5.6794,1,,
farmlands,6,medi_farmlands,34,3.8288,1,,
farmlands,7,steppe_grass,58,3.3837,0,2,10.8945
farmlands,8,mountain_02_c_snow,41,2.0874,0,3,6.7209
farmlands,9,steppe_bushes,57,1.9771,0,4,6.3658
farmlands,10,mountain_02_desert_c,45,1.9735,0,5,6.354
farmlands,11,gen_tropical_lowlands,66,1.8559,1,,
farmlands,12,central_mountain,62,1.4572,1,,
farmlands,13,mountain_02_d_valleys,44,1.2573,0,6,4.0482
farmlands,14,gen_desert_lowlands,87,1.0857,1,,
farmlands,15,gen_desert_base,86,0.9609,1,,
farmlands,16,gen_drylands_hills,98,0.8285,1,,
farmlands,17,plains_01_dry_mud,53,0.736,0,7,2.3698
farmlands,18,gen_drylands_mountain,99,0.6939,1,,
farmlands,19,mountain_02_d_snow,43,0.5894,0,8,1.8977
farmlands,20,gen_tropical_lowlands_03,68,0.5825,1,,
farmlands,21,plains_01_rough,55,0.5561,0,9,1.7906
farmlands,22,forest_leaf_01,25,0.5102,0,10,1.6427
farmlands,23,gen_tropical_mountain_transition,71,0.4502,1,,
farmlands,24,forest_jungle_01,24,0.4393,0,11,1.4143
farmlands,,mud_wet_01,48,0.2009,0,12,0.6469
farmlands,,plains_01_dry,52,0.1958,0,13,0.6305
farmlands,,beach_02,6,0.1951,0,14,0.6283
farmlands,,farm_paddy_01,21,0.1931,0,15,0.6219
farmlands,,mountain_02_d,42,0.1815,0,16,0.5843
farmlands,,steppe_rocks,59,0.1747,0,17,0.5624
farmlands,,hills_01_rocks_small,31,0.1527,0,18,0.4917
farmlands,,mountain_02_c,40,0.0969,0,19,0.312
farmlands,,mountain_02_b,39,0.094,0,20,0.3028
farmlands,,wetlands_02_mud,61,0.0749,0,21,0.2411
farmlands,,hills_01_rocks,29,0.06,0,22,0.1932
farmlands,,floodplains_01,23,0.0357,0,23,0.1149
farmlands,,plains_01_noisy,54,0.0308,0,24,0.099
floodplains,1,floodplains_01,23,24.8972,0,1,46.7317
floodplains,2,medi_grass_01,35,10.5922,1,,
floodplains,3,drylands_01_grassy,20,7.0199,0,2,13.1762
floodplains,4,oasis,50,4.9638,0,3,9.317
floodplains,5,gen_desert_lowlands,87,4.9438,1,,
floodplains,6,medi_farmlands,34,4.814,1,,
floodplains,7,gen_desert_base,86,4.6899,1,,
floodplains,8,gen_steppe_mountain_transition,85,4.5675,1,,
floodplains,9,mountain_02_d_valleys,44,4.4574,0,4,8.3665
floodplains,10,gen_steppe_lowlands,80,3.835,1,,
floodplains,11,mountain_02_c_snow,41,2.951,0,5,5.5389
floodplains,12,central_lowlands_02,63,2.8393,1,,
floodplains,13,gen_tropical_base,65,2.2732,1,,
floodplains,14,central_lowlands_03,64,2.1334,1,,
floodplains,15,mountain_02_c,40,1.7315,0,6,3.2501
floodplains,16,plains_01_dry_mud,53,1.4471,0,7,2.7162
floodplains,17,forest_leaf_01,25,1.2982,0,8,2.4368
floodplains,18,farm_paddy_01,21,1.1773,0,9,2.2098
floodplains,19,gen_tropical_lowlands_03,68,1.0156,1,,
floodplains,20,forest_jungle_01,24,0.9311,0,10,1.7477
floodplains,21,gen_tropical_lowlands,66,0.8902,1,,
floodplains,22,india_farmlands,32,0.8678,1,,
floodplains,23,gen_central_mountain_transition,78,0.6939,1,,
floodplains,24,central_mountain,62,0.537,1,,
floodplains,,plains_01_noisy,54,0.3872,0,11,0.7267
floodplains,,mountain_02_b,39,0.3845,0,12,0.7218
floodplains,,drylands_01,18,0.332,0,13,0.6231
floodplains,,hills_01,28,0.232,0,14,0.4355
floodplains,,mountain_02,38,0.1576,0,15,0.2958
floodplains,,steppe_rocks,59,0.1486,0,16,0.279
floodplains,,mountain_02_desert_c,45,0.1456,0,17,0.2733
floodplains,,coastline_cliff_desert,9,0.1422,0,18,0.2669
floodplains,,debug,5,0.0855,0,19,0.1605
floodplains,,forestfloor,27,0.0612,0,20,0.1149
floodplains,,mud_wet_01,48,0.061,0,21,0.1144
floodplains,,steppe_grass,58,0.0536,0,22,0.1007
floodplains,,steppe_bushes,57,0.0484,0,23,0.0908
floodplains,,plains_01_dry,52,0.0462,0,24,0.0868
forest,1,forest_leaf_01,25,37.1338,0,1,73.5551
forest,2,central_lowlands_03,64,12.2581,1,,
forest,3,central_lowlands_02,63,10.5773,1,,
forest,4,gen_tropical_base,65,9.5431,1,,
forest,5,mountain_02_c_snow,41,4.291,0,2,8.4996
forest,6,gen_tropical_lowlands_03,68,3.9943,1,,
forest,7,gen_tropical_lowlands,66,2.8573,1,,
forest,8,gen_tropical_mountain_transition,71,2.2854,1,,
forest,9,mountain_02_d_snow,43,2.2479,0,3,4.4526
forest,10,mountain_02_desert_c,45,2.2268,0,4,4.4109
forest,11,mountain_02_d,42,1.9505,0,5,3.8637
forest,12,central_mountain,62,1.6256,1,,
forest,13,gen_desert_base,86,0.9531,1,,
forest,14,gen_steppe_mountain_transition,85,0.7168,1,,
forest,15,gen_desert_lowlands,87,0.6844,1,,
forest,16,gen_tropical_lowlands_02,67,0.6264,1,,
forest,17,gen_central_base,72,0.4947,1,,
forest,18,mountain_02_d_valleys,44,0.475,0,6,0.941
forest,19,gen_tropical_mountain,70,0.4366,1,,
forest,20,forestfloor,27,0.4186,0,7,0.8292
forest,21,gen_drylands_mountain,99,0.3419,1,,
forest,22,gen_drylands_hills,98,0.3316,1,,
forest,23,gen_drylands_base,94,0.2725,1,,
forest,24,mud_wet_01,48,0.2304,0,8,0.4563
forest,,steppe_bushes,57,0.2299,0,9,0.4554
forest,,drylands_01_grassy,20,0.2201,0,10,0.436
forest,,steppe_grass,58,0.1725,0,11,0.3416
forest,,hills_01,28,0.1472,0,12,0.2916
forest,,forest_jungle_01,24,0.0769,0,13,0.1524
forest,,wetlands_02_mud,61,0.0668,0,14,0.1322
forest,,snow,56,0.065,0,15,0.1288
forest,,hills_01_rocks_small,31,0.0635,0,16,0.1258
forest,,plains_01_dry,52,0.0611,0,17,0.121
forest,,mountain_02_snow,46,0.0506,0,18,0.1002
forest,,forest_pine_01,26,0.0493,0,19,0.0976
forest,,mountain_03,47,0.0426,0,20,0.0843
forest,,hills_01_rocks,29,0.0394,0,21,0.0781
forest,,beach_02,6,0.0375,0,22,0.0743
forest,,plains_01_dry_mud,53,0.0374,0,23,0.074
forest,,plains_01_rough,55,0.0242,0,24,0.048
hills,1,central_lowlands_02,63,7.7297,1,,
hills,2,hills_01,28,6.7459,0,1,19.0147
hills,3,gen_tropical_lowlands_03,68,6.6648,1,,
hills,4,central_lowlands_03,64,6.0898,1,,
hills,5,drylands_01_grassy,20,5.774,0,2,16.275
hills,6,gen_tropical_base,65,4.6842,1,,
hills,7,gen_tropical_lowlands,66,3.1475,1,,
hills,8,gen_desert_lowlands_04,90,3.0527,1,,
hills,9,gen_steppe_mountain_transition,85,3.0121,1,,
hills,10,hills_01_rocks,29,2.6804,0,3,7.5553
hills,11,gen_desert_base,86,2.4328,1,,
hills,12,gen_tropical_lowlands_02,67,2.3861,1,,
hills,13,gen_desert_lowlands,87,2.035,1,,
hills,14,desert_rocky,15,2.0104,0,4,5.6668
hills,15,hills_01_rocks_medi,30,1.8969,0,5,5.3469
hills,16,gen_desert_mountain,92,1.8778,1,,
hills,17,mountain_02_d,42,1.8308,0,6,5.1606
hills,18,gen_desert_lowlands_02,88,1.5655,1,,
hills,19,gen_desert_lowlands_03,89,1.4918,1,,
hills,20,gen_drylands_base,94,1.4792,1,,
hills,21,steppe_rocks,59,1.3698,0,7,3.8611
hills,22,gen_northern_lowlands_03,104,1.3526,1,,
hills,23,gen_tropical_mountain,70,1.2137,1,,
hills,24,forestfloor,27,1.1883,0,8,3.3495
hills,,wetlands_02_mud,61,1.1869,0,9,3.3455
hills,,mountain_03,47,1.1147,0,10,3.1421
hills,,steppe_bushes,57,1.0087,0,11,2.8432
hills,,hills_01_rocks_small,31,0.9477,0,12,2.6712
hills,,forest_leaf_01,25,0.8617,0,13,2.4288
hills,,desert_02,12,0.7665,0,14,2.1605
hills,,mountain_02_d_valleys,44,0.7313,0,15,2.0614
hills,,mountain_02_c_snow,41,0.6973,0,16,1.9656
hills,,mountain_02_desert_c,45,0.6862,0,17,1.9342
hills,,forest_jungle_01,24,0.6726,0,18,1.8958
hills,,drylands_01,18,0.6287,0,19,1.772
hills,,wetlands_02,60,0.5556,0,20,1.5662
hills,,mud_wet_01,48,0.3458,0,21,0.9746
hills,,steppe_grass,58,0.3225,0,22,0.9089
hills,,mountain_02_snow,46,0.1892,0,23,0.5332
hills,,desert_wavy_01,16,0.1779,0,24,0.5014
jungle,1,forest_jungle_01,24,49.7235,0,1,56.4787
jungle,2,steppe_bushes,57,14.1671,0,2,16.0918
jungle,3,steppe_grass,58,7.6962,0,3,8.7417
jungle,4,steppe_rocks,59,4.6379,0,4,5.2679
jungle,5,wetlands_02_mud,61,4.2082,0,5,4.7799
jungle,6,central_lowlands_02,63,3.0284,1,,
jungle,7,central_lowlands_03,64,2.7325,1,,
jungle,8,snow,56,2.4647,0,6,2.7995
jungle,9,gen_tropical_base,65,2.3795,1,,
jungle,10,plains_01_rough,55,1.9504,0,7,2.2154
jungle,11,gen_desert_mountain,92,1.4382,1,,
jungle,12,wetlands_02,60,1.1051,0,8,1.2553
jungle,13,beach_02,6,0.6707,0,9,0.7619
jungle,14,forest_leaf_01,25,0.6611,0,10,0.7509
jungle,15,gen_tropical_lowlands_03,68,0.6327,1,,
jungle,16,gen_tropical_lowlands,66,0.5633,1,,
jungle,17,gen_desert_lowlands_02,88,0.3006,1,,
jungle,18,gen_desert_base,86,0.1882,1,,
jungle,19,gen_steppe_mountain_transition,85,0.1797,1,,
jungle,20,gen_desert_lowlands,87,0.167,1,,
jungle,21,drylands_01_grassy,20,0.166,0,11,0.1885
jungle,22,mountain_02_d_snow,43,0.1634,0,12,0.1856
jungle,23,central_mountain,62,0.1291,1,,
jungle,24,floodplains_01,23,0.1107,0,13,0.1257
jungle,,plains_01_dry_mud,53,0.0523,0,14,0.0594
jungle,,beach_02_mediterranean,7,0.0432,0,15,0.0491
jungle,,plains_01_noisy,54,0.0381,0,16,0.0433
jungle,,mountain_02_d,42,0.036,0,17,0.0409
jungle,,hills_01_rocks,29,0.0264,0,18,0.03
jungle,,plains_01_dry,52,0.021,0,19,0.0239
jungle,,mountain_02_c_snow,41,0.0188,0,20,0.0214
jungle,,mountain_02_snow,46,0.0111,0,21,0.0126
jungle,,farm_paddy_01,21,0.0107,0,22,0.0121
jungle,,desert_02,12,0.0103,0,23,0.0117
jungle,,hills_01_rocks_small,31,0.0103,0,24,0.0117
mountains,1,central_lowlands_02,63,8.2677,1,,
mountains,2,gen_tropical_lowlands_02,67,6.1725,1,,
mountains,3,central_lowlands_03,64,6.1409,1,,
mountains,4,gen_tropical_lowlands_03,68,5.3498,1,,
mountains,5,gen_tropical_lowlands,66,5.1806,1,,
mountains,6,gen_steppe_mountain_transition,85,4.6155,1,,
mountains,7,gen_desert_lowlands_03,89,4.1421,1,,
mountains,8,gen_desert_lowlands_02,88,3.8752,1,,
mountains,9,gen_desert_base,86,3.7546,1,,
mountains,10,gen_tropical_base,65,3.6936,1,,
mountains,11,gen_drylands_lowlands_03,97,2.7004,1,,
mountains,12,mountain_02_snow,46,2.5547,0,1,18.2119
mountains,13,gen_drylands_base,94,2.4131,1,,
mountains,14,gen_desert_lowlands,87,2.2788,1,,
mountains,15,gen_desert_mountain_transition,93,2.0401,1,,
mountains,16,gen_desert_mountain,92,2.016,1,,
mountains,17,gen_central_mountain_transition,78,1.9495,1,,
mountains,18,desert_rocky,15,1.8671,0,2,13.3102
mountains,19,gen_tropical_mountain,70,1.6485,1,,
mountains,20,gen_steppe_lowlands_03,82,1.618,1,,
mountains,21,gen_drylands_lowlands_02,96,1.5174,1,,
mountains,22,gen_northern_lowlands_02,103,1.4685,1,,
mountains,23,gen_steppe_lowlands_02,81,1.3907,1,,
mountains,24,gen_central_hills,76,1.3582,1,,
mountains,,debug,5,0.9499,0,3,6.772
mountains,,wetlands_02,60,0.8831,0,4,6.2954
mountains,,hills_01_rocks_medi,30,0.8451,0,5,6.0242
mountains,,hills_01_rocks,29,0.8262,0,6,5.8896
mountains,,wetlands_02_mud,61,0.6,0,7,4.2776
mountains,,drylands_01_grassy,20,0.5566,0,8,3.9682
mountains,,hills_01,28,0.4979,0,9,3.5497
mountains,,forest_jungle_01,24,0.4442,0,10,3.1667
mountains,,forest_leaf_01,25,0.4171,0,11,2.9735
mountains,,mountain_02_d_valleys,44,0.3886,0,12,2.7699
mountains,,forestfloor,27,0.3359,0,13,2.3943
mountains,,steppe_rocks,59,0.2931,0,14,2.0895
mountains,,mountain_03,47,0.2829,0,15,2.0165
mountains,,plains_01_dry,52,0.2805,0,16,1.9997
mountains,,hills_01_rocks_small,31,0.2731,0,17,1.947
mountains,,desert_wavy_01,16,0.2575,0,18,1.8359
mountains,,steppe_bushes,57,0.244,0,19,1.7396
mountains,,mountain_02_c_snow,41,0.2131,0,20,1.5189
mountains,,beach_02_pebbles,8,0.1582,0,21,1.1274
mountains,,mud_wet_01,48,0.1524,0,22,1.0867
mountains,,mountain_02_desert_c,45,0.1486,0,23,1.0594
mountains,,mountain_02_b,39,0.1072,0,24,0.7644
oasis,1,gen_steppe_mountain_transition,85,15.9052,1,,
oasis,2,gen_desert_base,86,11.5857,1,,
oasis,3,drylands_01_grassy,20,10.0327,0,1,32.4142
oasis,4,mountain_02_c,40,8.7668,0,2,28.3245
oasis,5,gen_desert_lowlands,87,7.9985,1,,
oasis,6,gen_desert_lowlands_04,90,6.9385,1,,
oasis,7,drylands_01,18,6.3203,0,3,20.4201
oasis,8,gen_central_mountain_transition,78,4.6567,1,,
oasis,9,gen_central_hills,76,4.4891,1,,
oasis,10,gen_steppe_lowlands,80,2.8287,1,,
oasis,11,gen_desert_lowlands_02,88,2.4314,1,,
oasis,12,northern_plains_01,49,2.0296,1,,
oasis,13,desert_rocky,15,1.6665,0,4,5.3843
oasis,14,gen_steppe_hills,83,1.5317,1,,
oasis,15,gen_desert_lowlands_03,89,1.4879,1,,
oasis,16,mountain_03,47,1.3729,0,5,4.4356
oasis,17,gen_steppe_base,79,1.3643,1,,
oasis,18,debug,5,1.2896,0,6,4.1665
oasis,19,medi_grass_01,35,0.9596,1,,
oasis,20,gen_steppe_mountain,84,0.6986,1,,
oasis,21,gen_central_base,72,0.4376,1,,
oasis,22,desert_wavy_01_larger,17,0.4358,0,7,1.4081
oasis,23,gen_tropical_mountain_transition,71,0.4338,1,,
oasis,24,gen_steppe_lowlands_03,82,0.4275,1,,
oasis,,desert_cracked,13,0.379,0,8,1.2245
oasis,,floodplains_01,23,0.1966,0,9,0.6351
oasis,,hills_01_rocks_medi,30,0.1432,0,10,0.4627
oasis,,desert_wavy_01,16,0.1425,0,11,0.4604
oasis,,mountain_02_d_valleys,44,0.0883,0,12,0.2854
oasis,,drylands_01_cracked,19,0.0518,0,13,0.1675
oasis,,mountain_02_d,42,0.0223,0,14,0.072
oasis,,mud_wet_01,48,0.0169,0,15,0.0546
oasis,,mountain_02_d_snow,43,0.0104,0,16,0.0336
oasis,,mountain_02_desert_c,45,0.0096,0,17,0.0309
oasis,,coastline_cliff_desert,9,0.006,0,18,0.0193
oasis,,desert_02,12,0.0003,0,19,0.0008
plains,1,forest_jungle_01,24,9.617,0,1,18.5499
plains,2,desert_wavy_01,16,7.7768,0,2,15.0003
plains,3,mountain_02_desert_c,45,7.3335,0,3,14.1453
plains,4,central_lowlands_03,64,6.3781,1,,
plains,5,gen_tropical_base,65,5.9358,1,,
plains,6,central_lowlands_02,63,5.778,1,,
plains,7,gen_central_hills,76,5.0293,1,,
plains,8,mountain_02_d_snow,43,4.7506,0,4,9.1633
plains,9,mountain_02_c_snow,41,4.404,0,5,8.4947
plains,10,gen_central_mountain_transition,78,4.348,1,,
plains,11,gen_steppe_mountain_transition,85,2.6568,1,,
plains,12,steppe_grass,58,2.4029,0,6,4.6349
plains,13,steppe_bushes,57,2.2902,0,7,4.4174
plains,14,mountain_02_d,42,2.2051,0,8,4.2532
plains,15,gen_steppe_lowlands,80,1.856,1,,
plains,16,gen_desert_lowlands,87,1.2923,1,,
plains,17,gen_desert_base,86,1.2368,1,,
plains,18,gen_steppe_lowlands_03,82,1.2354,1,,
plains,19,drylands_01_grassy,20,1.1874,0,9,2.2904
plains,20,drylands_01,18,1.0712,0,10,2.0661
plains,21,central_mountain,62,1.0344,1,,
plains,22,gen_drylands_mountain,99,1.0083,1,,
plains,23,gen_tropical_mountain_transition,71,0.9538,1,,
plains,24,gen_drylands_hills,98,0.8819,1,,
plains,,mountain_02_snow,46,0.8355,0,11,1.6115
plains,,mountain_02_b,39,0.7705,0,12,1.4862
plains,,mud_wet_01,48,0.678,0,13,1.3077
plains,,mountain_02_d_valleys,44,0.6455,0,14,1.245
plains,,snow,56,0.6243,0,15,1.2042
plains,,mountain_02,38,0.5863,0,16,1.1308
plains,,forest_leaf_01,25,0.4651,0,17,0.8972
plains,,hills_01,28,0.4321,0,18,0.8335
plains,,desert_rocky,15,0.4308,0,19,0.831
plains,,forest_pine_01,26,0.3329,0,20,0.6421
plains,,debug,5,0.3115,0,21,0.6009
plains,,plains_01_noisy,54,0.2781,0,22,0.5364
plains,,wetlands_02_mud,61,0.2598,0,23,0.5011
plains,,plains_01_rough,55,0.2509,0,24,0.4839
steppe,1,gen_tropical_mountain_transition,71,23.6613,1,,
steppe,2,mountain_03,47,16.5861,0,1,61.3881
steppe,3,gen_tropical_hills,69,14.6012,1,,
steppe,4,gen_tropical_mountain,70,11.4793,1,,
steppe,5,gen_central_base,72,10.9362,1,,
steppe,6,drylands_01_grassy,20,3.9566,0,2,14.6442
steppe,7,gen_desert_base,86,3.0511,1,,
steppe,8,northern_plains_01,49,2.3028,1,,
steppe,9,gen_desert_lowlands,87,2.2777,1,,
steppe,10,mountain_02_desert_c,45,1.4722,0,3,5.4489
steppe,11,gen_steppe_mountain_transition,85,1.3102,1,,
steppe,12,desert_02,12,1.1826,0,4,4.377
steppe,13,gen_central_lowlands,73,0.9596,1,,
steppe,14,drylands_01,18,0.6088,0,5,2.2534
steppe,15,desert_wavy_01,16,0.5986,0,6,2.2154
steppe,16,medi_dry_mud,33,0.5794,1,,
steppe,17,gen_central_lowlands_03,75,0.5031,1,,
steppe,18,mud_wet_01,48,0.4839,0,7,1.7912
steppe,19,beach_02,6,0.4519,0,8,1.6727
steppe,20,forestfloor,27,0.386,0,9,1.4285
steppe,21,mountain_02_d_snow,43,0.3151,0,10,1.1663
steppe,22,beach_02_pebbles,8,0.3048,0,11,1.128
steppe,23,mountain_02_d,42,0.2391,0,12,0.885
steppe,24,coastline_cliff_desert,9,0.2002,0,13,0.741
steppe,,coastline_cliff_grey,10,0.1494,0,14,0.5529
steppe,,forest_leaf_01,25,0.0169,0,15,0.0626
steppe,,desert_rocky,15,0.0167,0,16,0.062
steppe,,hills_01_rocks_medi,30,0.0155,0,17,0.0574
steppe,,hills_01,28,0.0133,0,18,0.0492
steppe,,plains_01_dry_mud,53,0.0059,0,19,0.0217
steppe,,mountain_02_snow,46,0.0054,0,20,0.02
steppe,,steppe_grass,58,0.0053,0,21,0.0195
steppe,,plains_01_noisy,54,0.0025,0,22,0.0093
steppe,,desert_cracked,13,0.0011,0,23,0.0042
steppe,,beach_02_mediterranean,7,0.0002,0,24,0.0009
taiga,1,forest_pine_01,26,41.1905,0,1,71.213
taiga,2,gen_desert_mountain,92,13.6424,1,,
taiga,3,gen_drylands_base,94,7.8331,1,,
taiga,4,gen_desert_mountain_transition,93,7.0821,1,,
taiga,5,forestfloor,27,4.2262,0,2,7.3065
taiga,6,mountain_02_d,42,3.6279,0,3,6.2721
taiga,7,central_lowlands_03,64,3.3328,1,,
taiga,8,central_lowlands_02,63,2.6494,1,,
taiga,9,gen_tropical_base,65,2.5952,1,,
taiga,10,mountain_02_c_snow,41,1.839,0,4,3.1794
taiga,11,mountain_02_desert_c,45,1.7455,0,5,3.0177
taiga,12,mountain_02_d_snow,43,1.4462,0,6,2.5004
taiga,13,gen_tropical_mountain_transition,71,1.1787,1,,
taiga,14,mountain_03,47,0.9733,0,7,1.6828
taiga,15,mountain_02_d_valleys,44,0.6488,0,8,1.1217
taiga,16,gen_tropical_lowlands,66,0.5195,1,,
taiga,17,gen_tropical_lowlands_03,68,0.4864,1,,
taiga,18,gen_central_base,72,0.4678,1,,
taiga,19,gen_tropical_hills,69,0.3823,1,,
taiga,20,beach_02,6,0.3778,0,9,0.6532
taiga,21,medi_grass_01,35,0.3249,1,,
