section,ck2_key,ck2_value_shape,ck3_file,ck3_key,ck3_value_shape,status,default_when_none,ck3_evidence,note
landed_titles,location_ruler_title,yes/no,common/landed_titles/fae_*.txt,ruler_uses_title_name,yes/no (default yes),approx,omit,common/landed_titles/_landed_titles.info:112-116 ; 1394 live uses,CK2: the ruler is styled after the location rather than the title. CK3 `ruler_uses_title_name = no` is the nearest switch (it stops the title name entering the ruler's name).
landed_titles,dignity,float (17 uses in Faerun),common/landed_titles/fae_*.txt,ai_primary_priority,script value block,approx,omit,common/landed_titles/_landed_titles.info:198-202 ; 1515 live uses,CK2 `dignity` biases which title the holder treats as primary; CK3 does the same with a scripted value. Emit `ai_primary_priority = { add = <dignity * 100> }`. Vanilla uses named values @always_primary_score = 1000 / @never_primary_score = -1000 (common/landed_titles/00_landed_titles.txt:1-4).
landed_titles,holy_site,"religion id (475 uses in Faerun, several per county)",common/religion/holy_site_types/fae_holy_sites.txt + the faith's `holy_site =`,<hs_id> = { county = c_x  barony = b_y },block + one `holy_site = <hs_id>` line per faith,approx,omit,common/religion/holy_site_types/_holy_site_types.info ; 00_holy_site_types.txt:7 (jerusalem),"INVERTED RELATION. CK2 marks the TITLE with the religion that considers it holy; CK3 defines a named holy-site object (county, optional barony override) and the FAITH lists it. Faith holy-site count is 5 in 132/140 vanilla faiths and 7 in the other 8, so 5 is the practical cap - Faerun's 475 marks must be reduced per faith (score by county development / capital status) and the surplus commented. See religion_fields.csv."
landed_titles,landless,yes/no,common/landed_titles/fae_*.txt,landless,yes/no (default no),exact,omit,common/landed_titles/_landed_titles.info:48-56 ; 1389 live uses,"Same key, same meaning. Usually paired with `require_landless = yes` (LT:60, 53 live uses), `no_automatic_claims = yes`, `always_follows_primary_heir = yes`, `destroy_if_invalid_heir = yes` - the vanilla landless-title recipe (see common/landed_titles/01_japan_noble_family.txt:10-15)."
landed_titles,primary,yes/no,common/landed_titles/fae_*.txt,always_follows_primary_heir; ai_primary_priority,yes/no; script value,approx,omit,common/landed_titles/_landed_titles.info:106-110 (1336 live uses) ; LT:198,CK2 `primary = yes` forces the title to be the holder's primary. Nearest CK3 pair: always_follows_primary_heir (inheritance side) + a very high ai_primary_priority (selection side).
landed_titles,independent,yes/no,common/landed_titles/fae_*.txt,(none),-,none,-,-,"CK3 independence is a runtime state (`liege = 0` in history/titles), not a title property. Express it in history/titles instead; comment the flag."
landed_titles,tribe,yes/no,history/titles/fae_*.txt,government = tribal_government,government id,approx,omit,history/titles (5960 live `government` uses),CK2 flags the title as a tribe; CK3 puts the government on the HOLDER via history/titles. Convert to a `government = tribal_government` line in the title's first dated block.
landed_titles,pirate,yes/no,common/landed_titles/fae_*.txt + history/titles,landless = yes; require_landless = yes; government = landless_adventurer_government,yes/no; government id,approx,omit,common/landed_titles/_landed_titles.info:54-62 ; common/governments/00_government_types.txt:513,Faerun's e_pirates-style titles. 1.13+ landless adventurer is the closest CK3 construct.
landed_titles,mercenary,yes/no,history/titles/fae_*.txt,government = mercenary_government,government id,approx,omit,common/governments/00_government_types.txt:330,"Plus the company's name/CoA in the culture name_list `mercenary_names`. Related CK2 keys with no CK3 home: `mercenary_type`, `strength_growth_per_century`, `hire_range`, `monthly_income`, `extra_ai_eval_troops` - all comment-only."
landed_titles,holy_order,yes/no,history/titles/fae_*.txt,government = holy_order_government,government id,approx,omit,common/governments/00_government_types.txt:368,Plus holy_order_names / holy_order_maa on the religion (common/religion/religion_types/_religion_types.info).
landed_titles,creation_requires_capital,yes/no,common/landed_titles/fae_*.txt,can_create,trigger block,approx,omit,common/landed_titles/_landed_titles.info:204-210 ; 130 live uses,"Express as `can_create = { <capital county> = { holder = root } }`-style trigger, or leave the CK2 intent as a comment. `can_create_on_partition` (LT:212) is the partition-time variant, `can_destroy` (LT:218) the teardown one."
landed_titles,allow,trigger block,common/landed_titles/fae_*.txt,can_create,trigger block,approx,omit,common/landed_titles/_landed_titles.info:204,"Syntactic port of the trigger; CK2 trigger tokens that have no CK3 equivalent become comments (shared trigger table, lane events-decisions)."
landed_titles,gain_effect,effect block,-,(none),-,none,-,-,CK3 has no on-title-gain hook inside landed_titles. Move the effect to common/on_action (on_title_gain) or comment it.
landed_titles,caliphate,yes/no,common/religion/religion_types/*.txt (faith side),religious_head = <title>; doctrine_temporal_head,title id; doctrine,approx,omit,common/religion/religion_types/_religion_types.info (religious_head),"CK2 marks the title as a caliphate; CK3 marks the FAITH with `religious_head = <title>` plus doctrine_temporal_head. Inverted relation, same as holy_site."
landed_titles,pentarchy,yes/no,common/religion/doctrine_types/30_core_tenets.txt,tenet_pentarchy,doctrine (tenet),approx,omit,common/religion/doctrine_group_types/00_doctrine_group_types.txt (doctrine_core_tenets -> tenet_pentarchy),"CK2 pentarchy is a title flag plus a religion flag; CK3 has exactly one tenet, tenet_pentarchy, and the seats are `religious_head`/autocephaly script. Costs one of the faith's 3 core tenet picks."
landed_titles,controls_religion,yes/no,common/religion/religion_types/*.txt (faith side),religious_head = <title>,title id,approx,omit,common/religion/religion_types/_religion_types.info (religious_head),Same inversion as `caliphate`.
landed_titles,dynasty_title_names,yes/no,common/landed_titles/fae_*.txt,can_be_named_after_dynasty,yes/no (default YES),approx,omit,common/landed_titles/_landed_titles.info:119-122 ; 171 live uses,"GOTCHA: the CK3 default is yes, so a CK2 title WITHOUT the flag must emit `can_be_named_after_dynasty = no`, not nothing. Also gated by the government rule `dynasty_named_realms`."
landed_titles,used_for_dynasty_names,yes/no,common/culture/name_lists/*.txt,dynasty_names (pool entry),{ dynnp_prefix dynn_key },approx,omit,common/culture/name_lists/_name_lists.info:41-45,CK2 flags a title as usable as a dynasty name source; CK3 has no per-title flag - instead add the title's name to the relevant name_list `dynasty_names` pool and set `dynasty_of_location_prefix`.
landed_titles,assimilate,yes/no,common/landed_titles/fae_*.txt,de_jure_drift_disabled,yes/no (inverted!),approx,omit,common/landed_titles/_landed_titles.info:134-137 ; 15 live uses,INVERTED. CK2 `assimilate = no` means the title does not de-jure-drift into its liege; CK3 expresses the same with `de_jure_drift_disabled = yes`. CK2 `assimilate = yes` (the default) -> emit nothing.
landed_titles,duchy_revokation,yes/no,-,(none),-,none,-,-,VERIFIED ABSENT from both CK2 base and Faerun landed_titles (0 hits). Listed in the task spec but not a real key; nothing to map.
landed_titles,has_top_de_jure_capital / top_de_jure_capital,yes/no / title id,-,(none),-,none,-,-,CK2 de-jure-capital bookkeeping used by CK2's title creation rules. No CK3 equivalent; CK3 derives everything from `capital` + the de jure tree. Comment.
landed_titles,purple_born_heirs,yes/no,common/landed_titles/fae_*.txt,(none),-,none,-,-,"CK2 Byzantine purple-born mechanic. CK3 handles it with `tradition_ep3_roman_ceremonies` / administrative legitimacy, not a title key. Comment."
landed_titles,male_names / female_names (Faerun uses both),{ Name Name ... } regnal names,common/landed_titles/fae_*.txt,holding_regnal_male_names; holding_regnal_female_names; posthumous_regnal_male_names; posthumous_regnal_female_names,{ name name },approx,omit,common/landed_titles/_landed_titles.info:174-189 ; 1 live use each in vanilla,CK2 gives a title a regnal name pool applied on gain. CK3 splits into on-gain (`holding_regnal_*`) and on-loss (`posthumous_regnal_*`). Map CK2 -> holding_regnal_*. Related: `disable_regnal_numbers` (LT:191).
landed_titles,graphical_culture,gfxculture id,-,(none),-,none,-,-,Per-title graphical culture (CK2 used it for the flag/unit look). CK3 derives all of it from the holder's culture. Comment.
landed_titles,name_tier (Faerun only),tier name key,common/flavorization/fae_*.txt,<key> = { type = title tier = <t> name_lists = { ... } },block,approx,omit,common/flavorization/_flavourization.info (tier),Faerun-custom key for elvish/racial title-tier naming. Flavourization with `type = title` + `tier` + `name_lists` is the CK3 route.
landed_titles,monster / planar / spectator (Faerun only),yes/no,-,(none),-,none,-,-,Faerun-custom playability/plane flags read by its own triggers. No CK3 analogue; the nearest is a `can_create` trigger plus culture heritage parameters (see design_races.md `species_*`). Comment.
landed_titles,"<x>_group = yes (Faerun: dwarf_group, giant_group, gith_group, maztican_group, mordrin_group, calishite_group, giantkin_group)",yes/no,-,(none),-,none,-,-,"Faerun-custom title markers read by its own scripted triggers. In CK3 test the holder instead: `culture = { has_cultural_pillar = heritage_<x> }`. Comment on the title, and generate the trigger where the CK2 script used the flag."
landed_titles,can_be_claimed / can_be_usurped (Faerun only),yes/no,common/landed_titles/fae_*.txt,no_automatic_claims,yes/no,approx,omit,common/landed_titles/_landed_titles.info:93-97 ; 1397 live uses,Partial: `can_be_claimed = no` -> `no_automatic_claims = yes`. CK2 `can_be_usurped` has no CK3 equivalent.
landed_titles,rebel,yes/no,-,(none),-,none,-,-,CK2 rebel title marker. CK3 uses common/factions. Comment.
landed_titles,de_jure_liege / dejure_liege_title / owner / has_holder / holder_scope / is_titular / show_scope_change / hire_range / any_direct_de_jure_vassal_title,various (CK2-base-mostly),(none) / history/titles,de_jure_liege (history only),title id,approx,omit,history/titles (95 live `de_jure_liege` uses inside dated blocks),In CK3 the de jure tree is expressed purely by the nesting in common/landed_titles; `de_jure_liege` exists only as a dated HISTORY key (and as read-only dynamic template data - LT:243 says 'should not be used in database definitions'). `is_titular` is implicit (a title with no children). The rest are CK2 script plumbing - drop.
landed_titles,coat_of_arms (CK2 base) / Faerun gfx/flags/*.tga,block with template/layer/texture/emblem/color OR a flag file,common/coat_of_arms/coat_of_arms/fae_*.txt,<title_id> = { pattern colored_emblem ... }  or  <title_id> = <other_title_id>,block or alias,approx,"default = { pattern = ""pattern_solid.dds"" color1 = ""<culture colour>"" }",common/coat_of_arms/coat_of_arms/01_landed_titles.txt:6 (b_appleby) ; default.txt:1 (default/unknown entries),"CoA is NOT a landed_titles key in CK3 - it is a separate database keyed by title id. Prefer the vector route (pattern + colored_emblem, 1360 reusable ce_*.dds in gfx/coat_of_arms/colored_emblems) over `textured_emblem` (only 2 vanilla entries use one, both in default.txt; EK2 uses it in 2 of 31 files). Faerun's 3455 flag .tga files therefore need decomposition or a placeholder CoA file (EK2 ships 90_placeholder_titles.txt / 90_placeholder_dynasties.txt exactly for this)."
landed_titles,(none),-,common/landed_titles/fae_*.txt,province,int (province id) - BARONY ONLY,none,province = <id>,common/landed_titles/_landed_titles.info:124-127 ; 11298 live uses,MANDATORY for every barony. CK2 baronies have no province id (the province owns the baronies). The converter must allocate one CK3 province per emitted barony (docs/design_map.md) and write it here; the same id keys history/provinces.
landed_titles,(none),-,common/landed_titles/fae_*.txt,noble_family,yes/no,none,omit,common/landed_titles/01_japan_noble_family.txt:14 (1290 live uses); not documented in _landed_titles.info,Required by administrative_government / celestial_government realms: the powerful-family titles. Only emit for roman_imperial / celestial CK2 governments (see government_map.csv).
landed_titles,(none),-,common/landed_titles/fae_*.txt,destroy_if_invalid_heir; destroy_on_succession; delete_on_destroy; delete_on_gain_same_tier; figurehead; allow_domicile; can_use_nomadic_naming; ignore_titularity_for_title_weighting; personal_relation_entry; personal_relation_vassal,yes/no / trigger / dynamic desc,none,omit,"common/landed_titles/_landed_titles.info:66,72,79,86,42,48,170,152,166 ; can_use_nomadic_naming at common/landed_titles/02_china.txt:8610","CK3-only knobs with no CK2 source. Needed for the landless-title recipe (destroy_if_invalid_heir, 1395 live uses) and for nomad realms (can_use_nomadic_naming, 63 uses)."
history/titles,<date> = { ... },dated block,history/titles/fae_<title>.txt,<date> = { ... },dated block,exact,-,history/_history.info ; history/titles/k_england.txt:1-10,"1:1. CRITICAL: CK3 history/titles has NO top-level keys at all (verified: 0 depth-1 keys across 183 vanilla files) - EVERYTHING must live inside a dated block, whereas Faerun writes holder/law/liege at top level in some files. Wrap CK2 top-level keys in a very early date (e.g. 1.1.1). File naming is free-form in CK3 (vanilla groups many titles per file); one file per title like Faerun's 3422 also works."
history/titles,holder (25993 uses in Faerun),"character id, 0 = destroy",history/titles/fae_*.txt,holder,"character id (numeric OR string), 0 = destroy",exact,-,history/titles (80711 live uses); history/titles/k_england.txt:12,1:1. CK3 accepts string character ids (verified: 33104 of 71124 vanilla history ids are strings; EK2 uses strings for 100% of its 16515 characters).
history/titles,liege (5613),"title id, 0 = independent",history/titles/fae_*.txt,liege,"title id, 0 = independent",exact,-,history/titles (12801 live uses),1:1.
history/titles,de_jure_liege (7),"title id, 0 = none",history/titles/fae_*.txt,de_jure_liege,"title id, 0 = none",exact,-,history/titles (95 live uses),"1:1, dated only."
history/titles,law (9198 uses in Faerun),"law id e.g. succ_primogeniture, true_cognatic_succession",history/titles/fae_*.txt,succession_laws = { <law> }; remove_succession_laws = { <law> },block (braces REQUIRED),approx,succession_laws = { },"history/titles (1459 live `succession_laws`, 3 `remove_succession_laws`); common/laws/00_succession_laws.txt + 01_title_succession_laws.txt","Shape change: CK2 repeats `law = x` lines; CK3 takes a braced list. Mapping needed per law: CK2 succession order (succ_primogeniture / gavelkind / seniority / elective / ultimogeniture / tanistry / feudal_elective / turkish_succession / open) -> CK3 succession_order_laws (partition_succession_law, high_partition_succession_law, confederate_partition_succession_law, single_heir_succession_law, single_heir_succession_law_youngest, acclamation_succession_law, appointment_succession_law, ...) and CK2 gender laws (agnatic / agnatic_cognatic / true_cognatic / enatic_cognatic / enatic) -> CK3 succession_gender_laws (male_only_law, male_preference_law, equal_law, female_preference_law, female_only_law). CK2 crown/council/demesne/obligation laws have no title-history home - they become common/laws realm laws or comments (lane `laws`, stubbed in mechanics_inventory)."
history/titles,name (123) / adjective (113),literal string,history/titles/fae_*.txt,name; effect = { set_title_name = <loc key> },loc key,approx,omit,"history/titles (25 live `name`, 6 `reset_name`); EK2 history/titles/e_morrowind.txt:3 (effect = { set_title_name = cn_resdayn })","CK3 `name` in a dated block takes a LOC KEY, not a literal, and there is no dated `adjective` key - the adjective is `<key>_adj` in localisation. EK2 uses `effect = { set_title_name = ... }`, which is the more explicit route."
history/titles,"reset_name / reset_adjective (CK2 base only, 0 uses in Faerun)",yes,history/titles/fae_*.txt,reset_name,yes,exact,omit,history/titles (6 live uses),1:1 for reset_name. `reset_adjective` has no CK3 key (the adj follows the name).
history/titles,government (44 uses in Faerun),government id,history/titles/fae_*.txt,government,CK3 government id,exact,government = feudal_government,history/titles (5960 live uses),"1:1 key, values remapped via government_map.csv. Faerun barely uses it (44) because CK2 derives government from the holder; CK3 uses it heavily (5960) because the title's government is authoritative. The converter must SYNTHESISE this line for every landed title from the CK2 holder's government."
history/titles,active (72) / historical_nomad (2),yes/no,-,(none),-,none,-,-,`active` (title exists yet) is expressed in CK3 by simply having no `holder` before the date. `historical_nomad` has no CK3 equivalent. Comment both.
history/titles,holding_dynasty (162),dynasty id,-,(none),-,none,-,-,CK2 republic patrician bookkeeping. No CK3 equivalent (CK3 republics have no patrician families). Comment.
history/titles,set_tribute_suzerain (83) / clear_tribute_suzerain (61),block { who type } / title id,history/titles/fae_*.txt,tributary_of,title id,approx,omit,history/titles (111 live `tributary_of` uses),NOTE the CK2 key is `clear_tribute_suzerain` (singular) - `clear_tributary_suzerains` does not exist (verified 0 hits). CK3 `tributary_of = <title>` sets it; clearing is `tributary_of = 0`-style or an effect. CK2 `type = permanent|tributary|vassal` distinctions are lost.
history/titles,capital (24),b_/c_ id,history/titles/fae_*.txt,effect = { set_capital_county = title:c_<id> },effect block,approx,omit,history/titles/k_england.txt:6-9 (effect = { set_capital_county = title:c_hampton }),CK3 has no dated `capital` key; use the effect. Barony -> parent county.
history/titles,effect (437) / qisma = { set_religion_head = ... },effect block,history/titles/fae_*.txt,effect = { },effect block,approx,omit,history/titles (1736 live `effect` uses),Syntactic port; unmapped CK2 effect tokens become comments. `set_religion_head` maps to the faith's `religious_head` (see religion_fields.csv).
history/titles,set_global_flag (2),flag name,history/titles/fae_*.txt,effect = { set_global_variable = <name> },effect,approx,omit,common/effect_localization (set_global_variable),CK2 flags become CK3 variables.
history/titles,pentarch (CK2 base only) / vice_royalty (CK2 base only),yes/no,-,(none),-,none,-,-,VERIFIED 0 uses in Faerun (30 and 148 in CK2 base). Nothing to convert for Faerun. CK3 has no viceroyalty; the nearest is administrative_government appointment.
history/titles,(none),-,history/titles/fae_*.txt,change_development_level,int,none,omit (CK3 defaults from the map),history/titles (223 live uses); history/titles/k_england.txt:2-4,"CK3-only. Derivable from CK2 province technology levels (Faerun history/technology, 15 files) aggregated per county. Vanilla uses 5-24 across bookmarks."
history/titles,(none),-,history/titles/fae_*.txt,insert_title_history,title id,none,omit,history/titles/k_sicily.txt:8 ; k_hungary.txt:73 ; k_spanish_galicia.txt:7 ; k_maharastra.txt:9 (7 live uses),"CK3-only. Placed inside a dated block, it merges the referenced (usually predecessor, lower-tier) title's history into this one - the idiomatic way to say 'this kingdom continues that duchy'. Useful when a Faerun titular empire supersedes a kingdom."
history/titles,(none),-,history/titles/fae_*.txt,holder_ignore_head_of_faith_requirement,yes,none,omit,history/titles (45 live uses),CK3-only escape hatch for theocratic titles whose historical holder does not satisfy the faith's requirements. Emit it when converting CK2 religious-head titles whose holder is not of the right faith.
history/provinces,"file per province, named ""<id> - <Name>.txt""; province id from map/definition.csv",file naming convention,history/provinces/fae_<region>.txt,<province_id> = { ... },"numeric key per province, many per file",approx,-,history/provinces/k_sardinia.txt:35 (2653 = { #CAGLIARI ),"STRUCTURAL CHANGE. CK2: one file per province, id in the FILENAME, the file body describes the province and its baronies. CK3: province id is the BLOCK KEY, files are grouped freely (vanilla uses one file per kingdom, 177 files for ~11k provinces). Also: a CK3 province IS a barony, so Faerun's 2125 provinces x ~7 baronies must be exploded into one CK3 province block per built holding (docs/design_map.md; ~3.8k holdings per CLAUDE.md)."
history/provinces,title,c_<id>,-,(none),-,none,-,-,"The province->county link is expressed structurally in CK3: the barony title that owns the province sits inside the county in common/landed_titles, and the barony carries `province = <id>`. No history key."
history/provinces,max_settlements,int (also settable in dated blocks),-,(none),-,none,-,-,CK3 has no settlement-slot count: the number of baronies in a county IS the slot count. Drop with a comment (already noted in mechanics_inventory).
history/provinces,b_<barony> = castle|city|temple|tribal|ct_spelljammer_port|ct_planar_portal,"REPEATED BARE SCALAR, one line per barony; also inside dated blocks to flip type",history/provinces/fae_*.txt,holding,castle_holding|city_holding|church_holding|tribal_holding|nomad_holding|herder_holding|temple_citadel_holding|none|auto,approx,holding = none,history/_provinces.info (holding = <holding type> / none / auto) ; common/holdings/00_holdings.txt ; history/provinces/k_sardinia.txt:38,"VERIFIED CK2 FORMAT: `b_x = castle` bare scalar; the nested form `b_x = { ca_wall_1 = yes }` does NOT exist in either CK2 base or Faerun (0 occurrences). Value map: castle->castle_holding, city->city_holding, temple->church_holding, tribal->tribal_holding. Faerun-custom ct_spelljammer_port (20) and ct_planar_portal (5) -> city_holding + a comment (they are city-type CK2 holdings). Faerun holding counts: castle 1906, tribal 1466, city 1281, temple 698. `none` means no holding; `auto` lets CK3 pick to satisfy required_county_holdings."
history/provinces,building keys b_<barony> = ca_wall_1 | ct_port_1 | tp_barracks_1 | tb_shipyard_1 (CK2 base only: 63 distinct; ZERO in Faerun),repeated bare scalar per building,history/provinces/fae_*.txt,buildings = { <building_id> ... },braced list,approx,omit,history/_provinces.info (buildings = { ... }) ; history/provinces/k_sardinia.txt:43-47,"Shape change (repeated scalars -> one braced list) AND: Faerun uses NO building history at all (verified 0 hits), so for the Faerun conversion there is nothing to convert. GOTCHA from _provinces.info: `buildings` requires an explicit `holding` in the same province (it does not work with `auto`), and a later dated `buildings` block REPLACES all previous buildings rather than adding."
history/provinces,culture,culture id (top level and in dated blocks),history/provinces/fae_*.txt,culture,culture id,exact,-,history/provinces (4820 top-level + 1110 dated live uses),1:1.
history/provinces,religion,religion id,history/provinces/fae_*.txt,religion (or `faith`),faith id,exact,-,"history/provinces (4819 top-level `religion`, 8 dated `faith`)","1:1 key; the VALUE becomes a CK3 faith id (CK2 religion -> CK3 faith, CK2 religion group -> CK3 religion; see religion_fields.csv). `religion` and `faith` are accepted synonyms in CK3 history; vanilla overwhelmingly uses `religion`."
history/provinces,terrain,terrain id (top level),common/province_terrain/fae_province_terrain.txt (PREFERRED) or history/provinces,terrain,terrain id,approx,default_land = plains,common/province_terrain/00_province_terrain.txt:1-8 (default_land / default_sea / <id>=<terrain>) ; history/provinces (95 live `terrain` uses),"Both work in 1.19, but the bulk data belongs in common/province_terrain as `<province_id>=<terrain>` lines with `default_land`/`default_sea`/`default_coastal_sea` fallbacks (that file also holds 01_province_properties.txt). Keep history/provinces `terrain` for the rare exception. CK2 terrain ids must be remapped to CK3 common/terrain_types."
history/provinces,capital (barony) / name (dated) / remove_settlement,b_<id> / literal string / b_<id>,-,(none),-,none,-,-,"CK2 lets a province move its capital barony, rename itself and delete a holding mid-history. CK3 has no history key for any of these (a county capital is set on the TITLE via set_capital_county; `holding = none` in a later dated block is the nearest to remove_settlement). Comment."
history/provinces,build_wonder / build_wonder_upgrade / set_wonder_stage / set_wonder_damaged / destroy_wonder (Faerun),wonder id / int / yes,history/provinces/fae_*.txt,special_building_slot; special_building; duchy_capital_building,building id,approx,omit,"history/_provinces.info (special_building_slot / special_building / duchy_capital_building) ; history/provinces (81 special_building_slot, 39+155 special_building, 2 duchy_capital_building live uses)",Faerun's 59 wonders map to CK3 special buildings (mechanics_inventory: 'port as special buildings'). `special_building_slot` only opens the slot; `special_building` also builds it. Wonder upgrade levels -> building levels in common/buildings. `set_wonder_damaged` / `destroy_wonder` have no CK3 equivalent.
history/provinces,disease,disease id,-,(none),-,none,-,-,"CK3 epidemics (common/epidemics, Legends of the Dead) are the successor but are not driven from province history. Comment (mechanics_inventory: stub)."
history/provinces,trade_post (CK2 base only),yes,-,(none),-,none,-,-,No CK3 trade posts. Comment.
history/provinces,(none),-,history/provinces/fae_*.txt,add_travel_point_of_interest,POI id,none,omit,history/provinces (2 live uses),"CK3-only, optional."
