ck2_key,ck3_key,status,confidence,note,decision_uses
shou_lung,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),29
type,type,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),29
wild_magic_recovery,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),29
wild_magic_surge_effect,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),29
any_demesne_title,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),28
grant_title,change_title_holder,approx,verified,CK3 title transfer effect is change_title_holder,27
holder,holder,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),27
set_title_flag,set_variable,approx,assumed,"CK3 titles carry variables, not flags",26
has_offmap_name,,none,verified,offmap powers do not exist in CK3 (docs/mechanics_inventory.md),24
leader,leader,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),24
ai,,none,verified,"context-dependent field; no single CK3 vocabulary meaning as a bare effect, needs a human check per call site",22
has_landed_title,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),22
letter_event,,none,verified,"CK2 letter_event fires a CK2 event id; same as character_event - commented out until the events step exists",22
holder_scope,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),21
immortal_age,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),21
set_government_type,change_government,approx,assumed,CK3 government-change effect is change_government,21
add_artifact,add_artifact_title_history,approx,assumed,CK3 artifact-grant effects differ by source; needs a human check,20
any_direct_de_jure_vassal_title,any_direct_de_jure_vassal_title,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),20
build_holding,,none,assumed,not found in the CK3 1.19 vocabulary sample as a bare effect,20
dejure_liege_title,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),20
has_dlc,has_dlc,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),20
num_of_empty_holdings,,none,assumed,not found in the CK3 1.19 vocabulary sample,20
detract_society_currency_major_effect,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),19
random,random,exact,verified,unchanged,19
increase_visibility_effect,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),18
refresh_minion_culture_province_modifiers_effect,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),18
on_trigger,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),17
trigger_switch,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),17
min,min,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),16
has_law,,none,verified,"not found in the CK3 1.19 vocabulary sample; CK3 checks a specific law group's value, not a bare has_law(trigger, kept for cross-listing)",15
mob_troops,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),15
add_law,,none,verified,"not found in the CK3 1.19 vocabulary sample as a bare effect; CK3 law-grant effects are per-law-group, needs a human check per decision",14
any_courtier_or_vassal,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),14
detract_society_currency_medium_effect,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),14
primary_title,primary_title,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),14
any_neighbor_independent_ruler,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),13
culture_group,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),13
de_jure_liege,de_jure_liege,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),13
has_character_flag,has_character_flag,exact,verified,"unchanged (trigger, kept for cross-listing)",13
has_character_modifier,has_character_modifier,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),13
has_religion_feature,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),13
save_persistent_event_target,,none,assumed,CK3 has no persistent (cross-session) saved scope; nearest is a global variable,13
scope,scope,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),13
spouse,spouse,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),13
who,who,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),13
chance,chance,exact,assumed,unchanged (random_list weight field),12
convert_to,set_character_faith,approx,assumed,CK2 religion-convert effect -> CK3 set_character_faith,12
government,government,approx,assumed,context-dependent; see mappings/government_map.csv from the titles lane,12
max,max,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),12
mult_modifier,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),12
refill_holding_levy,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),12
society,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),12
change_learning,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),11
chronicle,chronicle,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),11
entry,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),11
law,law,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),11
light_cavalry,light_cavalry,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),11
opinion_effect,,none,assumed,not found in the CK3 1.19 vocabulary sample; use add_opinion,11
count,count,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),10
detract_society_currency_minor_effect,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),10
has_minor_title,,none,verified,"CK2 minor titles map to CK3 court positions, a different construct (docs/mechanics_inventory.md)",10
higher_tier_than,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),10
join_society,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),10
opinion,,none,verified,"not a CK3 effect key: opinion is a trigger-only comparison block, changed only via add_opinion/remove_opinion - no bare effect of this name",10
pick_culture_for_spawned_courtier_effect,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),10
pikemen,pikemen,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),10
sound_effect,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),10
create_random_soldier,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),9
legendary_wizard,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),9
master_wizard,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),9
narrative_event,,none,verified,"fires a CK2 event id; commented out until the events step exists (see character_event)",9
picture,picture,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),9
renowned_wizard,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),9
set_defacto_liege,,none,assumed,not found in the CK3 1.19 vocabulary sample,9
TECH_CASTLE_CONSTRUCTION,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),8
TECH_CITY_CONSTRUCTION,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),8
TECH_FORTIFICATIONS_CONSTRUCTION,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),8
TECH_NAVAL,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),8
activate_title,,none,assumed,not found in the CK3 1.19 vocabulary sample; CK3 titles that exist in the database are always active,8
any_courtier,any_courtier,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),8
capital_holding,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),8
change_martial,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),8
change_stewardship,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),8
destroy_landed_title,destroy_title,approx,verified,CK3 renamed the destroy-title effect,8
expert_wizard,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),8
is_coastal,is_coastal,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),8
is_councillor,is_councillor,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),8
is_liege_or_above,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),8
legendary_warlock,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),8
master_warlock,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),8
player_heir,player_heir,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),8
renowned_warlock,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),8
status,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),8
title,title,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),8
copy_title_laws,,none,assumed,not found in the CK3 1.19 vocabulary sample,7
expert_warlock,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),7
journeyman_warlock,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),7
journeyman_wizard,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),7
set_secret_religion,,none,verified,secret religions do not exist in CK3 (docs/mechanics_inventory.md),7
undead_troops,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),7
activate_plot,,none,verified,CK2 plots have no CK3 counterpart (docs/mechanics_inventory.md),6
any_title_under,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),6
artifact,,none,assumed,"context-dependent field name (add_artifact_title_history etc.), not a single vocabulary key",6
change_intrigue,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),6
create_bloodline,,none,verified,bloodlines do not exist in CK3 (docs/mechanics_inventory.md),6
create_random_steward,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),6
has_alternate_start_parameter,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),6
high_magic_haywire_roll,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),6
inheritance,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),6
key,key,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),6
prisoner,prisoner,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),6
trained_warlock,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),6
trained_wizard,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),6
trigger_if,trigger_if,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),6
warlock,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),6
while,while,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),6
wizard,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),6
animated_objects,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),5
any_province_holding,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),5
any_realm_character,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),5
cooldown,cooldown,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),5
create_random_priest,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),5
elemental_troops,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),5
force_host,,none,assumed,CK3 has no travelling-court host mechanic,5
has_holder,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),5
is_alive,is_alive,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),5
is_landed,is_landed,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),5
is_patrician,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),5
region,region,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),5
z_fighter,,none,assumed,"Faerûn custom scripted_trigger (common/scripted_triggers/faerun_class_triggers.txt), not core CK2/CK3 vocabulary - porting Faerûn's own scripted_effects/scripted_triggers is out of this lane's scope",5
any_child,any_child,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),4
any_owned_bloodline,,none,verified,bloodlines do not exist in CK3 (docs/mechanics_inventory.md),4
attacker,attacker,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),4
can_apply_average_nickname_trigger,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),4
clr_flag,remove_character_flag,approx,assumed,CK2 generic clr_flag -> CK3 remove_character_flag in character scope,4
controls_religion,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),4
destroy_artifact,destroy_artifact,exact,assumed,unchanged,4
duchy,duchy,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),4
export_to_variable,,none,assumed,CK3 has no direct localisation-export effect of this shape,4
galleys,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),4
had_flag,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),4
has_artifact_flag,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),4
has_bloodline_flag,,none,verified,bloodlines do not exist in CK3 (docs/mechanics_inventory.md),4
has_game_rule,has_game_rule,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),4
has_regent,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),4
illusory_troops,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),4
is_alternate_start,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),4
is_artifact_active,,none,assumed,not found in the CK3 1.19 vocabulary sample,4
is_undead,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),4
kingdom,kingdom,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),4
make_capital_holding,set_capital_county,approx,assumed,CK3 capital is set at county level,4
multiply_variable,,none,assumed,not found in the CK3 1.19 vocabulary sample; use change_variable multiply=,4
new_bloodline,,none,verified,bloodlines do not exist in CK3 (docs/mechanics_inventory.md),4
num_of_trade_posts,,none,verified,trade posts/routes do not exist in CK3 1.19 (docs/mechanics_inventory.md),4
random_artifact,random_artifact,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),4
random_province_holding,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),4
remove_adopted_bloodline_members_effect,,none,verified,bloodlines do not exist in CK3 (docs/mechanics_inventory.md),4
remove_all_race_traits,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),4
remove_education_effect,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),4
same_society_as,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),4
set_artifact_flag,add_artifact_history,approx,assumed,"CK3 artifacts track history entries/variables, not flags",4
set_religion_head,,none,assumed,"CK3 assigns the religious head via the faith's clergy/doctrine system, not a bare effect",4
show_scope_change,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),4
society_rank,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),4
spawn_fleet,,none,assumed,CK3 has no separate fleet-spawn effect (ships are part of army composition),4
top_liege,top_liege,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),4
turn_lich_effect,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),4
usurp_title,,none,assumed,not found in the CK3 1.19 vocabulary sample as a bare effect,4
base_title,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),3
bloodline_is_active_for,,none,verified,bloodlines do not exist in CK3 (docs/mechanics_inventory.md),3
change_society_currency,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),3
clear_persistent_event_target,,none,assumed,see save_persistent_event_target,3
completely_controls,completely_controls,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),3
create_family_palace,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),3
create_title,,none,verified,"CK3 titles are a static database, not creatable at runtime (docs/mechanics_inventory.md)",3
custom_created,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),3
de_jure_liege_or_above,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),3
defender,defender,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),3
empire,empire,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),3
give_minor_title,,none,verified,"CK2 minor titles map to CK3 court positions, a different construct (docs/mechanics_inventory.md)",3
has_job_title,,none,verified,"CK2 council jobs are CK3 court positions, a different construct (docs/mechanics_inventory.md)",3
increase_visibility_minor_effect,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),3
inherit,inherit,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),3
is_active,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),3
is_adult,is_adult,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),3
is_strong_non_congenital_trait_upgradeable_trigger,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),3
is_tribal,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),3
landless,landless,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),3
leave_society,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),3
merge,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),3
month,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),3
new_title,new_title,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),3
num_of_count_titles_in_realm,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),3
persistent_event_target:society_title_persist,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),3
player,player,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),3
prompt_name,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),3
propagate_bloodline_from,,none,verified,bloodlines do not exist in CK3 (docs/mechanics_inventory.md),3
random_realm_wonder_upgrade,,none,verified,"CK2 wonders map to CK3 special buildings, not this trigger/effect surface (docs/mechanics_inventory.md)",3
religion_authority,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),3
religion_scope,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),3
remove_all_negative_congenital_traits_effect,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),3
set_gender,,none,assumed,not found in the CK3 1.19 vocabulary sample as a runtime effect (gender is set at create_character time),3
spawn_good_commander_effect,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),3
supported_claimant,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),3
temporary,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),3
update_hidden_modifiers,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),3
wonder,,none,verified,see has_wonder_upgrade,3
abdicate,,none,verified,not found in the CK3 1.19 vocabulary sample as a bare effect; needs a human check,2
add_province_modifier,add_county_modifier,approx,assumed,CK3 merged province into county,2
add_society_currency_minor_effect,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),2
add_trait_wounded_effect,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),2
any_artifact,any_artifact,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),2
any_attacker,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),2
any_current_enemy,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),2
any_player,any_player,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),2
any_society_member,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),2
any_suzerain,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),2
any_war,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),2
arcane_class_gain_xp,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),2
band_creator,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),2
banish,banish,exact,verified,unchanged,2
barbarian,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),2
beast_troops,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),2
become_aristocrat_effect,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),2
become_cleric_effect,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),2
become_fighter_effect,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),2
become_psion_effect,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),2
become_rogue_effect,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),2
become_sorcerer_effect,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),2
become_warlock_effect,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),2
become_wizard_effect,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),2
change_diplomacy,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),2
change_title_army_size,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),2
