ck2_death_reason,ck3_death_reason,status,note
death_natural,death_natural_causes,exact,CK2 id lacks the _causes suffix
death_offmap,death_natural_causes,fallback,offmap power departure; CK3 has no offmap powers
death_pilgrimage,death_pilgrimage_bandit_attack,approx,-
death_planes,death_vanished,approx,Faerun planar travel
death_platypus,death_wild_animal,approx,CK2 easter egg
death_poor_health,death_ill,exact,-
death_rabble,death_slain_in_riot,approx,-
death_ravenloft,death_disappearance,approx,Faerun demiplane abduction
death_retirement,death_natural_causes,fallback,CK3 has no retirement death
death_sacrificed,death_sacrificed_to_gods,exact,-
death_sacrificed_ancestors,death_sacrificed_to_gods,exact,-
death_sacrificed_norse,death_sacrificed_to_gods,exact,-
death_slavery,death_disappeared_into_slave_markets,exact,-
death_spellplague,death_horrible_disease,approx,Faerun magical plague
death_starvation,death_starved,exact,-
death_suicide,death_suicide,exact,same id in both games
death_suicide_drowning,death_drowned,approx,CK3 has no per-method suicide reasons
death_suicide_entombed,death_suicide,fallback,-
death_suicide_fall,death_fall,approx,-
death_suicide_hanging,death_hanged,approx,-
death_suicide_poison,death_poison,approx,-
death_suicide_silver_fire,death_suicide,fallback,Faerun Mystra silver fire
death_trait,death_ill,approx,CK2 death caused by a trait
death_transformation_horror,death_vanished,approx,Faerun transformation into a monster
death_transformation_item,death_vanished,approx,Faerun transformation into an item
death_transformation_place,death_vanished,approx,Faerun transformation into a place
death_transformation_spirit,death_vanished,approx,Faerun transformation into a spirit
death_troubled_pregnancy,death_delivery,approx,-
death_vampire_illithid,death_eaten,approx,-
death_vanished,death_vanished,exact,same id in both games
death_went_back_to_china,death_natural_causes,fallback,offmap power departure
death_went_back_to_shou_lung,death_natural_causes,fallback,offmap power departure
death_went_to_china,death_natural_causes,fallback,offmap power departure
death_went_to_shou_lung,death_natural_causes,fallback,offmap power departure
death_wild_magic_surge,death_vanished,approx,Faerun wild magic; no CK3 equivalent
