ck2_trait,ck3_trait,decision
creature_goblin,creature_goblin,race_trait
creature_goliath,creature_goliath,race_trait
creature_hag,creature_hag,race_trait
creature_hagspawn,creature_hagspawn,race_trait
creature_half_dwarf,creature_half_dwarf,race_trait
creature_half_elf,creature_half_elf,race_trait
creature_half_giant,creature_half_giant,race_trait
creature_half_gnoll,creature_half_gnoll,race_trait
creature_half_ogre,creature_half_ogre,race_trait
creature_half_orc,creature_half_orc,race_trait
creature_halfling,creature_halfling,race_trait
creature_hengeyokai,creature_hengeyokai,race_trait
creature_hobgoblin,creature_hobgoblin,race_trait
creature_human,creature_human,race_trait
creature_illithid,creature_illithid,race_trait
creature_kobold,creature_kobold,race_trait
creature_kuotoa,creature_kuotoa,race_trait
creature_lamia,creature_lamia,race_trait
creature_lizardfolk,creature_lizardfolk,race_trait
creature_malenti,creature_malenti,race_trait
creature_malison,creature_malison,race_trait
creature_minotaur,creature_minotaur,race_trait
creature_monster,creature_monster,race_trait
creature_naga,creature_naga,race_trait
creature_ogre,creature_ogre,race_trait
creature_ogrillon,creature_ogrillon,race_trait
creature_orc,creature_orc,race_trait
creature_outsider,creature_outsider,race_trait
creature_pterafolk,creature_pterafolk,race_trait
creature_pureblood,creature_pureblood,race_trait
creature_sahuagin,creature_sahuagin,race_trait
creature_sarrukh,creature_sarrukh,race_trait
creature_satyr,creature_satyr,race_trait
creature_saurial,creature_saurial,race_trait
creature_slaad,creature_slaad,race_trait
creature_spirit_folk,creature_spirit_folk,race_trait
creature_tabaxi,creature_tabaxi,race_trait
creature_tanarukk,creature_tanarukk,race_trait
creature_tengu,creature_tengu,race_trait
creature_tiefling,creature_tiefling,race_trait
creature_treant,creature_treant,race_trait
creature_troll,creature_troll,race_trait
creature_ulitharid,creature_ulitharid,race_trait
creature_wemic,creature_wemic,race_trait
creature_yikarian,creature_yikarian,race_trait
crowned_by_bishop,crowned_by_bishop,port
crowned_by_myself,crowned_by_myself,port
crowned_by_pope,crowned_by_pope,port
crowned_by_priest,crowned_by_priest,port
cruel,sadistic,rename
curious,curious,rename
cursed,cursed,port
cynical,cynical,rename
dancing_plague,dancing_plague,port
dead_crown_aztec_fylkir,dead_crown_aztec_fylkir,port
dead_crown_byzantine,dead_crown_byzantine,port
dead_crown_finnish_fylkir,dead_crown_finnish_fylkir,port
dead_crown_fylkir,dead_crown_fylkir,port
dead_crown_hre,dead_crown_hre,port
dead_crown_pahlavi,dead_crown_pahlavi,port
dead_crown_romuva_fylkir,dead_crown_romuva_fylkir,port
dead_crown_slavic_fylkir,dead_crown_slavic_fylkir,port
dead_crown_tengri_fylkir,dead_crown_tengri_fylkir,port
dead_crown_west_african_fylkir,dead_crown_west_african_fylkir,port
dead_crown_zun_fylkir,dead_crown_zun_fylkir,port
dead_cursed_diamond_crown,dead_cursed_diamond_crown,port
dead_iron_crown_lombardy,dead_iron_crown_lombardy,port
dead_scepter_bon_fylkir,dead_scepter_bon_fylkir,port
dead_scepter_hellenic_fylkir,dead_scepter_hellenic_fylkir,port
deathmask,deathmask,port
decadent,decadent,rename
deceitful,deceitful,rename
defensive_leader,unyielding_defender,rename
delicate,delicate,port
depressed,depressed_1,rename
desert_terrain_leader,desert_terrain_leader,port
detached_priest,education_learning_1,rename
dhampyr,dhampyr,race_trait
diarrhea,diarrhea,port
diligent,diligent,rename
dim,dim,port
disfigured,disfigured,rename
disinherited,disinherited,rename
dragon_adult,dragon_adult,port
dragon_ancient,dragon_ancient,port
dragon_wyrmling,dragon_wyrmling,port
dragon_young,dragon_young,port
drunkard,drunkard,rename
duelist,lifestyle_blademaster,rename
dull,dull,rename
dumb,dumb,port
dwarf,dwarf,rename
dwarven_lodge_leader,dwarven_lodge_leader,port
dynastic_kinslayer,dynastic_kinslayer,port
dysentery,dysentery,rename
eagle_warrior,eagle_warrior,port
elder_orb,elder_orb,race_trait
elusive_shadow,education_intrigue_4,rename
elven_lodge_leader,elven_lodge_leader,port
erudite,erudite,port
eunuch,eunuch,port
excommunicated,excommunicated,rename
fair,beauty_good_3,rename
falconer,lifestyle_hunter,rename
familial_kinslayer,familial_kinslayer,port
fatigue,fatigue,port
feeble,feeble,port
fever,fever,port
feytouched,feytouched,race_trait
fit,fit,port
flamboyant_schemer,education_intrigue_2,rename
flanker,flexible_leader,rename
flat_terrain_leader,flat_terrain_leader,port
flu,flu,port
food_poisoning,food_poisoning,port
fortune_builder,education_stewardship_3,rename
freckles,freckles,port
freckles_2,freckles_2,port
freckles_3,freckles_3,port
freckles_4,freckles_4,port
freckles_5,freckles_5,port
fussy,fussy,port
gamer,gamer,port
gardener,lifestyle_gardener,rename
genius,intellect_good_3,rename
giant,giant,rename
gladiator,gladiator,port
gluttonous,gluttonous,rename
goblins_lodge_leader,goblins_lodge_leader,port
gondi_shahansha,gondi_shahansha,port
gout,gout,port
greater_celestial,greater_celestial,race_trait
greater_fiend,greater_fiend,race_trait
greedy,greedy,rename
gregarious,gregarious,rename
grey_eminence,education_diplomacy_4,rename
groomed,groomed,port
grounded,grounded,port
half_celestial,half_celestial,race_trait
half_dragon,half_dragon,race_trait
half_fiend,half_fiend,race_trait
half_troll,half_troll,race_trait
hard_pregnancy,hard_pregnancy,port
hardy,hardy,port
harelip,beauty_bad_1,rename
has_aztec_disease,has_aztec_disease,port
has_bubonic_plague,bubonic_plague,rename
has_measles,measles,rename
has_small_pox,smallpox,rename
has_tuberculosis,consumption,rename
has_typhoid_fever,typhus,rename
has_typhus,typhus,rename
haughty,haughty,port
headache,headache,port
hearty,hearty,port
hedgehog,hedgehog,port
hedonist,lifestyle_reveler,rename
heresiarch,heresiarch,rename
hidden_spellplague_trait,hidden_spellplague_trait,port
holy_warrior,holy_warrior,rename
honest,honest,rename
horned,horned,port
hornless,hornless,port
horse,horse,port
house_dog,house_dog,port
humble,humble,rename
hunchback,hunchbacked,rename
hunter,lifestyle_hunter,rename
i_used_to_be_a_player,i_used_to_be_a_player,port
idiot,idiot,port
idolizer,idolizer,port
ignorant,ignorant,port
ill,ill,rename
imbecile,intellect_bad_3,rename
immaculate,immaculate,port
immortal,immortal,rename
impaler,torturer,rename
in_hiding,in_hiding,port
inbred,inbred,rename
incapable,incapable,rename
indolent,indolent,port
indulgent_wastrel,education_stewardship_1,rename
infection,infection,port
infirm,infirm,rename
inspiring_leader,gallant,rename
intricate_webweaver,education_intrigue_3,rename
is_clone,is_clone,port
is_fat,is_fat,port
is_malnourished,is_malnourished,port
is_spelljamming,is_spelljamming,port
jungle_terrain_leader,jungle_terrain_leader,port
just,just,rename
kailash_guardian,kailash_guardian,port
kind,compassionate,rename
kinslayer,kinslayer_1,rename
knight_order_leader,knight_order_leader,port
kow_tow_completed_tier_1,kow_tow_completed_tier_1,port
kow_tow_completed_tier_2,kow_tow_completed_tier_2,port
kow_tow_completed_tier_3,kow_tow_completed_tier_3,port
kow_tow_travels,kow_tow_travels,port
learned,learned,port
lefthanded,lefthanded,port
legit_bastard,legitimized_bastard,rename
leper,leper,rename
levy_coordinator,levy_coordinator,port
lich,lich,race_trait
lich_baelnorn,lich_baelnorn,race_trait
lifespan_1000,lifespan_1000,port
lifespan_150,lifespan_150,port
lifespan_160,lifespan_160,port
lifespan_180,lifespan_180,port
lifespan_200,lifespan_200,port
lifespan_250,lifespan_250,port
lifespan_300,lifespan_300,port
lifespan_350,lifespan_350,port
lifespan_400,lifespan_400,port
lifespan_500,lifespan_500,port
lifespan_600,lifespan_600,port
lifespan_800,lifespan_800,port
lifespan_ageless,lifespan_ageless,port
lisp,lisping,rename
logistics_expert,logistics_expert,port
longevity,longevity,race_trait
lovers_pox,lovers_pox,rename
lucid,lucid,port
lunatic,lunatic_1,rename
lustful,lustful,rename
maimed,maimed,rename
malaise,malaise,port
mangled,mangled,port
martial_cleric,education_learning_2,rename
master_of_flame,master_of_flame,port
masterless_dog,masterless_dog,port
mastermind_theologian,education_learning_4,rename
midas_touched,education_stewardship_4,rename
misguided_warrior,education_martial_1,rename
monk,monk,port
mountain_terrain_leader,mountain_terrain_leader,port
mujahid,mujahid,port
mutant,mutant,race_trait
mutazilite,mutazilite,port
mystic,lifestyle_mystic,rename
naive_appeaser,education_diplomacy_1,rename
narrow_flank_leader,narrow_flank_leader,port
natural_lycanthrope,natural_lycanthrope,race_trait
norse_leader,norse_leader,port
norse_tattoo_1,norse_tattoo_1,port
norse_tattoo_2,norse_tattoo_2,port
norse_tattoo_3,norse_tattoo_3,port
norse_tattoo_4,norse_tattoo_4,port
norse_tattoo_5,norse_tattoo_5,port
norse_tattoo_6,norse_tattoo_6,port
nun,nun,port
nyames_shield,nyames_shield,port
obnoxious,obnoxious,port
on_pilgrimage,on_pilgrimage,port
one_eyed,one_eyed,rename
one_handed,one_handed,port
one_legged,one_legged,rename
orcs_lodge_leader,orcs_lodge_leader,port
organizer,organizer,rename
origin_aberrant_mind,origin_aberrant_mind,race_trait
origin_divine_soul,origin_divine_soul,race_trait
origin_draconic,origin_draconic,race_trait
origin_shadow,origin_shadow,race_trait
origin_storm,origin_storm,race_trait
origin_wild_magic,origin_wild_magic,race_trait
otter,otter,port
pagan_branch_1,pagan_branch_1,port
pagan_branch_2,pagan_branch_2,port
pagan_branch_3,pagan_branch_3,port
pagan_branch_4,pagan_branch_4,port
paranoid,paranoid,rename
patient,patient,rename
peasant_leader,peasant_leader,rename
peruns_chosen,peruns_chosen,port
physician,physician,port
pirate,pirate,port
plain,plain,port
planetouched,planetouched,port
playful,playful,port
pneumonic,pneumonic,rename
poet,lifestyle_poet,rename
possessed,possessed_1,rename
pregnancy_finishing,pregnancy_finishing,port
pregnant,pregnant,rename
pretty,pretty,port
proud,arrogant,rename
psi_potential,psi_potential,race_trait
quick,intellect_good_2,rename
rabies,rabies,port
rash,rash,port
rashemen_lodge_leader,rashemen_lodge_leader,port
ravager,ravager,port
reincarnation,reincarnation,rename
robust,robust,port
romuvas_own,romuvas_own,port
rough_terrain_leader,rough_terrain_leader,port
rowdy,rowdy,rename
rusting_trait,rusting_trait,port
sahuagin_baron,sahuagin_baron,port
sahuagin_chief,sahuagin_chief,port
sahuagin_emperor,sahuagin_emperor,port
sahuagin_king,sahuagin_king,port
sahuagin_prince,sahuagin_prince,port
sahuagin_warrior,sahuagin_warrior,port
saint,saint,rename
saoshyant,saoshyant,rename
saoshyant_descendant,saoshyant_descendant,rename
sapper,sapper,port
scarred,scarred,rename
scarred_high,scarred_high,port
scarred_mid,scarred_mid,port
scarred_type_1,scarred_type_1,port
scarred_type_10,scarred_type_10,port
scarred_type_2,scarred_type_2,port
scarred_type_3,scarred_type_3,port
scarred_type_4,scarred_type_4,port
scarred_type_5,scarred_type_5,port
scarred_type_6,scarred_type_6,port
scarred_type_7,scarred_type_7,port
scarred_type_8,scarred_type_8,port
scarred_type_9,scarred_type_9,port
schemer,schemer,rename
scholar,scholar,rename
scholarly_theologian,education_learning_3,rename
scurvy,scurvy,port
sea_queen,sea_queen,port
seaking,seaking,port
secret_patrician,secret_patrician,port
seducer,seducer,rename
seductress,seductress,port
severely_injured,severely_injured,port
shaddai,shaddai,port
sharp,sharp,port
shield_of_torm,shield_of_torm,port
shieldmaiden,shieldmaiden,rename
shifter,shifter,race_trait
shrewd,shrewd,rename
shy,shy,rename
sick_incapable,sick_incapable,port
sickly,sickly,rename
siege_leader,military_engineer,rename
skilled_tactician,education_martial_3,rename
slack,slack,port
slaughterer,slaughterer,port
slavic_tattoo_1,slavic_tattoo_1,port
slavic_tattoo_2,slavic_tattoo_2,port
slavic_tattoo_3,slavic_tattoo_3,port
slavic_tattoo_4,slavic_tattoo_4,port
slavic_tattoo_5,slavic_tattoo_5,port
slavic_tattoo_6,slavic_tattoo_6,port
slothful,lazy,rename
slovenly,slovenly,port
slow,intellect_bad_2,rename
sluggardly,sluggardly,port
smart,smart,port
socializer,socializer,port
soft,soft,port
spellscar,spellscar,port
stasis_clone,stasis_clone,race_trait
strategist,strategist,rename
strong,physique_good_3,rename
stubborn,stubborn,rename
sturdy,sturdy,port
stutter,stuttering,rename
sun_warrior,sun_warrior,port
sword_of_torm,sword_of_torm,port
sympathy_aberration_group,sympathy_aberration_group,port
sympathy_atheist_group,sympathy_atheist_group,port
sympathy_draconic_group,sympathy_draconic_group,port
sympathy_drow_pantheon,sympathy_drow_pantheon,port
sympathy_dwarven_pantheon_group,sympathy_dwarven_pantheon_group,port
sympathy_elven_pantheon_group,sympathy_elven_pantheon_group,port
sympathy_evil_human_pantheon_group,sympathy_evil_human_pantheon_group,port
sympathy_giant_pantheon_group,sympathy_giant_pantheon_group,port
sympathy_good_human_pantheon_group,sympathy_good_human_pantheon_group,port
sympathy_humanoid_group,sympathy_humanoid_group,port
sympathy_karaturan_group,sympathy_karaturan_group,port
sympathy_many,sympathy_many,port
sympathy_qismaite_group,sympathy_qismaite_group,port
sympathy_unenlightened_group,sympathy_unenlightened_group,port
sympathy_wild_human_pantheon_group,sympathy_wild_human_pantheon_group,port
syphilitic,great_pox,rename
tb_sterile,tb_sterile,port
temperate,temperate,rename
tengri_warrior,tengri_warrior,port
thayan_tattoo_1,thayan_tattoo_1,port
thayan_tattoo_10,thayan_tattoo_10,port
thayan_tattoo_11,thayan_tattoo_11,port
thayan_tattoo_12,thayan_tattoo_12,port
thayan_tattoo_13,thayan_tattoo_13,port
thayan_tattoo_14,thayan_tattoo_14,port
thayan_tattoo_2,thayan_tattoo_2,port
thayan_tattoo_3,thayan_tattoo_3,port
thayan_tattoo_4,thayan_tattoo_4,port
thayan_tattoo_5,thayan_tattoo_5,port
thayan_tattoo_6,thayan_tattoo_6,port
thayan_tattoo_7,thayan_tattoo_7,port
thayan_tattoo_8,thayan_tattoo_8,port
thayan_tattoo_9,thayan_tattoo_9,port
theologian,theologian,rename
thrifty_clerk,education_stewardship_2,rename
tidy,tidy,port
timid,timid,port
tough,tough,port
tough_soldier,education_martial_2,rename
travelling,travelling,port
tribal_kinslayer,tribal_kinslayer,port
trickster,strategist,rename
troubled_pregnancy,troubled_pregnancy,port
trusting,trusting,rename
twin,twin,rename
ugly,beauty_bad_2,rename
ukkos_shield,ukkos_shield,port
uncouth,uncouth,port
uncrowned,uncrowned,port
undead,undead,race_trait
underhanded_rogue,education_diplomacy_2,rename
unschooled,unschooled,port
unsightly,unsightly,port
unyielding_leader,unyielding_leader,port
valhalla_bound,valhalla_bound,port
vampire,vampire,race_trait
vampire_spawn,vampire_spawn,race_trait
varangian,varangian,rename
viking,viking,rename
vomiting,vomiting,port
war_elephant_leader,war_elephant_leader,port
warlock_celestial,warlock_celestial,race_trait
warlock_elemental,warlock_elemental,race_trait
warlock_fey,warlock_fey,race_trait
warlock_fiend,warlock_fiend,race_trait
warlock_old_one,warlock_old_one,race_trait
weak,physique_bad_3,rename
werecrocodile,werecrocodile,race_trait
wererat,wererat,race_trait
werespider,werespider,race_trait
weretiger,weretiger,race_trait
werewolf,werewolf,race_trait
willful,willful,port
winter_soldier,winter_soldier,rename
witless,witless,port
wiz_abjuration,wiz_abjuration,race_trait
wiz_conjuration,wiz_conjuration,race_trait
wiz_divination,wiz_divination,race_trait
wiz_enchantment,wiz_enchantment,race_trait
wiz_evocation,wiz_evocation,race_trait
wiz_illusion,wiz_illusion,race_trait
wiz_necromancy,wiz_necromancy,race_trait
wiz_transmutation,wiz_transmutation,race_trait
wounded,wounded_1,rename
wroth,wrathful,rename
zealous,zealous,rename
