ck3_loc_key,ck2_source,ck2_value,note
dynn_fae_1145,"common/dynasties name (literal, no CK2 loc key)",Saltbaron,new key
dynn_fae_1146,"common/dynasties name (literal, no CK2 loc key)",Skargettian,new key
dynn_fae_1147,"common/dynasties name (literal, no CK2 loc key)",Szolt,new key
dynn_fae_1148,"common/dynasties name (literal, no CK2 loc key)",Szort,new key
dynn_fae_1149,"common/dynasties name (literal, no CK2 loc key)",Mordin,new key
dynn_fae_115,"common/dynasties name (literal, no CK2 loc key)",Vendree,new key
dynn_fae_1150,"common/dynasties name (literal, no CK2 loc key)",Xornbane,new key
dynn_fae_1151,"common/dynasties name (literal, no CK2 loc key)",Xundorn,new key
dynn_fae_1152,"common/dynasties name (literal, no CK2 loc key)",Inzibat,new key
dynn_fae_1153,"common/dynasties name (literal, no CK2 loc key)",Frostaxe,new key
dynn_fae_1154,"common/dynasties name (literal, no CK2 loc key)",o' th' Rift,new key
dynn_fae_1155,"common/dynasties name (literal, no CK2 loc key)",Blood of Placidor,new key
dynn_fae_1156,"common/dynasties name (literal, no CK2 loc key)",Ghalmrin,new key
dynn_fae_1157,"common/dynasties name (literal, no CK2 loc key)",Farhaven,new key
dynn_fae_1158,"common/dynasties name (literal, no CK2 loc key)",Clovis,new key
dynn_fae_1159,"common/dynasties name (literal, no CK2 loc key)",Talbot,new key
dynn_fae_116,"common/dynasties name (literal, no CK2 loc key)",Druu'gir,new key
dynn_fae_1160,"common/dynasties name (literal, no CK2 loc key)",Rajii,new key
dynn_fae_1161,"common/dynasties name (literal, no CK2 loc key)",Grimcleft,new key
dynn_fae_1162,"common/dynasties name (literal, no CK2 loc key)",Bridgeworth,new key
dynn_fae_1163,"common/dynasties name (literal, no CK2 loc key)",Rathil,new key
dynn_fae_1164,"common/dynasties name (literal, no CK2 loc key)",Kelborn,new key
dynn_fae_1165,"common/dynasties name (literal, no CK2 loc key)",Oland,new key
dynn_fae_1166,"common/dynasties name (literal, no CK2 loc key)",Storm Brow,new key
dynn_fae_1167,"common/dynasties name (literal, no CK2 loc key)",Coldember,new key
dynn_fae_1168,"common/dynasties name (literal, no CK2 loc key)",Basu,new key
dynn_fae_1169,"common/dynasties name (literal, no CK2 loc key)",Dutta,new key
dynn_fae_117,"common/dynasties name (literal, no CK2 loc key)",Symrywin,new key
dynn_fae_1170,"common/dynasties name (literal, no CK2 loc key)",Sadhu,new key
dynn_fae_1171,"common/dynasties name (literal, no CK2 loc key)",Rimethane,new key
dynn_fae_1172,"common/dynasties name (literal, no CK2 loc key)",al-Zani,new key
dynn_fae_1173,"common/dynasties name (literal, no CK2 loc key)",yn Seltos,new key
dynn_fae_1174,"common/dynasties name (literal, no CK2 loc key)",Ikit,new key
dynn_fae_1175,"common/dynasties name (literal, no CK2 loc key)",Frozenfar,new key
dynn_fae_1176,"common/dynasties name (literal, no CK2 loc key)",Icepeak,new key
dynn_fae_1177,"common/dynasties name (literal, no CK2 loc key)",Coldrun,new key
dynn_fae_1178,"common/dynasties name (literal, no CK2 loc key)",Icewind,new key
dynn_fae_1179,"common/dynasties name (literal, no CK2 loc key)",Irontrail,new key
dynn_fae_118,"common/dynasties name (literal, no CK2 loc key)",Oblodra,new key
dynn_fae_1180,"common/dynasties name (literal, no CK2 loc key)",Cragcat,new key
dynn_fae_1181,"common/dynasties name (literal, no CK2 loc key)",Whitewhale,new key
dynn_fae_1182,"common/dynasties name (literal, no CK2 loc key)",Northmeans,new key
dynn_fae_1183,"common/dynasties name (literal, no CK2 loc key)",Redwater,new key
dynn_fae_1184,"common/dynasties name (literal, no CK2 loc key)",Floatingland,new key
dynn_fae_1185,"common/dynasties name (literal, no CK2 loc key)",Blackice,new key
dynn_fae_1186,"common/dynasties name (literal, no CK2 loc key)",Icetroll,new key
dynn_fae_1187,"common/dynasties name (literal, no CK2 loc key)",Winterfloe,new key
dynn_fae_1188,"common/dynasties name (literal, no CK2 loc key)",Undertow,new key
dynn_fae_1189,"common/dynasties name (literal, no CK2 loc key)",Shipsighter,new key
dynn_fae_119,"common/dynasties name (literal, no CK2 loc key)",Kenafin,new key
dynn_fae_1190,"common/dynasties name (literal, no CK2 loc key)",Sledtrue,new key
dynn_fae_1191,"common/dynasties name (literal, no CK2 loc key)",Icewolf,new key
dynn_fae_1192,"common/dynasties name (literal, no CK2 loc key)",Igelnakirsos,new key
dynn_fae_1193,"common/dynasties name (literal, no CK2 loc key)",Mokinuk,new key
dynn_fae_1194,"common/dynasties name (literal, no CK2 loc key)",Alutogak,new key
dynn_fae_1195,"common/dynasties name (literal, no CK2 loc key)",Gaakali,new key
dynn_fae_1196,"common/dynasties name (literal, no CK2 loc key)",Maruii,new key
dynn_fae_1197,"common/dynasties name (literal, no CK2 loc key)",Nukoliru,new key
dynn_fae_1198,"common/dynasties name (literal, no CK2 loc key)",Glacierborn,new key
dynn_fae_1199,"common/dynasties name (literal, no CK2 loc key)",Nakulit,new key
dynn_fae_12,"common/dynasties name (literal, no CK2 loc key)",Orbrekh,new key
dynn_fae_120,"common/dynasties name (literal, no CK2 loc key)",Hun'ett,new key
dynn_fae_1200,"common/dynasties name (literal, no CK2 loc key)",Bergschrund,new key
dynn_fae_12001,"common/dynasties name (literal, no CK2 loc key)",Rupta,new key
dynn_fae_12002,"common/dynasties name (literal, no CK2 loc key)",Mavaleen,new key
dynn_fae_12003,"common/dynasties name (literal, no CK2 loc key)",Seltarir,new key
dynn_fae_12004,"common/dynasties name (literal, no CK2 loc key)",Podo,new key
dynn_fae_12005,"common/dynasties name (literal, no CK2 loc key)",Meedo,new key
dynn_fae_12006,"common/dynasties name (literal, no CK2 loc key)",Bamanil,new key
dynn_fae_12007,"common/dynasties name (literal, no CK2 loc key)",Kashtri,new key
dynn_fae_12008,"common/dynasties name (literal, no CK2 loc key)",Lakshi,new key
dynn_fae_12009,"common/dynasties name (literal, no CK2 loc key)",Nim,new key
dynn_fae_1201,"common/dynasties name (literal, no CK2 loc key)",Corrie,new key
dynn_fae_12010,"common/dynasties name (literal, no CK2 loc key)",Sarval,new key
dynn_fae_12011,"common/dynasties name (literal, no CK2 loc key)",Varaput,new key
dynn_fae_12012,"common/dynasties name (literal, no CK2 loc key)",Unva,new key
dynn_fae_12013,"common/dynasties name (literal, no CK2 loc key)",Dathia,new key
dynn_fae_12014,"common/dynasties name (literal, no CK2 loc key)",Ikvala,new key
dynn_fae_12015,"common/dynasties name (literal, no CK2 loc key)",Stanni,new key
dynn_fae_12016,"common/dynasties name (literal, no CK2 loc key)",Kalimar,new key
dynn_fae_12017,"common/dynasties name (literal, no CK2 loc key)",Dupretiskava,new key
dynn_fae_12018,"common/dynasties name (literal, no CK2 loc key)",Uilyyar,new key
dynn_fae_12019,"common/dynasties name (literal, no CK2 loc key)",Fakim,new key
dynn_fae_1202,"common/dynasties name (literal, no CK2 loc key)",Talus,new key
dynn_fae_12020,"common/dynasties name (literal, no CK2 loc key)",Sholapur,new key
dynn_fae_12021,"common/dynasties name (literal, no CK2 loc key)",Panba,new key
dynn_fae_12022,"common/dynasties name (literal, no CK2 loc key)",Karbat,new key
dynn_fae_12023,"common/dynasties name (literal, no CK2 loc key)",Gwann,new key
dynn_fae_12024,"common/dynasties name (literal, no CK2 loc key)",Priyyandu,new key
dynn_fae_12025,"common/dynasties name (literal, no CK2 loc key)",Jeradea,new key
dynn_fae_12026,"common/dynasties name (literal, no CK2 loc key)",Gemstone,new key
dynn_fae_12027,"common/dynasties name (literal, no CK2 loc key)",Firmstand,new key
dynn_fae_12028,"common/dynasties name (literal, no CK2 loc key)",Turamir,new key
dynn_fae_12029,"common/dynasties name (literal, no CK2 loc key)",Bluemantle,new key
dynn_fae_1203,"common/dynasties name (literal, no CK2 loc key)",Serac,new key
dynn_fae_12030,"common/dynasties name (literal, no CK2 loc key)",Olwynson,new key
dynn_fae_12031,"common/dynasties name (literal, no CK2 loc key)",Kaspar,new key
dynn_fae_12032,"common/dynasties name (literal, no CK2 loc key)",Herokimal,new key
dynn_fae_12033,"common/dynasties name (literal, no CK2 loc key)",Rascalin,new key
dynn_fae_12034,"common/dynasties name (literal, no CK2 loc key)",Hagji,new key
dynn_fae_12035,"common/dynasties name (literal, no CK2 loc key)",Devayam,new key
dynn_fae_12036,"common/dynasties name (literal, no CK2 loc key)",Bloodhorn,new key
dynn_fae_12037,"common/dynasties name (literal, no CK2 loc key)",Blackcloak,new key
dynn_fae_12038,"common/dynasties name (literal, no CK2 loc key)",Mahanesh,new key
dynn_fae_12039,"common/dynasties name (literal, no CK2 loc key)",Braer,new key
dynn_fae_1204,"common/dynasties name (literal, no CK2 loc key)",Drumlin,new key
dynn_fae_12040,"common/dynasties name (literal, no CK2 loc key)",Mandhana Ghatori,new key
dynn_fae_12041,"common/dynasties name (literal, no CK2 loc key)",Yardhambar Seltarir,new key
dynn_fae_12042,"common/dynasties name (literal, no CK2 loc key)",Jhajharia,new key
dynn_fae_12043,"common/dynasties name (literal, no CK2 loc key)",Marguerin,new key
dynn_fae_12044,"common/dynasties name (literal, no CK2 loc key)",Wyndrey,new key
dynn_fae_12045,"common/dynasties name (literal, no CK2 loc key)",Jalmaes,new key
dynn_fae_12046,"common/dynasties name (literal, no CK2 loc key)",of Sessrendale,new key
dynn_fae_12047,"common/dynasties name (literal, no CK2 loc key)",Longstrider,new key
dynn_fae_12048,"common/dynasties name (literal, no CK2 loc key)",Vantassian,new key
dynn_fae_12049,"common/dynasties name (literal, no CK2 loc key)",Pixieblood,new key
dynn_fae_1205,"common/dynasties name (literal, no CK2 loc key)",Veiki,new key
dynn_fae_12050,"common/dynasties name (literal, no CK2 loc key)",Shadowthrone,new key
dynn_fae_12051,"common/dynasties name (literal, no CK2 loc key)",Embrasus,new key
dynn_fae_12052,"common/dynasties name (literal, no CK2 loc key)",Fevoros,new key
dynn_fae_12053,"common/dynasties name (literal, no CK2 loc key)",Ulphor,new key
dynn_fae_12054,"common/dynasties name (literal, no CK2 loc key)",Qo,new key
dynn_fae_12055,"common/dynasties name (literal, no CK2 loc key)",Kolamilope,new key
dynn_fae_12056,"common/dynasties name (literal, no CK2 loc key)",Adebowalan,new key
dynn_fae_12057,"common/dynasties name (literal, no CK2 loc key)",Mo'oshalew,new key
dynn_fae_12058,"common/dynasties name (literal, no CK2 loc key)",Olengode,new key
dynn_fae_12059,"common/dynasties name (literal, no CK2 loc key)",Seltrarir,new key
dynn_fae_1206,"common/dynasties name (literal, no CK2 loc key)",Sevetti,new key
dynn_fae_12060,"common/dynasties name (literal, no CK2 loc key)",Furaha,new key
dynn_fae_12061,"common/dynasties name (literal, no CK2 loc key)",Jelani,new key
dynn_fae_12062,"common/dynasties name (literal, no CK2 loc key)",Baharia,new key
dynn_fae_12063,"common/dynasties name (literal, no CK2 loc key)",Fuli,new key
dynn_fae_12064,"common/dynasties name (literal, no CK2 loc key)",Faraji,new key
dynn_fae_12065,"common/dynasties name (literal, no CK2 loc key)",Muchumba,new key
dynn_fae_12066,"common/dynasties name (literal, no CK2 loc key)",Zuri,new key
dynn_fae_12067,"common/dynasties name (literal, no CK2 loc key)",Zubira,new key
dynn_fae_12068,"common/dynasties name (literal, no CK2 loc key)",Omari,new key
dynn_fae_12069,"common/dynasties name (literal, no CK2 loc key)",Sembabule,new key
dynn_fae_1207,"common/dynasties name (literal, no CK2 loc key)",Pulju,new key
dynn_fae_12070,"common/dynasties name (literal, no CK2 loc key)",Lugabi,new key
dynn_fae_12071,"common/dynasties name (literal, no CK2 loc key)",Akkala,new key
