ck2_government,ck2_file,ck2_allowed_holdings,ck2_potential_gate,ck3_government,ck3_dlc_gate,status,succession_law_to_emit,ck3_evidence,lost_features,note
nomadic_government,Faerun/.../nomadic_governments.txt,NOMAD,always = no  (VERIFIED DISABLED STUB in Faerun),(none - skip),-,none,,-,,Faerun disables this government entirely (`potential = { always = no }`); its functionality was moved to nomadic_tribal_government and semi_nomadic_government. The converter must NOT emit a CK3 government for it. Emit a comment only.
nomadic_tribal_government,Faerun/.../tribal_governments.txt,"TRIBAL,FORT",tribal_group_potential_trigger + has_dlc Horse Lords + is_nomadic_tribal_culture,nomad_government,has_mpo_dlc_trigger,approx,single_heir_succession_kurultai_law,common/governments/00_government_types.txt:581 (dlc gate at :617),CK2 nomad clans; herd size as a resource; pasture/population mechanics,"This is the government that actually carries Faerun's nomad realms (Tuigan etc.). CK3 nomad_government is DLC-gated: can_get_government requires has_mpo_dlc_trigger (Khans of the Steppe). primary_holding = nomad_holding, buildings = no, domicile_type = yurt. Emit a `fallback_government`-style comment or an overrides row to fall back to tribal_government when MPO cannot be assumed."
semi_nomadic_government,Faerun/.../tribal_governments.txt,"TRIBAL,CITY,FORT",has_dlc Horse Lords + tribal_group_potential_trigger + is_semi_nomadic_culture,tribal_government,none,approx,,common/governments/00_government_types.txt:205,CK2's mixed settled/nomad state,"herder_government exists (00_government_types.txt:674) but is a non-playable subject herder type (create_cadet_branches = no, rulers_should_have_dynasty = no, redirects_wars_to_overlord = yes, use_decisions = no) - wrong for a realm ruler. Use tribal_government; nomad_government is the alternative if MPO is assumed."
ordning_government,Faerun/.../tribal_governments.txt,"CASTLE,TRIBAL,FORT",ordning_government_potential_trigger,tribal_government,none,approx,,common/governments/00_government_types.txt:205,The Ordning itself - a strict inter-realm giant caste ladder (CK2 title_prefix jotun_),"No CK3 government models a caste ladder. Nearest levers: house_unity (clan_government uses clan_house_unity), tradition_stratified_society / tradition_ruling_caste, faith doctrines. Emit tribal_government + a comment naming the missing mechanic."
order_government,Faerun/.../feudal_governments.txt,"CASTLE,TEMPLE,TRIBAL,FORT,HOSPITAL",feudal_group_potential_trigger + order_government_potential_trigger,holy_order_government,none,exact,holy_order_succession_law,common/governments/00_government_types.txt:368,CK2 `free_revoke_on_governments = { order_government }` self-revocation,cannot_be_vassal_or_liege; council = no; court_generate_spouses = no. CK2 landed_titles `holy_order = yes` titles map here. Also needs holy_order_names / holy_order_maa on the religion (see religion_fields.csv).
roman_imperial_government,Faerun/.../feudal_governments.txt,"CASTLE,CITY,FORT,HOSPITAL",feudal_group_potential_trigger + roman_imperial_government_potential_trigger,administrative_government,none,approx,noble_family_succession_law,common/governments/00_government_types.txt:408,CK2 imperial-administration laws,"CK3 1.16 administrative_government IS the Roman/Byzantine bureaucracy: administrative = yes, noble_families = yes, treasury = yes, main_administrative_tier = duchy, domicile_type = estate. It requires `noble_family = yes` landless titles in landed_titles (see title_fields.csv) and noble_family_succession_law in history/titles (1338 vanilla uses)."
celestial_government,Faerun/.../feudal_governments.txt,"CASTLE,CITY,FORT,HOSPITAL",feudal_group_potential_trigger + chinese_imperial_government_potential_trigger,celestial_government,none,approx,celestial_ministry_appointment_succession_law,common/governments/00_government_types.txt:727,Faerun/Shou-specific bureaucracy details,"Name coincidence is real and lucky: CK3 celestial_government (1.19, China) is an administrative government with merit = yes, government_has_merit, domicile_type = east_asian_estate, vassal_contract_group = celestial_vassal. VERIFIED: celestial_government has NO has_*_dlc_trigger in can_get_government, unlike mandala/meritocratic/steppe_admin/japan_* which all require has_tgp_dlc_trigger. Best fit for Shou Lung / Kara-Tur."
celestial_bureaucracy,Faerun/.../feudal_governments.txt,"CASTLE,CITY,FORT,HOSPITAL",confucian_government_potential_trigger,meritocratic_government,has_tgp_dlc_trigger,approx,meritocratic_appointment_succession_law,common/governments/00_government_types.txt:1145 (dlc gate at :1227),CK2 confucian bureaucracy specifics,"The 19th Faerun government (docs/faerun_ck2_survey.md counted 18 and missed this one). Derived from CK2 base `confucian_bureaucracy`. CK3 meritocratic_government has merit = yes + treasury = yes and is the closest analogue, but it is TGP-DLC-gated - fall back to celestial_government (not gated) if TGP cannot be assumed."
yikaria_government,Faerun/.../theocracy_governments.txt,"TEMPLE,CASTLE,CITY,TRIBAL,FORT,HOSPITAL","religion = faceless_god + controls_religion = yes (hard religion gate, no scripted trigger)",theocracy_government,none,approx,bishop_theocratic_succession_law,common/governments/00_government_types.txt:80,Yikaria yak-folk slaver mechanics (custom events/CBs); CK2 frame_suffix _lotus,"CK2 gates it on the faceless_god religion directly. CK3 equivalent: emit theocracy_government and reproduce the gate on the FAITH (a can_get_government-style faith check is not available per-title, so use the faith's doctrine_theocracy_temporal). Mechanics themselves belong to the events lane."
(landed_titles mercenary = yes),Faerun/Faerun/common/landed_titles/mercenaries.txt,-,"n/a (title flag, not a government)",mercenary_government,none,exact,mercenary_company_succession_law,common/governments/00_government_types.txt:330,"CK2 `mercenary_type`, `strength_growth_per_century`, `hire_range`, `monthly_income`",Not a CK2 `governments` entry. CK3 needs the company as a title with mercenary_government plus a name/CoA entry in the culture's name_list `mercenary_names`.
(landless titular e_ organisation titles),Faerun/Faerun/common/landed_titles/titular_titles.txt,-,n/a (title flag),landless_adventurer_government,none,approx,landless_adventurer_succession_law,common/governments/00_government_types.txt:513,CK2 society/faction machinery,"For e_pirates, e_emerald_enclave, e_rebels, e_army_of_darkness. 1.13+ landless adventurer: domicile_type = camp, landless = yes + require_landless = yes on the title. EK2 precedent: it gates such titles with has_dlc_feature and a custom destroy_landless_title_no_dlc_effect (227 uses in its history/titles)."
