ck2_nickname,ck3_nickname,status,uses_in_faerun,note
nick_dragonback,,comment,1,Faerun-invented nickname
nick_dragonsbane,,comment,1,Faerun-invented nickname
nick_dragonslayer,nick_the_dragonslayer,approx,2,CK3 spells it with the definite article
nick_dretch,,comment,1,Faerun-invented nickname
nick_duk_tak,,comment,1,Faerun-invented nickname
nick_ebondeath,,comment,1,Faerun-invented nickname
nick_el_sadhara,,comment,1,Faerun-invented nickname
nick_elfbane,,comment,1,Faerun-invented nickname
nick_empress_dragon,,comment,1,Faerun-invented nickname
nick_father_of_victory,,comment,1,Faerun-invented nickname
nick_fiendslayer,,comment,2,Faerun-invented nickname
nick_filvendorson,,comment,1,Faerun-invented nickname
nick_firebeard,,comment,2,Faerun-invented nickname
nick_firedragon,,comment,1,Faerun-invented nickname
nick_firefingers,,comment,1,Faerun-invented nickname
nick_firefists,,comment,1,Faerun-invented nickname
nick_firehands,,comment,2,Faerun-invented nickname
nick_firetamer,,comment,1,Faerun-invented nickname
nick_firewings,,comment,1,Faerun-invented nickname
nick_first_king,,comment,1,Faerun-invented nickname
nick_first_queen,,comment,1,Faerun-invented nickname
nick_first_sacred_one,,comment,1,Faerun-invented nickname
nick_first_speaker,,comment,1,Faerun-invented nickname
nick_fist_of_torm,,comment,1,Faerun-invented nickname
nick_flame_of_the_north,,comment,1,Faerun-invented nickname
nick_flamehair,,comment,1,Faerun-invented nickname
nick_florraven,,comment,1,Faerun-invented nickname
nick_flyingfingers,,comment,1,Faerun-invented nickname
nick_flyinghair,,comment,1,Faerun-invented nickname
nick_foesmasher,,comment,1,Faerun-invented nickname
nick_forestheart,,comment,1,Faerun-invented nickname
nick_forkbeard,,comment,2,Faerun-invented nickname
nick_fourfinger,,comment,1,Faerun-invented nickname
nick_foxfire,,comment,1,Faerun-invented nickname
nick_freezefire,,comment,1,Faerun-invented nickname
nick_friend_of_the_forest,,comment,1,Faerun-invented nickname
nick_frostbeard,,comment,1,Faerun-invented nickname
nick_frostrune,,comment,1,Faerun-invented nickname
nick_fury_of_avernus,,comment,1,Faerun-invented nickname
nick_fyth,,comment,1,Faerun-invented nickname
nick_gast,,comment,1,Faerun-invented nickname
nick_gemhead,,comment,1,Faerun-invented nickname
nick_gildenfire,,comment,1,Faerun-invented nickname
nick_giogi,,comment,1,Faerun-invented nickname
nick_glorytongue,,comment,1,Faerun-invented nickname
nick_goat_girl,,comment,1,Faerun-invented nickname
nick_golden_night,,comment,1,Faerun-invented nickname
nick_goldentresses,,comment,1,Faerun-invented nickname
nick_goldhand,,comment,1,Faerun-invented nickname
nick_grandfather,,comment,1,Faerun-invented nickname
nick_graystone,,comment,1,Faerun-invented nickname
nick_greatmaw,,comment,1,Faerun-invented nickname
nick_greatshout,,comment,1,Faerun-invented nickname
nick_grim,,comment,1,Faerun-invented nickname
nick_grimskull,,comment,1,Faerun-invented nickname
nick_grin,,comment,1,Faerun-invented nickname
nick_guts,,comment,1,Faerun-invented nickname
nick_half_gnome,,comment,1,Faerun-invented nickname
nick_half_pint,,comment,1,Faerun-invented nickname
nick_hammerbrow,,comment,1,Faerun-invented nickname
nick_hammerseeker,,comment,1,Faerun-invented nickname
nick_hellhorns,,comment,1,Faerun-invented nickname
nick_highhunter,,comment,1,Faerun-invented nickname
nick_highthought,,comment,1,Faerun-invented nickname
nick_horca,,comment,1,Faerun-invented nickname
nick_huntlord,,comment,1,Faerun-invented nickname
nick_hurler_of_stars,,comment,1,Faerun-invented nickname
nick_iceclaws,,comment,1,Faerun-invented nickname
nick_icewind,,comment,1,Faerun-invented nickname
nick_icingdeath,,comment,1,Faerun-invented nickname
nick_incisor,,comment,1,Faerun-invented nickname
nick_inferno_of_the_star_mounts,,comment,1,Faerun-invented nickname
nick_ironeater,,comment,1,Faerun-invented nickname
nick_ironhand,,comment,1,Faerun-invented nickname
nick_jarl_of_jarls,,comment,1,Faerun-invented nickname
nick_kalac_cha,,comment,1,Faerun-invented nickname
nick_king_of_frozenfar,,comment,1,Faerun-invented nickname
nick_king_of_ice,,comment,1,Faerun-invented nickname
nick_king_of_the_beasts,,comment,1,Faerun-invented nickname
nick_kira,,comment,1,Faerun-invented nickname
nick_kitten,,comment,1,Faerun-invented nickname
nick_kossuth,,comment,1,Faerun-invented nickname
nick_lackcrown,,comment,1,Faerun-invented nickname
nick_lady_bloodsword,,comment,1,Faerun-invented nickname
nick_lady_gemcloak,,comment,1,Faerun-invented nickname
nick_lady_hawk,,comment,1,Faerun-invented nickname
nick_lady_heartless,,comment,1,Faerun-invented nickname
nick_lady_hope,,comment,1,Faerun-invented nickname
nick_lady_incognita,,comment,1,Faerun-invented nickname
nick_lady_irontusk,,comment,1,Faerun-invented nickname
nick_lady_mantis,,comment,1,Faerun-invented nickname
nick_lady_of_masks,,comment,1,Faerun-invented nickname
nick_lady_of_spells,,comment,1,Faerun-invented nickname
nick_lady_penitent,,comment,1,Faerun-invented nickname
nick_lady_wildnose,,comment,1,Faerun-invented nickname
nick_lanternhand,,comment,1,Faerun-invented nickname
nick_leaf_in_the_wind,,comment,1,Faerun-invented nickname
nick_leafspear,,comment,1,Faerun-invented nickname
nick_lightfoot,,comment,1,Faerun-invented nickname
nick_lightshiver,,comment,1,Faerun-invented nickname
nick_little_dove,,comment,1,Faerun-invented nickname
nick_longarrow,,comment,2,Faerun-invented nickname
nick_longbeard,,comment,2,Faerun-invented nickname
nick_longfingers,,comment,1,Faerun-invented nickname
nick_longmane,,comment,1,Faerun-invented nickname
nick_longstride,,comment,1,Faerun-invented nickname
nick_longwalker,,comment,2,Faerun-invented nickname
nick_longyears,,comment,1,Faerun-invented nickname
nick_lord_hawktalon,,comment,1,Faerun-invented nickname
nick_lord_of_beasts,,comment,1,Faerun-invented nickname
nick_lord_of_bones,,comment,2,Faerun-invented nickname
nick_lord_of_carrion,,comment,1,Faerun-invented nickname
nick_lord_of_darkness,,comment,1,Faerun-invented nickname
nick_lord_of_lords,,comment,1,Faerun-invented nickname
nick_lord_of_the_dark,,comment,1,Faerun-invented nickname
nick_lord_of_the_hidden_layer,,comment,1,Faerun-invented nickname
nick_luxor,,comment,1,Faerun-invented nickname
nick_lynx,,comment,1,Faerun-invented nickname
nick_malachite,,comment,1,Faerun-invented nickname
nick_malla_harl_valsharess,,comment,1,Faerun-invented nickname
nick_manytalons,,comment,1,Faerun-invented nickname
nick_marco_volo,,comment,1,Faerun-invented nickname
nick_mask,,comment,1,Faerun-invented nickname
nick_master_of_the_mountain,,comment,1,Faerun-invented nickname
nick_master_of_the_red_earth,,comment,1,Faerun-invented nickname
nick_midnight,,comment,1,Faerun-invented nickname
nick_min_hassana,,comment,1,Faerun-invented nickname
nick_min_jarmik,,comment,2,Faerun-invented nickname
nick_min_kor,,comment,2,Faerun-invented nickname
nick_min_najm,,comment,2,Faerun-invented nickname
nick_min_zann,,comment,2,Faerun-invented nickname
nick_mist,,comment,1,Faerun-invented nickname
nick_mistress_yola,,comment,1,Faerun-invented nickname
nick_moonblade,,comment,1,Faerun-invented nickname
nick_mother,,comment,1,Faerun-invented nickname
nick_mother_law,,comment,1,Faerun-invented nickname
nick_nemesis_of_the_gods,,comment,1,Faerun-invented nickname
nick_nexus,,comment,1,Faerun-invented nickname
nick_nightseer,,comment,1,Faerun-invented nickname
nick_nightshade,,comment,1,Faerun-invented nickname
nick_nightsong,,comment,1,Faerun-invented nickname
nick_nightwalker,,comment,1,Faerun-invented nickname
nick_nine_fingers,,comment,1,Faerun-invented nickname
nick_ninth_of_nine,,comment,1,Faerun-invented nickname
nick_o_the_blade,,comment,1,Faerun-invented nickname
nick_of_the_bear_claw,,comment,1,Faerun-invented nickname
nick_of_the_black_blade,,comment,1,Faerun-invented nickname
nick_of_the_blood,,comment,1,Faerun-invented nickname
nick_of_the_claw,,comment,1,Faerun-invented nickname
nick_of_the_crimson,,comment,1,Faerun-invented nickname
nick_of_the_crimson_eye,,comment,1,Faerun-invented nickname
nick_of_the_eleven_chairs,,comment,1,Faerun-invented nickname
nick_of_the_five_hands,,comment,1,Faerun-invented nickname
nick_of_the_forest,,comment,1,Faerun-invented nickname
nick_of_the_gems,,comment,1,Faerun-invented nickname
nick_of_the_grand_appetite,,comment,1,Faerun-invented nickname
nick_of_the_mountain,,comment,3,Faerun-invented nickname
nick_of_the_righteous_arm,,comment,1,Faerun-invented nickname
nick_of_the_royal_blood,,comment,1,Faerun-invented nickname
nick_of_the_secrets,,comment,1,Faerun-invented nickname
nick_of_the_shaking_stones,,comment,1,Faerun-invented nickname
nick_of_the_shroud,,comment,1,Faerun-invented nickname
nick_of_the_six_scepters,,comment,1,Faerun-invented nickname
nick_of_the_tents,,comment,1,Faerun-invented nickname
nick_of_the_winged_spear,,comment,1,Faerun-invented nickname
nick_old_gnawbone,,comment,1,Faerun-invented nickname
nick_old_goat,,comment,1,Faerun-invented nickname
nick_old_gut,,comment,1,Faerun-invented nickname
nick_old_ham,,comment,1,Faerun-invented nickname
nick_old_helm,,comment,1,Faerun-invented nickname
nick_old_mother_wyrm,,comment,1,Faerun-invented nickname
nick_old_owl,,comment,1,Faerun-invented nickname
nick_old_snarl,,comment,1,Faerun-invented nickname
nick_old_thunder,,comment,2,Faerun-invented nickname
nick_old_vixen,,comment,1,Faerun-invented nickname
nick_old_weasel,,comment,1,Faerun-invented nickname
nick_old_white_death,,comment,1,Faerun-invented nickname
nick_oldbones,,comment,1,Faerun-invented nickname
nick_one_eye,nick_one_eye,exact,2,same id in both games
nick_onyxheart,,comment,1,Faerun-invented nickname
nick_orcsplitter,,comment,1,Faerun-invented nickname
nick_otab,,comment,1,Faerun-invented nickname
nick_otfm,,comment,1,Faerun-invented nickname
nick_otgb,,comment,1,Faerun-invented nickname
nick_otgs,,comment,1,Faerun-invented nickname
nick_otnw,,comment,1,Faerun-invented nickname
nick_pinch,,comment,1,Faerun-invented nickname
nick_pureheartman,,comment,1,Faerun-invented nickname
nick_queen_of_whispers,,comment,1,Faerun-invented nickname
nick_ravencloak,,comment,1,Faerun-invented nickname
nick_redblade,,comment,1,Faerun-invented nickname
nick_redbones,,comment,1,Faerun-invented nickname
nick_redlock,,comment,1,Faerun-invented nickname
nick_robber_lord,,comment,1,Faerun-invented nickname
nick_rockfist,,comment,1,Faerun-invented nickname
nick_rocky,,comment,1,Faerun-invented nickname
nick_rotting_man,,comment,1,Faerun-invented nickname
nick_scar,,comment,1,Faerun-invented nickname
nick_scotti,,comment,1,Faerun-invented nickname
nick_serrus_the_great,,comment,1,Faerun-invented nickname
nick_shadow_wing,,comment,1,Faerun-invented nickname
nick_shadowbane,,comment,1,Faerun-invented nickname
nick_shadowhawk,,comment,1,Faerun-invented nickname
nick_shadowheart,,comment,1,Faerun-invented nickname
nick_shadowspawn,,comment,1,Faerun-invented nickname
nick_shaka,,comment,1,Faerun-invented nickname
nick_sharamour,,comment,1,Faerun-invented nickname
nick_sharpfangs,,comment,1,Faerun-invented nickname
nick_sharpteeth,,comment,1,Faerun-invented nickname
nick_shars_gallant,,comment,1,Faerun-invented nickname
nick_she_wolf,,comment,1,Faerun-invented nickname
nick_shieldhelm,,comment,1,Faerun-invented nickname
nick_shimmergloom,,comment,1,Faerun-invented nickname
nick_silverhart,,comment,1,Faerun-invented nickname
nick_skydreamer,,comment,1,Faerun-invented nickname
nick_skyfounder,,comment,1,Faerun-invented nickname
nick_smile_of_the_gods,,comment,1,Faerun-invented nickname
nick_snakeface,,comment,1,Faerun-invented nickname
nick_snowcloak,,comment,1,Faerun-invented nickname
nick_soaaa,,comment,1,Faerun-invented nickname
nick_son_axe,,comment,1,Faerun-invented nickname
nick_son_of_the_eighth,,comment,1,Faerun-invented nickname
nick_son_of_victory,,comment,1,Faerun-invented nickname
nick_sonja,,comment,1,Faerun-invented nickname
nick_sparrow,,comment,1,Faerun-invented nickname
nick_spawn_of_auril,,comment,1,Faerun-invented nickname
nick_spirithajj,,comment,1,Faerun-invented nickname
nick_sstreea,,comment,1,Faerun-invented nickname
nick_star,,comment,1,Faerun-invented nickname
nick_steelheart,,comment,1,Faerun-invented nickname
nick_steeltoes,,comment,1,Faerun-invented nickname
nick_stonebeard,,comment,2,Faerun-invented nickname
nick_stonecarver,,comment,1,Faerun-invented nickname
nick_stonecloak,,comment,1,Faerun-invented nickname
nick_stonehead,,comment,1,Faerun-invented nickname
nick_stonerose,,comment,1,Faerun-invented nickname
nick_stoop,,comment,1,Faerun-invented nickname
nick_storm_mother,,comment,1,Faerun-invented nickname
nick_stormcrossing,,comment,1,Faerun-invented nickname
nick_stormcrow,,comment,1,Faerun-invented nickname
nick_stormhand,,comment,1,Faerun-invented nickname
nick_stormwind,,comment,1,Faerun-invented nickname
nick_sunderer_of_dreams,,comment,1,Faerun-invented nickname
nick_swordbeard,,comment,1,Faerun-invented nickname
nick_tal,,comment,1,Faerun-invented nickname
nick_tamlin,,comment,1,Faerun-invented nickname
nick_tazi,,comment,1,Faerun-invented nickname
nick_tbod,,comment,1,Faerun-invented nickname
nick_ten_rings,,comment,1,Faerun-invented nickname
nick_tenhammer,,comment,1,Faerun-invented nickname
nick_the_abomination,,comment,1,Faerun-invented nickname
nick_the_accursed,nick_the_accursed,exact,4,same id in both games
nick_the_acrobat,,comment,1,Faerun-invented nickname
nick_the_adventurous,,comment,1,Faerun-invented nickname
nick_the_aeltagarr,,comment,1,Faerun-invented nickname
nick_the_ageless,,comment,1,Faerun-invented nickname
nick_the_alhoon,,comment,1,Faerun-invented nickname
nick_the_all_seeing,,comment,1,Faerun-invented nickname
nick_the_ancient,,comment,2,Faerun-invented nickname
nick_the_anointed,nick_the_anointed,exact,1,same id in both games
nick_the_architect,nick_the_architect,exact,1,same id in both games
nick_the_archmage,,comment,1,Faerun-invented nickname
nick_the_avenger,nick_the_avenger,exact,1,same id in both games
nick_the_avid,,comment,1,Faerun-invented nickname
nick_the_bag_man,,comment,1,Faerun-invented nickname
nick_the_balladeer,,comment,1,Faerun-invented nickname
nick_the_bandit,,comment,2,Faerun-invented nickname
nick_the_barbarian,,comment,1,Faerun-invented nickname
nick_the_bastard,nick_the_bastard,exact,2,same id in both games
nick_the_bawd,,comment,1,Faerun-invented nickname
nick_the_bear,nick_the_bear,exact,1,same id in both games
nick_the_beardless,,comment,1,Faerun-invented nickname
nick_the_bearkiller,,comment,1,Faerun-invented nickname
nick_the_beast_lord,,comment,1,Faerun-invented nickname
nick_the_beastlord,,comment,2,Faerun-invented nickname
nick_the_beastslayer,,comment,1,Faerun-invented nickname
nick_the_beloved,,comment,1,Faerun-invented nickname
nick_the_betrayer,nick_the_betrayer,exact,2,same id in both games
nick_the_bewitched,nick_the_bewitched,exact,1,same id in both games
nick_the_black,nick_the_black,exact,9,same id in both games
nick_the_black_baron,,comment,1,Faerun-invented nickname
nick_the_black_death,,comment,1,Faerun-invented nickname
nick_the_black_knight,,comment,1,Faerun-invented nickname
nick_the_black_scourge,,comment,1,Faerun-invented nickname
nick_the_black_talon,,comment,1,Faerun-invented nickname
nick_the_black_usurper,,comment,1,Faerun-invented nickname
nick_the_black_viper,,comment,1,Faerun-invented nickname
nick_the_black_wolf,,comment,1,Faerun-invented nickname
nick_the_black_wyrm_of_vaasa,,comment,1,Faerun-invented nickname
nick_the_blackaxe,,comment,1,Faerun-invented nickname
nick_the_blackhearted,,comment,2,Faerun-invented nickname
nick_the_blackmane,,comment,1,Faerun-invented nickname
nick_the_blind,nick_the_blind,exact,1,same id in both games
nick_the_bloody,nick_the_bloody,exact,3,same id in both games
nick_the_blue,,comment,3,Faerun-invented nickname
nick_the_blue_bear,,comment,1,Faerun-invented nickname
nick_the_blue_nosed,,comment,1,Faerun-invented nickname
nick_the_blue_serpent,,comment,1,Faerun-invented nickname
nick_the_bluetalon,,comment,1,Faerun-invented nickname
nick_the_bog_king,,comment,1,Faerun-invented nickname
nick_the_bold,nick_the_bold,exact,5,same id in both games
nick_the_bonfire,,comment,1,Faerun-invented nickname
nick_the_boy_king,,comment,1,Faerun-invented nickname
nick_the_branded_king,,comment,1,Faerun-invented nickname
nick_the_brave,nick_the_brave,exact,3,same id in both games
nick_the_bright,,comment,1,Faerun-invented nickname
nick_the_brimstone_angel,,comment,1,Faerun-invented nickname
nick_the_brown,,comment,1,Faerun-invented nickname
nick_the_brutal,,comment,1,Faerun-invented nickname
nick_the_bucket_head,,comment,1,Faerun-invented nickname
nick_the_butcher,nick_the_butcher,exact,4,same id in both games
nick_the_buzzard,,comment,1,Faerun-invented nickname
nick_the_cavalier,,comment,2,Faerun-invented nickname
nick_the_chaos_clone,,comment,1,Faerun-invented nickname
nick_the_charmer,,comment,1,Faerun-invented nickname
nick_the_chosen_one,,comment,1,Faerun-invented nickname
nick_the_chromatic_dragon,,comment,1,Faerun-invented nickname
nick_the_clanless,,comment,2,Faerun-invented nickname
nick_the_cleaver,,comment,1,Faerun-invented nickname
nick_the_cloaked,,comment,1,Faerun-invented nickname
nick_the_coinmage,,comment,1,Faerun-invented nickname
nick_the_cold,,comment,2,Faerun-invented nickname
nick_the_conqueror,nick_the_conqueror,exact,2,same id in both games
nick_the_corsair,,comment,1,Faerun-invented nickname
nick_the_corsair_prince,,comment,1,Faerun-invented nickname
nick_the_coryphee,,comment,1,Faerun-invented nickname
nick_the_coward_lord,,comment,1,Faerun-invented nickname
nick_the_cpob,,comment,1,Faerun-invented nickname
nick_the_craven,nick_the_craven,exact,1,same id in both games
nick_the_crazed,,comment,1,Faerun-invented nickname
nick_the_creeping_doom,,comment,1,Faerun-invented nickname
nick_the_crimson,,comment,2,Faerun-invented nickname
nick_the_crippled,,comment,1,Faerun-invented nickname
nick_the_crocodile_princess,,comment,1,Faerun-invented nickname
nick_the_cross_eyed,,comment,1,Faerun-invented nickname
nick_the_crow,nick_the_crow,exact,1,same id in both games
nick_the_cruel,nick_the_cruel,exact,4,same id in both games
nick_the_cutthroat,,comment,1,Faerun-invented nickname
nick_the_dancer_before_dawn,,comment,1,Faerun-invented nickname
nick_the_dandy,,comment,1,Faerun-invented nickname
nick_the_dark,,comment,6,Faerun-invented nickname
nick_the_dark_caleph,,comment,1,Faerun-invented nickname
nick_the_dark_lady,,comment,1,Faerun-invented nickname
nick_the_dark_sister,,comment,1,Faerun-invented nickname
nick_the_dark_smile,,comment,1,Faerun-invented nickname
nick_the_dark_urge,,comment,1,Faerun-invented nickname
nick_the_darkbringer,,comment,1,Faerun-invented nickname
nick_the_darkness,,comment,1,Faerun-invented nickname
nick_the_daughter_of_the_moon,,comment,1,Faerun-invented nickname
nick_the_decadent,,comment,1,Faerun-invented nickname
nick_the_demon_knight,,comment,1,Faerun-invented nickname
nick_the_devil_dragon,,comment,1,Faerun-invented nickname
nick_the_devourer,nick_the_devourer,exact,1,same id in both games
nick_the_dire_dragon,,comment,1,Faerun-invented nickname
nick_the_doomed,,comment,1,Faerun-invented nickname
nick_the_doomed_babe,,comment,1,Faerun-invented nickname
nick_the_dove,,comment,1,Faerun-invented nickname
nick_the_dozenking,,comment,1,Faerun-invented nickname
nick_the_dragon_bard,,comment,1,Faerun-invented nickname
nick_the_dragon_lady,,comment,1,Faerun-invented nickname
nick_the_dragon_queen,,comment,4,Faerun-invented nickname
nick_the_drake,,comment,1,Faerun-invented nickname
nick_the_dreadlord,,comment,1,Faerun-invented nickname
nick_the_drood,,comment,1,Faerun-invented nickname
nick_the_drunkard,nick_the_drunkard,exact,1,same id in both games
nick_the_dryadborn,,comment,1,Faerun-invented nickname
nick_the_dulcet,,comment,1,Faerun-invented nickname
nick_the_dusk_lord,,comment,1,Faerun-invented nickname
nick_the_ebon_flame,,comment,1,Faerun-invented nickname
nick_the_ebonmane,,comment,1,Faerun-invented nickname
nick_the_eclectic,,comment,1,Faerun-invented nickname
nick_the_elder,nick_the_elder,exact,6,same id in both games
nick_the_enchantress,,comment,1,Faerun-invented nickname
nick_the_enlightened,nick_the_enlightened,exact,1,same id in both games
nick_the_errant_king,,comment,1,Faerun-invented nickname
nick_the_eternal,,comment,2,Faerun-invented nickname
nick_the_eternal_flame,,comment,1,Faerun-invented nickname
nick_the_ever_hungry,,comment,1,Faerun-invented nickname
nick_the_everlasting_wyrm,,comment,1,Faerun-invented nickname
nick_the_eviscerator,,comment,1,Faerun-invented nickname
nick_the_exile,nick_the_exile,exact,5,same id in both games
nick_the_eye,,comment,1,Faerun-invented nickname
nick_the_eyebiter,,comment,1,Faerun-invented nickname
nick_the_faceless,nick_the_faceless,exact,1,same id in both games
nick_the_faerie_king,,comment,1,Faerun-invented nickname
nick_the_fair,nick_the_fair,exact,5,same id in both games
nick_the_fang,,comment,1,Faerun-invented nickname
nick_the_favoured_one,,comment,1,Faerun-invented nickname
nick_the_fearless,nick_the_fearless,exact,2,same id in both games
nick_the_feckless,,comment,1,Faerun-invented nickname
nick_the_fierce,nick_the_fierce,exact,2,same id in both games
nick_the_fire_blossom,,comment,1,Faerun-invented nickname
nick_the_fire_tongue,,comment,1,Faerun-invented nickname
nick_the_firefist,,comment,1,Faerun-invented nickname
nick_the_firescourge,,comment,1,Faerun-invented nickname
nick_the_first_caliph,,comment,1,Faerun-invented nickname
nick_the_first_mother,,comment,1,Faerun-invented nickname
nick_the_first_princess,,comment,1,Faerun-invented nickname
nick_the_fist,,comment,1,Faerun-invented nickname
nick_the_flamed_one,,comment,1,Faerun-invented nickname
nick_the_fleeting,,comment,1,Faerun-invented nickname
nick_the_flying_flame,,comment,1,Faerun-invented nickname
nick_the_fodp,,comment,1,Faerun-invented nickname
nick_the_foolish,nick_the_foolish,exact,1,same id in both games
nick_the_forebear,,comment,1,Faerun-invented nickname
nick_the_forest_wyrm,,comment,1,Faerun-invented nickname
nick_the_fortunate,nick_the_fortunate,exact,1,same id in both games
nick_the_fourteenth_skull,,comment,1,Faerun-invented nickname
nick_the_frostmaiden,,comment,1,Faerun-invented nickname
nick_the_frozendeath,,comment,1,Faerun-invented nickname
nick_the_fsots,,comment,1,Faerun-invented nickname
nick_the_gargoyle,,comment,1,Faerun-invented nickname
nick_the_glorious,nick_the_glorious,exact,1,same id in both games
nick_the_godspawn,,comment,1,Faerun-invented nickname
nick_the_golden,,comment,1,Faerun-invented nickname
nick_the_good,nick_the_good,exact,2,same id in both games
nick_the_grand_historian,,comment,1,Faerun-invented nickname
nick_the_gray,,comment,3,Faerun-invented nickname
nick_the_grayhand,,comment,1,Faerun-invented nickname
nick_the_great,nick_the_great,exact,8,same id in both games
nick_the_great_bone_wyrm,,comment,1,Faerun-invented nickname
nick_the_great_dragon,,comment,1,Faerun-invented nickname
nick_the_great_eagle,,comment,1,Faerun-invented nickname
nick_the_great_father,,comment,1,Faerun-invented nickname
nick_the_great_friend,,comment,1,Faerun-invented nickname
nick_the_great_inventor,,comment,1,Faerun-invented nickname
nick_the_great_serpent,,comment,1,Faerun-invented nickname
nick_the_great_white_ghost,,comment,1,Faerun-invented nickname
nick_the_great_wyrm,,comment,1,Faerun-invented nickname
nick_the_greater,,comment,1,Faerun-invented nickname
nick_the_greedy,nick_the_greedy,exact,1,same id in both games
nick_the_green_duchess,,comment,1,Faerun-invented nickname
nick_the_green_lady,,comment,1,Faerun-invented nickname
nick_the_green_mage,,comment,1,Faerun-invented nickname
nick_the_grey,,comment,1,Faerun-invented nickname
nick_the_greybeard,,comment,1,Faerun-invented nickname
nick_the_grim,,comment,3,Faerun-invented nickname
nick_the_grimspear,,comment,1,Faerun-invented nickname
nick_the_grinder,,comment,1,Faerun-invented nickname
nick_the_growler,,comment,1,Faerun-invented nickname
nick_the_guardian_worm,,comment,1,Faerun-invented nickname
nick_the_gyrfalcon,,comment,1,Faerun-invented nickname
nick_the_hand_of_auril,,comment,1,Faerun-invented nickname
nick_the_happy,,comment,1,Faerun-invented nickname
nick_the_harper_king,,comment,1,Faerun-invented nickname
nick_the_hawk,nick_the_hawk,exact,2,same id in both games
nick_the_headhunter,,comment,1,Faerun-invented nickname
nick_the_hero_of_neverwinter,,comment,1,Faerun-invented nickname
nick_the_hero_of_undrentide,,comment,1,Faerun-invented nickname
nick_the_hidden,,comment,1,Faerun-invented nickname
nick_the_hideous,nick_the_hideous,exact,1,same id in both games
nick_the_hierophant,,comment,1,Faerun-invented nickname
nick_the_high_shaman,,comment,1,Faerun-invented nickname
nick_the_horned_dwarf,,comment,1,Faerun-invented nickname
nick_the_hunt_lord,,comment,1,Faerun-invented nickname
nick_the_hunter,nick_the_hunter,exact,2,same id in both games
nick_the_ice_lich,,comment,1,Faerun-invented nickname
nick_the_ice_queen,,comment,2,Faerun-invented nickname
nick_the_ice_witch,,comment,1,Faerun-invented nickname
nick_the_ill_fated,,comment,2,Faerun-invented nickname
nick_the_incomparable,,comment,1,Faerun-invented nickname
nick_the_inferno,,comment,1,Faerun-invented nickname
nick_the_insufficient,,comment,1,Faerun-invented nickname
nick_the_invincible,,comment,1,Faerun-invented nickname
nick_the_iron_lady,,comment,1,Faerun-invented nickname
nick_the_jet_boned_tyrant,,comment,1,Faerun-invented nickname
nick_the_judge,nick_the_judge,exact,1,same id in both games
nick_the_just,nick_the_just,exact,4,same id in both games
nick_the_kaemundar,,comment,1,Faerun-invented nickname
nick_the_kindly,,comment,1,Faerun-invented nickname
nick_the_king_in_copper,,comment,1,Faerun-invented nickname
nick_the_kingslayer,,comment,2,Faerun-invented nickname
nick_the_kinless,,comment,1,Faerun-invented nickname
nick_the_kobold_lord,,comment,1,Faerun-invented nickname
nick_the_lackey,,comment,1,Faerun-invented nickname
nick_the_lady_of_shadows,,comment,1,Faerun-invented nickname
