section,ck2_scope,ck2_key,ck2_uses_in_faerun,ck2_value_shape,ck3_file,ck3_key,ck3_value_shape,status,default_when_none,ck3_evidence,note
faith,religion,female_temple_holders / male_temple_holders,91 / 5,yes/no,common/religion/religion_types/fae_*.txt,doctrine,doctrine_clerical_gender_male_only | doctrine_clerical_gender_female_only | doctrine_clerical_gender_either,exact,doctrine_clerical_gender_male_only,"common/religion/doctrine_types/20_doctrines.txt ; common/religion/doctrine_group_types/00_doctrine_group_types.txt (doctrine_clerical_gender, mandatory)","DECISION table: female yes + male yes (or male unset, default yes) -> either; female yes + male no -> female_only; female no -> male_only. Clean."
faith,religion,can_hold_temples,0 in Faerun,yes/no,common/governments/00_government_types.txt,theocracy_government can_get_government,trigger,approx,-,common/governments/00_government_types.txt:94,Faerun never uses it. In CK3 the equivalent is the theocracy_government `can_get_government` gate plus doctrine_theocracy_temporal/lay_clergy. See government_map.csv.
faith,religion,can_grant_divorce,67,yes/no,common/religion/religion_types/fae_*.txt,doctrine,doctrine_divorce_allowed | doctrine_divorce_approval | doctrine_divorce_disallowed,approx,doctrine_divorce_approval,"common/religion/doctrine_types/20_doctrines.txt ; common/religion/doctrine_group_types/00_doctrine_group_types.txt (doctrine_divorce, mandatory)","DECISION: can_grant_divorce = yes -> doctrine_divorce_approval (a religious head must approve, closest to CK2's 'the head can grant it'); no -> doctrine_divorce_disallowed. Use doctrine_divorce_allowed only when the CK2 faith has no religious head at all."
faith,religion,cousin_marriage,91,yes/no,common/religion/religion_types/fae_*.txt,doctrine,doctrine_consanguinity_cousins | doctrine_consanguinity_restricted,exact,doctrine_consanguinity_restricted,"common/religion/doctrine_types/20_doctrines.txt ; common/religion/doctrine_group_types/00_doctrine_group_types.txt (doctrine_consanguinity, mandatory, 5 options)",DECISION table (most permissive CK2 flag wins): bs_marriage/pc_marriage = yes -> doctrine_consanguinity_unrestricted; psc_marriage = yes -> doctrine_consanguinity_dynastic; cousin_marriage = yes -> doctrine_consanguinity_cousins; else doctrine_consanguinity_restricted. doctrine_consanguinity_aunt_nephew_and_uncle_niece sits between cousins and unrestricted and has no CK2 flag.
faith,religion,psc_marriage,40,yes/no (parent-sibling-child),common/religion/religion_types/fae_*.txt,doctrine,doctrine_consanguinity_dynastic,approx,-,common/religion/doctrine_types/20_doctrines.txt (doctrine_consanguinity_dynastic),See the cousin_marriage decision table.
faith,religion,bs_marriage / pc_marriage,7 / 7,yes/no (brother-sister / parent-child),common/religion/religion_types/fae_*.txt,doctrine,doctrine_consanguinity_unrestricted,approx,-,common/religion/doctrine_types/20_doctrines.txt (doctrine_consanguinity_unrestricted),See the cousin_marriage decision table. Consider also tenet_divine_marriage (Zoroastrian xwedodah flavour).
faith,religion,matrilineal_marriages,66,yes/no,-,(none),-,none,-,-,"CK3 always allows matrilineal marriage (it is a marriage-interaction option, not a faith property). Drop with a comment. The dated history key `add_matrilineal_spouse` still works."
faith,religion,divine_blood,3,yes/no,common/religion/religion_types/fae_*.txt,doctrine,doctrine_consanguinity_dynastic; tenet_mystical_birthright,approx,omit,common/religion/doctrine_types/20_doctrines.txt ; common/religion/doctrine_types/30_core_tenets.txt (tenet_mystical_birthright),"CK2 divine_blood = close-kin marriage allowed + prestige for divine descent. CK3: doctrine_consanguinity_dynastic covers the marriage half, tenet_mystical_birthright the divine-descent half (costs one of 3 tenet picks). Pairs with divine_feudal_government in government_map.csv."
faith,religion,can_excommunicate,44,yes/no,common/religion/religion_types/fae_*.txt,doctrine,doctrine_spiritual_head | doctrine_temporal_head,approx,doctrine_no_head,"common/religion/doctrine_types/20_doctrines.txt ; common/religion/doctrine_group_types/00_doctrine_group_types.txt (doctrine_head_of_faith, mandatory)","Excommunication in CK3 is an interaction available to a head of faith. DECISION: can_excommunicate = yes -> the faith must have a head (doctrine_spiritual_head if a separate religious head title exists, doctrine_temporal_head if the ruler is the head); no -> doctrine_no_head. Also requires `religious_head = <title>` unless temporal."
faith,religion,can_call_crusade,61,yes/no,common/religion/religion_types/fae_*.txt,doctrine (indirect),doctrine_pluralism_fundamentalist | doctrine_pluralism_righteous + a head of faith,approx,doctrine_pluralism_righteous,common/religion/doctrine_group_types/00_doctrine_group_types.txt (doctrine_pluralism) ; common/religion/great_holy_wars.info,CK3 GHWs require a head of faith and are gated on the pluralism doctrine (fundamentalist faiths GHW most readily). No boolean key exists. Emit the pluralism doctrine + GHWName loc keys; comment the CK2 flag.
faith,religion,can_grant_claim,54,yes/no,-,(none),-,none,-,-,CK2 head-of-faith claim granting. CK3 head-of-faith interactions are fixed. Comment.
faith,religion,can_demand_religious_conversion,47,yes/no,-,(none),-,none,-,-,No CK3 faith key (conversion is always available). Comment.
faith,religion,can_retire_to_monastery,48,yes/no,common/religion/religion_types/fae_*.txt,doctrine,tenet_monasticism,approx,omit,common/religion/doctrine_types/30_core_tenets.txt (tenet_monasticism),Costs one of 3 tenet picks; only emit if the faith has a spare pick.
faith,religion,pacifist,11,yes/no,common/religion/religion_types/fae_*.txt,doctrine,tenet_pacifism,approx,omit,"common/religion/doctrine_types/30_core_tenets.txt (tenet_pacifism, tenet_dharmic_pacifism)",Clean concept match. Uses a tenet pick.
faith,religion,allow_looting,48,yes/no,common/religion/religion_types/fae_*.txt,doctrine,tenet_warmonger,approx,omit,common/religion/doctrine_types/30_core_tenets.txt (tenet_warmonger),"CK3 raiding permission is a GOVERNMENT flag (government_can_raid_rule), not a faith property; tenet_warmonger is the flavour equivalent. Uses a tenet pick."
faith,religion,allow_viking_invasion,10,yes/no,-,(none),-,none,-,-,CK3 has no prepared-invasion CB tied to a faith. Comment (or map to a casus belli in the cb lane).
faith,religion,allow_rivermovement,9,yes/no,common/governments/00_government_types.txt,wanua_government flag government_enables_river_travel,government flag,none,-,common/governments/00_government_types.txt (wanua_government flags),"In CK3 river travel is a GOVERNMENT flag on wanua_government only, not a faith property. Not settable per faith. Comment."
faith,religion,seafarer,4,yes/no,common/culture/cultures/*.txt,traditions = { tradition_seafaring },tradition,approx,omit,common/culture/traditions/ (tradition_seafaring),"In CK3 this is a CULTURE property, not a faith one - route it to culture_fields.csv."
faith,religion,pentarchy / autocephaly,0 / 6,yes/no,common/religion/religion_types/fae_*.txt,tenet_pentarchy; religious_head,doctrine; title id,approx,omit,common/religion/doctrine_types/30_core_tenets.txt (tenet_pentarchy) ; common/religion/religion_types/_religion_types.info:67 (religious_head),tenet_pentarchy is the only CK3 construct; autocephaly (national churches) has no key - approximate by giving each realm's faith its own `religious_head` title or by using doctrine_temporal_head. Costs a tenet pick.
faith,religion,has_heir_designation,8,yes/no,history/titles/fae_*.txt,succession_laws = { appointment_succession_law },law,approx,omit,common/laws/00_succession_laws.txt (appointment_succession_law),CK2 makes it a religion property; CK3 makes it a title succession law. Route to history/titles (see title_fields.csv `law`).
faith,religion,defensive_attrition / ignores_defensive_attrition,37 / 14,yes/no,-,(none),-,none,-,-,CK2 gave defenders attrition against other-religion armies. CK3 has no faith-based attrition (only terrain/supply and the nomad flags no_hostile_attrition_in_steppe / steppe_cancel_negative_supply). Comment.
faith,religion,unit_modifier / unit_home_modifier,22 / 14,modifier block,common/religion/doctrine_types/fae_*.txt,<custom doctrine> character_modifier = { ... },modifier block on a doctrine,approx,omit,common/religion/doctrine_types/20_doctrines.txt (doctrines carry character_modifier blocks),CK3 faiths cannot carry modifiers directly - only their DOCTRINES can. To keep a CK2 unit modifier the converter must emit a custom doctrine holding it and add that doctrine to the faith (this is what EK2 does: ~372 custom doctrine ids). Mark it clearly as generated.
faith,religion,character_modifier,62,modifier block,common/religion/doctrine_types/fae_*.txt,<custom doctrine> character_modifier = { ... },modifier block on a doctrine,approx,omit,common/religion/doctrine_types/20_doctrines.txt,Same as unit_modifier: needs a generated carrier doctrine.
faith,religion,peace_prestige_loss / peace_piety_gain / attacking_same_religion_piety_loss / raised_vassal_opinion_loss / landed_kin_prestige_bonus / independence_war_score_bonus / short_reign_opinion_year_mult / dislike_tribal_organization / join_crusade_if_bordering_hostile,31/11/20/31/11/14/51/30/5,yes/no or int,-,(none),-,none,-,-,Hardcoded CK2 knobs with no CK3 faith key. Some can be approximated with a generated carrier doctrine's character_modifier (e.g. independence_war_score_bonus has no CK3 modifier at all). Comment each.
faith,religion,uses_decadence,0 in Faerun (all commented out),yes/no,-,(none),-,none,-,-,Nothing to convert; CK3 has no decadence.
faith,religion,uses_jizya_tax,12,yes/no,common/religion/religion_types/fae_*.txt,doctrine,special_doctrine_jizya,exact,omit,common/religion/doctrine_types/40_doctrines_special.txt (special_doctrine_jizya) ; common/religion/doctrine_group_types/00_doctrine_group_types.txt (has_jizya_doctrine group),"NOTE: in CK2 this is a RELIGION key (verified), not a government key. Clean 1:1 to special_doctrine_jizya. Consider also tenet_tax_nonbelievers."
faith,religion,hard_to_convert,13,yes/no,common/religion/religion_types/fae_*.txt,doctrine,doctrine_pluralism_fundamentalist,approx,omit,common/religion/doctrine_group_types/00_doctrine_group_types.txt (doctrine_pluralism),Closest lever: a fundamentalist faith resists conversion. Comment the CK2 flag.
faith,religion,reformed,9,religion id,common/religion/religion_types/fae_*.txt,pagan_roots = yes on the religion; unreformed_faith_doctrine on the unreformed faith,yes/no; doctrine,approx,omit,common/religion/religion_types/_religion_types.info:8 (pagan_roots) ; common/religion/doctrine_types/40_doctrines_special.txt (unreformed_faith_doctrine) ; common/religion/doctrine_group_types/00_doctrine_group_types.txt (unreformed_faith group),CK2 points from the unreformed religion to its reformed version. CK3 inverts it: the RELIGION sets `pagan_roots = yes` and the unreformed FAITH carries unreformed_faith_doctrine; reformation then removes it. 42/140 vanilla faiths carry it.
faith,religion,heresy / parent,(heresies are plain religions in Faerun),religion id,-,(none - heresies are ordinary faiths),-,none,-,-,"CK3 has no heresy concept: a heresy is just another faith in the same religion, plus optionally heresy_hostility_doctrine (8 vanilla faiths). Nothing to emit."
faith,religion,reformer_head_of_religion,0 in Faerun,title id,common/religion/religion_types/fae_*.txt,religious_head,title id,approx,omit,common/religion/religion_types/_religion_types.info:67,Route to religious_head.
faith,religion,secret_religion / dynamic_cult,2 / 2,yes/no,-,(none),-,none,-,-,See character_fields.csv `secret_religion` (common/secret_types).
faith,religion,features,4,list,-,(none),-,none,-,-,CK2 religion_features (a CK2 2.8 sub-system). No CK3 equivalent. Comment.
faith,religion,allow_in_ruler_designer,15,yes/no,-,(none),-,none,-,-,No CK3 ruler designer gating per faith. Drop.
faith,religion,(none),0,-,common/religion/religion_types/fae_*.txt,religious_head,title id (a k_/d_ title),none,doctrine_no_head,common/religion/religion_types/_religion_types.info:67 ; 81 live ReligiousHeadName uses,Derive from the CK2 title that had `controls_religion = yes` / `caliphate = yes` for this religion (see title_fields.csv). Required whenever doctrine_spiritual_head is emitted.
faith,religion,(none),0,-,common/religion/religion_types/fae_*.txt,traits = { virtues = { ... } sins = { ... } },block; entries may take a scale/weight,none,omit,common/religion/religion_types/_religion_types.info:30-43,CK3-only. Derivable later from Faerun's god-patron traits; out of this lane's scope (traits lane owns trait ids).
faith,religion,(none),0,-,common/religion/religion_types/fae_*.txt,holy_order_names; holy_order_maa; custom_faith_icons; doctrine_background_icon; doctrine_selection_pair,lists / block,none,omit,"common/religion/religion_types/_religion_types.info:54-61, :10-16, :7 ; 00_paganism.txt:56-66",CK3-only. `holy_order_names` should be filled from Faerun's holy-order titles (government_map.csv `order_government`). `doctrine_selection_pair` is the DLC-safe way to add a DLC-only doctrine.
holy_site,landed_titles,holy_site = <religion>,475 marks on titles,religion id on a c_/b_ title,common/religion/holy_site_types/fae_holy_sites.txt,<hs_id> = { county = c_<x> [barony = b_<y>] [parameters = { flag }] [character_modifier = { ... }] },block,approx,-,"common/religion/holy_site_types/_holy_site_types.info ; common/religion/holy_site_types/00_holy_site_types.txt:7 (jerusalem: county + character_modifier + parameters), :16 (rome: county + barony)",`county` is the only field that matters; `barony` narrows it. `parameters` are BARE FLAGS (not key = value) tested with has_holy_site_parameter / controls_holy_site_with_parameter. EK2 uses exactly this minimal shape (county + parameters) for all 275 of its sites. Vanilla has 322 sites.
holy_site,religion,(the faith's side of the link),-,-,common/religion/religion_types/fae_*.txt,holy_site = <hs_id>,repeatable line inside the faith,approx,-,"common/religion/religion_types/_religion_types.info:68 ; VERIFIED distribution: 132 of 140 vanilla faiths have exactly 5 holy_site lines, the other 8 have 7","PRACTICAL CAP: emit 5 per faith. Faerun marks 475 titles across 94 religions (several per county), so the converter must SELECT 5 per faith - rank by county development / capital status / whether the county is in the faith's heartland - and emit the rest as comments. This is a ranking rule, not design."
minimal_faith,-,(what a valid CK3 faith needs),-,-,common/religion/religion_types/fae_*.txt,23 mandatory doctrine groups + doctrine_core_tenets x3,doctrine lines,exact,-,VERIFIED by parsing all 140 vanilla faiths (with religion-level inheritance): 23 doctrine groups are present in 140/140 faiths; doctrine_core_tenets in 138/140,"MANDATORY GROUPS (one doctrine each unless noted): hostility_group, doctrine_theism, doctrine_gender, doctrine_pluralism, doctrine_theocracy, doctrine_head_of_faith, doctrine_pilgrimage, doctrine_marriage_type, doctrine_divorce, doctrine_bastardry, doctrine_consanguinity, doctrine_homosexuality, doctrine_deviancy, doctrine_adultery_men, doctrine_adultery_women, doctrine_kinslaying, doctrine_witchcraft, doctrine_clerical_function, doctrine_clerical_gender, doctrine_clerical_marriage, doctrine_clerical_succession, doctrine_funeral, doctrine_coronation. PLUS doctrine_core_tenets with number_of_picks = 3. Everything else (muhammad_succession, temple_authority, zoroastrian_branches, is_*_faith, unreformed_faith, jizya, nudity, immaterial_harmony, divine_destiny, adoptionist_school, not_allowed_to_hof, full_tolerance, special_tolerance, heresy_hostility, is_hostile_to_maitreya) is optional/engine-internal. Put the shared choices on the RELIGION (they cascade to all its faiths) and only the differences on each faith - that is what 00_paganism.txt does."
