ck2_trait,ck3_trait,status,source,note
duelist,lifestyle_blademaster,approx,mappings/vanilla_traits.csv,CK2 duelist -> CK3 blademaster lifestyle trait (level tracks)
dull,dull,exact_id,CK3 common/traits/00_traits.txt,CK2 vanilla trait outside 00_traits.txt whose id CK3 1.19 declares verbatim
dwarf,dwarf,exact,mappings/vanilla_traits.csv,same name and concept
dysentery,dysentery,exact_id,CK3 common/traits/00_traits.txt,CK2 vanilla trait outside 00_traits.txt whose id CK3 1.19 declares verbatim
elusive_shadow,education_intrigue_4,exact,mappings/vanilla_traits.csv,CK2 intrigue education tier 4 of 4
excommunicated,excommunicated,exact,mappings/vanilla_traits.csv,same name and concept
fair,beauty_good_3,exact,mappings/vanilla_traits.csv,"attraction matches exactly: CK2 sex_appeal_opinion 30 (00_traits.txt:884) = CK3 attraction_opinion 30 (00_traits.txt:7053). CK2 has one tier, CK3 three; beauty_good_1 matches the diplomacy 1 instead"
falconer,lifestyle_hunter,approx,mappings/vanilla_traits.csv,CK2 falconer -> CK3 hunter lifestyle; CK3 has no separate falconry trait
flamboyant_schemer,education_intrigue_2,exact,mappings/vanilla_traits.csv,CK2 intrigue education tier 2 of 4
flanker,flexible_leader,approx,mappings/vanilla_traits.csv,CK3 has no battle flanks; flexible_leader is the nearest commander trait
fortune_builder,education_stewardship_3,exact,mappings/vanilla_traits.csv,CK2 stewardship education tier 3 of 4
gardener,lifestyle_gardener,exact,mappings/vanilla_traits.csv,"same concept, CK3 prefixes lifestyle traits"
genius,intellect_good_3,exact,mappings/vanilla_traits.csv,"all five attributes +5 on both sides (CK2 00_traits.txt:949, CK3 00_traits.txt:7364)"
giant,giant,exact_id,CK3 common/traits/00_traits.txt,CK2 vanilla trait outside 00_traits.txt whose id CK3 1.19 declares verbatim
gluttonous,gluttonous,exact,mappings/vanilla_traits.csv,same name and concept
greedy,greedy,exact,mappings/vanilla_traits.csv,same name and concept
gregarious,gregarious,exact,mappings/vanilla_traits.csv,same name and concept
grey_eminence,education_diplomacy_4,exact,mappings/vanilla_traits.csv,CK2 diplomacy education tier 4 of 4
has_bubonic_plague,bubonic_plague,exact,mappings/vanilla_traits.csv,"same disease, CK3 drops the has_ prefix"
has_measles,measles,exact,mappings/vanilla_traits.csv,"same disease, CK3 drops the has_ prefix"
has_small_pox,smallpox,exact,mappings/vanilla_traits.csv,"same disease, CK3 spells it as one word"
has_tuberculosis,consumption,approx,mappings/vanilla_traits.csv,CK3 names tuberculosis 'consumption'
has_typhoid_fever,typhus,approx,mappings/vanilla_traits.csv,CK3 has no typhoid fever; typhus is the closest disease trait
has_typhus,typhus,exact,mappings/vanilla_traits.csv,same disease
hedonist,lifestyle_reveler,approx,mappings/vanilla_traits.csv,CK2 hedonist (Way of Life) -> CK3 reveler lifestyle trait
heresiarch,heresiarch,exact_id,CK3 common/traits/00_traits.txt,CK2 vanilla trait outside 00_traits.txt whose id CK3 1.19 declares verbatim
holy_warrior,holy_warrior,exact_id,CK3 common/traits/00_traits.txt,CK2 vanilla trait outside 00_traits.txt whose id CK3 1.19 declares verbatim
homosexual,sodomite,approx,mappings/vanilla_traits.csv,CK3 models sexual orientation outside traits; sodomite is the acquired secret trait
honest,honest,exact,mappings/vanilla_traits.csv,same name and concept
humble,humble,exact,mappings/vanilla_traits.csv,same name and concept
hunchback,hunchbacked,exact,mappings/vanilla_traits.csv,"same concept, CK3 spells it hunchbacked"
hunter,lifestyle_hunter,exact,mappings/vanilla_traits.csv,"same concept, CK3 prefixes lifestyle traits"
ill,ill,exact,mappings/vanilla_traits.csv,same name; CK2 health -2 vs CK3 health -1
imbecile,intellect_bad_3,exact,mappings/vanilla_traits.csv,"all five attributes -8 on both sides (CK2 00_traits.txt:1025, CK3 00_traits.txt:7200)"
immortal,immortal,exact_id,CK3 common/traits/00_traits.txt,CK2 vanilla trait outside 00_traits.txt whose id CK3 1.19 declares verbatim
impaler,torturer,approx,mappings/vanilla_traits.csv,CK2 impaler (cruelty/dread) -> CK3 torturer
inbred,inbred,exact,mappings/vanilla_traits.csv,same name and concept
incapable,incapable,exact,mappings/vanilla_traits.csv,same name; incapacitating = yes on both sides
indulgent_wastrel,education_stewardship_1,exact,mappings/vanilla_traits.csv,CK2 stewardship education tier 1 of 4
infirm,infirm,exact,mappings/vanilla_traits.csv,same name and concept
inspiring_leader,gallant,approx,mappings/vanilla_traits.csv,"CK2 inspiring_leader raised morale, which CK3 removed; gallant is the nearest commander trait"
intricate_webweaver,education_intrigue_3,exact,mappings/vanilla_traits.csv,CK2 intrigue education tier 3 of 4
just,just,exact,mappings/vanilla_traits.csv,same name and concept
kind,compassionate,approx,mappings/vanilla_traits.csv,"same concept, renamed in CK3"
kinslayer,kinslayer_1,exact,mappings/vanilla_traits.csv,CK3 tiers it kinslayer_1..3 by how close the victim was
legit_bastard,legitimized_bastard,exact,mappings/vanilla_traits.csv,"same concept, spelled out in CK3"
leper,leper,exact,mappings/vanilla_traits.csv,same name and concept
lisp,lisping,exact,mappings/vanilla_traits.csv,"same concept, CK3 spells it lisping"
lovers_pox,lovers_pox,exact_id,CK3 common/traits/00_traits.txt,CK2 vanilla trait outside 00_traits.txt whose id CK3 1.19 declares verbatim
lunatic,lunatic_1,exact,mappings/vanilla_traits.csv,CK3 splits it into lunatic_1 (acquired) and lunatic_genetic
lustful,lustful,exact,mappings/vanilla_traits.csv,same name and concept
maimed,maimed,exact,mappings/vanilla_traits.csv,same name and concept
martial_cleric,education_learning_2,exact,mappings/vanilla_traits.csv,CK2 learning education tier 2 of 4
mastermind_theologian,education_learning_4,exact,mappings/vanilla_traits.csv,CK2 learning education tier 4 of 4
midas_touched,education_stewardship_4,exact,mappings/vanilla_traits.csv,CK2 stewardship education tier 4 of 4
misguided_warrior,education_martial_1,exact,mappings/vanilla_traits.csv,CK2 martial education tier 1 of 4
mystic,lifestyle_mystic,exact,mappings/vanilla_traits.csv,"same concept, CK3 prefixes lifestyle traits"
naive_appeaser,education_diplomacy_1,exact,mappings/vanilla_traits.csv,CK2 diplomacy education tier 1 of 4
one_eyed,one_eyed,exact_id,CK3 common/traits/00_traits.txt,CK2 vanilla trait outside 00_traits.txt whose id CK3 1.19 declares verbatim
one_legged,one_legged,exact_id,CK3 common/traits/00_traits.txt,CK2 vanilla trait outside 00_traits.txt whose id CK3 1.19 declares verbatim
organizer,organizer,exact,mappings/vanilla_traits.csv,"same name, commander trait on both sides"
paranoid,paranoid,exact,mappings/vanilla_traits.csv,same name and concept
patient,patient,exact,mappings/vanilla_traits.csv,same name and concept
peasant_leader,peasant_leader,exact_id,CK3 common/traits/00_traits.txt,CK2 vanilla trait outside 00_traits.txt whose id CK3 1.19 declares verbatim
pneumonic,pneumonic,exact,mappings/vanilla_traits.csv,same name and concept
poet,lifestyle_poet,exact,mappings/vanilla_traits.csv,"same concept, CK3 prefixes lifestyle traits"
possessed,possessed_1,exact,mappings/vanilla_traits.csv,CK3 splits it into possessed_1 (acquired) and possessed_genetic
pregnant,pregnant,exact,mappings/vanilla_traits.csv,same name and concept
proud,arrogant,approx,mappings/vanilla_traits.csv,"same concept, renamed in CK3"
quick,intellect_good_2,exact,mappings/vanilla_traits.csv,"all five attributes +3 on both sides (CK2 00_traits.txt:980, CK3 00_traits.txt:7306)"
reincarnation,reincarnation,exact_id,CK3 common/traits/00_traits.txt,CK2 vanilla trait outside 00_traits.txt whose id CK3 1.19 declares verbatim
rowdy,rowdy,exact_id,CK3 common/traits/00_traits.txt,CK2 vanilla trait outside 00_traits.txt whose id CK3 1.19 declares verbatim
saint,saint,exact_id,CK3 common/traits/00_traits.txt,CK2 vanilla trait outside 00_traits.txt whose id CK3 1.19 declares verbatim
saoshyant,saoshyant,exact_id,CK3 common/traits/00_traits.txt,CK2 vanilla trait outside 00_traits.txt whose id CK3 1.19 declares verbatim
saoshyant_descendant,saoshyant_descendant,exact_id,CK3 common/traits/00_traits.txt,CK2 vanilla trait outside 00_traits.txt whose id CK3 1.19 declares verbatim
scarred,scarred,exact_id,CK3 common/traits/00_traits.txt,CK2 vanilla trait outside 00_traits.txt whose id CK3 1.19 declares verbatim
schemer,schemer,exact_id,CK3 common/traits/00_traits.txt,CK2 vanilla trait outside 00_traits.txt whose id CK3 1.19 declares verbatim
scholar,scholar,exact,mappings/vanilla_traits.csv,same name and concept
scholarly_theologian,education_learning_3,exact,mappings/vanilla_traits.csv,CK2 learning education tier 3 of 4
seducer,seducer,exact_id,CK3 common/traits/00_traits.txt,CK2 vanilla trait outside 00_traits.txt whose id CK3 1.19 declares verbatim
shieldmaiden,shieldmaiden,exact_id,CK3 common/traits/00_traits.txt,CK2 vanilla trait outside 00_traits.txt whose id CK3 1.19 declares verbatim
shrewd,shrewd,exact_id,CK3 common/traits/00_traits.txt,CK2 vanilla trait outside 00_traits.txt whose id CK3 1.19 declares verbatim
shy,shy,exact,mappings/vanilla_traits.csv,same name and concept
sickly,sickly,exact_id,CK3 common/traits/00_traits.txt,CK2 vanilla trait outside 00_traits.txt whose id CK3 1.19 declares verbatim
siege_leader,military_engineer,approx,mappings/vanilla_traits.csv,CK2 siege commander -> CK3 military_engineer
skilled_tactician,education_martial_3,exact,mappings/vanilla_traits.csv,CK2 martial education tier 3 of 4
slothful,lazy,approx,mappings/vanilla_traits.csv,"same concept, renamed in CK3"
slow,intellect_bad_2,approx,mappings/vanilla_traits.csv,CK2 attributes -3 sits between CK3 intellect_bad_1 and intellect_bad_2 (-4)
strategist,strategist,exact_id,CK3 common/traits/00_traits.txt,CK2 vanilla trait outside 00_traits.txt whose id CK3 1.19 declares verbatim
strong,physique_good_3,exact,mappings/vanilla_traits.csv,"health 1 on both sides (CK2 00_traits.txt:1082, CK3 00_traits.txt:7649); CK3 also has a non-genetic trait literally named strong (00_traits.txt:7754, health 0.5)"
stubborn,stubborn,exact_id,CK3 common/traits/00_traits.txt,CK2 vanilla trait outside 00_traits.txt whose id CK3 1.19 declares verbatim
stutter,stuttering,exact,mappings/vanilla_traits.csv,"same concept, CK3 spells it stuttering"
syphilitic,great_pox,approx,mappings/vanilla_traits.csv,CK3 names syphilis 'great pox' (early_great_pox and lovers_pox are the other stages)
temperate,temperate,exact,mappings/vanilla_traits.csv,same name and concept
theologian,theologian,exact_id,CK3 common/traits/00_traits.txt,CK2 vanilla trait outside 00_traits.txt whose id CK3 1.19 declares verbatim
thrifty_clerk,education_stewardship_2,exact,mappings/vanilla_traits.csv,CK2 stewardship education tier 2 of 4
tough_soldier,education_martial_2,exact,mappings/vanilla_traits.csv,CK2 martial education tier 2 of 4
trickster,strategist,approx,mappings/vanilla_traits.csv,CK2 trickster (ambush) -> CK3 strategist commander trait
trusting,trusting,exact,mappings/vanilla_traits.csv,same name and concept
twin,twin,exact,mappings/vanilla_traits.csv,same name; twin_opinion on both sides
ugly,beauty_bad_2,exact,mappings/vanilla_traits.csv,attraction matches exactly: CK2 sex_appeal_opinion -20 (00_traits.txt:902) = CK3 attraction_opinion -20 (00_traits.txt:6876)
underhanded_rogue,education_diplomacy_2,exact,mappings/vanilla_traits.csv,CK2 diplomacy education tier 2 of 4
varangian,varangian,exact_id,CK3 common/traits/00_traits.txt,CK2 vanilla trait outside 00_traits.txt whose id CK3 1.19 declares verbatim
viking,viking,exact_id,CK3 common/traits/00_traits.txt,CK2 vanilla trait outside 00_traits.txt whose id CK3 1.19 declares verbatim
weak,physique_bad_3,exact,mappings/vanilla_traits.csv,"health -1 and attraction -10 on both sides (CK2 00_traits.txt:1101,1107 vs CK3 00_traits.txt:7507,7510)"
winter_soldier,winter_soldier,exact_id,CK3 common/traits/00_traits.txt,CK2 vanilla trait outside 00_traits.txt whose id CK3 1.19 declares verbatim
wounded,wounded_1,exact,mappings/vanilla_traits.csv,CK3 tiers it wounded_1..3
wroth,wrathful,approx,mappings/vanilla_traits.csv,"same concept, renamed in CK3"
zealous,zealous,exact,mappings/vanilla_traits.csv,same name and concept
