# GENERATED by scripts/measure_vanilla_water.py from vanilla's own
# gfx/map/water/watercolor_rgb_waterspec_a.dds and foam_map.dds. Checked in and
# hand-editable, like mappings/terrain_paint.csv and mappings/colormap_tints.csv.
#
# Both rasters are sampled by the water shader with a whole-map UV
# (gfx/FX/jomini/jomini_water_default.fxh:42), so a mod that ships neither draws
# vanilla's Earth oceans under its own map. ck2ck3.map.water paints them from
# this profile instead, indexed by each pixel's own distance to the nearest
# coast.
#
#   zone      water = the pixel is sea/lake, land = it is not
#   depth_px  distance to the nearest coast, in CANVAS pixels (not texels), so
#             the table survives a change of [map] water_scale. Vanilla's own
#             rasters are half-canvas, i.e. 2 canvas px per texel.
#   wc_*      watercolor RGB, plus A = the gloss map (fxh:506)
#   foam_r    foam_map.R; the shader uses 1 - R, so high R = foam (fxh:289)
#   foam_g    foam_map.G, the water mask the approaching-wave pass reads (fxh:275)
#
# foam_map's B (140) and A (255) are constant across vanilla's whole raster and
# are written as constants by ck2ck3.map.water, not from this table.
# The last row of each zone is held for every greater depth.
zone,depth_px,n,wc_r,wc_g,wc_b,wc_a,foam_r,foam_g
water,148,15806,25,54,57,76,19,254
water,150,14917,25,54,57,76,19,254
water,152,15773,25,54,57,76,19,254
water,154,15544,25,54,57,76,18,254
water,156,14590,25,54,57,76,18,254
water,158,14826,25,54,57,76,18,254
water,160,14519,25,54,57,76,18,254
water,162,15442,25,54,56,76,18,254
water,164,14334,25,54,56,76,18,254
water,166,14236,25,54,56,76,18,255
water,168,13864,25,54,56,76,17,255
water,170,14596,25,54,56,76,17,255
water,172,14217,24,54,56,76,17,255
water,174,13736,24,54,56,76,17,255
water,176,13544,24,54,56,76,17,255
water,178,14306,24,54,56,76,17,255
water,180,13379,24,54,56,76,17,255
water,182,13723,24,54,56,76,17,255
water,184,13179,24,54,56,76,17,255
water,186,13648,24,54,56,76,17,255
water,188,12958,24,54,56,76,16,255
water,190,13095,24,54,56,76,16,255
water,192,12893,24,54,56,76,17,255
water,194,12966,24,54,57,76,17,255
water,196,13816,24,54,57,76,17,255
water,198,12075,24,54,57,76,17,255
water,200,12920,24,54,57,76,17,255
water,202,11684,24,54,57,76,17,255
water,204,12795,24,54,57,76,17,255
water,206,12716,24,54,57,76,17,255
water,208,11460,24,55,57,76,16,255
water,210,12146,24,55,57,75,16,255
water,212,11738,24,55,57,75,16,255
water,214,12034,24,55,57,75,16,255
water,216,11995,24,55,57,75,16,255
water,218,11449,24,55,57,75,16,255
water,220,12220,24,55,57,75,16,255
water,222,11060,24,55,57,75,16,255
water,224,11586,24,55,57,75,16,255
water,226,11361,24,55,57,75,16,255
water,228,11422,24,55,57,75,16,255
water,230,11674,24,55,57,75,15,255
water,232,11225,24,55,57,75,16,255
water,234,11154,24,55,57,75,15,255
water,236,10885,24,55,57,75,15,255
water,238,10897,24,55,57,75,15,255
water,240,11390,24,55,57,75,15,255
water,242,11087,24,55,57,75,15,255
water,244,10970,24,55,57,75,15,255
water,246,11074,24,55,57,75,15,255
water,248,10569,24,55,57,75,15,255
water,250,10604,24,55,57,75,15,255
water,252,10456,24,55,57,75,15,255
water,254,11111,23,55,57,75,15,255
water,256,10343,23,55,57,75,15,255
land,2,123815,39,64,65,61,75,5
land,4,78856,39,63,64,60,74,1
land,6,72276,40,63,64,61,73,1
land,8,96549,41,63,64,64,73,1
land,10,65608,42,63,64,64,73,1
land,12,75452,43,63,64,65,72,1
land,14,62030,43,63,64,65,72,1
land,16,67360,44,63,64,65,72,1
land,18,74153,45,63,64,66,72,1
land,20,56489,45,63,64,66,72,1
land,22,64942,46,63,63,66,72,1
land,24,54562,46,63,63,66,72,0
land,26,65587,47,63,63,66,72,0
land,28,56825,47,63,63,67,72,0
land,30,51251,47,63,63,67,72,0
land,32,62870,48,64,63,67,71,0
land,34,56999,48,64,63,67,71,0
land,36,53618,49,64,63,67,71,0
land,38,50368,49,64,63,67,71,0
land,40,46232,50,64,63,67,71,0
land,42,56407,50,64,63,67,71,0
land,44,49972,50,64,63,67,71,0
land,46,49276,51,64,63,68,71,0
land,48,45839,51,64,63,68,71,0
land,50,51750,52,64,63,68,71,0
land,52,46128,52,64,63,68,71,0
land,54,43365,52,65,63,68,71,0
land,56,47522,53,65,63,68,71,0
land,58,41968,53,65,63,69,71,0
land,60,47263,54,65,63,69,71,0
land,62,42196,54,65,63,69,71,0
land,64,39999,54,65,63,69,71,0
land,66,42502,55,65,63,69,71,0
land,68,43586,55,65,63,69,71,0
land,70,41756,55,66,63,69,71,0
land,72,39971,56,66,63,69,71,0
land,74,38761,56,66,63,70,71,0
land,76,40180,56,66,63,70,71,0
land,78,36893,57,66,63,70,71,0
land,80,40119,57,66,63,70,71,0
land,82,35963,57,66,63,70,71,0
land,84,38016,58,66,63,70,71,0
land,86,37096,58,66,63,70,71,0
land,88,34754,58,66,63,70,71,0
land,90,36984,59,67,63,70,71,0
land,92,34064,59,67,63,70,71,0
land,94,36882,60,67,63,71,71,0
land,96,34787,60,67,63,71,71,0
land,98,35099,60,67,63,71,71,0
land,100,33826,60,67,63,71,71,0
land,102,33377,61,67,63,71,71,0
land,104,34865,61,68,63,71,71,0
land,106,30741,62,68,63,71,71,0
land,108,32228,62,68,63,71,71,0
land,110,32473,62,68,63,72,71,0
land,112,30319,63,68,63,72,71,0
land,114,32824,63,68,63,72,71,0
land,116,28318,63,68,63,72,71,0
land,118,32543,64,68,63,72,71,0
land,120,30084,64,68,63,72,71,0
land,122,28494,64,69,63,72,71,0
land,124,30448,64,69,63,72,71,0
land,126,26757,65,69,63,73,71,0
land,128,31731,65,69,63,73,71,0
