section,ck2_key,ck2_uses_in_faerun,ck2_value_shape,ck3_file,ck3_key,ck3_value_shape,status,default_when_none,ck3_evidence,note
history/characters,real_father,"0 (Faerun uses `set_real_father` effect, 13 uses)",character id,history/characters/fae_*.txt,effect = { set_real_father = character:<id> },effect,approx,omit,common/effect_localization / vanilla scripted usage,"VERIFIED: Faerun never uses the `real_father` history key; it uses the `set_real_father` effect inside a dated block. CK3 has the same effect, so port the effect 1:1 inside `effect = { }`."
history/characters,trait,28828-scale,trait id (repeatable),history/characters/fae_*.txt,trait,trait id (repeatable),exact,omit,history/_characters.info:12 ; 28729 top-level + 850 dated live uses,1:1 key. VALUES come from the trait table owned by the parallel `traits-modifiers` lane (wt/mappings) - do not duplicate that mapping here. Faerun race traits (creature_elf etc.) are kept as-is per design_races.md item 3.
history/characters,add_trait / remove_trait,present,trait id,history/characters/fae_*.txt,add_trait / remove_trait,trait id,exact,omit,"history/characters (66 add_trait, 57 remove_trait live uses)","1:1, dated blocks only."
history/characters,disallow_random_traits,present,yes/no,history/characters/fae_*.txt,disallow_random_traits,yes/no,exact,omit,history/_characters.info:14,1:1.
history/characters,dna,present (11-char CK2 portrait string),"string e.g. ""0jiaa0k0000""",history/characters/fae_*.txt,dna,common/dna_data key,none,omit,history/_characters.info:5 ; 438 live uses,"NOT convertible. CK2 dna is an 11-character 2D-sprite index; CK3 `dna` references a common/dna_data entry of gene templates. design_races.md item 6: emit NO `dna =` and let the ethnicity randomise. Bookmark characters may get real dna_data later, dumped from the game."
history/characters,properties,present (CK2 portrait accessory string),string,-,(none),-,none,-,-,Same as dna: CK2 2D accessory layer indices. No CK3 equivalent (accessories come from gfx/portraits/portrait_modifiers). Drop.
history/characters,immortal_age,3421 (!),int,history/characters/fae_*.txt,effect = { set_immortal_age = <int> },effect,approx,omit,EK2 history/characters (set_immortal_age used for its lifespan system),"Faerun's third-most-common character key after the basics - elves, liches, dragons. CK3 has the `set_immortal_age` effect (EK2 relies on it) so port as an effect in the birth-date block. Complements the trait-side `immortal = yes` / `life_expectancy` from design_races.md item 8."
history/characters,give_nickname,present,nickname id,history/characters/fae_*.txt,give_nickname,nickname id,exact,omit,history/_characters.info:21 ; 503 live uses,1:1; values must exist in common/nicknames.
history/characters,employer,present,character id,history/characters/fae_*.txt,employer,character id,exact,omit,history/characters (956 live uses),1:1 as a history key. `set_employer` is the effect form (1 vanilla use); both work.
history/characters,add_claim,31,title id,history/characters/fae_*.txt,add_pressed_claim / add_unpressed_claim,title:<id>,approx,add_unpressed_claim,"history/characters (602 add_pressed_claim, 12 add_unpressed_claim, 157 remove_claim live uses)","CK2 has one claim key; CK3 splits pressed/unpressed. Default to `add_unpressed_claim = title:<x>` (the weaker, safer reading) unless an overrides row says otherwise. Note CK3 wants the `title:` scope prefix."
history/characters,add_spouse / add_matrilineal_spouse,present,character id,history/characters/fae_*.txt,add_spouse / add_matrilineal_spouse,character id,exact,omit,"history/_characters.info:26 ; 6836 add_spouse, 61 add_matrilineal_spouse live uses",1:1. CK3 also has `add_same_sex_spouse` (CI:26) with no CK2 source.
history/characters,remove_spouse,178-scale,character id,history/characters/fae_*.txt,remove_spouse,character id,exact,omit,history/characters (178 live uses),1:1.
history/characters,add_consort,4,character id,history/characters/fae_*.txt,add_concubine,character id,approx,omit,history/characters (47 live uses),Renamed. Requires the faith to allow it (doctrine_concubines) or the culture parameter number_of_consorts - otherwise the game complains. See religion_fields.csv `max_consorts`.
history/characters,add_lover,146,character id,history/characters/fae_*.txt,effect = { set_relation_lover = character:<id> },effect,approx,omit,history/characters (1 live set_relation_lover use); common/scripted_relations,"CK3 relations are effects, not history keys, and take a `character:` scope. `set_relation_soulmate` is the stronger variant."
history/characters,add_friend,592,character id,history/characters/fae_*.txt,effect = { set_relation_friend = character:<id> },effect,approx,omit,history/characters (4 live set_relation_friend uses; 1 set_relation_best_friend),As add_lover.
history/characters,add_rival,384,character id,history/characters/fae_*.txt,effect = { set_relation_rival = character:<id> },effect,approx,omit,history/characters (7 live set_relation_rival uses),As add_lover. `set_relation_nemesis` is the stronger variant (EK2 uses it).
history/characters,add_artifact,176,artifact id,history/artifacts/fae_*.txt,(separate database),artifact history entry,approx,omit,history/artifacts/ (CK3 artifact history dir exists),"CK3 artifacts are their own history database (history/artifacts) plus common/artifacts/types, not a character key. Out of scope for this lane; the artifacts lane owns it."
history/characters,create_bloodline,"67 (Faerun uses this, NOT `add_bloodline`)",block,-,(none),-,none,-,-,"VERIFIED: `add_bloodline` has 0 uses; Faerun uses `create_bloodline`. CK3 has no bloodlines - mechanics_inventory maps them to dynasty legacies / house traditions, or a genetic trait per bloodline. Comment."
history/characters,join_society,324,society id,-,(none),-,none,-,-,"CK3 has no societies (mechanics_inventory: biggest gap, stub). Comment."
history/characters,secret_religion,present,religion id,history/characters/fae_*.txt,effect = { add_secret = { type = secret_crypto_religionist ... } },effect,approx,omit,history/characters (1 live add_secret use); common/secret_types,"CK3 models a hidden faith as a SECRET on the character, not a second faith field. Approximate with `add_secret`; the concealed faith itself cannot be stored."
history/characters,set_character_flag,present,flag name,history/characters/fae_*.txt,effect = { add_character_flag = <name> },effect,approx,omit,history/characters (14 live add_character_flag uses),Renamed.
history/characters,capital,4,b_/c_ id,history/characters/fae_*.txt,capital,c_<id>,approx,omit,history/characters (105 live uses),1:1 key; barony -> parent county.
history/characters,wealth / prestige,2 / 8,int,history/characters/fae_*.txt,effect = { add_gold = <n> } / effect = { add_prestige = <n> },effect,approx,omit,"history/characters (6 add_gold, 7 add_prestige, 5 add_prestige_level live uses)",CK2 sets an absolute value; CK3 adds a delta inside an effect. `add_prestige_level` is the coarse alternative.
history/characters,piety / decadence,0 in Faerun (verified absent),int,history/characters/fae_*.txt,effect = { add_piety = <n> },effect,approx,omit,"history/characters (6 add_piety, 5 add_piety_level live uses)",Nothing to convert for Faerun. Decadence has no CK3 equivalent at all.
history/characters,easter_egg,present,yes/no,-,(none),-,none,-,-,CK2 flag excluding the character from random generation. Drop.
history/characters,historical / occluded,0 in Faerun (verified absent),yes/no,-,(none),-,none,-,-,Nothing to convert.
history/characters,effect,1455-scale,effect block inside a dated block,history/characters/fae_*.txt,effect = { },effect block,approx,omit,history/characters (851 live uses),"Syntactic port; unmapped CK2 effect tokens become comments (shared effect table, lane events-decisions)."
history/characters,birth,"18124, always bare `birth = yes`",yes (never a block),history/characters/fae_*.txt,birth,"yes or ""date""",exact,-,history/_characters.info ; 56576 live uses,1:1. Must sit inside the birth-date block.
history/characters,death,15016 bare `death = yes` + 3108 block form,yes | { death_reason = x killer = y },history/characters/fae_*.txt,death,"yes | ""date"" | { death_reason = x killer = y }",exact,death = yes,"history/characters (46490 `death = yes`, 1061 block form, plus a `death = ""1200.1.1""` string-date form); history/characters/afghan.txt:341-344 ; bai.txt:1395",1:1 including the block form and the `killer` sub-key. CK3 also accepts a quoted date value. `killer` may be a string id (bai.txt:1395: killer = bai_yang_2_1).
history/characters,death_reason (inside death block),"80 distinct values in Faerun; death_battle 726, death_murder 430",death reason id,history/characters/fae_*.txt,death_reason,one of 313 CK3 ids in common/deathreasons/,approx,death_reason = death_natural_causes,"common/deathreasons/00_natural_deaths.txt, 00_event_deaths.txt, 00_activity_deaths.txt (313 distinct ids verified)","Value remap needed. Safe 1:1 pairs that exist in both: death_battle, death_murder, death_execution, death_accident, death_duel, death_natural_causes, death_old_age, death_ill, death_poison, death_drowned, death_fire, death_siege, death_starved, death_suicide, death_torture, death_wounds. Faerun-invented reasons (death_wild_magic_surge, death_executed_by_shou_lung_emperor, death_execution_burning ...) have no CK3 id - fall back to the nearest generic (death_murder / death_execution / death_accident) and emit a comment. Do NOT invent CK3 death reasons; unknown -> death_natural_causes."
history/characters,(none),0,-,history/characters/fae_*.txt,sexuality,asexual|heterosexual|homosexual|bisexual,none,omit,history/_characters.info:22,"CK3-only. CK2 encodes homosexuality as a trait; if the trait table maps that trait, ALSO emit `sexuality = homosexual` (the trait alone does not set it)."
history/characters,(none),0,-,history/characters/fae_*.txt,give_council_position; move_to_pool; set_primary_title_to; add_trait_xp; add_character_modifier; add_perk; learn_language; learn_language_of_culture; portrait_override,various,none,omit,"history/characters (65 give_council_position, 62 move_to_pool, 9 set_primary_title_to, 7 add_trait_xp, 4 add_character_modifier, 4 add_perk, 2 learn_language live uses) ; history/_characters.info:29-36 (portrait_override)",CK3-only knobs. `give_council_position` is worth synthesising from CK2 job_titles (mechanics_inventory: mapping table).
common/dynasties,<id> = { },"11952 (ids 1..15859, sparse)",numeric id,common/dynasties/fae_dynasties.txt,<id> = { },numeric OR string id,exact,-,common/dynasties/00_dynasties.txt:3 (2 = { ),"CK3 dynasty ids may be strings: 6105 of 10328 vanilla dynasties use string ids (khmer_varman ...), and EK2 uses `dyn_<name>` for all of them. Numeric vanilla ids reach 1000101763. RECOMMENDATION: emit `fae_dyn_<ck2id>` string ids - collision-proof and readable."
common/dynasties,name,11952,"literal string e.g. ""Dlardrageth""",common/dynasties/fae_dynasties.txt,name,"""dynn_<Key>"" localisation key",approx,"name = ""dynn_fae_<id>""","common/dynasties/00_dynasties.txt:4 (name = ""dynn_Orsini"") ; 10331 live uses","SHAPE CHANGE: CK3 takes a LOC KEY, not a literal. Emit `name = ""dynn_fae_<sanitised>""` and write `dynn_fae_<sanitised>: ""Dlardrageth""` to localisation (lane `localisation`). EK2 confirms the convention (dyn_ralaal = { name = ""dynn_Ralaal"" ... })."
common/dynasties,(none),0,-,common/dynasties/fae_dynasties.txt,prefix,"""dynnp_<key>""",none,omit,"common/dynasties/00_dynasties.txt:7 (prefix = ""dynnp_de"") ; 1244 live uses","CK2 keeps the 'de/von/of' prefix on the CULTURE (`from_dynasty_prefix`), not the dynasty. Only emit if an overrides row supplies one."
common/dynasties,culture,11951,culture id,common/dynasties/fae_dynasties.txt,culture,culture id,exact,-,common/dynasties/00_dynasties.txt:5 ; 10338 live uses,1:1.
common/dynasties,religion,4 (rare override),religion id,-,(none),-,none,-,-,"CK3 dynasties have no religion field (only `forced_coa_religiongroup`, 72 uses, which only picks a CoA style). Drop; the characters carry the faith."
common/dynasties,used_for_random,754,yes/no,-,(none),-,none,-,-,CK2 random-world flag. No CK3 random world. Drop silently.
common/dynasties,coat_of_arms = { template layer { texture texture_internal emblem color } },20 only,nested block of numeric sprite indices,common/coat_of_arms/coat_of_arms/fae_dynasties.txt,<dynasty_id> = { pattern colored_emblem ... },separate database keyed by dynasty id,approx,a solid-colour placeholder CoA,common/coat_of_arms/coat_of_arms/01_landed_titles.txt:6 (shape) ; default.txt:1,"CK2 numeric sprite indices point into CK2's own flag atlas and cannot be translated. Only 20 Faerun dynasties have one, so the cost of dropping it is tiny. EK2 precedent: a whole file of throwaway CoAs (common/coat_of_arms/coat_of_arms/90_placeholder_dynasties.txt) so every bookmark dynasty has one."
common/dynasties,(none),0,-,common/dynasties/fae_dynasties.txt,motto,loc key,none,omit,common/dynasties/*.txt (132 live uses),"CK3-only, optional."
common/dynasty_houses,(none - CK2 has no cadet houses),0,-,common/dynasty_houses/fae_houses.txt,<house_id> = { name dynasty [prefix] [motto] },block; `dynasty` is REQUIRED,none,-,"common/dynasty_houses/00_dynasty_houses.txt:2-4 ; key tally: name 558, dynasty 558, prefix 182, motto 8","Every vanilla house sets exactly `name` + `dynasty`. Emitting houses is OPTIONAL: characters may use `dynasty` directly. Only generate a house per dynasty if the mod wants administrative/celestial `noble_families` (those governments need house machinery: house_aspirations, house_unity). EK2 uses ids like `larich_turich` and `dynn_*` loc keys, same as vanilla."
common/bookmarks,"<bm_id> = { }  (17 in Faerun, 1357.1.1 .. 1501.1.1)",17,block,common/bookmarks/bookmarks/fae_bookmarks.txt,<bm_id> = { },block,exact,-,"common/bookmarks/bookmarks/_bookmarks.info:3 ; 00_bookmarks.txt (19 bookmarks, all in one file)","1:1 concept. Faerun ids: bm_before_the_storm 1357.1.1, bm_ronin_challenge 1357.12.5, bm_the_horde 1360.1.1, bm_dragonspear_2 1363.1.1, bm_bhaalspawn 1368.9.2, bm_dark_powers 1372.1.1, bm_rage_of_dragons 1373.1.1, bm_after_the_rage 1374.1.1, bm_year_of_blue_fire 1385.2.1, bm_the_aftermath 1396.5.1, bm_dark_zakhara 1408.1.1, bm_skyfire 1430.1.1, bm_spellscarred 1479.1.1, bm_tyranny_of_dragons 1481.1.1, bm_toril_healed 1490.1.1, bm_honor_among_thieves 1498.8.1, bm_the_new_era 1501.1.1."
common/bookmarks,date,17,date,common/bookmarks/bookmarks/fae_bookmarks.txt,start_date,date,exact,-,_bookmarks.info:5-7 ; 19 live uses,Renamed. A `group` may supply a default_start_date instead (common/bookmarks/groups/_bookmark_groups.info).
common/bookmarks,era = yes,17,yes/no,common/bookmarks/groups/fae_bookmark_groups.txt,<group_id> = { default_start_date = <date> },block; referenced by `group = <id>` on the bookmark,approx,-,common/bookmarks/groups/00_bookmark_groups.txt:1-3 ; _bookmark_groups.info,CK2's era flag has no direct CK3 key. The nearest structure is a bookmark GROUP; all 19 vanilla bookmarks set `group`. Emit one group per Faerun bookmark date (or one group for all of them).
common/bookmarks,name / desc,17 each,loc key,common/bookmarks/bookmarks/fae_bookmarks.txt,(implicit: the bookmark key IS the loc key),-,approx,-,"_bookmark_groups.info (""Key of the bookmark is used as localization tag as well"")",CK3 derives the bookmark's name and description from its key; there is no `name`/`desc` key at bookmark level (only inside `character`). Write the CK2 strings to `<bm_id>:` and `<bm_id>_desc:` in localisation.
common/bookmarks,picture = GFX_pick_era_image_1,17,gfx sprite key,-,(none),-,none,-,-,"CK3 bookmark art is the bookmark_portraits 3D render plus interface art, not a sprite key. Drop."
common/bookmarks,selectable_character = { id age name title title_name character = { ... } },~6 per bookmark,nested block,common/bookmarks/bookmarks/fae_bookmarks.txt,character = { name history_id type birth title government culture religion dynasty dynasty_splendor_level difficulty position animation },nested block; nested `character` blocks are relatives,approx,-,"_bookmarks.info:47-60 ; common/bookmarks/bookmarks/00_bookmarks.txt (bm_867_iberia); key tally: character 120, name 110, dynasty_splendor_level 110, title 110, government 110, religion 110, difficulty 110, position 110, birth 109, culture 109, history_id 109, animation 108, type 106, dynasty 95","Field map: CK2 `id` -> `history_id`; `age` -> `birth` (start_date minus age); `title` -> `title`; `title_name` -> dropped; `female = yes` -> `type = female` (CK3 uses `type = male|female`, 106 uses); `government` -> remapped via government_map.csv; `culture`/`religion` -> remapped; `dynasty` -> dynasty id. CK3 additionally REQUIRES-in-practice `position = { x y }` (map pixel coords, 110/110 uses) and `difficulty`; `dynasty_splendor_level` and `animation` are set by all vanilla entries. CK2's nested `character = { dna properties }` block is a portrait spec and is dropped (see the `dna` row)."
common/bookmark_portraits,(none),0,-,common/bookmark_portraits/<character loc name>.txt,<name> = { type id age genes { ... } entity tags },auto-generated block,none,OMIT the file entirely,"common/bookmark_portraits/bookmark_fp2_iberia_wilfred_the_hairy.txt:1 (""# Auto generated file, do not edit manually. Created using console command dump_bookmark_portraits"") ; 332 such files in vanilla ; EK2 ships 66",GOTCHA: NOT hand-authorable and NOT convertible. The file is produced by running the in-game console command `dump_bookmark_portraits` after the bookmark characters exist. The converter must therefore leave common/bookmark_portraits EMPTY and the mod ships with randomised bookmark faces until someone runs the dump manually. Filename = the bookmark character's `name` value.
