ck2_scope,ck2_key,ck2_uses_in_faerun,ck2_value_shape,ck3_file,ck3_key,ck3_value_shape,status,default_when_none,ck3_evidence,note
culture,count_titles_hidden,8 (CK2 base),yes/no,-,(none),-,none,-,-,CK3 always shows county titles. Comment.
culture,used_for_random,13 (CK2 base),yes/no,-,(none),-,none,-,-,No CK3 random world. Drop silently.
culture,allow_in_ruler_designer,9 (CK2 base),yes/no,-,(none),-,none,-,-,No per-culture ruler-designer gate in CK3. Drop.
culture,alternate_start,9 groups + 16 cultures in Faerun; Faerun always `{ always = no }`,trigger block,-,(none),-,none,-,-,VERIFIED Faerun simplified every one to `alternate_start = { always = no }` (the CK2-base OR/has_alternate_start_parameter idiom is gone). No CK3 random world. Drop.
culture,tribal_name,2 (CK2 base),loc key,common/flavorization/fae_*.txt,<key> = { type = title governments = { tribal_government } name_lists = { ... } },block,approx,omit,common/flavorization/_flavourization.info (governments),Flavourization keyed on the government.
culture,secondary_event_pictures,49 (CK2 base),gfx key,-,(none),-,none,-,-,"CK3 event art is chosen by common/event_backgrounds + event_themes, not per culture. Comment."
culture,modifier,124 (CK2 base),SCALAR reference to a common/static_modifiers entry; applies to PROVINCES of the culture,common/culture/traditions/fae_generated.txt,<generated tradition> province_modifier = { ... }  (or county_modifier),modifier block on a tradition,approx,omit,common/culture/_cultural_traits.info (province_modifier / county_modifier / character_modifier on cultural traits) ; common/culture/cultures/_cultures.info:67,"IMPORTANT: CK2 `modifier` is a PROVINCE modifier reference, so `character_modifier` on the CK3 culture is the wrong target. The only place a culture can carry a province modifier in CK3 is a TRADITION. Resolve the CK2 static modifier, then emit one generated tradition per distinct modifier and add it to the cultures that referenced it. Constraint from _cultural_traits.info: culture traits may only use hardcoded modifiers or ones generated from schemes/holdings/lifestyles/regions/terrains/men_at_arms_types/governments - anything else is refused."
culture,character_modifier,"9 (99_animals.txt only, both games)",INLINE block of modifier = value,common/culture/cultures/*.txt,character_modifier,{ <modifier> = value },exact,omit,common/culture/cultures/_cultures.info:67-69 ; info_only: documented but used by 0/244 vanilla cultures,"Same key name and shape. Fields seen in CK2: fertility, combat_rating, land_morale, siege_speed, general_opinion, vassal_opinion, health, learning, global_tax_modifier, murder_plot_power_modifier, defensive_plot_power_modifier - each needs the shared modifier table (traits-modifiers lane); unmapped ones become comments."
culture,male_names,419,{ Name Name_Base ... } or weighted `10 = { ... }`,common/culture/name_lists/fae_<group>.txt,male_names,"same, incl. the Name_Base variant syntax",exact,male_names = { Placeholder },common/culture/name_lists/_name_lists.info:28-36 ; 217/218 vanilla name lists define it,Moves out of the culture into a `name_list_fae_<culture>` object referenced by `name_list =`. Weighted groups optional in both.
culture,female_names,419,same,common/culture/name_lists/fae_<group>.txt,female_names,same,exact,female_names = { Placeholder },common/culture/name_lists/_name_lists.info:37-40 ; 217/218 vanilla,Same as male_names.
culture,(none),0,-,common/culture/cultures/*.txt,name_list,name_list_fae_<culture>,none,name_list_fae_<culture>,common/culture/cultures/_cultures.info:52 ; 244/244 vanilla cultures define it,"MANDATORY. Several may be listed; the first is primary. One per CK2 culture, since CK2 stores names per culture."
culture,(dynasty names live in common/dynasties),0 per culture,-,common/culture/name_lists/*.txt,dynasty_names; cadet_dynasty_names,{ dynn_key | { dynnp_prefix dynn_key } ... },approx,dynasty_names = { },common/culture/name_lists/_name_lists.info:41-45 ; 218 live dynasty_names / 202 cadet_dynasty_names uses ; cadet_dynasty_names is NOT documented in _name_lists.info but is live,CK2 has no per-culture dynasty pool. Build it by grouping Faerun's 11952 dynasties by their `culture` field and emitting their generated `dynn_fae_*` loc keys (see character_fields.csv common/dynasties rows).
culture,from_dynasty_prefix,85 (CK2 base),"literal string e.g. ""af """,common/culture/name_lists/*.txt,dynasty_of_location_prefix,"""dynnp_<key>""",approx,omit,common/culture/name_lists/_name_lists.info:46 ; 128 live uses,"CK2 stores literal text, CK3 wants a LOC KEY. Emit `dynnp_fae_<culture>` and write the literal to localisation."
culture,bastard_dynasty_prefix,0 in Faerun (2 in CK2 base),literal string,common/culture/name_lists/*.txt,bastard_dynasty_prefix,"""dynnp_<key>""",exact,omit,"common/culture/name_lists/00_west_germanic.txt:83 (bastard_dynasty_prefix = ""dynnp_fitz"") ; 3 live uses ; absent from _name_lists.info",Identical key name in both games. Same literal->loc-key conversion.
culture,male_patronym / female_patronym + prefix (bool),43 / 37 / 46 (CK2 base),literal string + bool saying prefix-vs-suffix,common/culture/name_lists/*.txt,patronym_prefix_male; patronym_suffix_male; patronym_prefix_female; patronym_suffix_female,"""dynnpat_pre_*"" / ""dynnpat_suf_*""",approx,omit,"common/culture/name_lists/_name_lists.info:59-65 ; live uses: patronym_suffix_male 45, patronym_suffix_female 36, patronym_prefix_male 33, patronym_prefix_female 29","CK2 has one string per gender plus `prefix = yes/no`. Route by that flag: prefix = yes -> patronym_prefix_*, else patronym_suffix_*. The `_vowel` variants (NI:60,62) have no CK2 source."
culture,(implicit in CK2 whenever a patronym is set),-,-,common/culture/name_lists/*.txt,always_use_patronym,yes/no (CK3 default NO),approx,always_use_patronym = yes,common/culture/name_lists/_name_lists.info:66-72 ; 28 live uses,GOTCHA: without this the converted patronym never shows. Also settable per government (`always_use_patronym` in common/governments - clan/tribal/wanua set it).
culture,pat_grf_name_chance,64 (CK2 base),int 0-100,common/culture/name_lists/*.txt,pat_grf_name_chance,int,exact,omit,common/culture/name_lists/_name_lists.info:49 ; 85 live uses,Copy verbatim. pat_grf + mat_grf + father must sum <= 100.
culture,mat_grf_name_chance,64,int 0-100,common/culture/name_lists/*.txt,mat_grf_name_chance,int,exact,omit,common/culture/name_lists/_name_lists.info:50 ; 85 live uses,Copy verbatim.
culture,father_name_chance,64,int 0-100,common/culture/name_lists/*.txt,father_name_chance,int,exact,omit,common/culture/name_lists/_name_lists.info:51 ; 85 live uses,Copy verbatim.
culture,pat_grm_name_chance,64,int 0-100,common/culture/name_lists/*.txt,pat_grm_name_chance,int,exact,omit,common/culture/name_lists/_name_lists.info:54 ; 85 live uses,Copy verbatim; female triple must also sum <= 100.
culture,mat_grm_name_chance,64,int 0-100,common/culture/name_lists/*.txt,mat_grm_name_chance,int,exact,omit,common/culture/name_lists/_name_lists.info:55 ; 85 live uses,Copy verbatim.
culture,mother_name_chance,64,int 0-100,common/culture/name_lists/*.txt,mother_name_chance,int,exact,omit,common/culture/name_lists/_name_lists.info:56 ; 85 live uses,Copy verbatim.
culture,founder_named_dynasties,47 (CK2 base),yes/no,common/culture/name_lists/*.txt,founder_named_dynasties,yes/no (default no),exact,omit,common/culture/name_lists/_name_lists.info:5-8 ; 49 live uses,"Same key, same semantics, moved to the name list."
culture,dynasty_name_first,8 (CK2 base),yes/no,common/culture/name_lists/*.txt + common/culture/cultures/*.txt,dynasty_name_first; name_order_convention,yes/no; dynasty_always_first|dynasty_first|japanese|suffix,approx,omit,"common/culture/name_lists/00_magyar.txt:193 (dynasty_name_first = yes, 21 live uses) ; common/culture/cultures/_cultures.info:45 ; live name_order_convention values: dynasty_always_first 22, japanese 4, suffix 1","Two live mechanisms. `dynasty_name_first = yes` on the name list is the literal CK2 equivalent and still works. The richer, better-supported route is `name_order_convention` on the culture, but it needs matching CHARACTER_* loc keys per convention (documented at length in _cultures.info:19-45). Emit `name_order_convention = dynasty_always_first` (`assumed`)."
culture,dynasty_title_names,27 (CK2 base),yes/no,common/landed_titles/*.txt + common/culture/name_lists/*.txt,can_be_named_after_dynasty; house_based_map_names,yes/no,approx,omit,"common/landed_titles/_landed_titles.info:119-122 (can_be_named_after_dynasty, default YES, 171 live uses) ; common/culture/name_lists/_name_lists.info:10-13 (house_based_map_names, default no, 64 live uses)","GOTCHA: `can_be_named_after_dynasty` defaults to YES in CK3, so a CK2 culture WITHOUT the flag needs `can_be_named_after_dynasty = no` on its titles, not silence. Also gated by the government rule `dynasty_named_realms` (feudal/clan/tribal/mandala/wanua have it; administrative/celestial/nomad set it to no)."
culture_group,mercenary_names (CK2 keeps these in common/mercenaries),-,-,common/culture/name_lists/*.txt,mercenary_names,"{ { name = ""..."" coat_of_arms = ""..."" } }",approx,omit,common/culture/name_lists/_name_lists.info:22-27 ; 82 live uses,Fill from Faerun/Faerun/common/landed_titles/mercenaries.txt + common/mercenaries when converting mercenary companies (government_map.csv).
culture,grammar_transform,0 in Faerun (10 in CK2 base),lang key,common/culture/name_lists/*.txt,grammar_transform,lang key,exact,omit,common/culture/name_lists/00_latin.txt:954 (grammar_transform = french) ; 8 live uses,Same key name; only affects localisation grammar.
culture,(none),0,-,common/culture/name_lists/*.txt,suggest_family_names; suggest_ancestor_names; house_based_map_names,yes/no,none,omit,"common/culture/name_lists/_name_lists.info:10-20 ; live uses: house_based_map_names 64, suggest_family_names 7, suggest_ancestor_names 7",No CK2 source; CK3 defaults (yes/yes/no) are fine.
culture,(none),0,-,common/culture/cultures/*.txt,created; history_loc_override,date; loc key,none,omit,"common/culture/cultures/_cultures.info:16-17 ; 44 live `created`, 6 live `history_loc_override`","Optional. EK2 uses a dummy `created = 10.1.1 #Placeholder to display history loc` to force the history localisation path - a hack, not a requirement."
culture,(none),0,-,common/culture/cultures/*.txt,dlc_tradition; dlc_fallback_pillar,block,none,omit,common/culture/cultures/_cultures.info:54-65 ; 168 live dlc_tradition uses ; dlc_fallback_pillar is info_only (0 vanilla uses),"No CK2 source, but the converter should use `dlc_tradition` whenever it wants a DLC-gated tradition to degrade gracefully (EK2 does: ek_atmoran.txt:19)."
history/technology (CK2),per-province tech levels (15 files),2125 provinces x 3 categories,0-8 per category,history/cultures/fae_<culture>.txt,discover_innovation; join_era,innovation id; culture_era id,approx,-,history/cultures/afghan.txt:3-14 (discover_innovation) ; common/culture/innovations/_culture_innovations.info ; common/culture/eras/_culture_eras.info,"SCOPE CHANGE: CK2 technology is per PROVINCE, CK3 innovations are per CULTURE. Aggregate Faerun's history/technology by the province's culture (mode or max), map the level to a CK3 era, and emit the era's innovations. Also feeds `change_development_level` in history/titles (title_fields.csv)."
