# GENERATED by scripts/build_relief_paint_csv.py from docs/evidence/vanilla_paint_vs_relief.csv -- do not hand-edit
ck3_terrain,slope_bin,curvature_bin,elevation_bin,n,category_rank,category_shares,top_material,top_share
desert_mountains,high,valley,mid,1449,rock;other;grass;soil,rock=79.71;other=16.77;grass=2.83;soil=0.69,hills_01_rocks_medi,54.73
desert_mountains,high,valley,high,118,rock;other,rock=59.32;other=40.68,debug,40.68
drylands,low,ridge,low,1172,grass;soil;rock;other;snow;forest,grass=52.82;soil=22.44;rock=13.57;other=10.67;snow=0.34;forest=0.17,drylands_01_grassy,30.12
drylands,low,ridge,mid,8139,grass;other;rock;soil;snow;forest,grass=59.55;other=30.47;rock=4.83;soil=4.31;snow=0.74;forest=0.1,drylands_01_grassy,51.96
drylands,low,ridge,high,12426,grass;other;soil;rock;forest;snow,grass=67.4;other=22.09;soil=5.5;rock=3.53;forest=0.9;snow=0.57,drylands_01_grassy,44.09
drylands,low,flat,low,6810,grass;rock;soil;other;forest;snow,grass=79.75;rock=12.04;soil=4.23;other=2.66;forest=0.88;snow=0.44,drylands_01_grassy,66.99
drylands,low,flat,mid,42274,grass;other;rock;soil;forest;snow,grass=70.54;other=25.11;rock=3.33;soil=0.48;forest=0.33;snow=0.2,drylands_01_grassy,67.86
drylands,low,flat,high,21018,grass;other;rock;soil;forest;snow,grass=76.55;other=15.93;rock=6.76;soil=0.45;forest=0.29;snow=0.03,drylands_01_grassy,72.69
drylands,low,valley,low,48373,grass;rock;other;soil;snow;forest,grass=81.46;rock=8.62;other=7.08;soil=1.73;snow=0.8;forest=0.31,drylands_01_grassy,76.11
drylands,low,valley,mid,37561,grass;other;rock;snow;forest;soil,grass=76.37;other=19.31;rock=3.93;snow=0.14;forest=0.13;soil=0.12,drylands_01_grassy,73.05
drylands,low,valley,high,11721,grass;other;rock;forest;snow,grass=79.53;other=14.94;rock=3.84;forest=0.84;snow=0.84,drylands_01_grassy,73.74
drylands,mid,ridge,low,4321,grass;rock;other;soil;forest;snow,grass=79.06;rock=9.37;other=7.48;soil=3.73;forest=0.35;snow=0.02,drylands_01_grassy,73.66
drylands,mid,ridge,mid,13053,grass;other;rock;forest;soil;snow,grass=70.5;other=19.69;rock=4.27;forest=2.97;soil=1.49;snow=1.08,drylands_01_grassy,64.04
drylands,mid,ridge,high,17863,grass;other;rock;soil;forest;snow,grass=61.78;other=24.53;rock=7.06;soil=4.34;forest=1.69;snow=0.61,drylands_01_grassy,52.84
drylands,mid,flat,low,13634,grass;other;rock;forest;soil;snow,grass=71.54;other=14.65;rock=8.87;forest=2.81;soil=1.79;snow=0.33,drylands_01_grassy,61.5
drylands,mid,flat,mid,30646,grass;other;rock;forest;soil;snow,grass=65.71;other=21.94;rock=6.7;forest=4.12;soil=1.25;snow=0.28,drylands_01_grassy,60.97
drylands,mid,flat,high,20344,grass;other;rock;soil;forest;snow,grass=63.5;other=25.93;rock=6.84;soil=1.7;forest=1.55;snow=0.49,drylands_01_grassy,57.97
drylands,mid,valley,low,79462,grass;rock;other;forest;soil;snow,grass=77.72;rock=10.96;other=8.33;forest=1.22;soil=0.89;snow=0.88,drylands_01_grassy,74.14
drylands,mid,valley,mid,52286,grass;other;rock;forest;soil;snow,grass=74.4;other=14.73;rock=7.39;forest=1.52;soil=1.46;snow=0.5,drylands_01_grassy,72.53
drylands,mid,valley,high,15391,grass;other;rock;soil;forest;snow,grass=67.52;other=21.12;rock=8.21;soil=1.23;forest=1.13;snow=0.79,drylands_01_grassy,64.35
drylands,high,ridge,low,5738,grass;rock;other;soil;snow;forest,grass=66.97;rock=20.74;other=10.79;soil=1.13;snow=0.24;forest=0.12,drylands_01_grassy,66.19
drylands,high,ridge,mid,8807,grass;other;rock;soil;forest;snow,grass=79.7;other=11.47;rock=6.49;soil=1.36;forest=0.82;snow=0.16,drylands_01_grassy,79.4
drylands,high,ridge,high,28104,grass;other;rock;soil;snow;forest,grass=77.32;other=13.23;rock=7.02;soil=1.23;snow=0.98;forest=0.23,drylands_01_grassy,77.09
drylands,high,flat,low,9757,grass;rock;other;forest;soil;snow,grass=70.57;rock=14.05;other=13.31;forest=1.63;soil=0.28;snow=0.15,drylands_01_grassy,69.27
drylands,high,flat,mid,8803,grass;other;rock;forest;soil;snow,grass=75.63;other=13.64;rock=9.24;forest=0.84;soil=0.36;snow=0.28,drylands_01_grassy,75.08
drylands,high,flat,high,15781,grass;other;rock;soil;snow;forest,grass=77.13;other=12.27;rock=7.76;soil=1.67;snow=1.13;forest=0.03,drylands_01_grassy,76.86
drylands,high,valley,low,94156,grass;rock;other;snow;soil;forest,grass=72.36;rock=19.03;other=7.88;snow=0.3;soil=0.24;forest=0.19,drylands_01_grassy,71.52
drylands,high,valley,mid,21684,grass;rock;other;forest;soil;snow,grass=73.75;rock=13.97;other=11.49;forest=0.34;soil=0.29;snow=0.17,drylands_01_grassy,73.34
drylands,high,valley,high,14536,grass;rock;other;snow;soil;forest,grass=71.06;rock=14.35;other=11.86;snow=1.29;soil=1.18;forest=0.25,drylands_01_grassy,70.85
farmlands,low,ridge,low,39,soil;rock;forest;grass,soil=66.67;rock=28.21;forest=2.56;grass=2.56,wetlands_02_mud,53.85
farmlands,low,ridge,mid,1064,soil;forest;rock;snow;grass,soil=87.97;forest=5.83;rock=5.26;snow=0.56;grass=0.38,farmland_01,71.9
farmlands,low,ridge,high,1210,soil;rock;grass;forest;snow;other,soil=87.69;rock=4.46;grass=3.22;forest=2.48;snow=2.07;other=0.08,farmland_01,75.87
farmlands,low,flat,low,661,other;soil;rock;forest;grass;snow,other=41.15;soil=22.09;rock=21.03;forest=10.59;grass=4.39;snow=0.76,beach_02,41.15
farmlands,low,flat,mid,1108,soil;rock;forest;snow;grass,soil=74.73;rock=16.34;forest=4.78;snow=2.98;grass=1.17,farmland_01,69.4
farmlands,low,flat,high,1280,soil;rock;snow;grass;forest;other,soil=77.5;rock=8.52;snow=6.56;grass=5.0;forest=1.8;other=0.62,farmland_01,77.42
farmlands,low,valley,low,3561,soil;rock;snow;forest;other;grass,soil=57.51;rock=18.81;snow=10.95;forest=5.42;other=3.68;grass=3.62,farmland_01,54.9
farmlands,low,valley,mid,2731,soil;snow;grass;rock;forest;other,soil=61.44;snow=17.5;grass=8.53;rock=7.18;forest=4.72;other=0.62,farmland_01,57.78
farmlands,low,valley,high,1286,soil;snow;forest;rock;grass;other,soil=72.71;snow=9.41;forest=9.33;rock=5.13;grass=3.34;other=0.08,farmland_01,72.71
farmlands,mid,ridge,low,122,soil;snow;rock;forest;grass,soil=50.82;snow=22.13;rock=16.39;forest=9.02;grass=1.64,farmland_01,50.82
farmlands,mid,ridge,mid,556,soil;grass;forest;rock;snow,soil=46.94;grass=41.01;forest=8.45;rock=2.88;snow=0.72,farmland_01,46.04
farmlands,mid,ridge,high,1985,soil;forest;grass;snow;rock;other,soil=69.32;forest=11.39;grass=9.97;snow=3.73;rock=3.58;other=2.02,farmland_01,69.22
farmlands,mid,flat,low,803,soil;snow;rock;grass;forest;other,soil=54.3;snow=22.54;rock=12.45;grass=5.73;forest=4.73;other=0.25,farmland_01,54.17
farmlands,mid,flat,mid,1235,soil;grass;snow;forest;rock,soil=68.5;grass=15.22;snow=8.5;forest=5.26;rock=2.51,farmland_01,65.99
farmlands,mid,flat,high,1073,soil;forest;snow;grass;rock;other,soil=61.51;forest=13.05;snow=11.0;grass=7.36;rock=6.06;other=1.03,farmland_01,56.76
farmlands,mid,valley,low,9440,soil;rock;snow;forest;grass;other,soil=53.19;rock=25.1;snow=12.49;forest=5.43;grass=3.49;other=0.31,farmland_01,50.87
farmlands,mid,valley,mid,5643,soil;grass;rock;forest;snow;other,soil=72.44;grass=8.4;rock=6.56;forest=5.97;snow=5.92;other=0.71,farmland_01,70.33
farmlands,mid,valley,high,3439,soil;grass;snow;forest;rock;other,soil=74.09;grass=7.65;snow=6.69;forest=5.29;rock=4.65;other=1.63,farmland_01,71.13
farmlands,high,ridge,low,820,soil;forest;rock;grass;other;snow,soil=32.07;forest=25.24;rock=18.66;grass=17.56;other=3.54;snow=2.93,farmland_01,27.56
farmlands,high,ridge,mid,950,soil;forest;grass;rock;snow;other,soil=42.11;forest=21.37;grass=14.42;rock=11.58;snow=5.58;other=4.95,farmland_01,31.05
farmlands,high,ridge,high,2639,soil;grass;rock;snow;forest;other,soil=47.86;grass=34.18;rock=6.63;snow=5.19;forest=4.55;other=1.59,farmland_01,42.86
farmlands,high,flat,low,811,soil;grass;rock;forest;snow;other,soil=29.35;grass=27.87;rock=25.15;forest=7.89;snow=7.15;other=2.59,farmland_01,24.04
farmlands,high,flat,mid,665,grass;soil;forest;rock;snow;other,grass=33.23;soil=27.52;forest=17.44;rock=9.17;snow=8.57;other=4.06,steppe_grass,26.77
farmlands,high,flat,high,1201,grass;other;snow;soil;rock;forest,grass=32.89;other=22.31;snow=12.49;soil=12.49;rock=10.57;forest=9.24,steppe_grass,21.57
farmlands,high,valley,low,11195,soil;rock;snow;grass;other;forest,soil=64.8;rock=20.46;snow=7.09;grass=4.14;other=1.88;forest=1.63,farmland_01,63.63
farmlands,high,valley,mid,2607,soil;rock;snow;grass;other;forest,soil=68.16;rock=15.38;snow=5.6;grass=4.6;other=4.22;forest=2.03,farmland_01,67.89
farmlands,high,valley,high,2003,soil;grass;forest;rock;other;snow,soil=65.45;grass=10.73;forest=8.89;rock=6.64;other=6.39;snow=1.9,farmland_01,64.95
floodplains,low,ridge,mid,49,snow;soil;rock,snow=69.39;soil=26.53;rock=4.08,mountain_02_c_snow,69.39
floodplains,low,ridge,high,572,soil;other;snow;rock;forest;grass,soil=42.83;other=32.17;snow=11.89;rock=10.31;forest=1.75;grass=1.05,floodplains_01,40.38
floodplains,low,flat,low,827,rock;soil;other;grass;forest,rock=46.07;soil=45.95;other=6.29;grass=1.33;forest=0.36,floodplains_01,45.95
floodplains,low,flat,mid,2970,soil;rock;other;grass;snow;forest,soil=48.45;rock=18.86;other=10.34;grass=10.1;snow=8.52;forest=3.74,floodplains_01,41.62
floodplains,low,flat,high,6198,soil;rock;other;grass;snow;forest,soil=47.06;rock=30.41;other=12.52;grass=4.92;snow=3.76;forest=1.32,floodplains_01,44.0
floodplains,low,valley,low,9055,soil;rock;grass;other;snow;forest,soil=71.74;rock=17.4;grass=6.38;other=3.79;snow=0.45;forest=0.23,floodplains_01,71.44
floodplains,low,valley,mid,9777,soil;grass;rock;other;snow;forest,soil=56.54;grass=17.82;rock=9.93;other=7.49;snow=6.92;forest=1.3,floodplains_01,52.61
floodplains,low,valley,high,4777,soil;grass;snow;rock;other;forest,soil=55.01;grass=12.87;snow=10.68;rock=10.42;other=9.32;forest=1.7,floodplains_01,43.96
floodplains,mid,ridge,low,272,grass;soil;other;rock,grass=51.1;soil=36.76;other=7.35;rock=4.78,drylands_01_grassy,51.1
floodplains,mid,ridge,mid,443,soil;grass;rock;other;forest;snow,soil=44.24;grass=34.76;rock=10.61;other=5.64;forest=2.48;snow=2.26,floodplains_01,36.79
floodplains,mid,ridge,high,2318,soil;grass;other;rock;snow;forest,soil=32.4;grass=26.96;other=20.15;rock=12.77;snow=6.43;forest=1.29,drylands_01_grassy,25.75
floodplains,mid,flat,low,789,soil;rock;grass;other,soil=61.72;rock=21.93;grass=10.9;other=5.45,floodplains_01,61.6
floodplains,mid,flat,mid,3019,soil;grass;rock;other;forest;snow,soil=35.24;grass=23.48;rock=23.09;other=11.0;forest=5.27;snow=1.92,floodplains_01,32.86
floodplains,mid,flat,high,3334,grass;rock;soil;other;snow;forest,grass=28.79;rock=26.81;soil=21.84;other=17.97;snow=2.46;forest=2.13,drylands_01_grassy,28.16
floodplains,mid,valley,low,10571,soil;rock;grass;snow;other;forest,soil=52.44;rock=16.01;grass=12.36;snow=9.35;other=7.8;forest=2.04,floodplains_01,48.9
floodplains,mid,valley,mid,10990,soil;rock;grass;snow;other;forest,soil=40.06;rock=19.22;grass=14.17;snow=14.06;other=8.02;forest=4.48,floodplains_01,34.03
floodplains,mid,valley,high,5252,soil;grass;rock;other;snow;forest,soil=39.13;grass=21.08;rock=16.15;other=12.47;snow=10.13;forest=1.05,floodplains_01,35.83
floodplains,high,ridge,low,677,soil;grass;forest;snow;rock;other,soil=26.44;grass=24.37;forest=22.45;snow=16.69;rock=6.79;other=3.25,drylands_01_grassy,24.08
floodplains,high,ridge,mid,487,forest;soil;rock;grass;snow;other,forest=51.13;soil=28.34;rock=9.65;grass=4.93;snow=4.11;other=1.85,forest_jungle_01,43.33
floodplains,high,ridge,high,3425,soil;forest;grass;other;rock;snow,soil=26.63;forest=22.98;grass=18.6;other=15.07;rock=10.57;snow=6.16,floodplains_01,22.95
floodplains,high,flat,low,627,grass;soil;other;forest;snow;rock,grass=31.9;soil=20.41;other=17.7;forest=15.95;snow=7.34;rock=6.7,drylands_01_grassy,30.14
floodplains,high,flat,mid,666,soil;grass;other;forest;snow;rock,soil=34.68;grass=28.83;other=17.12;forest=11.71;snow=3.9;rock=3.75,floodplains_01,24.77
floodplains,high,flat,high,1227,soil;other;grass;forest;rock;snow,soil=36.02;other=26.73;grass=17.6;forest=9.21;rock=6.68;snow=3.75,floodplains_01,29.01
floodplains,high,valley,low,7237,soil;snow;rock;other;forest;grass,soil=45.65;snow=18.65;rock=13.94;other=12.95;forest=5.29;grass=3.51,floodplains_01,35.19
floodplains,high,valley,mid,3118,soil;rock;other;snow;grass;forest,soil=41.37;rock=14.91;other=13.82;snow=12.38;grass=10.87;forest=6.64,floodplains_01,24.7
floodplains,high,valley,high,1570,soil;other;snow;grass;rock;forest,soil=43.18;other=26.05;snow=16.94;grass=6.05;rock=4.27;forest=3.5,floodplains_01,28.66
forest,low,ridge,low,2769,forest;snow;rock;other;grass,forest=57.82;snow=33.44;rock=7.84;other=0.83;grass=0.07,forest_leaf_01,54.6
forest,low,ridge,mid,18956,forest;snow;rock;other;grass;soil,forest=76.77;snow=13.66;rock=8.61;other=0.43;grass=0.33;soil=0.2,forest_leaf_01,75.82
forest,low,ridge,high,20731,forest;snow;rock;other;soil;grass,forest=75.67;snow=14.09;rock=8.38;other=1.53;soil=0.25;grass=0.07,forest_leaf_01,74.48
forest,low,flat,low,13217,forest;rock;snow;other;soil;grass,forest=55.19;rock=22.77;snow=20.62;other=0.96;soil=0.33;grass=0.12,forest_leaf_01,55.01
forest,low,flat,mid,55908,forest;snow;rock;other;soil;grass,forest=81.75;snow=8.86;rock=8.82;other=0.24;soil=0.24;grass=0.09,forest_leaf_01,80.74
forest,low,flat,high,26471,forest;snow;rock;other;soil,forest=78.65;snow=10.15;rock=10.07;other=0.68;soil=0.45,forest_leaf_01,77.91
forest,low,valley,low,36396,forest;snow;rock;grass;other;soil,forest=60.91;snow=19.77;rock=17.51;grass=1.36;other=0.41;soil=0.04,forest_leaf_01,59.96
forest,low,valley,mid,41018,forest;snow;rock;other;grass;soil,forest=78.34;snow=10.82;rock=9.75;other=0.5;grass=0.46;soil=0.12,forest_leaf_01,76.85
forest,low,valley,high,11124,forest;rock;snow;soil;other;grass,forest=81.29;rock=10.07;snow=8.15;soil=0.28;other=0.2;grass=0.01,forest_leaf_01,78.94
forest,mid,ridge,low,8845,forest;snow;rock;other;grass;soil,forest=70.12;snow=16.5;rock=10.62;other=1.23;grass=1.22;soil=0.32,forest_leaf_01,69.52
forest,mid,ridge,mid,18694,forest;snow;rock;grass;other;soil,forest=82.68;snow=9.48;rock=6.17;grass=1.07;other=0.34;soil=0.25,forest_leaf_01,80.81
forest,mid,ridge,high,36319,forest;snow;rock;grass;soil;other,forest=84.72;snow=8.24;rock=3.47;grass=1.69;soil=1.02;other=0.86,forest_leaf_01,82.15
forest,mid,flat,low,14429,forest;snow;rock;grass;other;soil,forest=64.38;snow=20.76;rock=12.83;grass=1.1;other=0.92;soil=0.01,forest_leaf_01,63.21
forest,mid,flat,mid,30291,forest;rock;snow;other;grass;soil,forest=79.95;rock=12.01;snow=7.73;other=0.17;grass=0.09;soil=0.06,forest_leaf_01,79.48
forest,mid,flat,high,17809,forest;snow;rock;other;grass;soil,forest=81.87;snow=9.04;rock=7.05;other=1.02;grass=0.72;soil=0.29,forest_leaf_01,80.81
forest,mid,valley,low,68408,forest;snow;rock;grass;soil;other,forest=73.03;snow=15.11;rock=9.57;grass=0.88;soil=0.73;other=0.69,forest_leaf_01,71.7
forest,mid,valley,mid,48795,forest;rock;snow;soil;other;grass,forest=79.69;rock=10.21;snow=8.45;soil=0.81;other=0.48;grass=0.36,forest_leaf_01,78.05
forest,mid,valley,high,15957,forest;snow;rock;soil;other;grass,forest=82.27;snow=8.44;rock=7.41;soil=0.86;other=0.7;grass=0.32,forest_leaf_01,82.12
forest,high,ridge,low,12385,forest;snow;rock;other;soil;grass,forest=73.25;snow=14.92;rock=7.82;other=1.47;soil=1.4;grass=1.14,forest_leaf_01,73.25
forest,high,ridge,mid,14980,forest;snow;rock;soil;grass;other,forest=74.15;snow=12.21;rock=5.73;soil=3.7;grass=2.31;other=1.89,forest_leaf_01,73.55
forest,high,ridge,high,47447,forest;snow;rock;soil;other;grass,forest=76.78;snow=14.65;rock=3.45;soil=2.08;other=1.67;grass=1.37,forest_leaf_01,73.65
forest,high,flat,low,13356,forest;snow;rock;soil;grass;other,forest=77.05;snow=12.12;rock=6.47;soil=2.05;grass=1.37;other=0.94,forest_leaf_01,77.01
forest,high,flat,mid,12853,forest;snow;rock;other;grass;soil,forest=85.09;snow=7.73;rock=3.42;other=2.09;grass=1.07;soil=0.6,forest_leaf_01,84.95
forest,high,flat,high,14588,forest;snow;other;rock;grass;soil,forest=81.53;snow=7.24;other=5.41;rock=3.81;grass=1.17;soil=0.84,forest_leaf_01,80.96
forest,high,valley,low,75691,forest;snow;rock;soil;other;grass,forest=79.56;snow=8.6;rock=7.83;soil=1.86;other=1.45;grass=0.68,forest_leaf_01,79.08
forest,high,valley,mid,24610,forest;snow;rock;other;grass;soil,forest=84.21;snow=6.94;rock=4.16;other=2.62;grass=1.32;soil=0.75,forest_leaf_01,83.97
forest,high,valley,high,14127,forest;snow;rock;other;grass;soil,forest=80.07;snow=8.94;rock=4.49;other=4.2;grass=1.95;soil=0.34,forest_leaf_01,79.76
hills,low,ridge,low,7319,rock;grass;other;soil;forest;snow,rock=47.73;grass=19.7;other=17.07;soil=7.41;forest=7.35;snow=0.75,drylands_01_grassy,17.07
hills,low,ridge,mid,28147,rock;grass;other;forest;soil;snow,rock=42.23;grass=38.59;other=8.03;forest=7.01;soil=3.98;snow=0.15,drylands_01_grassy,33.23
hills,low,ridge,high,28280,rock;grass;other;forest;soil;snow,rock=39.07;grass=32.61;other=10.76;forest=6.75;soil=6.22;snow=4.59,drylands_01_grassy,17.32
hills,low,flat,low,17509,rock;grass;other;forest;soil;snow,rock=36.43;grass=31.78;other=18.84;forest=7.38;soil=5.06;snow=0.5,drylands_01_grassy,29.16
hills,low,flat,mid,25277,grass;rock;other;forest;soil;snow,grass=40.21;rock=35.7;other=12.3;forest=8.23;soil=3.49;snow=0.07,drylands_01_grassy,38.71
hills,low,flat,high,7819,rock;grass;other;forest;soil;snow,rock=36.99;grass=31.26;other=17.24;forest=8.76;soil=3.88;snow=1.88,drylands_01_grassy,28.9
hills,low,valley,low,33375,rock;grass;other;forest;soil;snow,rock=36.72;grass=33.35;other=21.2;forest=5.1;soil=2.1;snow=1.53,drylands_01_grassy,31.5
hills,low,valley,mid,15551,rock;grass;other;soil;forest;snow,rock=37.44;grass=37.12;other=18.55;soil=4.17;forest=2.25;snow=0.47,drylands_01_grassy,36.28
hills,low,valley,high,3538,rock;other;grass;forest;soil;snow,rock=38.19;other=31.71;grass=25.16;forest=2.8;soil=1.36;snow=0.79,hills_01,30.47
hills,mid,ridge,low,32272,rock;other;grass;forest;soil;snow,rock=36.86;other=25.07;grass=23.12;forest=9.16;soil=4.44;snow=1.36,hills_01,21.91
hills,mid,ridge,mid,76394,rock;grass;other;forest;soil;snow,rock=36.51;grass=28.37;other=17.48;forest=11.93;soil=4.89;snow=0.83,drylands_01_grassy,21.22
hills,mid,ridge,high,91155,rock;grass;other;soil;forest;snow,rock=34.54;grass=26.93;other=15.42;soil=9.94;forest=7.54;snow=5.63,hills_01,13.24
hills,mid,flat,low,38063,rock;grass;other;forest;soil;snow,rock=40.82;grass=24.05;other=21.15;forest=10.63;soil=2.37;snow=0.97,drylands_01_grassy,20.97
