province,centroid_x,centroid_y_top,loc_x,loc_y,loc_z,dx,dz_if_bottom_origin,dz_if_top_origin
45,473.0,1194.5,464.511353,0.0,3407.317383,-8.5,6.2,2212.8
46,473.4,1165.0,473.436432,0.0,3437.441895,0.1,5.5,2272.4
47,514.9,1181.6,510.077637,0.0,3419.085449,-4.8,7.3,2237.4
48,534.4,1174.6,532.038757,0.0,3426.923828,-2.3,6.5,2252.3
49,555.4,1224.2,554.077637,0.0,3383.085449,-1.3,0.7,2158.9
50,526.8,1205.1,522.077698,0.0,3391.086426,-4.7,11.8,2186.0
51,548.0,1201.0,545.343506,0.0,3406.691406,-2.7,0.3,2205.7
52,437.2,1223.0,429.076477,0.0,3374.85791,-8.1,10.1,2151.8
53,504.6,1233.7,518.087891,0.0,3364.27002,13.5,10.1,2130.6
54,485.8,1251.9,485.429047,0.0,3350.476562,-0.4,5.6,2098.6
55,1522.7,909.7,1537.077637,0.0,3692.085449,14.3,6.2,2782.4
56,1496.1,967.7,1489.285278,0.0,3635.871582,-6.8,4.4,2668.2
57,1534.6,977.0,1539.903442,0.0,3625.371094,5.3,5.6,2648.3
58,1525.2,1007.9,1525.250977,0.0,3600.435547,0.0,-0.4,2592.5
59,1477.9,1034.8,1475.49707,0.0,3563.152344,-2.4,10.0,2528.3
60,1469.9,1083.4,1480.333008,0.0,3527.6875,10.5,-3.1,2444.3
61,1500.0,1079.3,1497.893188,0.0,3527.969238,-2.1,0.7,2448.7
62,1504.5,1109.0,1505.026001,0.0,3496.114258,0.5,2.9,2387.1
63,1608.1,1023.3,1604.817383,0.0,3582.803711,-3.3,1.9,2559.5
64,1621.7,1058.8,1628.014893,0.0,3553.745117,6.4,-4.5,2495.0
65,1547.0,1042.2,1543.591187,0.0,3560.736328,-3.4,5.0,2518.5
66,1549.0,1069.1,1533.436401,0.0,3545.35498,-15.6,-6.5,2476.2
67,1615.9,1087.9,1611.810669,0.0,3525.631836,-4.1,-5.5,2437.8
68,1588.5,1088.1,1591.077637,0.0,3511.085449,2.6,8.8,2423.0
69,1590.9,1040.5,1587.130981,0.0,3559.709961,-3.8,7.8,2519.2
70,1681.4,1017.4,1668.077637,0.0,3588.085449,-13.3,2.5,2570.7
71,1680.0,1040.4,1674.077637,0.0,3568.085449,-5.9,-0.5,2527.7
72,1712.5,1032.7,1712.474487,0.0,3564.093262,-0.0,11.2,2531.4
73,1674.8,988.5,1675.650635,0.0,3615.810547,0.9,3.7,2627.3
74,1659.9,928.4,1655.765991,0.0,3673.305176,-4.2,6.3,2744.9
75,1636.8,900.2,1634.077637,0.0,3703.085449,-2.8,4.7,2802.9
76,1680.2,959.7,1671.33728,0.0,3644.150391,-8.9,4.2,2684.5
77,1755.9,1071.4,1759.077637,0.0,3533.085449,3.2,3.6,2461.7
78,1753.3,987.7,1751.452271,0.0,3615.01123,-1.8,5.3,2627.3
79,1774.9,986.7,1780.077637,0.0,3617.085449,5.2,4.2,2630.3
80,1796.1,994.4,1803.498413,0.0,3614.693848,7.4,-1.1,2620.3
81,1521.8,935.7,1523.640747,0.0,3671.482422,1.8,0.8,2735.8
82,1454.6,985.3,1460.077637,0.0,3629.085449,5.4,-6.4,2643.8
83,1457.2,1040.3,1452.826904,0.0,3562.307617,-4.4,5.4,2522.0
84,1462.2,1113.1,1463.264404,0.0,3492.842773,1.1,2.0,2379.7
85,1637.7,1026.1,1647.077637,0.0,3579.085449,9.3,2.8,2553.0
86,1710.1,995.3,1706.471436,0.0,3603.86084,-3.6,8.8,2608.5
87,1732.1,997.6,1729.635498,0.0,3608.397949,-2.5,2.0,2610.8
88,2078.8,861.5,2078.077637,0.0,3742.085449,-0.7,4.4,2880.6
89,2100.4,849.6,2114.077637,0.0,3755.085449,13.7,3.3,2905.5
90,2120.5,841.4,2119.340576,0.0,3766.90918,-1.2,-0.3,2925.5
91,2090.9,821.8,2088.077637,0.0,3778.085449,-2.8,8.1,2956.3
92,2134.4,819.9,2131.077637,0.0,3781.085449,-3.4,7.0,2961.2
93,2151.0,848.7,2147.077637,0.0,3758.085449,-3.9,1.3,2909.4
94,2164.3,800.3,2157.077637,0.0,3806.085449,-7.2,1.6,3005.8
95,2164.5,823.7,2157.82666,0.0,3779.546875,-6.6,4.8,2955.9
96,2191.5,824.9,2186.077637,0.0,3783.085449,-5.4,-0.0,2958.2
97,2209.3,803.0,2204.108398,0.0,3799.182617,-5.2,5.9,2996.2
98,2248.3,812.2,2245.461426,0.0,3804.913086,-2.9,-9.1,2992.7
99,2178.3,855.5,2174.343506,0.0,3751.039551,-4.0,1.4,2895.5
100,2197.9,858.3,2198.077637,0.0,3737.085449,0.2,12.7,2878.8
101,2191.6,929.4,2187.077637,0.0,3683.085449,-4.5,-4.5,2753.7
102,2207.9,918.9,2208.077637,0.0,3684.085449,0.2,5.0,2765.2
103,2219.3,974.8,2215.662842,0.0,3630.182129,-3.7,3.0,2655.4
104,2153.5,965.3,2149.077637,0.0,3638.085449,-4.4,4.6,2672.7
105,2169.0,1003.4,2163.000488,0.0,3599.137207,-6.0,5.5,2595.8
106,2137.3,993.4,2145.109863,0.0,3606.925293,7.9,7.7,2613.5
107,2170.1,982.1,2166.077637,0.0,3626.085449,-4.0,-0.2,2644.0
108,2183.0,956.3,2171.976807,0.0,3651.733398,-11.0,-0.1,2695.4
109,2209.5,945.6,2211.077637,0.0,3661.085449,1.6,1.3,2715.4
110,2068.9,926.7,2061.829346,0.0,3685.552246,-7.0,-4.3,2758.8
111,2089.2,1003.2,2089.077637,0.0,3603.085449,-0.2,1.7,2599.9
112,2114.5,945.2,2105.001953,0.0,3662.841797,-9.5,-0.0,2717.7
113,2077.4,961.6,2062.446289,0.0,3650.167969,-15.0,-3.8,2688.5
114,2052.7,975.7,2047.077637,0.0,3627.085449,-5.6,5.2,2651.4
115,2066.4,1030.7,2063.077637,0.0,3577.085449,-3.3,0.2,2546.4
116,2057.9,1005.9,2060.077637,0.0,3595.085449,2.2,7.0,2589.2
117,2094.4,918.2,2090.722412,0.0,3688.614258,-3.7,1.2,2770.4
118,2064.7,1054.4,2064.755615,0.0,3551.602051,0.1,2.0,2497.2
119,2075.7,1087.5,2077.623535,0.0,3517.293457,1.9,3.2,2429.8
120,2096.3,1103.2,2098.077637,0.0,3500.085449,1.7,4.7,2396.9
121,2117.5,975.8,2110.077637,0.0,3628.085449,-7.4,4.1,2652.3
122,2051.3,1101.9,2043.077637,0.0,3507.085449,-8.2,-1.0,2405.2
123,2128.7,1078.9,2120.999756,0.0,3525.19873,-7.7,3.9,2446.3
124,2136.8,1060.6,2133.077637,0.0,3543.085449,-3.8,4.3,2482.5
125,2093.7,1072.9,2095.129395,0.0,3533.604492,1.4,1.5,2460.7
126,2098.0,1050.0,2108.851318,0.0,3556.336914,10.9,1.7,2506.3
127,2145.7,1032.3,2139.077637,0.0,3570.085449,-6.6,5.7,2537.8
128,2111.0,1022.0,2113.839844,0.0,3579.829102,2.9,6.1,2557.8
129,2165.2,1079.7,2167.077637,0.0,3529.085449,1.8,-0.8,2449.3
130,2206.3,1104.9,2205.991699,0.0,3495.114258,-0.3,8.0,2390.2
131,2193.2,1080.4,2185.369141,0.0,3522.667969,-7.8,4.9,2442.3
132,2177.7,1053.3,2168.363525,0.0,3549.379883,-9.4,5.4,2496.1
133,2206.6,997.1,2204.867676,0.0,3603.668945,-1.7,7.2,2606.6
134,2203.9,966.3,2203.077637,0.0,3637.085449,-0.9,4.6,2670.8
135,2242.0,983.5,2236.111084,0.0,3622.469238,-5.9,2.1,2639.0
136,2258.4,995.9,2257.48999,0.0,3610.522949,-0.9,1.5,2614.6
137,2270.3,1018.4,2270.095947,0.0,3593.625977,-0.2,-4.0,2575.2
138,2282.5,987.1,2278.48877,0.0,3613.604492,-4.0,7.3,2626.5
139,2237.5,957.8,2237.780518,0.0,3640.79834,0.3,9.4,2683.0
140,2265.7,962.6,2268.077637,0.0,3633.085449,2.4,12.3,2670.5
141,2259.3,929.4,2260.580322,0.0,3675.142578,1.3,3.5,2745.7
142,2232.6,931.6,2228.270996,0.0,3673.910156,-4.3,2.5,2742.4
143,2267.6,900.9,2262.454346,0.0,3711.17041,-5.1,-4.1,2810.2
144,2235.4,902.5,2233.789795,0.0,3700.910156,-1.6,4.6,2798.4
145,2242.9,869.4,2239.938721,0.0,3738.249023,-3.0,0.3,2868.8
146,2222.2,837.4,2216.776855,0.0,3759.877441,-5.4,10.8,2922.5
147,2213.3,885.0,2210.660645,0.0,3720.484375,-2.6,2.5,2835.5
148,2188.5,894.4,2180.26001,0.0,3713.247559,-8.2,0.4,2818.9
149,2221.7,1081.6,2221.130127,0.0,3520.682129,-0.5,5.7,2439.1
150,2237.6,1017.8,2238.077637,0.0,3587.085449,0.5,3.2,2569.3
151,2237.4,1054.1,2236.218506,0.0,3533.927734,-1.2,20.0,2479.8
152,2201.1,1029.9,2185.977539,0.0,3578.429688,-15.1,-0.4,2548.5
153,2226.3,1119.6,2224.077637,0.0,3485.085449,-2.2,3.3,2365.5
154,2246.5,1102.0,2249.167725,0.0,3504.466797,2.6,1.6,2402.5
155,2253.3,1125.2,2265.467529,0.0,3498.522461,12.2,-15.7,2373.3
156,2133.3,1100.7,2130.882812,0.0,3510.263672,-2.4,-3.0,2409.5
157,2120.4,1140.1,2124.077637,0.0,3463.085449,3.7,4.9,2323.0
158,2165.2,1117.4,2185.906006,0.0,3495.121094,20.7,-4.6,2377.7
159,2241.4,1156.3,2240.077637,0.0,3448.085449,-1.4,3.6,2291.8
160,2212.4,1145.0,2211.33374,0.0,3458.311523,-1.1,4.7,2313.4
161,2216.1,1181.7,2215.706055,0.0,3418.564453,-0.4,7.7,2236.8
162,2181.6,1156.3,2165.17749,0.0,3446.827637,-16.5,4.9,2290.6
163,2146.7,1166.4,2148.077637,0.0,3431.085449,1.4,10.5,2264.7
164,2252.2,1187.4,2246.077637,0.0,3417.085449,-6.1,3.5,2229.7
165,2275.2,1138.7,2264.874268,0.0,3462.554199,-10.3,6.7,2323.8
166,2269.6,1074.0,2272.276611,0.0,3514.203613,2.6,19.8,2440.2
167,2281.1,796.1,2280.29834,0.0,3828.321289,-0.8,-16.4,3032.2
168,2318.4,784.1,2330.077637,0.0,3817.085449,11.6,6.8,3033.0
169,2359.2,781.9,2354.077637,0.0,3818.085449,-5.1,8.1,3036.2
170,2344.3,753.8,2350.077637,0.0,3848.085449,5.8,6.1,3094.3
171,2326.7,734.5,2324.077637,0.0,3871.085449,-2.6,2.4,3136.6
172,2309.6,700.3,2312.20166,0.0,3906.12793,2.6,1.5,3205.8
173,2289.5,728.4,2282.266846,0.0,3868.282715,-7.3,11.3,3139.9
174,2316.7,643.4,2316.350342,0.0,3957.128418,-0.3,7.5,3313.7
175,2189.9,724.6,2189.077637,0.0,3876.085449,-0.8,7.3,3151.5
176,2154.0,725.2,2155.077637,0.0,3875.085449,1.1,7.7,3149.9
177,2114.9,738.4,2106.678711,0.0,3856.468262,-8.2,13.1,3118.1
178,2088.6,723.8,2080.077637,0.0,3879.085449,-8.6,5.1,3155.3
179,2059.5,709.3,2058.32959,0.0,3894.071289,-1.2,4.6,3184.7
180,2028.3,694.8,2036.077637,0.0,3907.085449,7.8,6.2,3212.3
181,2285.1,663.7,2276.415039,0.0,3929.702148,-8.7,14.6,3266.0
182,2264.8,703.7,2266.631836,0.0,3898.095215,1.9,6.3,3194.4
183,2035.5,661.4,2040.254761,0.0,3944.336426,4.7,2.3,3282.9
184,2075.6,671.3,2072.858887,0.0,3933.367188,-2.7,3.3,3262.1
185,2030.5,630.0,2035.049316,0.0,3973.588379,4.6,4.4,3343.5
186,2067.3,626.9,2077.077637,0.0,3971.085449,9.8,10.0,3344.1
187,2230.0,686.6,2237.077637,0.0,3917.085449,7.0,4.4,3230.5
188,2218.0,652.7,2223.208252,0.0,3945.614258,5.2,9.7,3292.9
189,2249.6,648.9,2244.721191,0.0,3950.44043,-4.9,8.7,3301.5
190,2261.6,623.3,2260.689941,0.0,3980.489258,-0.9,4.2,3357.2
191,2347.6,633.7,2349.838867,0.0,3959.069336,2.2,15.2,3325.3
192,2383.5,655.0,2377.077637,0.0,3939.085449,-6.4,13.9,3284.1
193,2413.2,680.2,2400.828613,0.0,3918.148926,-12.4,9.7,3238.0
194,2399.2,523.7,2407.077637,0.0,4075.085449,7.9,9.2,3551.4
195,2424.7,633.1,2423.717285,0.0,3965.957031,-0.9,8.9,3332.8
196,2455.5,661.9,2437.302979,0.0,3944.250488,-18.2,1.8,3282.3
197,2224.2,712.8,2236.077637,0.0,3892.085449,11.9,3.1,3179.3
198,2443.1,591.5,2443.991211,0.0,4018.146484,0.8,-1.6,3426.7
199,2412.1,584.3,2409.92749,0.0,4022.354492,-2.1,1.3,3438.0
200,2336.7,597.2,2324.264648,0.0,3994.418457,-12.5,16.4,3397.2
201,2375.5,619.0,2383.077637,0.0,3983.085449,7.6,6.0,3364.1
202,2378.8,570.7,2379.077637,0.0,4030.085449,0.3,7.2,3459.4
203,2289.2,616.0,2286.077637,0.0,3988.085449,-3.1,3.9,3372.1
204,2299.4,582.9,2303.189941,0.0,4018.182617,3.8,6.9,3435.2
205,2140.7,682.7,2132.203613,0.0,3925.18457,-8.5,0.1,3242.5
206,2114.1,694.9,2119.586914,0.0,3918.651855,5.5,-5.5,3223.8
207,2180.0,656.7,2180.881836,0.0,3941.655762,0.8,9.6,3284.9
208,2181.6,691.8,2180.724365,0.0,3902.580566,-0.9,13.6,3210.8
209,2163.8,611.9,2169.758301,0.0,3987.526367,5.9,8.5,3375.6
210,2080.3,569.4,2084.483643,0.0,4042.584473,4.2,-4.0,3473.2
211,2127.3,643.2,2119.990967,0.0,3966.804199,-7.4,-2.0,3323.6
212,2109.9,604.2,2105.908691,0.0,3998.848633,-4.0,5.0,3394.7
213,2005.9,553.0,2008.462036,0.0,4049.63916,2.5,5.3,3496.6
214,2024.8,595.7,2015.077637,0.0,4009.085449,-9.7,3.2,3413.4
215,2029.7,565.6,2026.077637,0.0,4032.085449,-3.6,10.3,3466.5
216,1967.6,717.9,1958.432739,0.0,3892.711914,-9.2,-2.6,3174.8
217,1971.0,730.9,1967.077637,0.0,3878.085449,-3.9,-0.9,3147.2
218,2413.7,462.4,2412.810547,0.0,4128.725098,-0.9,16.8,3666.3
219,2365.9,428.2,2361.048584,0.0,4174.463379,-4.9,5.3,3746.2
220,1450.2,1078.0,1449.360962,0.0,3518.417969,-0.8,11.6,2440.4
221,1464.2,961.6,1458.077637,0.0,3644.085449,-6.1,2.3,2682.5
222,1497.2,1001.9,1496.105103,0.0,3604.124512,-1.1,2.0,2602.2
223,1477.0,987.2,1482.077637,0.0,3615.085449,5.1,5.7,2627.9
224,1528.2,956.9,1525.077637,0.0,3647.085449,-3.1,4.0,2690.2
225,1459.6,1010.2,1457.69519,0.0,3596.711426,-1.9,1.1,2586.5
226,1561.8,973.6,1560.077637,0.0,3632.085449,-1.7,2.3,2658.5
227,1499.3,1025.6,1504.058228,0.0,3578.415527,4.8,4.0,2552.8
228,1525.7,1044.7,1521.077637,0.0,3554.085449,-4.6,9.3,2509.4
229,1620.3,855.9,1622.559692,0.0,3742.425781,2.2,9.7,2886.5
230,1606.0,790.8,1595.077637,0.0,3828.085449,-10.9,-10.9,3037.3
231,1592.3,755.4,1590.672363,0.0,3843.377441,-1.7,9.2,3088.0
232,1628.8,718.4,1637.278076,0.0,3890.044922,8.5,-0.5,3171.6
233,1554.9,699.9,1564.94873,0.0,3907.024414,10.0,1.0,3207.1
234,1594.7,711.5,1593.817505,0.0,3891.581055,-0.9,4.9,3180.1
235,1583.3,672.5,1586.476196,0.0,3929.563965,3.2,6.0,3257.1
236,1614.4,657.3,1620.081787,0.0,3941.200195,5.7,9.5,3283.9
237,1578.3,588.7,1572.077637,0.0,4008.085449,-6.3,11.2,3419.4
238,1597.0,626.7,1590.839233,0.0,3974.193848,-6.2,7.1,3347.5
239,1626.8,581.6,1631.077637,0.0,4021.085449,4.3,5.4,3439.5
240,1640.0,639.0,1644.077637,0.0,3956.085449,4.1,12.9,3317.1
241,1605.5,532.8,1605.077637,0.0,4083.085449,-0.4,-7.9,3550.3
242,1628.3,504.9,1620.431519,0.0,4100.231934,-7.9,2.8,3595.3
243,1652.2,468.4,1655.316895,0.0,4144.223633,3.1,-4.6,3675.8
244,1688.4,424.1,1688.960693,0.0,4181.941895,0.6,1.9,3757.8
245,1631.6,423.0,1632.258057,0.0,4181.51709,0.6,3.5,3758.5
246,1562.3,735.3,1568.699463,0.0,3863.649902,6.4,9.0,3128.3
247,1514.9,716.9,1517.077637,0.0,3901.085449,2.1,-9.9,3184.2
248,1512.6,785.2,1507.617798,0.0,3817.705566,-5.0,5.1,3032.5
249,1482.8,807.9,1478.717285,0.0,3788.411133,-4.1,11.7,2980.5
250,1446.0,782.6,1455.077637,0.0,3821.085449,9.1,4.3,3038.5
251,1400.5,815.0,1402.408325,0.0,3792.374023,1.9,0.6,2977.4
252,1378.4,783.1,1368.077637,0.0,3814.085449,-10.3,10.8,3031.0
253,1408.2,740.1,1407.88855,0.0,3865.010254,-0.4,2.9,3124.9
254,1371.7,738.3,1365.904175,0.0,3864.063477,-5.8,5.6,3125.8
255,1433.9,689.3,1431.486816,0.0,3907.376465,-2.4,11.3,3218.1
256,1388.1,712.0,1385.734009,0.0,3890.135742,-2.4,5.8,3178.1
257,1380.9,681.0,1376.578125,0.0,3922.824707,-4.4,4.2,3241.9
258,1384.7,660.2,1387.727661,0.0,3941.900879,3.0,5.9,3281.7
259,1442.4,659.1,1451.223999,0.0,3947.212402,8.8,1.7,3288.1
260,1461.9,624.5,1459.05188,0.0,3995.111084,-2.9,-11.6,3370.6
261,1383.5,635.7,1390.192017,0.0,3965.345703,6.7,6.9,3329.6
262,1420.4,632.6,1414.135254,0.0,3973.27002,-6.3,2.2,3340.7
263,1420.2,611.9,1431.077637,0.0,3992.085449,10.8,4.0,3380.1
264,1378.5,613.8,1370.647217,0.0,3989.757324,-7.9,4.5,3376.0
265,1390.0,582.2,1393.86853,0.0,4027.15332,3.8,-1.3,3445.0
266,1433.4,589.5,1423.077637,0.0,4015.085449,-10.3,3.4,3425.6
267,1432.0,554.8,1431.116821,0.0,4049.550781,-0.9,3.7,3494.8
268,1474.1,533.5,1475.151855,0.0,4069.205078,1.0,5.3,3535.8
269,1509.0,514.1,1506.455811,0.0,4086.973145,-2.5,7.0,3572.9
270,1565.9,492.6,1557.643188,0.0,4116.464355,-8.2,-1.1,3623.8
271,1551.4,531.7,1554.112183,0.0,4065.031738,2.7,11.3,3533.3
272,1524.6,472.2,1537.077637,0.0,4133.085449,12.5,2.7,3660.9
273,1598.6,455.9,1593.02063,0.0,4148.092773,-5.6,4.0,3692.2
274,1661.2,376.0,1657.25,0.0,4217.20459,-3.9,14.8,3841.2
275,1710.2,288.6,1705.077637,0.0,4313.085449,-5.1,6.4,4024.5
276,1679.3,322.4,1680.626343,0.0,4277.54541,1.3,8.0,3955.1
277,1753.4,265.6,1735.971191,0.0,4335.387695,-17.4,7.0,4069.8
278,1778.1,214.2,1750.768433,0.0,4392.509766,-27.3,1.3,4178.4
279,1829.3,165.1,1809.273926,0.0,4435.536621,-20.0,7.3,4270.4
280,1756.4,170.3,1756.594604,0.0,4429.244141,0.2,8.4,4258.9
282,1716.2,516.7,1718.672607,0.0,4090.291992,2.5,1.0,3573.6
283,1700.8,362.6,1699.991577,0.0,4237.752441,-0.8,7.6,3875.1
284,1725.3,318.2,1726.337524,0.0,4284.527344,1.0,5.3,3966.4
285,1609.9,755.4,1612.138916,0.0,3856.205078,2.2,-3.6,3100.8
286,1561.8,763.3,1570.566284,0.0,3839.67334,8.8,5.0,3076.3
287,1540.1,767.5,1547.189453,0.0,3824.69043,7.1,15.8,3057.2
288,1509.5,752.7,1511.077637,0.0,3847.085449,1.5,8.3,3094.4
289,1445.0,833.2,1439.545044,0.0,3769.461426,-5.5,5.3,2936.2
290,1410.8,777.6,1406.536499,0.0,3828.248047,-4.3,2.1,3050.6
291,1660.6,544.5,1652.729248,0.0,4073.637695,-7.9,-10.1,3529.2
292,1437.6,807.0,1435.970459,0.0,3798.679199,-1.6,2.3,2991.6
293,1527.3,561.4,1523.24585,0.0,4043.438965,-4.1,3.2,3482.1
294,1707.7,471.3,1714.077637,0.0,4140.085449,6.4,-3.4,3668.8
295,1721.6,493.6,1719.077637,0.0,4111.085449,-2.5,3.3,3617.5
296,1681.7,500.1,1681.150635,0.0,4106.334961,-0.5,1.6,3606.3
297,1706.9,552.2,1699.688843,0.0,4054.268555,-7.2,1.5,3502.0
298,1741.5,575.9,1747.320801,0.0,4028.389648,5.9,3.7,3452.4
300,1704.9,949.3,1697.578613,0.0,3638.759277,-7.4,19.9,2689.5
301,1700.5,912.2,1706.945679,0.0,3691.818359,6.5,4.0,2779.7
302,1769.7,959.0,1770.856445,0.0,3640.795898,1.2,8.2,2681.8
303,1732.6,956.9,1731.756226,0.0,3633.20459,-0.9,17.9,2676.3
304,1753.2,961.3,1749.276489,0.0,3647.228027,-4.0,-0.5,2685.9
305,1754.8,932.0,1759.959229,0.0,3672.223145,5.2,3.7,2740.2
306,1779.2,937.3,1772.049683,0.0,3678.337402,-7.1,-7.6,2741.1
307,1811.0,950.5,1821.01709,0.0,3658.494141,10.0,-1.0,2708.0
308,1805.7,928.6,1801.931274,0.0,3676.367676,-3.8,3.0,2747.7
309,1798.2,904.4,1802.077637,0.0,3708.085449,3.9,-4.5,2803.7
310,1804.2,876.3,1814.860596,0.0,3728.23291,10.7,3.5,2851.9
311,1748.6,913.2,1755.047729,0.0,3691.827637,6.4,3.0,2778.7
312,1735.9,886.2,1728.220581,0.0,3727.720703,-7.7,-5.9,2841.5
313,1771.6,886.8,1775.077637,0.0,3717.085449,3.5,4.1,2830.3
314,1844.8,944.2,1842.077637,0.0,3656.085449,-2.8,7.7,2711.9
315,1832.1,977.4,1833.077637,0.0,3627.085449,1.0,3.5,2649.7
316,1707.0,819.5,1698.678955,0.0,3776.094727,-8.3,12.4,2956.6
317,1658.9,855.5,1654.077637,0.0,3750.085449,-4.8,2.4,2894.6
318,1644.0,880.9,1627.084595,0.0,3724.484863,-17.0,2.6,2843.6
319,1703.9,864.7,1704.104004,0.0,3741.472656,0.2,1.8,2876.8
320,1717.4,837.1,1708.726196,0.0,3762.542969,-8.6,8.4,2925.5
321,1641.2,814.8,1656.096802,0.0,3789.756836,14.9,3.5,2975.0
322,1636.5,777.4,1654.077637,0.0,3817.085449,17.6,13.5,3039.7
323,1689.0,763.0,1681.745483,0.0,3843.393799,-7.2,1.6,3080.4
324,1676.8,700.7,1667.852783,0.0,3902.931641,-9.0,4.3,3202.2
325,1665.7,761.7,1658.039673,0.0,3857.492188,-7.7,-11.2,3095.8
326,1723.7,767.2,1725.75061,0.0,3825.864258,2.1,15.0,3058.7
327,1776.2,782.3,1769.412964,0.0,3819.57373,-6.7,6.1,3037.3
328,1752.2,801.3,1748.58374,0.0,3813.520508,-3.6,-6.8,3012.2
329,1756.3,759.6,1753.14502,0.0,3850.637695,-3.2,-2.3,3091.0
330,1834.2,826.8,1825.029175,0.0,3777.69873,-9.2,3.5,2950.9
331,1829.1,852.2,1837.586426,0.0,3749.817383,8.5,6.0,2897.6
332,1784.6,846.3,1784.904907,0.0,3767.925781,0.3,-6.2,2921.6
333,1760.0,848.9,1748.844238,0.0,3766.027344,-11.2,-6.9,2917.2
334,1790.7,812.6,1783.37793,0.0,3782.119629,-7.3,13.3,2969.5
335,1742.6,860.9,1740.322388,0.0,3744.884277,-2.3,2.2,2883.9
336,1890.2,788.6,1877.293579,0.0,3812.508301,-12.9,6.9,3023.9
337,1855.2,807.8,1855.774292,0.0,3792.908203,0.5,7.3,2985.1
338,1823.3,778.8,1820.077637,0.0,3825.085449,-3.2,4.1,3046.3
339,1849.2,786.2,1855.507812,0.0,3818.072754,6.3,3.8,3031.9
340,1818.5,796.1,1830.52063,0.0,3810.515137,12.1,1.4,3014.4
341,1900.3,756.2,1891.797974,0.0,3853.794922,-8.5,-2.0,3097.6
342,1868.0,730.2,1874.624634,0.0,3864.613281,6.7,13.2,3134.4
