county,ck2_province,baronies,county_px,county_radius_px,distinct_slots,distinct_slots_inside_county,spread_all_slots_px,spread_inside_px,spread_inside_over_radius
c_brost,84,2,6852,46.7,4,4,39.2,39.2,0.839
c_brynwood,1582,1,3634,34.0,7,4,5334.4,24.2,0.711
c_budais_cleft,1211,2,10943,59.0,7,6,6281.0,71.7,1.215
c_bukhouk,1779,1,28073,94.5,7,4,7169.4,91.6,0.969
c_bukitega,1520,1,24426,88.2,3,3,37.0,37.0,0.42
c_bulaantaro,884,1,19919,79.6,5,4,82.0,63.3,0.794
c_bulangalant,857,1,22025,83.7,5,5,78.6,78.6,0.939
c_buldamar,567,2,8040,50.6,5,1,68.4,0.0,0.0
c_bulobo,459,1,6858,46.7,7,4,129.3,38.1,0.815
c_bunsha,1384,1,23929,87.3,7,6,127.0,101.1,1.159
c_bunshin,873,1,38127,110.2,7,7,108.9,108.9,0.989
c_burich,861,1,12325,62.6,5,4,107.2,62.6,1.0
c_burj,1479,3,6656,46.0,3,3,37.3,37.3,0.811
c_burning_shore,1350,1,13176,64.8,5,3,63.3,36.7,0.567
c_bynua,846,1,19347,78.5,7,5,97.5,57.0,0.726
c_caer_moray,2621,1,887,16.8,7,6,36.1,22.0,1.311
c_calaunt,264,3,2783,29.8,6,3,89.4,63.2,2.125
c_calim_desert,146,2,3214,32.0,7,5,72.1,50.9,1.592
c_calim_river,2590,1,1745,23.6,4,2,25.7,22.5,0.954
c_calimban,2598,1,3145,31.6,3,3,24.2,24.2,0.764
c_calimmon,125,3,8209,51.1,6,4,104.2,65.5,1.281
c_calimport,142,6,3550,33.6,6,4,41.8,34.2,1.018
c_calimstone,2600,1,3996,35.7,5,5,36.2,36.2,1.016
c_callidyrr,308,2,1673,23.1,5,2,52.9,10.8,0.469
c_calling_horns,31,2,8660,52.5,6,6,52.9,52.9,1.007
c_cambro,322,2,1705,23.3,6,3,53.9,22.4,0.96
c_candlekeep,71,2,3356,32.7,7,4,50.0,50.0,1.53
c_caraguir,1740,1,8164,51.0,7,4,4324.2,36.1,0.709
c_carmathan,363,2,6839,46.7,6,5,52.9,41.4,0.887
c_carrelath,170,2,4212,36.6,3,3,24.2,24.2,0.66
c_carwyth,990,2,6146,44.2,6,4,57.6,26.0,0.587
c_cathyr,732,4,13314,65.1,6,5,105.6,82.0,1.26
c_cedarvale,570,1,8885,53.2,5,4,67.5,63.8,1.2
c_cennuroth,2455,2,4275,36.9,4,4,24.2,24.2,0.655
c_centaur_run,1152,3,9167,54.0,6,5,52.9,37.0,0.685
c_chaikou_hills,1393,1,28345,95.0,7,5,7945.3,93.6,0.986
c_chain_of_broken_dreams,1675,1,3305,32.4,4,2,57.4,34.5,1.063
c_chama,890,1,55121,132.5,7,6,1443.9,86.5,0.653
c_chan,907,1,27566,93.7,7,6,267.9,81.4,0.869
c_chan_liu_shui,868,1,30607,98.7,5,5,67.5,67.5,0.684
c_chandlerscross,2611,2,1855,24.3,3,3,25.3,25.3,1.042
c_changdao,2485,1,12631,63.4,3,3,24.2,24.2,0.381
c_channath_rise,1727,2,3784,34.7,7,4,4183.1,44.2,1.273
c_channathgate,493,3,13833,66.4,7,7,90.0,90.0,1.357
c_channathwood,494,1,7696,49.5,7,5,116.2,116.2,2.349
c_chao_yang,1343,3,38494,110.7,5,5,72.1,72.1,0.652
c_ched_nasad,2503,1,1050,18.3,3,2,24.2,14.1,0.774
c_chegoyui,870,1,17416,74.5,7,6,750.4,72.2,0.97
c_chelimber,111,1,12982,64.3,6,6,53.9,53.9,0.839
c_chiem,1083,1,25898,90.8,5,5,77.7,77.7,0.855
c_chilled_plain,2472,1,13231,64.9,5,4,6714.3,37.2,0.573
c_chionthar,1411,2,5642,42.4,7,5,4341.5,62.9,1.485
c_cholta,910,1,42811,116.7,7,5,137.4,88.6,0.759
c_chowok,1288,1,21826,83.4,6,6,83.5,83.5,1.002
c_chulacca,2490,1,19055,77.9,3,2,40.3,22.0,0.282
c_chulq,1388,1,17614,74.9,6,6,83.0,83.0,1.109
c_cimarine_isles,232,1,607,13.9,6,2,62.6,16.1,1.16
c_cimbar,579,3,3818,34.9,5,3,62.6,36.7,1.052
c_cinnabar,359,4,6430,45.2,7,6,57.3,53.0,1.172
c_citadel_adbar,36,2,3807,34.8,5,5,23.3,23.3,0.671
c_citadel_of_the_raven,349,2,4936,39.6,7,6,64.2,42.2,1.065
c_citadel_rashemar,841,1,14522,68.0,5,5,63.3,63.3,0.93
c_clearflow_vale,2498,1,13025,64.4,3,3,23.3,23.3,0.361
c_cloak_bay,2528,1,2183,26.4,4,3,45.4,34.0,1.288
c_cloakwood,61,1,5035,40.0,4,2,62.0,23.3,0.583
c_cloven_hills,1697,2,6167,44.3,7,4,4171.0,46.6,1.051
c_clovis_fields,128,2,4372,37.3,6,5,53.6,53.6,1.437
c_coast_way,236,2,12514,63.1,5,5,62.6,62.6,0.992
c_codsbay,324,1,1561,22.3,5,2,62.6,22.8,1.024
c_coilvines,503,1,12711,63.6,5,5,62.6,62.6,0.985
c_cold_field,2602,1,3371,32.8,5,4,77.3,57.0,1.74
c_cold_vale,2462,1,3819,34.9,3,3,23.3,23.3,0.667
c_coldcrag,2639,1,613,14.0,7,5,6483.3,31.4,2.247
c_coldlight_cliffs,1680,1,3271,32.3,5,4,43.7,43.7,1.353
c_coldwood,35,1,11283,59.9,6,6,52.9,52.9,0.882
c_colletro,2430,2,2060,25.6,3,3,23.3,23.3,0.908
c_conaluil,802,3,14454,67.8,6,5,84.9,67.6,0.997
c_conaluil_range,1222,1,12096,62.1,7,6,3976.8,52.9,0.852
c_cony_gap,471,4,2857,30.2,7,6,60.7,43.9,1.457
c_conyberry,2623,1,2896,30.4,7,6,6263.1,44.2,1.456
c_corellons_grove,1119,3,5781,42.9,4,3,65.8,29.2,0.68
c_corm_orp,94,1,5291,41.0,6,5,60.7,37.1,0.903
c_cormanda,2393,1,3094,31.4,5,5,47.4,47.4,1.511
c_cortrynn,200,2,7691,49.5,3,3,24.2,24.2,0.488
c_corwell,321,2,1435,21.4,6,1,52.6,0.0,0.0
c_couatl_wilds,451,1,8171,51.0,7,5,90.2,34.2,0.671
c_couatls_landing,2580,1,4043,35.9,5,3,43.0,41.0,1.144
c_council_hills,482,2,11295,60.0,5,5,62.6,62.6,1.044
c_crab_reach,1405,1,747,15.4,7,2,4131.9,12.7,0.825
c_cragmaw,2624,1,2565,28.6,7,6,6231.3,45.9,1.606
c_crimmor,77,3,1968,25.0,3,3,24.2,24.2,0.966
c_culmaster,1001,2,3083,31.3,5,2,64.6,40.4,1.288
c_curstallyon,296,3,5818,43.0,5,3,62.6,62.6,1.455
c_dabab,1610,1,3490,33.3,5,4,48.5,37.8,1.134
c_daerlun,259,4,4597,38.3,7,5,79.6,50.8,1.327
c_daerr,1667,2,4148,36.3,6,5,71.4,49.3,1.358
c_dagger_falls,2612,2,3609,33.9,7,7,49.2,49.2,1.453
c_daggerdale,274,3,2545,28.5,7,5,86.3,47.7,1.675
c_daggerford,3,3,2532,28.4,7,3,77.0,31.9,1.124
c_dahab_island,1538,1,714,15.1,4,2,26.9,4.0,0.265
c_dakan,1473,2,3647,34.1,5,4,39.7,33.7,0.99
c_dalath,660,3,4858,39.3,3,3,22.8,22.8,0.581
c_daltonsvale,383,2,2591,28.7,3,2,47.0,23.3,0.812
c_dalvind,787,1,13399,65.3,7,5,106.5,63.1,0.967
c_damu,2370,1,12616,63.4,3,1,27.1,0.0,0.0
c_dancing_dolphins,1171,1,420,11.6,7,2,52.9,6.7,0.58
c_daong_forest,1694,1,25649,90.4,7,5,7588.2,82.9,0.917
c_dapplegate,495,3,4146,36.3,6,4,58.9,34.7,0.956
c_darabjind,708,3,3944,35.4,5,2,62.6,22.5,0.634
c_darakh,902,2,44195,118.6,5,5,62.1,62.1,0.524
c_dareth,2515,1,5569,42.1,3,3,23.3,23.3,0.552
c_dark_arrow,1216,1,2199,26.5,7,4,5186.1,28.3,1.069
c_darkhold,1224,3,2106,25.9,7,5,4409.2,37.9,1.462
c_darkturret,2142,1,3213,32.0,4,4,38.3,38.3,1.197
c_darkwoods,339,1,4673,38.6,5,4,62.6,42.0,1.089
c_darmesh,798,2,5119,40.4,6,4,55.2,42.5,1.053
c_darmshall,357,4,2907,30.4,7,4,96.0,20.8,0.684
c_darrawn,1678,3,7361,48.4,5,4,61.3,32.2,0.666
c_darromar,154,4,2165,26.3,7,6,43.2,43.2,1.645
c_dashadjen,2597,2,3599,33.8,4,2,70.5,22.0,0.649
c_daunting,590,1,1151,19.1,5,3,62.6,23.3,1.219
c_dawihi_island,1495,1,5507,41.9,4,3,40.2,26.1,0.623
c_dawn_pass,1151,2,4783,39.0,7,6,73.0,62.2,1.595
c_dawngleam,254,2,2439,27.9,7,4,51.9,27.7,0.993
c_daynk,896,1,22629,84.9,5,5,66.8,66.8,0.787
c_dead_orc_pass,2550,1,2269,26.9,3,2,23.3,14.1,0.526
c_deadstars,523,1,18849,77.5,7,6,71.3,56.4,0.728
c_deep_imaskar,2558,3,3793,34.7,6,6,51.0,51.0,1.469
c_dekanter,1449,2,1593,22.5,4,4,20.6,20.6,0.914
c_dekar,803,2,18950,77.7,5,4,67.3,62.6,0.806
c_delbyl,2456,2,7604,49.2,3,3,23.8,23.8,0.483
c_delliun,2346,3,33034,102.5,3,3,24.2,24.2,0.236
c_delphin,413,1,6539,45.6,5,3,62.6,37.0,0.811
c_delrune,1790,1,11385,60.2,7,4,5766.3,47.4,0.787
c_delselar,435,3,3250,32.2,6,4,52.9,35.2,1.095
c_deltar,432,2,6661,46.0,6,4,65.7,33.0,0.717
c_delthuntle,1054,2,3595,33.8,5,4,62.6,62.6,1.851
c_delzimmer,490,3,14694,68.4,7,7,52.9,52.9,0.773
c_denderdale,1424,1,5223,40.8,7,5,5922.7,58.9,1.443
c_denzar,700,2,4485,37.8,7,5,131.0,47.5,1.257
c_deraala,1785,1,24033,87.5,7,4,6423.2,57.3,0.655
c_deraiairgak,878,1,51473,128.0,7,7,130.3,130.3,1.018
c_derlusk,504,3,6265,44.7,5,5,57.6,57.6,1.289
c_dernall,2688,2,1539,22.1,7,5,5414.0,34.7,1.566
c_des,754,3,3660,34.1,5,3,63.3,36.7,1.075
c_despond,1750,1,21468,82.7,7,4,4974.7,55.5,0.672
c_detar_land,2489,1,15624,70.5,3,3,73.5,73.5,1.042
c_dharvil,1159,1,26009,91.0,5,5,65.1,65.1,0.715
c_dhaztanar,707,5,5556,42.1,5,4,62.6,62.6,1.489
c_dihliz,1488,3,3502,33.4,5,4,54.2,39.8,1.193
c_dilpur,391,2,1681,23.1,7,3,58.7,19.8,0.856
c_dimee_moor,2395,1,2384,27.5,4,2,54.2,20.2,0.735
c_dirs,2169,1,2539,28.4,4,3,40.3,16.3,0.573
c_djerad_harngha,2139,2,3654,34.1,5,3,63.7,45.7,1.34
c_dlusk,1025,2,3461,33.2,6,4,74.0,39.6,1.194
c_dmir,1045,3,5982,43.6,7,5,107.0,90.5,2.073
c_doegenflow,807,2,11693,61.0,6,6,76.7,76.7,1.257
c_doegwood,808,2,21444,82.6,5,4,73.0,73.0,0.884
c_dolblunde,2241,1,559,13.3,5,4,19.1,16.3,1.22
c_dolsel_gap,437,1,9396,54.7,6,6,64.6,64.6,1.182
c_dragonbones,1676,1,5454,41.7,4,4,58.2,58.2,1.397
