y,x,index_rgba,intensity_rgba,material_ids,mask_values_at_those_ids,top4_by_mask,in_top4
208,9208,6/5/255/255,250/5/0/0,beach_02/debug/?/?,250/5/-1/-1,beach_02/debug/drought/drought_cracks,2
4,1839,6/5/255/255,249/6/0/0,beach_02/debug/?/?,249/6/-1/-1,beach_02/debug/drought/drought_cracks,2
224,2256,26/92/27/94,178/49/28/0,forest_pine_01/gen_desert_mountain/forestfloor/gen_drylands_base,148/0/23/0,forest_pine_01/gen_northern_lowlands/forestfloor/gen_northern_lowlands_03,2
685,3258,26/93/95/94,152/36/35/32,forest_pine_01/gen_desert_mountain_transition/gen_drylands_lowlands/gen_drylands_base,136/0/0/0,forest_pine_01/gen_northern_lowlands_02/gen_northern_hills/gen_northern_lowlands_03,1
4604,315,6/5/255/255,249/6/0/0,beach_02/debug/?/?,249/6/-1/-1,beach_02/debug/drought/drought_cracks,2
880,1764,26/94/65/64,147/61/47/0,forest_pine_01/gen_drylands_base/gen_tropical_base/central_lowlands_03,103/0/0/0,forest_pine_01/gen_northern_lowlands_03/gen_central_lowlands_03/gen_central_lowlands_02,1
3006,9047,6/5/255/255,248/7/0/0,beach_02/debug/?/?,248/7/-1/-1,beach_02/debug/drought/drought_cracks,2
3457,6417,6/7/5/255,141/112/2/0,beach_02/beach_02_mediterranean/debug/?,141/112/2/-1,beach_02/beach_02_mediterranean/debug/drought,3
1080,21,6/5/255/255,249/6/0/0,beach_02/debug/?/?,249/6/-1/-1,beach_02/debug/drought/drought_cracks,2
1300,5666,42/28/70/69,125/87/43/0,mountain_02_d/hills_01/gen_tropical_mountain/gen_tropical_hills,0/60/0/0,plains_01_dry/hills_01/gen_steppe_lowlands/gen_steppe_base,1
2004,8871,6/5/255/255,249/6/0/0,beach_02/debug/?/?,249/6/-1/-1,beach_02/debug/drought/drought_cracks,2
1212,649,6/27/5/28,167/86/1/1,beach_02/forestfloor/debug/hills_01,167/86/1/1,beach_02/forestfloor/hills_01/debug,4
4489,8230,6/5/255/255,249/6/0/0,beach_02/debug/?/?,249/6/-1/-1,beach_02/debug/drought/drought_cracks,2
818,767,27/75/97/91,232/12/8/3,forestfloor/gen_central_lowlands_03/gen_drylands_lowlands_03/gen_desert_hills,230/0/0/0,forestfloor/gen_steppe_mountain_transition/gen_northern_mountain_transition/gen_northern_base,1
4136,8290,6/5/255/255,250/5/0/0,beach_02/debug/?/?,250/5/-1/-1,beach_02/debug/drought/drought_cracks,2
3675,9110,6/5/255/255,248/7/0/0,beach_02/debug/?/?,248/7/-1/-1,beach_02/debug/drought/drought_cracks,2
3890,3709,6/12/11/18,182/45/15/13,beach_02/desert_02/desert_01/drylands_01,173/43/14/12,beach_02/desert_02/desert_01/drylands_01,4
533,3881,26/94/92/93,222/13/10/10,forest_pine_01/gen_drylands_base/gen_desert_mountain/gen_desert_mountain_transition,212/0/0/0,forest_pine_01/gen_northern_lowlands_03/gen_northern_lowlands/gen_northern_lowlands_02,1
1808,1847,45/63/44/41,221/34/0/0,mountain_02_desert_c/central_lowlands_02/mountain_02_d_valleys/mountain_02_c_snow,0/0/0/0,plains_01_rough/gen_central_lowlands_02/gen_central_lowlands/plains_01,0
2893,1407,17/76/78/80,157/54/29/15,desert_wavy_01_larger/gen_central_hills/gen_central_mountain_transition/gen_steppe_lowlands,147/0/0/0,desert_wavy_01_larger/gen_desert_base/gen_desert_lowlands_02/gen_desert_lowlands_04,1
2271,5510,81/6/88/78,255/0/0/0,gen_steppe_lowlands_02/beach_02/gen_desert_lowlands_02/gen_central_mountain_transition,0/7/23/0,gen_desert_hills/gen_drylands_hills/gen_desert_lowlands_02/beach_02_pebbles,1
3068,8561,6/5/255/255,248/7/0/0,beach_02/debug/?/?,248/7/-1/-1,beach_02/debug/drought/drought_cracks,2
3118,3985,16/76/78/13,154/54/31/16,desert_wavy_01/gen_central_hills/gen_central_mountain_transition/desert_cracked,141/0/0/15,desert_wavy_01/gen_desert_base/gen_desert_lowlands_02/desert_cracked,2
3054,4580,6/8/5/255,137/115/3/0,beach_02/beach_02_pebbles/debug/?,137/115/3/-1,beach_02/beach_02_pebbles/debug/drought,3
280,6540,47/92/94/93,128/74/29/24,mountain_03/gen_desert_mountain/gen_drylands_base/gen_desert_mountain_transition,0/0/0/0,steppe_bushes/gen_northern_lowlands/gen_northern_lowlands_03/gen_northern_lowlands_02,0
4419,8392,6/5/255/255,249/6/0/0,beach_02/debug/?/?,249/6/-1/-1,beach_02/debug/drought/drought_cracks,2
2560,1769,6/5/12/255,246/6/3/0,beach_02/debug/desert_02/?,246/6/3/-1,beach_02/debug/desert_02/drought,3
4163,129,6/5/255/255,250/5/0/0,beach_02/debug/?/?,250/5/-1/-1,beach_02/debug/drought/drought_cracks,2
1250,4334,72/71/10/73,120/101/34/0,gen_central_base/gen_tropical_mountain_transition/coastline_cliff_grey/gen_central_lowlands,0/0/25/0,gen_steppe_lowlands_03/gen_steppe_lowlands_02/coastline_cliff_grey/drylands_01_grassy,1
1665,5252,82/46/83/79,99/95/42/19,gen_steppe_lowlands_03/mountain_02_snow/gen_steppe_hills/gen_steppe_base,0/1/0/0,gen_desert_mountain/snow/gen_desert_mountain_transition/gen_desert_lowlands_03,0
4053,8415,6/7/5/255,144/109/2/0,beach_02/beach_02_mediterranean/debug/?,144/109/2/-1,beach_02/beach_02_mediterranean/debug/drought,3
861,410,6/5/255/255,250/5/0/0,beach_02/debug/?/?,250/5/-1/-1,beach_02/debug/drought/drought_cracks,2
295,5429,92/47/93/255,152/64/39/0,gen_desert_mountain/mountain_03/gen_desert_mountain_transition/?,0/0/0/-1,gen_northern_lowlands/steppe_bushes/gen_northern_lowlands_02/gen_central_lowlands,0
1722,2030,45/64/65/41,118/74/63/0,mountain_02_desert_c/central_lowlands_03/gen_tropical_base/mountain_02_c_snow,0/0/0/0,plains_01_rough/gen_central_lowlands_02/gen_central_lowlands_03/gen_drylands_lowlands_02,0
3129,8553,6/5/255/255,248/7/0/0,beach_02/debug/?/?,248/7/-1/-1,beach_02/debug/drought/drought_cracks,2
563,6758,41/93/64/70,121/86/26/22,mountain_02_c_snow/gen_desert_mountain_transition/central_lowlands_03/gen_tropical_mountain,0/0/0/0,plains_01/gen_northern_lowlands_02/gen_central_lowlands_02/gen_steppe_lowlands,0
4009,6915,6/7/5/255,157/96/2/0,beach_02/beach_02_mediterranean/debug/?,157/96/2/-1,beach_02/beach_02_mediterranean/debug/drought,3
1571,8727,6/5/255/255,250/5/0/0,beach_02/debug/?/?,250/5/-1/-1,beach_02/debug/drought/drought_cracks,2
1047,1238,6/5/255/255,249/6/0/0,beach_02/debug/?/?,249/6/-1/-1,beach_02/debug/drought/drought_cracks,2
2508,3551,86/87/89/85,139/116/0/0,gen_desert_base/gen_desert_lowlands/gen_desert_lowlands_03/gen_steppe_mountain_transition,2/0/0/0,gen_drylands_lowlands_02/gen_drylands_lowlands_03/gen_drylands_lowlands/gen_drylands_mountain,0
4126,5947,6/5/255/255,248/7/0/0,beach_02/debug/?/?,248/7/-1/-1,beach_02/debug/drought/drought_cracks,2
4073,5621,6/5/255/255,249/6/0/0,beach_02/debug/?/?,249/6/-1/-1,beach_02/debug/drought/drought_cracks,2
4019,1701,57/24/38/43,110/89/28/28,steppe_bushes/forest_jungle_01/mountain_02/mountain_02_d_snow,0/74/0/0,gen_tropical_lowlands_02/forest_jungle_01/mud_wet_01/plains_01_dry_mud,1
1412,130,6/5/255/255,249/6/0/0,beach_02/debug/?/?,249/6/-1/-1,beach_02/debug/drought/drought_cracks,2
85,658,6/5/255/255,249/6/0/0,beach_02/debug/?/?,249/6/-1/-1,beach_02/debug/drought/drought_cracks,2
3585,1489,18/78/20/255,99/81/75/0,drylands_01/gen_central_mountain_transition/drylands_01_grassy/?,69/0/52/-1,drylands_01/gen_desert_lowlands_02/drylands_01_grassy/gen_drylands_lowlands_02,2
3260,5563,6/5/255/255,249/6/0/0,beach_02/debug/?/?,249/6/-1/-1,beach_02/debug/drought/drought_cracks,2
3552,3072,86/87/88/30,129/103/23/0,gen_desert_base/gen_desert_lowlands/gen_desert_lowlands_02/hills_01_rocks_medi,0/0/6/17,gen_drylands_lowlands_02/gen_drylands_lowlands_03/gen_drylands_hills/hills_01_rocks_medi,1
5,81,6/5/255/255,249/6/0/0,beach_02/debug/?/?,249/6/-1/-1,beach_02/debug/drought/drought_cracks,2
174,8274,6/5/255/255,251/4/0/0,beach_02/debug/?/?,251/4/-1/-1,beach_02/debug/drought/drought_cracks,2
2319,484,101/99/98/100,98/82/41/34,gen_northern_base/gen_drylands_mountain/gen_drylands_hills/gen_drylands_mountain_transition,0/0/0/0,gen_mediterranean_lowlands_03/gen_mediterranean_lowlands/gen_mediterranean_base/gen_mediterranean_lowlands_02,0
1544,331,6/5/255/255,249/6/0/0,beach_02/debug/?/?,249/6/-1/-1,beach_02/debug/drought/drought_cracks,2
2012,3599,6/8/5/12,136/114/3/2,beach_02/beach_02_pebbles/debug/desert_02,136/114/3/2,beach_02/beach_02_pebbles/debug/desert_02,4
4291,5993,6/5/255/255,249/6/0/0,beach_02/debug/?/?,249/6/-1/-1,beach_02/debug/drought/drought_cracks,2
936,1667,94/65/64/35,92/81/43/39,gen_drylands_base/gen_tropical_base/central_lowlands_03/medi_grass_01,0/0/0/29,gen_northern_lowlands_03/gen_central_lowlands_03/gen_central_lowlands_02/medi_grass_01,1
2432,2407,6/5/255/255,249/6/0/0,beach_02/debug/?/?,249/6/-1/-1,beach_02/debug/drought/drought_cracks,2
1497,6126,78/76/81/83,159/56/40/0,gen_central_mountain_transition/gen_central_hills/gen_steppe_lowlands_02/gen_steppe_hills,0/0/0/0,gen_desert_lowlands_02/gen_desert_base/gen_desert_hills/gen_desert_mountain,0
1359,8985,6/5/255/255,249/6/0/0,beach_02/debug/?/?,249/6/-1/-1,beach_02/debug/drought/drought_cracks,2
3715,2562,85/20/87/19,119/53/45/38,gen_steppe_mountain_transition/drylands_01_grassy/gen_desert_lowlands/drylands_01_cracked,0/39/0/28,gen_drylands_lowlands/drylands_01_grassy/gen_drylands_lowlands_03/drylands_01_cracked,2
706,3029,94/93/26/91,116/84/43/12,gen_drylands_base/gen_desert_mountain_transition/forest_pine_01/gen_desert_hills,0/0/42/0,gen_northern_lowlands_03/gen_northern_lowlands_02/forest_pine_01/gen_northern_base,1
1458,2228,28/67/63/31,128/80/47/0,hills_01/gen_tropical_lowlands_02/central_lowlands_02/hills_01_rocks_small,79/0/0/18,hills_01/gen_central_mountain/gen_central_lowlands_02/gen_central_lowlands,1
547,5563,94/26/92/65,107/104/28/16,gen_drylands_base/forest_pine_01/gen_desert_mountain/gen_tropical_base,0/94/0/0,gen_northern_lowlands_03/forest_pine_01/gen_northern_lowlands/gen_central_lowlands_03,1
686,5082,26/94/93/65,210/25/20/0,forest_pine_01/gen_drylands_base/gen_desert_mountain_transition/gen_tropical_base,192/0/0/0,forest_pine_01/gen_northern_lowlands_03/gen_northern_lowlands_02/gen_central_lowlands_02,1
1294,7442,25/65/63/64,117/55/44/39,forest_leaf_01/gen_tropical_base/central_lowlands_02/central_lowlands_03,107/0/0/0,forest_leaf_01/gen_central_lowlands_03/gen_central_lowlands/gen_central_lowlands_02,1
3218,4835,6/8/5/7,128/124/2/1,beach_02/beach_02_pebbles/debug/beach_02_mediterranean,128/124/2/1,beach_02/beach_02_pebbles/debug/beach_02_mediterranean,4
2670,4769,20/76/33/16,82/75/69/29,drylands_01_grassy/gen_central_hills/medi_dry_mud/desert_wavy_01,75/0/63/27,drylands_01_grassy/gen_desert_base/medi_dry_mud/desert_wavy_01,3
2066,7794,6/5/255/255,250/5/0/0,beach_02/debug/?/?,250/5/-1/-1,beach_02/debug/drought/drought_cracks,2
781,4945,26/27/64/93,161/45/26/23,forest_pine_01/forestfloor/central_lowlands_03/gen_desert_mountain_transition,151/42/0/0,forest_pine_01/forestfloor/gen_central_lowlands_02/gen_northern_lowlands_02,2
3681,7563,6/7/59/255,141/113/1/0,beach_02/beach_02_mediterranean/steppe_rocks/?,140/112/0/-1,beach_02/beach_02_mediterranean/debug/gen_tropical_hills,2
3685,6819,45/57/54/58,196/31/28/0,mountain_02_desert_c/steppe_bushes/plains_01_noisy/steppe_grass,0/0/0/0,plains_01_rough/gen_tropical_lowlands_02/central_lowlands_03/central_lowlands_02,0
1085,8606,6/5/255/255,251/4/0/0,beach_02/debug/?/?,251/4/-1/-1,beach_02/debug/drought/drought_cracks,2
275,8598,6/5/255/255,251/4/0/0,beach_02/debug/?/?,251/4/-1/-1,beach_02/debug/drought/drought_cracks,2
1473,1024,25/65/64/63,87/62/59/47,forest_leaf_01/gen_tropical_base/central_lowlands_03/central_lowlands_02,80/0/0/0,forest_leaf_01/gen_central_lowlands_03/gen_central_lowlands_02/gen_central_lowlands,1
672,3044,94/26/93/91,107/88/53/7,gen_drylands_base/forest_pine_01/gen_desert_mountain_transition/gen_desert_hills,0/87/0/0,gen_northern_lowlands_03/forest_pine_01/gen_northern_lowlands_02/gen_northern_base,1
3685,519,45/20/18/86,125/87/43/0,mountain_02_desert_c/drylands_01_grassy/drylands_01/gen_desert_base,0/59/29/0,plains_01_rough/drylands_01_grassy/drylands_01/gen_drylands_lowlands_02,2
2394,8489,6/5/255/255,249/6/0/0,beach_02/debug/?/?,249/6/-1/-1,beach_02/debug/drought/drought_cracks,2
2336,6926,63/68/25/65,107/97/51/0,central_lowlands_02/gen_tropical_lowlands_03/forest_leaf_01/gen_tropical_base,0/0/41/0,gen_central_lowlands/gen_central_mountain_transition/forest_leaf_01/gen_central_lowlands_02,1
1338,8213,6/5/255/255,250/5/0/0,beach_02/debug/?/?,250/5/-1/-1,beach_02/debug/drought/drought_cracks,2
2333,3689,45/88/8/35,125/78/52/0,mountain_02_desert_c/gen_desert_lowlands_02/beach_02_pebbles/medi_grass_01,0/0/24/24,mountain_02_b/plains_01_rough/gen_drylands_hills/gen_drylands_mountain_transition,0
4458,9111,6/5/255/255,249/6/0/0,beach_02/debug/?/?,249/6/-1/-1,beach_02/debug/drought/drought_cracks,2
1088,490,50/62/65/28,212/16/14/13,oasis/central_mountain/gen_tropical_base/hills_01,0/0/0/12,wetlands_02/gen_central_base/gen_central_lowlands_03/hills_01,1
3539,4419,6/5/255/255,249/6/0/0,beach_02/debug/?/?,249/6/-1/-1,beach_02/debug/drought/drought_cracks,2
66,4886,93/94/47/92,128/77/31/19,gen_desert_mountain_transition/gen_drylands_base/mountain_03/gen_desert_mountain,0/0/0/0,gen_northern_lowlands_02/gen_northern_lowlands_03/steppe_bushes/gen_northern_lowlands,0
1446,7978,6/5/255/255,250/5/0/0,beach_02/debug/?/?,250/5/-1/-1,beach_02/debug/drought/drought_cracks,2
4300,2953,24/85/87/86,209/18/18/10,forest_jungle_01/gen_steppe_mountain_transition/gen_desert_lowlands/gen_desert_base,194/0/0/0,forest_jungle_01/gen_drylands_lowlands/gen_drylands_lowlands_03/gen_drylands_lowlands_02,1
4014,1612,24/58/20/55,107/102/33/13,forest_jungle_01/steppe_grass/drylands_01_grassy/plains_01_rough,97/0/30/0,forest_jungle_01/gen_tropical_lowlands_03/drylands_01_grassy/gen_tropical_base,2
395,1972,26/94/95/255,211/44/0/0,forest_pine_01/gen_drylands_base/gen_drylands_lowlands/?,128/0/0/-1,forest_pine_01/gen_northern_lowlands_03/gen_northern_lowlands/forestfloor,1
3884,5874,6/5/255/255,249/6/0/0,beach_02/debug/?/?,249/6/-1/-1,beach_02/debug/drought/drought_cracks,2
3893,6126,6/5/255/255,250/5/0/0,beach_02/debug/?/?,250/5/-1/-1,beach_02/debug/drought/drought_cracks,2
2088,4120,16/78/76/79,84/72/60/39,desert_wavy_01/gen_central_mountain_transition/gen_central_hills/gen_steppe_base,72/0/0/0,desert_wavy_01/gen_desert_lowlands_02/gen_desert_base/gen_desert_lowlands_03,1
1695,6766,64/16/65/76,138/61/56/0,central_lowlands_03/desert_wavy_01/gen_tropical_base/gen_central_hills,0/35/0/14,gen_central_lowlands_02/desert_wavy_01/gen_central_lowlands_03/gen_desert_base,1
4517,7316,6/5/255/255,249/6/0/0,beach_02/debug/?/?,249/6/-1/-1,beach_02/debug/drought/drought_cracks,2
4382,2398,24/58/57/55,193/36/15/11,forest_jungle_01/steppe_grass/steppe_bushes/plains_01_rough,190/0/0/0,forest_jungle_01/gen_tropical_lowlands_03/gen_tropical_lowlands_02/gen_tropical_base,1
3120,7887,6/5/255/255,248/7/0/0,beach_02/debug/?/?,248/7/-1/-1,beach_02/debug/drought/drought_cracks,2
1840,6136,9/78/76/81,97/96/62/0,coastline_cliff_desert/gen_central_mountain_transition/gen_central_hills/gen_steppe_lowlands_02,63/0/0/0,coastline_cliff_desert/gen_desert_lowlands_02/gen_desert_base/desert_wavy_01,1
968,7771,63/62/64/65,135/45/44/31,central_lowlands_02/central_mountain/central_lowlands_03/gen_tropical_base,0/0/0/0,gen_central_lowlands/gen_central_base/gen_central_lowlands_02/gen_central_lowlands_03,0
4315,2081,24/58/55/57,218/15/11/11,forest_jungle_01/steppe_grass/plains_01_rough/steppe_bushes,213/0/0/0,forest_jungle_01/gen_tropical_lowlands_03/gen_tropical_base/gen_tropical_lowlands_02,1
1238,6471,69/67/63/64,136/119/0/0,gen_tropical_hills/gen_tropical_lowlands_02/central_lowlands_02/central_lowlands_03,0/0/0/0,gen_steppe_base/gen_central_mountain/gen_steppe_lowlands_02/gen_steppe_lowlands,0
2562,8161,6/5/255/255,249/6/0/0,beach_02/debug/?/?,249/6/-1/-1,beach_02/debug/drought/drought_cracks,2
3108,7174,6/5/255/255,248/7/0/0,beach_02/debug/?/?,248/7/-1/-1,beach_02/debug/drought/drought_cracks,2
1106,3671,25/45/71/43,118/79/58/0,forest_leaf_01/mountain_02_desert_c/gen_tropical_mountain_transition/mountain_02_d_snow,72/0/0/0,forest_leaf_01/plains_01_rough/gen_steppe_lowlands_02/plains_01_dry_mud,1
1452,570,6/5/255/255,250/5/0/0,beach_02/debug/?/?,250/5/-1/-1,beach_02/debug/drought/drought_cracks,2
3416,4360,6/5/255/255,249/6/0/0,beach_02/debug/?/?,249/6/-1/-1,beach_02/debug/drought/drought_cracks,2
909,6292,68/66/63/67,116/78/61/0,gen_tropical_lowlands_03/gen_tropical_lowlands/central_lowlands_02/gen_tropical_lowlands_02,0/0/0/0,gen_central_mountain_transition/gen_central_hills/gen_central_lowlands/gen_central_lowlands_03,0
3107,1547,78/16/80/76,134/50/39/32,gen_central_mountain_transition/desert_wavy_01/gen_steppe_lowlands/gen_central_hills,0/50/0/0,gen_desert_lowlands_02/desert_wavy_01/gen_desert_lowlands_04/gen_desert_base,1
4352,4625,6/5/255/255,249/6/0/0,beach_02/debug/?/?,249/6/-1/-1,beach_02/debug/drought/drought_cracks,2
3152,4280,6/5/255/255,249/6/0/0,beach_02/debug/?/?,249/6/-1/-1,beach_02/debug/drought/drought_cracks,2
2977,8994,6/5/255/255,248/7/0/0,beach_02/debug/?/?,248/7/-1/-1,beach_02/debug/drought/drought_cracks,2
2137,2553,6/27/7/10,137/116/1/1,beach_02/forestfloor/beach_02_mediterranean/coastline_cliff_grey,136/116/1/1,beach_02/forestfloor/coastline_cliff_grey/beach_02_mediterranean,4
4460,6666,6/5/255/255,249/6/0/0,beach_02/debug/?/?,249/6/-1/-1,beach_02/debug/drought/drought_cracks,2
1022,7223,65/25/64/63,103/74/67/11,gen_tropical_base/forest_leaf_01/central_lowlands_03/central_lowlands_02,0/70/0/0,gen_central_lowlands_03/forest_leaf_01/gen_central_lowlands_02/gen_central_lowlands,1
1639,3570,78/79/76/18,127/58/39/31,gen_central_mountain_transition/gen_steppe_base/gen_central_hills/drylands_01,0/0/0/24,gen_desert_lowlands_02/gen_desert_lowlands_03/gen_desert_base/drylands_01,1
2953,1246,76/78/17/80,96/92/46/21,gen_central_hills/gen_central_mountain_transition/desert_wavy_01_larger/gen_steppe_lowlands,0/0/42/0,gen_desert_base/gen_desert_lowlands_02/desert_wavy_01_larger/gen_desert_lowlands_04,1
3017,6230,24/56/59/55,169/60/15/11,forest_jungle_01/snow/steppe_rocks/plains_01_rough,163/0/0/0,forest_jungle_01/gen_tropical_lowlands/gen_tropical_hills/gen_tropical_base,1
493,4919,26/93/94/91,206/22/20/7,forest_pine_01/gen_desert_mountain_transition/gen_drylands_base/gen_desert_hills,201/0/0/0,forest_pine_01/gen_northern_lowlands_02/gen_northern_lowlands_03/gen_northern_base,1
747,8365,6/27/5/255,195/60/0/0,beach_02/forestfloor/debug/?,194/60/1/-1,beach_02/forestfloor/debug/drought,3
3189,3725,16/76/79/78,169/53/33/0,desert_wavy_01/gen_central_hills/gen_steppe_base/gen_central_mountain_transition,151/0/0/0,desert_wavy_01/gen_desert_base/gen_desert_lowlands_03/gen_desert_lowlands_04,1
3873,2777,24/56/57/38,111/59/54/31,forest_jungle_01/snow/steppe_bushes/mountain_02,90/0/0/0,forest_jungle_01/gen_tropical_lowlands/gen_tropical_lowlands_02/mud_wet_01,1
2927,8411,6/5/255/255,248/7/0/0,beach_02/debug/?/?,248/7/-1/-1,beach_02/debug/drought/drought_cracks,2
4301,3742,6/5/255/255,249/6/0/0,beach_02/debug/?/?,249/6/-1/-1,beach_02/debug/drought/drought_cracks,2
1734,6033,81/18/85/76,117/70/68/0,gen_steppe_lowlands_02/drylands_01/gen_steppe_mountain_transition/gen_central_hills,0/36/0/0,gen_desert_hills/drylands_01/gen_drylands_lowlands/gen_drylands_hills,1
1519,2099,64/29/67/65,148/107/0/0,central_lowlands_03/hills_01_rocks/gen_tropical_lowlands_02/gen_tropical_base,0/56/0/0,gen_central_lowlands_02/hills_01_rocks/gen_central_lowlands_03/gen_central_mountain_transition,1
3679,5186,24/57/58/255,235/20/0/0,forest_jungle_01/steppe_bushes/steppe_grass/?,207/0/0/-1,forest_jungle_01/gen_tropical_lowlands_02/beach_02_mediterranean/gen_tropical_base,1
189,4825,47/92/93/94,152/58/29/16,mountain_03/gen_desert_mountain/gen_desert_mountain_transition/gen_drylands_base,0/0/0/0,steppe_bushes/gen_northern_lowlands/gen_northern_lowlands_02/gen_northern_lowlands_03,0
894,1349,6/5/255/255,249/6/0/0,beach_02/debug/?/?,249/6/-1/-1,beach_02/debug/drought/drought_cracks,2
888,9193,6/5/255/255,249/6/0/0,beach_02/debug/?/?,249/6/-1/-1,beach_02/debug/drought/drought_cracks,2
1799,958,25/68/63/65,124/55/43/33,forest_leaf_01/gen_tropical_lowlands_03/central_lowlands_02/gen_tropical_base,104/0/0/0,forest_leaf_01/gen_central_mountain_transition/gen_central_lowlands/gen_central_lowlands_03,1
722,2906,26/94/93/92,95/90/58/12,forest_pine_01/gen_drylands_base/gen_desert_mountain_transition/gen_desert_mountain,82/0/0/0,forest_pine_01/gen_northern_lowlands_03/gen_northern_lowlands_02/gen_northern_lowlands,1
3676,5577,6/5/255/255,249/6/0/0,beach_02/debug/?/?,249/6/-1/-1,beach_02/debug/drought/drought_cracks,2
3900,2311,24/58/43/42,84/84/49/38,forest_jungle_01/steppe_grass/mountain_02_d_snow/mountain_02_d,73/0/0/0,forest_jungle_01/gen_tropical_lowlands_03/plains_01_dry_mud/plains_01_dry,1
1753,8482,6/5/255/255,251/4/0/0,beach_02/debug/?/?,251/4/-1/-1,beach_02/debug/drought/drought_cracks,2
135,3512,94/93/47/92,155/75/25/0,gen_drylands_base/gen_desert_mountain_transition/mountain_03/gen_desert_mountain,0/0/0/0,gen_northern_lowlands_03/gen_northern_lowlands_02/steppe_bushes/gen_northern_lowlands,0
3286,753,78/76/17/255,175/67/13/0,gen_central_mountain_transition/gen_central_hills/desert_wavy_01_larger/?,0/0/12/-1,gen_desert_lowlands_02/gen_desert_base/desert_wavy_01_larger/gen_desert_lowlands_04,1
496,717,6/27/5/255,156/94/5/0,beach_02/forestfloor/debug/?,156/94/5/-1,beach_02/forestfloor/debug/drought,3
2822,3888,82/90/89/83,79/74/70/32,gen_steppe_lowlands_03/gen_desert_lowlands_04/gen_desert_lowlands_03/gen_steppe_hills,0/0/12/0,gen_desert_mountain/gen_drylands_mountain_transition/gen_drylands_mountain/gen_desert_mountain_transition,0
788,1654,63/39/45/41,95/80/52/28,central_lowlands_02/mountain_02_b/mountain_02_desert_c/mountain_02_c_snow,0/0/0/0,gen_central_lowlands/northern_plains_01/plains_01_rough/plains_01,0
4336,3409,7/255/255/255,255/0/0/0,beach_02_mediterranean/?/?/?,255/-1/-1/-1,beach_02_mediterranean/drought/flood/drought_cracks,1
3122,4848,58/24/55/57,141/101/13/0,steppe_grass/forest_jungle_01/plains_01_rough/steppe_bushes,0/93/0/0,gen_tropical_lowlands_03/forest_jungle_01/gen_tropical_base/gen_tropical_lowlands_02,1
4569,205,6/5/255/255,249/6/0/0,beach_02/debug/?/?,249/6/-1/-1,beach_02/debug/drought/drought_cracks,2
2842,6810,6/7/5/255,141/112/2/0,beach_02/beach_02_mediterranean/debug/?,141/112/2/-1,beach_02/beach_02_mediterranean/debug/drought,3
