barony,county,ck3_province,seed_x,seed_y,current_centroid_x,current_centroid_y,dist_px,seed_in_current_cell,current_seed_source
b_trawich,c_akaam,1571,2635,3582,2682.7,3555.2,54.7,no,sampled
b_akanax,c_akanax,2873,4421,2395,4419.9,2409.7,14.8,yes,capital_position
b_tulach,c_akanax,2874,4431,2409,4448.8,2377.8,35.9,no,sampled
b_akararbasa,c_akararbasa,1246,5439,2921,5426.7,2928.3,14.4,yes,capital_position
b_akashay,c_akashay,3124,6561,2399,6562.3,2396.4,2.9,yes,capital_position
b_akshu,c_akshu,2996,8021,3851,8014.0,3835.2,17.3,yes,capital_position
b_mudanxing,c_akshu,2997,8056,3836,8085.0,3792.3,52.5,no,sampled
b_qingmay,c_akshu,2998,8017,3818,7996.1,3906.4,90.8,no,sampled
b_al_suweb,c_al_abib,3349,5397,5919,5381.9,5924.3,16.0,yes,capital_position
b_al_anwahr,c_al_anwahr,3343,6026,5225,6023.4,5225.2,2.6,yes,capital_position
b_al_asirr,c_al_asirr,3468,6727,6312,6722.6,6316.1,6.0,yes,capital_position
b_bashera,c_al_asirr,3469,6751,6296,6751.8,6251.1,44.9,no,sampled
b_taxal,c_al_asirr,3470,6731,6284,6719.7,6275.8,14.0,yes,sampled
b_al_azra,c_al_azra,3394,5455,4699,5440.1,4701.3,15.0,yes,capital_position
b_khanala,c_al_azra,3395,5439,4723,5490.6,4693.8,59.3,no,sampled
b_el_khrouled,c_al_faddi,3313,5400,5299,5440.5,5303.5,40.8,yes,capital_position
b_faihakus,c_al_faraq_islands,3283,5789,6321,5817.1,6348.2,39.1,yes,capital_position
b_al_hanieh,c_al_hanieh,3209,6575,5835,6569.5,5804.5,31.0,yes,capital_position
b_al_harir,c_al_harir,3396,5547,4711,5547.5,4709.7,1.4,yes,capital_position
b_al_harmah,c_al_harmah,3294,6116,6218,6119.8,6226.9,9.7,yes,capital_position
b_tetari,c_al_harmah,3295,6135,6230,6109.5,6184.3,52.4,no,sampled
b_al_haul,c_al_haul,3369,5764,4891,5772.7,4892.9,8.9,yes,capital_position
b_rana,c_al_kidr,3374,5924,4891,5926.3,4917.0,26.1,yes,capital_position
b_al_kurtum,c_al_kurtum,3465,6827,5972,6828.6,5996.5,24.6,yes,capital_position
b_al_mahabanah,c_al_mahabanah,3502,5312,6157,5300.1,6131.2,28.4,yes,capital_position
b_sadul,c_al_malih,3237,5889,5649,5896.2,5633.5,17.1,yes,capital_position
b_arehla,c_al_malih,3238,5858,5653,5841.7,5652.0,16.3,yes,sampled
b_biduraq,c_al_munamma,3292,6090,6083,6077.7,6085.9,12.6,yes,capital_position
b_umm_salal_barata,c_al_munamma,3293,6110,6095,6119.0,6074.4,22.5,no,sampled
b_al_nuziyyah,c_al_nuziyyah,3248,5682,5698,5685.8,5684.5,14.1,yes,capital_position
b_suwut,c_al_nuziyyah,3249,5678,5682,5659.2,5740.9,61.8,no,sampled
b_al_qahera,c_al_qahera,1229,5707,2985,5698.6,2989.7,9.6,yes,capital_position
b_abaghajin,c_al_qahera,1231,5678,2958,5691.7,2919.5,40.9,yes,sampled
b_atao,c_al_qahera,1230,5678,2968,5755.2,3061.0,120.8,no,sampled
b_wadurah,c_al_sarif,3230,5875,5759,5879.8,5758.8,4.8,yes,capital_position
b_bidbooth,c_al_tarik_islands,3562,5371,6415,5372.2,6412.9,2.4,yes,capital_position
b_budiya,c_al_wahl,3262,5510,5409,5482.1,5408.6,27.9,yes,capital_position
b_halura,c_al_wahl,3263,5510,5391,5523.0,5371.0,23.9,no,sampled
b_qudana,c_al_zabdiyat,3560,5676,6609,5678.7,6606.6,3.6,yes,capital_position
b_alaghon_city,c_alaghon,489,4048,2083,4051.6,2109.0,26.3,no,sampled
b_demstar,c_alaghon,491,4023,2094,4028.7,2109.5,16.5,no,sampled
b_karakast,c_alaghon,490,4042,2106,4028.9,2062.8,45.2,no,sampled
b_alamaqu,c_alamaqu,153,7503,998,7459.0,996.0,44.1,yes,capital_position
b_alamir_rock,c_alamirs_end,358,3153,2919,3158.7,2925.8,8.9,yes,capital_position
b_cliffcrest,c_alamirs_end,359,3139,2892,3152.4,2880.9,17.4,yes,sampled
b_wensin,c_alamirs_end,360,3137,2942,3175.0,2959.0,41.6,no,sampled
b_alamontyr,c_alamontyr,424,3847,2868,3849.0,2869.4,2.4,yes,capital_position
b_felshroum,c_alamontyr,426,3839,2870,3893.5,2853.8,56.9,no,sampled
b_morningstar_hollows,c_alaoreum,493,3974,2043,3980.9,2048.9,9.1,yes,capital_position
b_alashan,c_alashan,1480,6825,2376,6828.9,2376.5,3.9,yes,capital_position
b_dokpak,c_alashan,1482,6796,2348,6802.1,2359.1,12.7,yes,sampled
b_keldam,c_alashan,1481,6835,2366,6859.5,2370.2,24.9,no,sampled
b_wangdun,c_alashan,1483,6809,2399,6805.7,2390.6,9.0,yes,sampled
b_aldani,c_aldani_basin,619,1967,3396,1982.7,3385.9,18.7,yes,capital_position
b_aldoman,c_aldoman,163,7566,660,7592.0,659.2,26.0,yes,capital_position
b_aldreth,c_aldreth,117,906,2767,908.3,2762.9,4.7,yes,capital_position
b_alisiwhann,c_alisiwhann,432,3065,2645,3070.8,2647.3,6.2,yes,capital_position
b_adarthir,c_alisiwhann,433,3061,2618,3059.0,2613.6,4.8,yes,sampled
b_ragkyls_hold,c_alisiwhann,434,3032,2626,3042.2,2637.9,15.6,yes,sampled
b_marmadani,c_almawt,3450,4707,5614,4709.5,5613.0,2.7,yes,capital_position
b_almorel,c_almorel,2166,5676,1760,5671.0,1767.9,9.4,yes,capital_position
b_antoumek,c_almorel,2167,5713,1746,5716.8,1748.7,4.7,yes,sampled
b_almraiven,c_almraiven,356,3100,2858,3085.6,2865.8,16.4,yes,capital_position
b_st_ihrvyn,c_almraiven,357,3085,2882,3139.4,2837.0,70.7,no,sampled
b_barakmordin,c_alonmarch,2656,3008,2522,3007.2,2534.3,12.3,yes,capital_position
b_st_teresa,c_alonmarch,2657,2979,2495,2968.0,2507.1,16.3,yes,sampled
b_thrynnars_hold,c_alonmarch,2658,2993,2546,3040.4,2500.1,66.0,no,sampled
b_alorev,c_alorev,84,390,2554,392.3,2551.3,3.6,yes,capital_position
b_alphar,c_alphar_and_kelthan,1069,4087,1809,4082.3,1814.0,6.9,yes,capital_position
b_nishtul,c_aluar,2426,3694,3935,3715.7,3909.9,33.2,yes,capital_position
b_aluarim,c_aluar,2427,3679,3959,3678.9,3975.7,16.7,yes,sampled
b_prensak,c_aluivyn,1170,3802,1686,3802.2,1686.8,0.9,yes,capital_position
b_chimish,c_aluivyn,1172,3772,1658,3838.9,1693.8,75.9,no,sampled
b_obbles,c_aluivyn,1171,3794,1672,3756.6,1673.4,37.4,no,sampled
b_aman,c_aman,3355,5379,5610,5404.4,5614.0,25.7,yes,capital_position
b_amarrev,c_amarrev,131,595,2292,598.9,2287.0,6.4,yes,capital_position
b_amassa,c_amassa,3125,6378,2362,6368.6,2360.1,9.6,yes,capital_position
b_amazandar,c_amazandar,269,3440,1430,3437.6,1440.6,10.8,yes,capital_position
b_hlithal,c_amazandar,270,3456,1416,3464.0,1422.5,10.3,yes,sampled
b_ramanth,c_amazandar,271,3429,1416,3427.5,1411.7,4.6,yes,sampled
b_kufa,c_amekufa,3435,3599,6095,3602.6,6104.2,9.9,yes,capital_position
b_amekufa,c_amekufa,3436,3618,6107,3675.0,6059.0,74.5,no,sampled
b_amkethran,c_amkethran,338,2748,2647,2749.8,2645.8,2.2,yes,capital_position
b_assar,c_amkethran,339,2778,2643,2800.4,2637.2,23.1,yes,sampled
b_kemal,c_amkethran,340,2719,2651,2686.9,2648.4,32.2,no,sampled
b_ammathluir,c_ammathluir,2486,4841,3781,4852.9,3786.0,12.9,yes,capital_position
b_wharjila,c_ammathluir,2487,4800,3759,4799.8,3777.8,18.8,yes,sampled
b_ammathtar,c_ammathtar,2382,4685,3789,4681.0,3789.4,4.0,yes,capital_position
b_alarzou,c_ammathtar,2384,4656,3761,4712.3,3732.1,63.3,no,sampled
b_dunfeld,c_ammathtar,2383,4650,3800,4668.6,3848.5,52.0,no,sampled
b_amnwater,c_amnwater,207,2795,2053,2796.4,2062.1,9.2,yes,capital_position
b_ironseth,c_amnwater,209,2825,2059,2759.2,2055.9,65.9,no,sampled
b_wheelarit,c_amnwater,208,2815,2038,2832.6,2050.4,21.5,no,sampled
b_yhliivast,c_amnwater,210,2805,2047,2794.9,2033.4,16.9,no,sampled
b_bargewright_inn,c_amphail,2004,2373,990,2368.5,991.4,4.7,yes,capital_position
b_amphail,c_amphail,2005,2391,974,2408.7,964.6,20.1,no,sampled
b_rundreth,c_amphail,2006,2381,984,2395.7,981.7,14.9,no,sampled
b_amral,c_amral,20,497,2716,506.9,2701.5,17.5,yes,capital_position
b_amruthar,c_amruthar,1762,4922,1981,4905.7,1982.8,16.4,yes,capital_position
b_nethwatch,c_amruthar,1763,4906,1944,4879.2,1919.8,36.2,yes,sampled
b_amry,c_amry,1104,3823,1971,3806.6,1978.6,18.1,yes,capital_position
b_strestead,c_amry,1105,3829,1979,3874.9,1948.9,54.9,no,sampled
b_trollford,c_amstelar,197,2993,2118,3018.4,2115.7,25.5,yes,capital_position
b_turova,c_amstelar,198,3032,2098,2936.2,2117.7,97.8,no,sampled
b_warging,c_amtar_eave,2238,4593,3556,4593.8,3553.3,2.8,yes,capital_position
b_anarath,c_anarath,295,3167,593,3169.2,591.9,2.5,yes,capital_position
b_anauril,c_anauril,272,3460,1379,3461.8,1376.8,2.8,yes,capital_position
b_avian_keep,c_ancients_hollow,2718,329,648,332.1,638.2,10.3,yes,capital_position
b_angast,c_angast,1592,5066,2769,5061.0,2773.1,6.4,yes,capital_position
b_nimez,c_angast,1594,5037,2741,5049.3,2725.5,19.8,yes,sampled
b_sishapesh,c_angast,1593,5062,2735,5090.0,2819.0,88.5,no,sampled
b_angol,c_angol,2806,4841,2792,4825.9,2809.4,23.0,yes,capital_position
b_arojas,c_angol,2807,4847,2755,4877.8,2741.3,33.8,no,sampled
b_anhaurz,c_anhaurz,1764,4822,2018,4807.7,2018.6,14.3,yes,capital_position
b_mithana,c_anhaurz,1765,4832,2008,4846.0,2007.8,14.0,yes,sampled
b_ankatatra,c_ankatatra,3522,6174,5825,6167.0,5806.1,20.1,yes,capital_position
b_ankhapur,c_ankhapur,374,3610,2729,3609.5,2717.0,12.0,yes,capital_position
b_calers_hand,c_ankhapur,376,3581,2702,3569.1,2710.2,14.4,yes,sampled
b_st_sossor,c_ankhapur,377,3595,2753,3621.3,2768.3,30.4,no,sampled
b_yult,c_ankhapur,375,3630,2741,3660.3,2725.1,34.2,no,sampled
b_ankhur,c_ankhur,1804,5015,2049,5017.2,2043.0,6.4,yes,capital_position
b_dranikmor,c_ankhur,1805,5025,2040,5050.0,2053.8,28.5,no,sampled
b_yadara,c_ankhur,1806,5035,2061,4986.8,2045.1,50.8,no,sampled
b_telgath,c_ankhwood,396,3733,2702,3746.0,2694.5,15.0,yes,capital_position
b_tall_fallunawa,c_anklis_and_qusur,3557,5615,6400,5586.5,6395.6,28.8,yes,capital_position
b_anktarina,c_anktarina,3190,6725,4834,6725.8,4811.1,22.9,yes,capital_position
b_ansi,c_ansi,3146,7175,1442,7175.6,1411.0,31.0,yes,capital_position
b_ar_rasumah,c_ar_rasumah,3352,5557,5821,5555.1,5817.1,4.4,yes,capital_position
b_araash,c_araash,108,542,2602,543.9,2600.4,2.4,yes,capital_position
b_arabasi,c_arabalar,671,2469,3568,2456.4,3557.7,16.3,yes,capital_position
b_ngube,c_arabalar,672,2440,3540,2506.9,3583.1,79.6,no,sampled
b_the_citadel,c_arabel,1003,3401,1643,3400.3,1641.1,2.0,yes,capital_position
b_arabel,c_arabel,1004,3415,1658,3428.8,1641.1,21.8,no,sampled
b_the_ladys_hall,c_arabel,1005,3399,1625,3375.5,1634.1,25.2,no,sampled
b_yeoman_bridge,c_arabel,1006,3395,1660,3414.1,1666.9,20.3,no,sampled
b_aradiman,c_aradiman,25,479,2761,470.2,2752.1,12.5,yes,capital_position
b_arael,c_arael_hills,97,440,2890,436.2,2887.0,4.8,yes,capital_position
b_araksa,c_araksa,964,694,1375,696.7,1374.2,2.9,yes,capital_position
b_araneh,c_araneh,3498,5275,6198,5262.5,6195.5,12.8,yes,capital_position
b_sabakan,c_araneh,3499,5246,6167,5244.5,6158.2,8.9,yes,sampled
b_arangyn,c_arangyn,46,874,2522,865.1,2526.2,9.8,yes,capital_position
b_djerad_azaurand,c_arangyn,47,900,2516,894.7,2510.1,7.9,yes,sampled
b_arashand,c_arashand,33,481,2987,496.3,2975.0,19.4,yes,capital_position
b_araugul,c_araugul,282,3323,1487,3325.5,1483.9,4.0,yes,capital_position
b_ostrav,c_arcata,711,4224,1299,4220.2,1267.5,31.8,yes,capital_position
b_valls,c_arcata,712,4234,1289,4236.9,1351.5,62.6,no,sampled
b_arch_wood,c_arch_wood,924,3753,1623,3754.1,1621.5,1.8,yes,capital_position
b_archenbridge,c_archenbridge,917,3718,1645,3724.9,1646.1,7.0,yes,capital_position
b_nairning,c_archenbridge,919,3759,1649,3708.1,1667.0,54.0,no,sampled
b_ramblecoats,c_archenbridge,918,3737,1657,3751.9,1646.5,18.3,yes,sampled
b_archtassel,c_archtassel,880,3778,1592,3778.2,1593.4,1.5,yes,capital_position
b_moontassel,c_archtassel,881,3759,1590,3760.3,1589.1,1.6,yes,sampled
b_greentree_haven,c_ardeep_forest,2115,2401,1084,2399.5,1084.1,1.5,yes,capital_position
b_deepening_moon,c_ardeep_forest,2117,2391,1107,2410.7,1104.5,19.9,yes,sampled
b_glen_of_aloevan,c_ardeep_forest,2116,2416,1074,2407.3,1060.4,16.2,yes,sampled
b_floshin_manor,c_ardeepsward,2905,2403,1152,2399.0,1156.0,5.7,yes,capital_position
b_the_selpir,c_ardeepsward,2906,2393,1127,2421.7,1123.4,28.9,yes,sampled
b_kavu,c_ardhi_kavu,3438,3534,6321,3544.2,6337.4,19.3,yes,capital_position
b_luvu,c_ardhi_kavu,3439,3561,6320,3540.9,6241.9,80.7,no,sampled
b_aretax,c_aretax_bay,79,286,2710,264.5,2710.5,21.5,yes,capital_position
b_argaer,c_argaervale,129,878,2317,888.4,2313.3,11.1,yes,capital_position
b_argenmoor,c_argenmoor,549,3419,2208,3431.5,2203.2,13.4,yes,capital_position
b_argul,c_argul,68,950,2565,958.0,2562.2,8.5,yes,capital_position
b_arjol,c_arjol,2242,4998,3470,5001.0,3496.6,26.7,yes,capital_position
b_armridge,c_armridge,825,4898,406,4898.5,402.5,3.5,yes,capital_position
b_graevelwood,c_arn_forest,1901,3012,634,3007.3,646.3,13.1,yes,capital_position
b_arnrock,c_arnrock,382,3524,2825,3520.5,2824.4,3.6,yes,capital_position
b_arrabar,c_arrabar,448,3868,2411,3871.1,2412.0,3.3,yes,capital_position
b_arkhelar,c_arrabar,450,3870,2421,3878.1,2388.7,33.3,no,sampled
b_fort_arran,c_arran,566,3896,2507,3897.5,2507.3,1.5,yes,capital_position
b_arranford,c_arran,567,3866,2479,3890.1,2472.9,24.8,yes,sampled
b_elburh,c_arran,568,3896,2534,3901.9,2545.5,12.9,yes,sampled
b_arthyn,c_arthyn,406,3505,2948,3494.8,2950.6,10.5,yes,capital_position
b_waernd,c_arthyn,407,3489,2972,3531.7,2939.2,53.9,no,sampled
b_arylon,c_arylon,2512,2645,1635,2655.2,1625.7,13.8,yes,capital_position
b_asbravn,c_asbravn,2554,3028,1743,3037.4,1752.8,13.6,yes,capital_position
b_hellgate_keep,c_ascalhorn,2059,2895,720,2896.1,716.5,3.7,yes,capital_position
b_ascalharla,c_ascalhorn,2062,2893,761,2901.2,756.2,9.5,yes,sampled
b_orinthae,c_ascalhorn,2060,2881,744,2892.1,785.2,42.7,no,sampled
b_telkouns_tower,c_ascalhorn,2061,2901,742,2870.9,728.1,33.1,no,sampled
b_ascore_gates,c_ascore,1900,3040,607,3022.0,603.7,18.3,yes,capital_position
b_ashabenford,c_ashabenford,892,3733,1442,3734.8,1442.1,1.8,yes,capital_position
b_mistletarn,c_ashabenford,893,3759,1436,3755.9,1438.9,4.3,yes,sampled
b_the_golden_sheaf,c_ashabenford,894,3716,1449,3716.0,1443.2,5.8,yes,sampled
b_kannur,c_ashanvast,1873,4902,1576,4894.3,1557.8,19.8,yes,capital_position
b_ashenwood,c_ashenwood,2140,5054,1461,5056.9,1459.1,3.4,yes,capital_position
b_irahat,c_asher_plain,2246,4542,2995,4545.6,2995.2,3.7,yes,capital_position
b_niltuk,c_ashfields,2809,4834,2692,4846.2,2689.0,12.5,yes,capital_position
b_gilamuth,c_ashfields,2810,4843,2683,4803.3,2699.7,43.1,no,sampled
b_aspervi,c_aspervi,1827,5097,1041,5104.8,1036.4,9.0,yes,capital_position
b_assam,c_assam,540,3513,2192,3508.0,2183.7,9.7,yes,capital_position
b_khearan,c_assam,541,3536,2167,3552.0,2197.2,34.2,no,sampled
b_assundath,c_assundath,2458,3776,4137,3792.3,4126.0,19.7,yes,capital_position
b_kithala,c_assundath,2459,3747,4109,3781.7,4178.4,77.6,no,sampled
b_atai,c_atai,3003,7994,4029,7995.8,4022.5,6.8,yes,capital_position
b_vil,c_atars_looking_glass,281,3483,1256,3492.4,1257.1,9.5,yes,capital_position
b_athab,c_athab_cape,1663,5684,2473,5684.5,2485.2,12.3,yes,capital_position
b_khalab,c_athab_cape,1664,5654,2446,5685.5,2445.4,31.5,yes,sampled
b_scepter_district,c_athkatla,175,2600,2053,2594.7,2049.1,6.6,yes,capital_position
b_goldbridge,c_athkatla,177,2614,2049,2625.0,2049.8,11.0,yes,sampled
b_waukeens_promenade,c_athkatla,176,2614,2057,2613.8,2069.5,12.5,no,sampled
b_atoratgins,c_atoratgins,3116,6421,1731,6438.0,1714.4,23.7,yes,capital_position
b_deryks_tomb,c_aurils_end,835,4089,416,4108.4,401.9,24.0,yes,capital_position
b_urt,c_aurora,841,3913,674,3906.1,687.7,15.3,yes,capital_position
b_potong,c_aval,3182,7706,5100,7721.0,5088.1,19.2,yes,capital_position
b_avax,c_avax,2875,4290,2548,4291.5,2558.2,10.3,yes,capital_position
b_tevilla,c_avax,2876,4269,2557,4238.8,2556.6,30.2,no,sampled
b_avyn,c_avyn,2178,5639,1264,5648.0,1250.5,16.3,yes,capital_position
b_rethgaard,c_axard,2701,1750,1047,1749.5,1048.1,1.2,yes,capital_position
b_zhal,c_azhul_pass,2404,3972,4105,3979.0,4107.0,7.3,yes,capital_position
b_azna_camp,c_aznawood,2418,4372,3628,4387.4,3616.0,19.6,yes,capital_position
b_aztul,c_aztul,683,2657,3795,2676.7,3798.5,20.0,yes,capital_position
b_bona,c_aztul,684,2633,3787,2629.4,3795.5,9.3,yes,sampled
b_azun,c_azun,2220,5000,2968,4976.8,2938.2,37.7,yes,capital_position
b_eathbeg,c_azun,2221,4970,2941,5008.6,3031.7,98.6,no,sampled
b_warrington,c_azun,2222,5010,2958,5040.9,2983.7,40.2,no,sampled
b_zalazuu,c_azuni,2456,3667,4119,3650.3,4131.8,21.1,yes,capital_position
b_githim,c_azuni,2457,3704,4111,3706.9,4071.2,39.9,yes,sampled
b_bab_al_gaba,c_bab_al_gaba,3466,6823,6099,6822.1,6108.8,9.9,yes,capital_position
b_gadin,c_bab_al_gaba,3467,6800,6073,6831.4,6049.1,39.4,no,sampled
b_babado,c_babado,3424,3116,6380,3117.2,6379.4,1.3,yes,capital_position
b_lino,c_babado,3425,3122,6384,3065.2,6411.3,63.0,no,sampled
b_baelrah,c_baelrah,1446,1881,3038,1882.2,3052.8,14.9,yes,capital_position
b_anchoril,c_baelrah,1447,1865,3062,1883.2,3002.0,62.7,no,sampled
b_bahat,c_bahat,3174,6301,1166,6292.7,1161.2,9.6,yes,capital_position
b_bakhuk,c_bakhuk,3163,6481,1492,6492.7,1496.0,12.4,yes,capital_position
b_balaj,c_balaj,2254,4642,3331,4644.3,3337.0,6.4,yes,capital_position
b_high_hall,c_baldurs_gate,2505,2576,1676,2573.8,1674.1,2.9,yes,capital_position
b_bloomridge,c_baldurs_gate,2507,2557,1651,2613.9,1656.9,57.2,no,sampled
b_twin_songs,c_baldurs_gate,2508,2571,1660,2586.6,1645.6,21.2,no,sampled
b_ulgoths_beard,c_baldurs_gate,2506,2574,1660,2551.0,1655.5,23.5,no,sampled
b_bamas,c_bamas,1560,3237,3685,3261.0,3684.0,24.0,yes,capital_position
b_banai,c_banai,3159,7835,1309,7838.0,1307.0,3.7,yes,capital_position
b_banda,c_banda,3141,6919,2012,6913.1,2027.3,16.4,yes,capital_position
b_banlm,c_banlm,3097,6079,1666,6046.7,1662.4,32.6,yes,capital_position
b_sago,c_banlm,3098,6032,1647,6159.0,1664.1,128.1,no,sampled
b_banu,c_banu,1696,5998,2335,6000.2,2325.0,10.3,yes,capital_position
b_dar_al_kalif,c_banu,1697,5973,2341,6053.6,2335.4,80.8,no,sampled
b_nimrikki,c_banu,1698,5985,2313,5964.1,2341.0,35.0,no,sampled
b_bara,c_bara,3147,7407,1434,7409.4,1444.9,11.1,yes,capital_position
b_anshola,c_barbarians_road,1284,6268,3441,6271.7,3447.2,7.2,yes,capital_position
b_saharkhan,c_bardshyr,2648,2698,2475,2696.8,2464.1,11.0,yes,capital_position
b_alemanders_needle,c_bardshyr,2649,2688,2497,2728.5,2473.7,46.7,no,sampled
b_castle_tethir,c_bardshyr,2650,2717,2487,2672.2,2490.8,45.0,no,sampled
b_bariya,c_bariya,3131,6993,1344,7002.0,1341.9,9.2,yes,capital_position
b_peldans_helm,c_barrowfield,895,3681,1453,3689.6,1450.4,9.0,yes,capital_position
b_oakengrove,c_barrowfield,896,3698,1444,3671.4,1465.2,34.0,no,sampled
b_duindelve,c_barze,758,3999,1035,4000.5,1034.0,1.9,yes,capital_position
b_bathme,c_bathme,2428,3534,3898,3524.9,3891.6,11.1,yes,capital_position
b_thom,c_bathme,2429,3544,3888,3567.3,3901.5,26.9,no,sampled
b_batiri,c_batiriland,628,2018,3480,2008.6,3471.5,12.7,yes,capital_position
b_keep_of_pale_night,c_battle_of_bones,2932,3112,1477,3112.2,1473.2,3.8,yes,capital_position
b_the_mantle,c_bauthwaf,3589,2666,546,2663.7,548.3,3.2,yes,capital_position
b_beacon_cairn,c_beacon_cairn,2154,5418,1735,5403.1,1727.5,16.7,yes,capital_position
b_star_beacon,c_beacon_rocks,1429,1871,4072,1884.5,4076.1,14.1,yes,capital_position
b_beast_country,c_beast_country,871,3634,1477,3634.3,1470.6,6.4,yes,capital_position
b_karat,c_beast_lands,1318,5475,3415,5480.7,3414.2,5.7,yes,capital_position
b_ihyrennstar,c_beast_marches,848,3800,1348,3796.7,1344.2,5.0,yes,capital_position
b_garnets_pure,c_beast_marches,849,3831,1363,3834.4,1355.7,8.0,yes,sampled
b_north_post,c_beastburn,2498,4519,3853,4516.0,3840.6,12.8,yes,capital_position
b_olodel,c_beasts_coast,384,3174,2747,3183.1,2748.1,9.2,yes,capital_position
b_beland,c_beland,2223,5234,2987,5248.2,2972.7,20.2,yes,capital_position
b_beldenshyn,c_beldenshyn,2513,2573,1569,2580.5,1550.6,19.8,yes,capital_position
b_belhancol,c_belhancol,3443,4484,5680,4485.9,5658.5,21.6,yes,capital_position
b_morosi,c_belhancol,3444,4529,5702,4554.8,5698.4,26.1,yes,sampled
b_mtwabako,c_belhancol,3445,4503,5692,4437.2,5704.6,67.0,no,sampled
b_beliard,c_beliard,2017,2463,892,2465.5,908.9,17.0,yes,capital_position
b_gladestone,c_beliard,2018,2504,879,2523.4,861.8,25.9,yes,sampled
b_belintholme,c_belintholme,965,393,1756,396.1,1754.9,3.3,yes,capital_position
b_bellakh,c_bellakh,61,864,2569,867.3,2567.9,3.4,yes,capital_position
b_belprins_hold,c_belprins_hold,65,974,2692,973.0,2691.9,1.0,yes,capital_position
b_beluir,c_beluir,2476,4926,3843,4928.7,3855.8,13.1,yes,capital_position
b_chaibrook,c_beluir,2478,4896,3816,4889.2,3832.3,17.7,yes,sampled
b_helmsong,c_beluir,2477,4910,3867,4907.2,3796.3,70.7,no,sampled
b_nalukkhath,c_beluir,2479,4912,3814,4939.6,3810.2,27.9,no,sampled
b_tall_kuthah,c_bender_adewah,3578,7265,6478,7256.5,6487.1,12.5,yes,capital_position
