ck2_key,unmapped_uses
independent,21
show_scope_change,21
location,21
is_nomadic,20
create_random_soldier,20
has_job_title,20
is_merchant_republic,20
sound_effect,19
random_independent_ruler,19
show_portrait,19
has_landed_title,19
has_patron_god,19
spawn_good_commander_effect,18
has_religion_feature,18
religion_has_incest,18
z_psion,17
is_strong_trigger,17
any_war,17
imprison,17
race_is_fiendish,17
scaled_prestige,16
random_society_member,16
is_dumb_trigger,15
add_society_currency_medium_effect,15
is_maimed_trigger,15
is_consort,15
export_to_variable,15
subtract_variable,14
turn_vampire_effect,14
unsafe_destroy_landed_title,14
is_ill,14
random_courtier,13
is_weak_trigger,13
any_character,13
spawn_fleet,13
is_friend,13
had_character_flag,13
olrox_is_good_religion_trigger,13
has_injury_trigger,13
real_tier,13
father_of_unborn,13
mother,12
is_inaccessible_or_incapable_trigger,12
random_realm_province,12
has_any_quest,12
add_maimed_trait_effect,12
is_rival,12
is_member_of_any_knight_order_trigger,12
default_race_inheritance,12
temporary,11
clean_up_after_duel_effect,11
hide_new,11
is_primary_war_defender,11
has_holder,11
current_heir,11
random_demesne_province,11
plot_target_char,11
is_tribal,11
has_artifact,11
remove_all_race_traits,11
log,11
is_primary_heir,10
create_title,10
recalc_succession,10
add_society_currency_major_effect,10
remove_trait,10
num_of_count_titles,10
is_lover,10
true_religion_qisma_trigger,10
tooltip_info_custom,10
is_member_of_any_warrior_lodge_trigger,10
same_sex,10
has_any_symptom,10
z_aristocrat,10
apply_nomad_leadership_duel_defeat_effect,10
is_using_intrigue_trigger,10
higher_real_tier_than,9
z_has_class,9
any_independent_ruler,9
vampire_incompatible_race,9
random_playable_ruler,9
evilcat_is_chosen,9
z_multiclass,9
create_bloodline,9
any_realm_lord,9
elfharrow_effect,9
preferred_limit,8
adventurer_reward_effect,8
quality,8
change_learning,8
clear_delayed_event,8
economy_techpoints,8
pick_culture_for_spawned_courtier_effect,8
give_minor_title,8
is_dragon,8
is_infertile_race,8
is_save_game,8
faerun_immortal_race_trigger,8
add_legend_progress_trivial_effect,8
has_attractive_trait_trigger,8
add_trait_wounded_effect,8
in_command,7
reset_duel_timers_effect,7
is_benevolent_trigger,7
has_society_currency_medium_trigger,7
detract_society_currency_medium_effect,7
turn_lich_effect,7
random_character,7
job_marshal,7
job_spymaster,7
clear_flags_with_prefix,7
reverse_unsafe_war,7
gfx_culture_scope,7
leader_traits,7
in_revolt,7
relative_realm_size,7
num_culture_realm_provs,7
num_religion_realm_provs,7
uthgardt_faith_trigger,7
set_dueling_weapon_effect,6
random_magic_item_effect,6
port,6
war,6
score_value,6
select_random_hermetic_ingredient_effect,6
turn_undead_effect,6
race_is_illithid,6
add_kinslayer_trait_effect,6
father,6
new_bloodline,6
z_rogue_classes,6
is_devil_worshiper_trigger,6
evilcat_remove_patrons,6
is_special_courtier,6
true_father,6
has_earmarked_regiments,6
has_epidemic,6
num_of_count_titles_in_realm,6
remove_province_modifier,6
halfelf_race_inheritance,6
any_owned_bloodline,6
has_severe_disability_trigger,6
has_symptom_trigger,6
character_disease_trigger,6
at_location,5
is_main_spouse,5
random_child,5
trivial_adv_xp_effect,5
race_is_legless,5
race_is_one_eyed,5
tb_duel_won_xp,5
add_blood_splatter_effect,5
year,5
mai,5
spawn_great_commander_effect,5
is_landless_type_title,5
add_alliance,5
upgrade_strong_non_congenital_trait_effect,5
upgrade_fair_non_congenital_trait_effect,5
selected_ingredient_1_and_2_are_same,5
only_independent,5
job_treasurer,5
ruled_years,5
olrox_has_specific_sorc_origin,5
change_martial,5
change_intrigue,5
is_powerful,5
religion_authority,5
num_of_vassals,5
fallback,5
update_hidden_modifiers,5
give_job_title,5
family_palace,5
spawn_random_courtier_effect,5
is_pro_death_religion,5
has_polygamy,4
practical_age,4
add_trait_adventurer_effect,4
set_loser_flags_and_save_opponent_effect,4
multiplayer,4
highcoaster,4
badia,4
ching,4
sheng,4
waka,4
ti,4
hungtse,4
hai,4
kozakuran,4
year_of_birth,4
show_root,4
increase_visibility_effect,4
destroy_selected_ingredient_1_and_2_effect,4
destroy_selected_ingredient_1_effect,4
destroy_all_ingredients_effect,4
upgrade_strong_congenital_trait_effect,4
upgrade_smart_non_congenital_trait_effect,4
upgrade_smart_congenital_trait_effect,4
military_techpoints,4
has_alternate_start_parameter,4
is_immune_to_conversion_trigger,4
set_defacto_liege,4
set_gender,4
historical,4
has_children,4
clr_duel_flags_effect,4
is_patriarchal_religion_or_culture,4
has_fair_trait_non_congenital_trigger,4
mod_adv_xp_effect,4
is_member_of_any_thieves_guild_trigger,4
any_close_relative,4
is_heir,4
is_planetouched,4
religion_scope,4
is_a_mammal_trigger,4
has_fair_trait_trigger,4
multiply_variable,4
is_viking_invader_religion,4
is_nomadic_tribal_culture,4
has_nickname,4
race_is_neckless,4
province_event,4
add_spell_scar_effect,4
build_holding,4
sorcerer,4
trained_sorcerer,4
journeyman_sorcerer,4
expert_sorcerer,4
master_sorcerer,4
renowned_sorcerer,4
is_metamour_of_PREV,4
spawn_random_ardling,4
goliath_race_inheritance,4
race_is_goblinoid,4
planar_summon_effect,4
can_grant_title,3
any_lover,3
diplomatic_immunity,3
random_spouse,3
set_potential_injury_flag_effect,3
evaluate_duel_result_score_effect,3
evaluate_extra_duel_result_score_effect,3
send_duel_result_event_effect,3
adventure_cleanup_effect,3
set_winner_flags_and_save_opponent_effect,3
bad_soldier_outcome_score,3
good_soldier_outcome_score,3
apply_generic_duel_victory_effect,3
total_years_played,3
had_global_flag,3
is_primary_war_attacker,3
draeven,3
hadhar,3
astok,3
wuhaltai,3
chukien,3
wang,3
kao,3
chu,3
wanese,3
koryoan,3
interloper,3
death_no_trace_trigger,3
death_in_shou_lung_trigger,3
add_mission_succeed_influence_effect,3
add_mission_fail_influence_effect,3
create_random_priest,3
has_selected_herb_ingredient_1_trigger,3
has_selected_animal_part_ingredient_1_trigger,3
is_strong_non_congenital_trait_upgradeable_trigger,3
is_strong_congenital_trait_upgradeable_trigger,3
is_fair_non_congenital_trait_upgradeable_trigger,3
upgrade_fair_congenital_trait_effect,3
is_fair_congenital_trait_upgradeable_trigger,3
fertility,3
is_smart_congenital_trait_upgradeable_trigger,3
culture_techpoints,3
has_selected_ingredient_2_trigger,3
detract_society_currency_minor_effect,3
any_realm_title,3
has_disease_trigger,3
new_lover_effect,3
among_most_powerful_vassals,3
host,3
become_cleric_effect,3
siege,3
is_society_landed_title_trigger,3
reverse_has_opinion_modifier,3
war_with,3
is_matriarchal_religion_or_culture,3
can_be_maimed_trigger,3
tb_duel_lost_xp,3
change_stewardship,3
change_diplomacy,3
any_province_holding,3
has_warlock_patron,3
z_legendary_arcane,3
is_smart_non_congenital_trigger,3
faerun_any_race,3
is_lycanthrope_compatible,3
copy_lycanthrope_trait_of_PREV_effect,3
has_job_action,3
smart_5x_score,3
has_ugly_trait_trigger,3
race_is_yuanti,3
race_is_draconic,3
race_is_aberrant,3
pacifists_lose_piety_effect,3
set_name,3
is_true_immortal,3
is_old_enough_to_die_trigger,3
z_arcane_caster,3
activate_title,3
deities_of_fury,3
legendary_sorcerer,3
remove_all_classes,3
is_partner_of_PREV,3
father_even_if_dead,3
faerun_secret_immortal_race_trigger,3
human_racial,3
has_tiefling_subtype,3
has_horns,3
calc_reward_for_sacrifice_effect,3
faction_succ_ultimogeniture,2
show_from_from,2
is_pretender,2
duelist_skill_is_high_group_trigger,2
duelist_skill_compared_to_prev_low_group_trigger,2
simulate_duel_effect,2
simulate_duel_injury_effect,2
amnian,2
cormyrean,2
impilturan,2
illuskan,2
qarsan,2
noga,2
fabada,2
padhran,2
tabotan,2
oigur,2
kaghun,2
taghur,2
guychiang,2
animist,2
the_path,2
chung_tao,2
nine_travelers,2
add_trait_depressed_effect,2
destroy_random_ingredients_effect,2
select_random_hermetic_ingredient_herb_effect,2
select_random_hermetic_ingredient_animal_part_effect,2
select_random_hermetic_ingredient_powder_effect,2
select_random_hermetic_ingredient_liquid_effect,2
has_selected_herb_ingredient_2_trigger,2
has_selected_animal_part_ingredient_2_trigger,2
selected_ingredient_is_sleep_inducing_trigger,2
transfer_artifact,2
is_smart_non_congenital_trait_upgradeable_trigger,2
downgrade_smart_non_congenital_trait_effect,2
calculate_health_level_of_ingredient_1_effect,2
has_selected_powder_ingredient_1_trigger,2
has_selected_liquid_ingredient_1_trigger,2
increase_visibility_minor_effect,2
is_allowed_to_loot,2
elder_concord,2
prefers_men_trigger,2
abdicate,2
num_of_children,2
become_druid_effect,2
z_divine_caster,2
increase_cowardly_status_effect,2
is_society_grandmaster,2
is_indestructible,2
is_evil_trigger,2
detract_society_currency_massive_effect,2
has_society_currency_massive_trigger,2
detract_society_currency_major_effect,2
has_society_currency_major_trigger,2
leave_society,2
lifestyle_traits,2
random_province,2
random_magic_weapon_effect,2
random_magic_armor_effect,2
random_magic_jewelry_effect,2
random_magic_clothing_effect,2
leave_court_and_die_effect,2
easy_adv_xp_effect,2
is_member_of_any_zhent_like_society_trigger,2
male_can_hold_minor_commander_title_trigger,2
female_can_hold_minor_commander_title_trigger,2
is_true_outsider,2
culture_scope,2
infertile_age_trigger,2
killer,2
is_pilgrim,2
become_paladin_effect,2
is_werebeast,2
is_race_lifespan_1000_trigger,2
is_race_lifespan_800_trigger,2
is_race_lifespan_600_trigger,2
is_race_lifespan_500_trigger,2
is_race_lifespan_400_trigger,2
is_race_lifespan_350_trigger,2
is_race_lifespan_300_trigger,2
is_race_lifespan_250_trigger,2
is_race_lifespan_200_trigger,2
is_race_lifespan_180_trigger,2
is_race_lifespan_160_trigger,2
is_race_lifespan_150_trigger,2
become_fighter_effect,2
debug_battle_death_counter_effect,2
send_notifications_after_champion_stand_in_effect,2
set_player_character,2
any_current_enemy,2
job_chancellor,2
job_spiritual,2
additive_modifier,2
is_sick_or_injured_trigger,2
has_minion_culture_trigger,2
is_government_potential,2
has_special_succession_trigger,2
grant_temp_landless_title_to_PREV_effect,2
is_variable_equal,2
all_immortals_trigger,2
aristocrat,2
trained_aristocrat,2
journeyman_aristocrat,2
expert_aristocrat,2
master_aristocrat,2
renowned_aristocrat,2
artificer,2
trained_artificer,2
journeyman_artificer,2
expert_artificer,2
master_artificer,2
renowned_artificer,2
barbarian,2
trained_barbarian,2
journeyman_barbarian,2
expert_barbarian,2
master_barbarian,2
renowned_barbarian,2
bard,2
trained_bard,2
journeyman_bard,2
expert_bard,2
master_bard,2
renowned_bard,2
cleric,2
trained_cleric,2
journeyman_cleric,2
expert_cleric,2
master_cleric,2
renowned_cleric,2
druid,2
trained_druid,2
journeyman_druid,2
expert_druid,2
master_druid,2
renowned_druid,2
fighter,2
trained_fighter,2
journeyman_fighter,2
expert_fighter,2
master_fighter,2
renowned_fighter,2
class_monk,2
trained_monk,2
journeyman_monk,2
expert_monk,2
master_monk,2
renowned_monk,2
paladin,2
trained_paladin,2
journeyman_paladin,2
expert_paladin,2
master_paladin,2
renowned_paladin,2
ranger,2
trained_ranger,2
journeyman_ranger,2
expert_ranger,2
master_ranger,2
renowned_ranger,2
rogue,2
trained_rogue,2
journeyman_rogue,2
expert_rogue,2
master_rogue,2
renowned_rogue,2
shadow,2
trained_shadow,2
journeyman_shadow,2
expert_shadow,2
master_shadow,2
renowned_shadow,2
warlock,2
trained_warlock,2
journeyman_warlock,2
expert_warlock,2
master_warlock,2
renowned_warlock,2
wizard,2
trained_wizard,2
journeyman_wizard,2
expert_wizard,2
master_wizard,2
renowned_wizard,2
psion,2
trained_psion,2
journeyman_psion,2
expert_psion,2
master_psion,2
renowned_psion,2
religion_head,2
is_parent_of,2
can_have_more_leadership_traits,2
is_faerun_horde_nomad_culture,2
is_married_matrilineally,2
religion_has_polyamory,2
refresh_immortal_age_effect,2
dragon_race_inheritance,2
tiefling_race_inheritance,2
aasimar_race_inheritance,2
race_is_orcish,2
race_is_fey,2
set_genasi_subtype,2
is_senior_consort_party,2
spawn_marriage_partner_effect,2
betrothed,2
race_is_serpent,2
lolth_cult,2
infernal,2
church_of_cyric,2
loviatar,2
faceless_god,2
dead_three,2
geomancy,2
abyssal_cult,2
any_realm_wonder_upgrade,2
original_artifact_owner,2
has_assigned_minor_title,1
is_abroad,1
any_voter,1
random_voter,1
in_faction,1
any_faction_backer,1
has_inheritance_blocker,1
apply_selected_duel_injury_effect,1
can_hold_title,1
random_major_magic_item_effect,1
random_art_object_effect,1
random_minor_art_object_effect,1
is_multiplayer_host_character,1
triadic,1
tethyrian,1
damaran,1
solar,1
dalesman,1
joyful,1
halfling_pantheon,1
lightfoot,1
strongheart,1
ghostwise,1
dwarven_pantheon,1
gold_dwarf,1
shield_dwarf,1
wild_dwarf,1
gnome_pantheon,1
gnome,1
forest_gnome,1
lantanna,1
svirfneblin,1
ubtao_worship,1
chultan,1
thinguth,1
katashakan,1
elven_pantheon,1
moon_elf,1
sun_elf,1
snow_elf,1
avariel,1
sylvan,1
green_elf,1
wood_elf,1
lythari,1
eilistraee,1
drow,1
lorendrow,1
aevendrow,1
bahamut,1
dragonborn,1
vayemniri,1
thymari,1
adama,1
durpari,1
mari,1
ulgarian,1
ten_thousand_gods,1
qisma,1
affa,1
pantheist_league,1
muhjari,1
semphari,1
raurindi,1
murghomi,1
kahin,1
khatin,1
tuigan_shamanism,1
tuigan,1
quirish,1
fankiang,1
igidujin,1
tsu_tsu,1
dalat,1
khassidi,1
commani,1
naican,1
zamogedi,1
raumviran,1
korpokkur,1
issacortae,1
pazruki,1
tayanulchi,1
mahasiswa,1
bawani,1
seng,1
kuong,1
shou_lung,1
is_artifact_equipped,1
num_of_artifacts,1
has_a_herb_ingredient_trigger,1
has_an_animal_part_ingredient_trigger,1
destroy_random_herb_or_animal_part_ingredients_effect,1
add_society_currency_massive_effect,1
cheap_laboratory,1
normal_laboratory,1
good_laboratory,1
great_laboratory,1
best_laboratory,1
give_food_poisoning_effect,1
hermetic_add_herbal_ingredient_effect,1
hermetic_add_animal_ingredient_effect,1
hermetic_add_misc_ingredient_effect,1
downgrade_strong_non_congenital_trait_effect,1
is_strong_non_congenital_trait_downgradeable_trigger,1
downgrade_strong_congenital_trait_effect,1
is_strong_congenital_trait_downgradeable_trigger,1
health,1
downgrade_fair_non_congenital_trait_effect,1
is_fair_non_congenital_trait_downgradeable_trigger,1
downgrade_fair_congenital_trait_effect,1
is_fair_congenital_trait_downgradeable_trigger,1
is_smart_non_congenital_trait_downgradeable_trigger,1
downgrade_smart_congenital_trait_effect,1
is_smart_congenital_trait_downgradeable_trigger,1
race_is_handless,1
race_can_fly,1
calculate_health_level_of_ingredient_2_effect,1
destroy_selected_ingredient_2_effect,1
has_selected_powder_ingredient_2_trigger,1
has_selected_liquid_ingredient_2_trigger,1
calculate_health_level_of_ingredient_1_and_2_effect,1
calculate_health_level_of_all_ingredients_effect,1
reverse_banish,1
is_quest_target_of,1
has_an_omen_modifier_trigger,1
any_realm_province,1
treasury,1
is_weak_congenital_trigger,1
remove_disease_trait_effect,1
add_cat_effect,1
gender_equality_trigger,1
is_dumb_congenital_trigger,1
set_quest_target,1
add_trait_deceitful_effect,1
remove_trait_honest_effect,1
add_trait_brave_effect,1
remove_trait_craven_effect,1
add_trait_diligent_effect,1
remove_trait_slothful_effect,1
clear_secret_religion,1
set_council_malcontent,1
is_ascetic_trigger,1
become_wizard_effect,1
become_warlock_effect,1
remove_claim,1
add_trait_craven_effect,1
remove_trait_brave_effect,1
grant_kingdom_w_adjudication,1
is_society_title_matching_society_of_PREV_trigger,1
society_has_linked_title_trigger,1
assign_sorcerer_trait,1
evilcat_has_sorc_origin_or_race,1
has_non_aggression_pact_with,1
sound,1
set_bloodline_founder_religion_flag_effect,1
select_and_save_fellow_society_member_effect,1
has_lifestyle_martial_trigger,1
strong_05x_score,1
weak_2x_score,1
has_focus,1
has_ugly_trait_non_congenital_trigger,1
lacks_dlc,1
is_society,1
set_society_progress,1
save_persistent_event_target,1
add_1_point_to_legendary_progress_effect,1
evaluate_legendary_progress_effect,1
is_member_of_any_alliance_society_trigger,1
is_quest_target,1
any_quester_targeting_this,1
is_monastic_member_trigger,1
held_under_PREV,1
religion_has_patrons,1
select_patron_effect,1
has_patron_god_heavy_trigger,1
give_ill_effect,1
give_pneumonic_effect,1
prisoner_mutilate_effect,1
is_member_of_any_spy_net_society_trigger,1
minor_soul_corruption_effect,1
has_fair_trait_congenital_trigger,1
is_smart_congenital_trigger,1
is_strong_congenital_trigger,1
BR_remove_any_disease,1
remove_rival,1
religion_allows_female_temple_holders,1
simulate_on_birth_on_action_effect,1
orcgfx,1
grayorcgfx,1
ogrillongfx,1
ondontigfx,1
tanarukkgfx,1
scrogfx,1
halforcgfx,1
bugbeargfx,1
goblingfx,1
forestgoblingfx,1
bakemonogfx,1
dekantergfx,1
hobgoblingfx,1
dragongfx,1
dragonspawngfx,1
dragonborngfx,1
strixikigfx,1
koboldgfx,1
arcticdwarfgfx,1
derrogfx,1
duergargfx,1
golddwarfgfx,1
korpokkurgfx,1
dwarfgfx,1
earthfastgfx,1
wilddwarfgfx,1
chultdwarfgfx,1
earthrootgfx,1
urdunnirgfx,1
darkelfgfx,1
drowgfx,1
lorendrowgfx,1
aevendrowgfx,1
crintigfx,1
draeglothgfx,1
moonelfgfx,1
elfgfx,1
snowelfgfx,1
feyrigfx,1
seaelfgfx,1
halfsunelfgfx,1
halfmoonelfgfx,1
halfseaelfgfx,1
greenelfgfx,1
sylvangfx,1
poscadargfx,1
halfwoodelfgfx,1
halfgreenelfgfx,1
eladringfx,1
maraloigfx,1
shadarkaigfx,1
halfeladringfx,1
halfshadarkaigfx,1
cloudgiantgfx,1
firegiantgfx,1
frostgiantgfx,1
giantgfx,1
stonegiantgfx,1
ashgiantgfx,1
stormgiantgfx,1
fomoriangfx,1
ogresgfx,1
ogrimagfx,1
merrowgfx,1
onigfx,1
redonigfx,1
woodgiantgfx,1
halfogregfx,1
desertgiantgfx,1
junglegiantgfx,1
reefgiantgfx,1
cyclopsgfx,1
earthtitangfx,1
trollgfx,1
goliathgfx,1
stormgoliathgfx,1
cloudgoliathgfx,1
firegoliathgfx,1
frostgoliathgfx,1
halfgiantgfx,1
deepimaskarigfx,1
maviddigfx,1
shadovargfx,1
dtariggfx,1
skulkgfx,1
gnomesgfx,1
forestgnomesgfx,1
svirfneblingfx,1
halflinggfx,1
strongheartgfx,1
ghostwisegfx,1
shugfx,1
necrarchgfx,1
strigoigfx,1
nehekharangfx,1
carsteingfx,1
undeaddwarfgfx,1
vampiredwarfgfx,1
undeadelfgfx,1
lichelfgfx,1
undeadgiantgfx,1
undeadogregfx,1
wraithgfx,1
wightgfx,1
dracolichgfx,1
minotaurgfx,1
yikariangfx,1
gnollgfx,1
halfgnollgfx,1
tabaxigfx,1
sahuagingfx,1
kuotoagfx,1
centaurgfx,1
wemicgfx,1
lamiagfx,1
tengugfx,1
kenkugfx,1
aarakocragfx,1
mindflayergfx,1
elderbraingfx,1
beholdergfx,1
abolethgfx,1
ghaunadangfx,1
starspawngfx,1
warforgedgfx,1
modrongfx,1
inevitablegfx,1
golemgfx,1
rilmanigfx,1
empyreangfx,1
fireprimordialgfx,1
xixecalgfx,1
slaadgfx,1
gormeelgfx,1
celestialgfx,1
houndgfx,1
asuragfx,1
celestialeladringfx,1
einheriargfx,1
moonmaidengfx,1
avoralgfx,1
equinalgfx,1
cervidalgfx,1
beargfx,1
mustevalgfx,1
planetargfx,1
wardengfx,1
baatezugfx,1
cornugongfx,1
gelugongfx,1
erinyesgfx,1
abishaigfx,1
gehrelethgfx,1
tanarrigfx,1
balorgfx,1
succubusgfx,1
marilithgfx,1
cambiongfx,1
nalfeshneegfx,1
glabrezugfx,1
obyrithgfx,1
yugolothgfx,1
ultrolothgfx,1
mezzolothgfx,1
rakshasagfx,1
marrashgfx,1
githyankigfx,1
githzeraigfx,1
treantgfx,1
shamblergfx,1
hamadryadgfx,1
satyrgfx,1
haggfx,1
hagspawngfx,1
hengeyokaigfx,1
spiritfolkgfx,1
tamhigfx,1
horsegfx,1
catgfx,1
blackbeargfx,1
polarbeargfx,1
hedgehoggfx,1
duckgfx,1
doggfx,1
elephantgfx,1
redpandagfx,1
tieflinggfx,1
aasimargfx,1
greenaasimargfx,1
devagfx,1
eladrinaasimargfx,1
airgenasigfx,1
earthgenasigfx,1
firegenasigfx,1
watergenasigfx,1
geniegfx,1
earthgeniegfx,1
airgeniegfx,1
firegeniegfx,1
watergeniegfx,1
qorrashigfx,1
khayalgfx,1
monstergfx,1
sarrukhgfx,1
yuantigfx,1
halfbloodgfx,1
malisongfx,1
abominationgfx,1
nagagfx,1
bonenagagfx,1
lizardmangfx,1
asabigfx,1
firenewtgfx,1
troglodytegfx,1
saurialgfx,1
hornheadgfx,1
pterafolkgfx,1
undead_incompatible_race,1
set_freckles_effect,1
has_planetouched_subtype,1
race_is_outsider,1
death_duel_kill_trigger,1
can_apply_super_cool_nickname_trigger,1
random_host_courtier,1
is_paladin_class_allowed,1
is_cleric_class_allowed,1
is_druid_class_allowed,1
apply_random_minor_injury_effect,1
has_wonder,1
add_one_duel_experience_modifier,1
pick_random_class_effect,1
long_character_event,1
any_opinion_modifier_target,1
over_max_demesne_size,1
is_friendly,1
random_demesne_title,1
gain_title,1
join_attacker_wars,1
unconvertable_culture_trigger,1
disallow_new_battle_events_effect,1
rank_1,1
rank_2,1
rank_3,1
rank_4,1
allow_new_battle_events_effect,1
quest_target,1
apply_merciful_modifier_effect,1
de_jure_liege,1
hold_election,1
this_abdicate_transfer_wealth_to_play_prev_effect,1
clear_wealth,1
z_basic_class,1
z_trained_class,1
z_journeyman_class,1
become_ranger_effect,1
become_rogue_effect,1
become_monk_effect,1
num_of_claims,1
free_court_slots,1
num_of_courtiers,1
obedient,1
any_friend,1
any_rival,1
is_important_character_to,1
simulate_duel_injury_fatal_effect,1
random_accident_death_effect,1
refresh_minion_culture_province_modifiers_effect,1
is_reformed_religion,1
not_casting,1
add_weak_claim,1
is_primary_holder_title,1
lower_tier_than,1
employer,1
muhjari_has_syncretism,1
has_full_court,1
is_arcane_title_trigger,1
is_druidic_title_trigger,1
minion_culture_maint_dragon_effect,1
copy_title_laws,1
has_province_flag,1
has_plot,1
plot_power_contribution,1
is_part_of_plot,1
reveal_plot,1
cure_illness,1
remove_trait_cynical_effect,1
add_trait_fully_zealous_effect,1
can_apply_cool_nickname_trigger,1
add_wonder,1
wonder,1
remove_nickname,1
in_siege,1
orc_pantheon,1
orc_reformed,1
arcane,1
shadow_gods,1
is_liege_or_above_of,1
legendary_aristocrat,1
legendary_artificer,1
legendary_barbarian,1
legendary_bard,1
legendary_cleric,1
legendary_druid,1
legendary_fighter,1
legendary_monk,1
legendary_paladin,1
legendary_ranger,1
legendary_rogue,1
legendary_shadow,1
legendary_warlock,1
legendary_wizard,1
legendary_psion,1
class_upgrading_aristocratlvl1,1
class_upgrading_aristocratlvl2,1
class_upgrading_aristocratlvl3,1
class_upgrading_aristocratlvl4,1
class_upgrading_aristocratlvl5,1
class_upgrading_aristocratlvl6,1
class_upgrading_artificerlvl1,1
class_upgrading_artificerlvl2,1
class_upgrading_artificerlvl3,1
class_upgrading_artificerlvl4,1
class_upgrading_artificerlvl5,1
class_upgrading_artificerlvl6,1
class_upgrading_bardlvl1,1
class_upgrading_bardlvl2,1
class_upgrading_bardlvl3,1
class_upgrading_bardlvl4,1
class_upgrading_bardlvl5,1
class_upgrading_bardlvl6,1
class_upgrading_barbarianlvl1,1
class_upgrading_barbarianlvl2,1
class_upgrading_barbarianlvl3,1
class_upgrading_barbarianlvl4,1
class_upgrading_barbarianlvl5,1
class_upgrading_barbarianlvl6,1
class_upgrading_clericlvl1,1
class_upgrading_clericlvl2,1
class_upgrading_clericlvl3,1
class_upgrading_clericlvl4,1
class_upgrading_clericlvl5,1
class_upgrading_clericlvl6,1
class_upgrading_druidlvl1,1
class_upgrading_druidlvl2,1
class_upgrading_druidlvl3,1
class_upgrading_druidlvl4,1
class_upgrading_druidlvl5,1
class_upgrading_druidlvl6,1
class_upgrading_fighterlvl1,1
class_upgrading_fighterlvl2,1
class_upgrading_fighterlvl3,1
class_upgrading_fighterlvl4,1
class_upgrading_fighterlvl5,1
class_upgrading_fighterlvl6,1
class_upgrading_monklvl1,1
class_upgrading_monklvl2,1
class_upgrading_monklvl3,1
class_upgrading_monklvl4,1
class_upgrading_monklvl5,1
class_upgrading_monklvl6,1
class_upgrading_paladinlvl1,1
class_upgrading_paladinlvl2,1
class_upgrading_paladinlvl3,1
class_upgrading_paladinlvl4,1
class_upgrading_paladinlvl5,1
class_upgrading_paladinlvl6,1
class_upgrading_rangerlvl1,1
class_upgrading_rangerlvl2,1
class_upgrading_rangerlvl3,1
class_upgrading_rangerlvl4,1
class_upgrading_rangerlvl5,1
class_upgrading_rangerlvl6,1
class_upgrading_roguelvl1,1
class_upgrading_roguelvl2,1
class_upgrading_roguelvl3,1
class_upgrading_roguelvl4,1
class_upgrading_roguelvl5,1
class_upgrading_roguelvl6,1
class_upgrading_shadowlvl1,1
class_upgrading_shadowlvl2,1
class_upgrading_shadowlvl3,1
class_upgrading_shadowlvl4,1
class_upgrading_shadowlvl5,1
class_upgrading_shadowlvl6,1
class_upgrading_sorcererlvl1,1
class_upgrading_sorcererlvl2,1
class_upgrading_sorcererlvl3,1
class_upgrading_sorcererlvl4,1
class_upgrading_sorcererlvl5,1
class_upgrading_sorcererlvl6,1
class_upgrading_warlocklvl1,1
class_upgrading_warlocklvl2,1
class_upgrading_warlocklvl3,1
class_upgrading_warlocklvl4,1
class_upgrading_warlocklvl5,1
