ck2_on_action,ck3_on_action,ck2_event_id,ck3_event_id,list_kind,weight,wired,reason,trigger_first_line
on_adulthood,on_birthday_adulthood,ZE.13090,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_adulthood,on_birthday_adulthood,ZE.13100,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_adulthood,on_birthday_adulthood,ZE.13110,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_adulthood,on_birthday_adulthood,ZE.14100,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_adulthood,on_birthday_adulthood,ZE.14200,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_adulthood,on_birthday_adulthood,ZE.14300,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_adulthood,on_birthday_adulthood,ZE.14400,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_adulthood,on_birthday_adulthood,ZE.14500,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_adulthood,on_birthday_adulthood,ZE.14700,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_adulthood,on_birthday_adulthood,MNM.1269,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_adulthood,on_birthday_adulthood,HFP.20592,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_adulthood,on_birthday_adulthood,HF.23016,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_adulthood,on_birthday_adulthood,HF.300,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_adulthood,on_birthday_adulthood,HF.23775,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_adulthood,on_birthday_adulthood,ZE.40000,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_adulthood,on_birthday_adulthood,generalmisc.4,fae_generalmisc.4,events,,no,"emitted as an inert stub (fae_unported), not live",
on_became_imprisoned,on_imprison,151,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_become_imprisoned_any_reason,on_imprison,HL.190,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_become_imprisoned_any_reason,on_imprison,ZE.14600,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_become_imprisoned_any_reason,on_imprison,RIP.12097,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_become_imprisoned_any_reason,on_imprison,685,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_become_imprisoned_any_reason,on_imprison,JD.10022,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_become_imprisoned_any_reason,on_imprison,HF.12305,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_become_imprisoned_any_reason,on_imprison,LA.506,fae_la.506,events,,no,"emitted as an inert stub (fae_unported), not live",
on_birth,on_birth_mother,300,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_birth,on_birth_mother,frmaint.47,fae_frmaint.47,events,,no,"emitted as an inert stub (fae_unported), not live",
on_birth,on_birth_mother,312,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_birth,on_birth_mother,318,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_birth,on_birth_mother,CM.10011,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_birth,on_birth_mother,HL.1000,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_birth,on_birth_mother,HL.1700,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_birth,on_birth_mother,RIP.11064,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_birth,on_birth_mother,MNM.7508,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_birth,on_birth_mother,MNM.1206,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_birth,on_birth_mother,105008,fae_ck2.65530,events,,no,"emitted as an inert stub (fae_unported), not live",
on_birth,on_birth_mother,beauty.0,fae_beauty.0,events,,no,"emitted as an inert stub (fae_unported), not live",
on_birth,on_birth_mother,intelligence.0,fae_intelligence.0,events,,no,"emitted as an inert stub (fae_unported), not live",
on_birth,on_birth_mother,strength.0,fae_strength.0,events,,no,"emitted as an inert stub (fae_unported), not live",
on_birth,on_birth_mother,racialbirth.0,fae_racialbirth.0,events,,no,"emitted as an inert stub (fae_unported), not live",
on_birth,on_birth_mother,HFP.20403,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_birth,on_birth_mother,HFP.20555,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_birth,on_birth_mother,HFP.30030,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_birth,on_birth_mother,HFP.20068,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_birth,on_birth_mother,HF.23750,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_birth,on_birth_mother,fertility.2,fae_fertility.2,events,,no,"emitted as an inert stub (fae_unported), not live",
on_birth,on_birth_mother,FaerunSorcerer.1,fae_faerunsorcerer.1,events,,no,"emitted as an inert stub (fae_unported), not live",
on_birth,on_birth_mother,uthgar.0,fae_uthgar.0,events,,no,"emitted as an inert stub (fae_unported), not live",
on_birth,on_birth_mother,frstory.6,fae_frstory.6,events,,no,"emitted as an inert stub (fae_unported), not live",
on_birth,on_birth_mother,RIP.29600,,random_events,50,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_birth,on_birth_mother,RoI.10000,,random_events,5,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_birth,on_birth_mother,RIP.29805,,random_events,1,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_character_convert_culture,on_character_culture_change,CM.10027,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_character_convert_culture,on_character_culture_change,generalmisc.4,fae_generalmisc.4,events,,no,"emitted as an inert stub (fae_unported), not live",
on_character_convert_religion,on_character_faith_change,frmaint.14,fae_frmaint.14,events,,no,"emitted as an inert stub (fae_unported), not live",
on_character_convert_religion,on_character_faith_change,CM.10026,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_character_convert_religion,on_character_faith_change,671,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_character_convert_religion,on_character_faith_change,HF.23033,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_character_convert_religion,on_character_faith_change,HF.23034,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_character_convert_religion,on_character_faith_change,HF.23458,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_character_convert_religion,on_character_faith_change,uthgar.6,fae_uthgar.6,events,,no,"emitted as an inert stub (fae_unported), not live",
on_character_convert_religion,on_character_faith_change,uthgar.8,fae_uthgar.8,events,,no,"emitted as an inert stub (fae_unported), not live",
on_character_convert_religion,on_character_faith_change,uthgar.9,fae_uthgar.9,events,,no,"emitted as an inert stub (fae_unported), not live",
on_character_convert_religion,on_character_faith_change,generalmisc.25,fae_generalmisc.25,events,,no,"emitted as an inert stub (fae_unported), not live",
on_character_convert_religion,on_character_faith_change,generalmisc.32,fae_generalmisc.32,events,,no,"emitted as an inert stub (fae_unported), not live",
on_character_convert_religion,on_character_faith_change,generalmisc.33,fae_generalmisc.33,events,,no,"emitted as an inert stub (fae_unported), not live",
on_character_convert_religion,on_character_faith_change,fr_prepared_invasion.1,fae_fr_prepared_invasion.1,events,,no,"emitted as an inert stub (fae_unported), not live",
on_character_convert_religion,on_character_faith_change,frmaint.48,fae_frmaint.48,events,,no,"emitted as an inert stub (fae_unported), not live",
on_character_convert_religion,on_character_faith_change,faithcleanup.0,fae_faithcleanup.0,events,,no,"emitted as an inert stub (fae_unported), not live",
on_character_convert_religion,on_character_faith_change,frstory.87,fae_frstory.87,events,,no,"emitted as an inert stub (fae_unported), not live",
on_character_convert_religion,on_character_faith_change,frmaint.72,fae_frmaint.72,events,,no,"emitted as an inert stub (fae_unported), not live",
on_character_convert_religion,on_character_faith_change,frmaint.20,fae_frmaint.20,events,,yes,,has_character_flag = reverting_religion_change
on_death,on_death,650,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_death,on_death,24500,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_death,on_death,24502,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_death,on_death,70041,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_death,on_death,88291,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_death,on_death,CM.10010,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_death,on_death,CM.6185,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_death,on_death,WoL.6335,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_death,on_death,HLF.8001,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_death,on_death,ZE.1030,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_death,on_death,ZE.1040,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_death,on_death,532,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_death,on_death,RIP.4400,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_death,on_death,GR.10,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_death,on_death,MNM.6844,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_death,on_death,MNM.6991,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_death,on_death,LA.506,fae_la.506,events,,no,"emitted as an inert stub (fae_unported), not live",
on_death,on_death,MNM.6012,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_death,on_death,BRO.1415,fae_bro.1415,events,,no,"emitted as an inert stub (fae_unported), not live",
on_death,on_death,BFL.1415,fae_bfl.1415,events,,no,"emitted as an inert stub (fae_unported), not live",
on_death,on_death,BRO.1611,fae_bro.1611,events,,no,"emitted as an inert stub (fae_unported), not live",
on_death,on_death,BFL.1611,fae_bfl.1611,events,,no,"emitted as an inert stub (fae_unported), not live",
on_death,on_death,JD.60210,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_death,on_death,JD.60015,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_death,on_death,JD.3042,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_death,on_death,JD.10080,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_death,on_death,JD.60310,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_death,on_death,JD.10022,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_death,on_death,GR.14,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_death,on_death,GR.15,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_death,on_death,GR.16,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_death,on_death,GR.17,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_death,on_death,GR.18,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_death,on_death,HF.20415,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_death,on_death,HF.21001,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_death,on_death,HF.22119,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_death,on_death,HF.40000,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_death,on_death,HF.40100,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_death,on_death,HF.21152,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_death,on_death,HFP.10997,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_death,on_death,HF.23410,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_death,on_death,HF.23430,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_death,on_death,HF.23448,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_death,on_death,HF.23450,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_death,on_death,HF.23801,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_death,on_death,HF.10502,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_death,on_death,WoL.4801,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_death,on_death,HF.560,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_death,on_death,HF.24017,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_death,on_death,HF.12304,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_death,on_death,HF.50107,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_death,on_death,LT.20501,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_death,on_death,fr_prepared_invasion.3,fae_fr_prepared_invasion.3,events,,no,"emitted as an inert stub (fae_unported), not live",
on_death,on_death,HRP.3,fae_hrp.3,events,,no,"emitted as an inert stub (fae_unported), not live",
on_death,on_death,fr_prepared_invasion.18,fae_fr_prepared_invasion.18,events,,no,"emitted as an inert stub (fae_unported), not live",
on_death,on_death,uthgar.26,fae_uthgar.26,events,,no,"emitted as an inert stub (fae_unported), not live",
on_death,on_death,frelections.9,fae_frelections.9,events,,no,"emitted as an inert stub (fae_unported), not live",
on_death,on_death,generalmisc.1,fae_generalmisc.1,events,,no,"emitted as an inert stub (fae_unported), not live",
on_death,on_death,spellaux.44,fae_spellaux.44,events,,no,"emitted as an inert stub (fae_unported), not live",
on_death,on_death,conv.11,fae_conv.11,events,,no,"emitted as an inert stub (fae_unported), not live",
on_death,on_death,frstory.5,fae_frstory.5,events,,no,"emitted as an inert stub (fae_unported), not live",
on_death,on_death,frstory.83,fae_frstory.83,events,,no,"emitted as an inert stub (fae_unported), not live",
on_death,on_death,ARTF.4,fae_artf.4,events,,no,"emitted as an inert stub (fae_unported), not live",
on_death,on_death,RIP.29800,,random_events,1,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_death,on_death,HF.51000,,random_events,5,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_death,on_death,24505,,random_events,10,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_death,on_death,24510,,random_events,10,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_death,on_death,RIP.29000,,random_events,25,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_death,on_death,MNM.1207,,random_events,100,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_divorce,on_divorce,CM.10037,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_marriage,on_marriage,racialbirth.3,fae_racialbirth.3,events,,no,"emitted as an inert stub (fae_unported), not live",
on_marriage,on_marriage,500,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_marriage,on_marriage,HF.23777,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_marriage,on_marriage,CM.10023,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_marriage,on_marriage,CM.10036,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_marriage,on_marriage,ZE.1015,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_marriage,on_marriage,GBC.199,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_marriage,on_marriage,ZE.1010,,random_events,10,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_outbreak,disease_outbreak_pulse,RIP.4000,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_pregnancy,on_pregnancy_mother,racialbirth.2,fae_racialbirth.2,events,,no,"emitted as an inert stub (fae_unported), not live",
on_pregnancy,on_pregnancy_mother,400,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_pregnancy,on_pregnancy_mother,401,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_pregnancy,on_pregnancy_mother,402,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_pregnancy,on_pregnancy_mother,410,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_pregnancy,on_pregnancy_mother,412,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_pregnancy,on_pregnancy_mother,fertility.1,fae_fertility.1,events,,no,"emitted as an inert stub (fae_unported), not live",
on_pregnancy,on_pregnancy_mother,HFP.20401,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_pregnancy,on_pregnancy_mother,HFP.20556,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_released_from_prison,on_release_from_prison,153,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_released_from_prison,on_release_from_prison,CM.10025,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_released_from_prison,on_release_from_prison,ZE.12219,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_released_from_prison,on_release_from_prison,HF.23446,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_war_started,on_war_started,CM.10012,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_war_started,on_war_started,JD.30020,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_war_started,on_war_started,JD.30030,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_war_started,on_war_started,JD.30015,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_war_started,on_war_started,HF.24013,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_war_started,on_war_started,HF.23803,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_war_started,on_war_started,HF.24021,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_war_started,on_war_started,HF.50000,,events,,no,"not a `new` event this converter ports (vanilla CK2 kept/modified, or an id outside this run's scope) - the modified-events lane owns it",
on_war_started,on_war_started,fr_prepared_invasion.4,fae_fr_prepared_invasion.4,events,,no,"emitted as an inert stub (fae_unported), not live",
on_war_started,on_war_started,HRP.4,fae_hrp.4,events,,no,"emitted as an inert stub (fae_unported), not live",
on_war_started,on_war_started,TOG.183,fae_tog.183,events,,no,"emitted as an inert stub (fae_unported), not live",
