ck2_trait,source_file,reason
bio_alvaerele,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_amaranth,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_amelyssan,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_ammon,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_anomen,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_anthraxus,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_aoth,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_araithe,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_arauthator,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_arcturia,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_aribeth,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_ariel,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_arietta,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_arilyn,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_artemis,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_artor,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_artus,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_arveiaturace,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_astarion,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_aumon,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_auril,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_aurora,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_aurora2,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_avarice,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_aylin,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_azoun,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_azuth,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_baalzebul,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_baeloth,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_baerick,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_balthazar,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_balthazar2,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_bane,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_baphomet,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_barrowin,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_bayalun,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_bel,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_belaphoss,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_bhaal,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_bhrokiti,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_bidderdoo,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_biha,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_bjornhild,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_bladenkerst,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_blizzard,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_bobby,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_boddyknock,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_bodhi,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_bohn,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_brandon,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_branwen,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_brianna,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_brie_zara,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_brindol,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_briza,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_bruenor,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_cadderly,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_caelar,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_caitlyn,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_caladorn,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_casal,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_cassana,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_catti_brie,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_cazador,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_cernd,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_chanar,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_chardath,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_chuth,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_clara,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_clariburnus,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_coral_princess,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_coran,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_cryovain,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_daelan,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_dagult,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_dahlia,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_danifae,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_danilo,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_dantrag,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_darathra,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_darfin,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_dark_urge,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_daurgothoth,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_deekin,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_demogorgon,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_derval,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_deryan,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_desther,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_deudermont,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_diana,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_dinin,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_dispater,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_doric,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_dorn,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_dove,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_dragonbait,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_dran,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_drizfryn,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_drizzt,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_durnan,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_durth,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_duvessa,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_dynaheir,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_ebondeath,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_edgin,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_edwin,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_elaith,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_elanee,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_elbereth,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_eldest,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_eldoth,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_ellesime,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_elminster,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_eltab,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_enver,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_erevis,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_eric,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_errtu,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_evani,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_evin,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_faldorn,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_farideh,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_fenthick,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_filfaeril,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_finder,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_firkraag,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_florin,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_forfallen,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_forge,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_foril,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_fzoul,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_gale,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_gandalug,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_garagos,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_garbo,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_gareth,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_garius,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_gark,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_garmult,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_garrick,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_gerti,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_ghaunadaur,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_ghiirvox,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_giogi,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_glasya,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_glint,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_gnawbone,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_gorion,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_grandolpha,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_grazzt,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_grimgnaw,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_gromph,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_grypht,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_gut,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_hadrhune,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_haer_dalis,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_halaster,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_haliator,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_halima,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_halisstra,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_halsin,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_hank,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_havarlan,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_havilar,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_hazaufein,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_hedrun,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_hekaton,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_hephernaan,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_herzgo,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_hexxat,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_holga,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
