ck2_id,ck3_id,namespace,kind,ck3_type,theme,emitted,live,score,mapped,total,gates,calls,loc_keys,source_file
30039,fae_ck2.30039,fae_ck2,character_event,character_event,default,yes,no,0.714,15,21,score;dead_call,30040,,events/married_life_events.txt
8011,fae_ck2.8011,fae_ck2,letter_event,letter_event,default,yes,no,0.000,0,9,score;from_scope;dead_call;unsaved_scope,8112,EVTOPTA8000;EVTOPTB8000;EVTDESC8011,events/plot_events.txt
8062,fae_ck2.8062,fae_ck2,letter_event,letter_event,default,yes,no,0.500,1,2,score,,EXCELLENT;EVTDESC8062,events/plot_events.txt
8082,fae_ck2.8082,fae_ck2,letter_event,letter_event,default,yes,no,0.000,0,2,score,,GOOD;EVTDESC8082,events/plot_events.txt
8083,fae_ck2.8083,fae_ck2,character_event,character_event,realm,yes,no,0.000,0,1,score,,I_SEE;EVTDESC8081,events/plot_events.txt
8112,fae_ck2.8112,fae_ck2,letter_event,letter_event,default,yes,no,0.500,1,2,score,,EVTOPTA8100;EVTDESC8100,events/plot_events.txt
89004,fae_ck2.65535,fae_ck2,character_event,character_event,default,yes,no,0.600,12,20,score;dead_call,89005,,events/polygamy_events.txt
89014,fae_ck2.65534,fae_ck2,character_event,character_event,default,yes,no,0.591,13,22,score;dead_call,89015,,events/polygamy_events.txt
89019,fae_ck2.65533,fae_ck2,character_event,character_event,default,yes,no,0.565,26,46,score;dead_call,89020,,events/polygamy_events.txt
89029,fae_ck2.65532,fae_ck2,character_event,character_event,default,yes,no,0.641,25,39,score;dead_call,89030,,events/polygamy_events.txt
ADVN.0,fae_advn.0,fae_advn,character_event,character_event,default,yes,no,0.286,2,7,score;from_scope;dead_call;unsaved_scope,ADVN.107,,events/faerun_adventuring_events.txt
ADVN.1,fae_advn.1,fae_advn,character_event,character_event,travel,yes,no,0.571,12,21,score;dead_call,ADVN.105;ADVN.106,EVTOPTZ_ADVN_1;EVTOPTA_ADVN_1;EVTOPTB_ADVN_1;EVTOPTC_ADVN_1;EVTDESC_ADVN_1;EVTDESC_ADVN_1_b,events/faerun_adventuring_events.txt
ADVN.10,fae_advn.10,fae_advn,character_event,character_event,default,yes,no,0.586,202,345,score;dead_call;unsaved_scope,ADVN.12;ADVN.13;ADVN.6;ADVN.41;ADVN.42;ADVN.2;ADVN.12;ADVN.13;ADVN.6;ADVN.41;ADVN.42;ADVN.2;ADVN.20;ADVN.32,EVTOPTA_ADVN_10;EVTOPTB_ADVN_10;EVTOPTC_ADVN_10;EVTOPTD_ADVN_10;EVTDESC_ADVN_10,events/faerun_adventuring_events.txt
ADVN.100,fae_advn.100,fae_advn,character_event,character_event,martial,yes,no,0.417,5,12,score;ck2_variable;unsaved_scope,,EVTOPTA_ADVN_100;EVTDESC_ADVN_100,events/faerun_adventuring_events.txt
ADVN.102,fae_advn.102,fae_advn,character_event,character_event,default,yes,no,0.571,4,7,score;dead_call,HL.110,,events/faerun_adventuring_events.txt
ADVN.103,fae_advn.103,fae_advn,character_event,character_event,default,yes,no,0.500,7,14,score,,EVTOPTA_ADVN_103;EVTDESC_ADVN_103,events/faerun_adventuring_events.txt
ADVN.104,fae_advn.104,fae_advn,character_event,character_event,default,yes,no,0.000,0,1,score,,,events/faerun_adventuring_events.txt
ADVN.105,fae_advn.105,fae_advn,character_event,character_event,travel,yes,no,0.562,68,121,score;unsaved_scope,,EVTOPTA_ADVN_105;EVTDESC_ADVN_105,events/faerun_adventuring_events.txt
ADVN.106,fae_advn.106,fae_advn,character_event,character_event,default,yes,no,0.000,0,1,score,,,events/faerun_adventuring_events.txt
ADVN.107,fae_advn.107,fae_advn,character_event,character_event,travel,yes,no,0.643,9,14,score;dead_call,ADVN.1;ADVN.108,EVTOPTA_ADVN_107;EVTOPTB_ADVN_107;EVTDESC_ADVN_107,events/faerun_adventuring_events.txt
ADVN.108,fae_advn.108,fae_advn,character_event,character_event,travel,yes,no,0.865,32,37,score;dead_call,ADVN.1,EVTOPTA_ADVN_108;EVTOPTB_ADVN_108;EVTOPTC_ADVN_108;EVTOPTD_ADVN_108;EVTDESC_ADVN_108,events/faerun_adventuring_events.txt
ADVN.109,fae_advn.109,fae_advn,character_event,character_event,default,yes,no,0.500,2,4,score;dead_call;unsaved_scope,ADVN.21;ADVN.30,,events/faerun_adventuring_events.txt
ADVN.110,fae_advn.110,fae_advn,character_event,character_event,default,yes,no,0.500,2,4,score;dead_call;unsaved_scope,ADVN.34;ADVN.35,,events/faerun_adventuring_events.txt
ADVN.111,fae_advn.111,fae_advn,character_event,character_event,martial,yes,no,0.528,28,53,score;dead_call;unsaved_scope,conv.22;ADVN.112;conv.23;ADVN.112,EVTOPTA_HFP_10103_default;EVTOPTA_HFP_10103_duelist;getDuelTitle;EVTDESC_ADVN_111_A;EVTDESC_ADVN_111_B,events/faerun_adventuring_events.txt
ADVN.112,fae_advn.112,fae_advn,character_event,character_event,martial,yes,no,0.421,8,19,score;from_scope;unsaved_scope,,EVTOPTA_HFP_10104;getDuelTitle;EVTDESC_ADVN_112_A;EVTDESC_ADVN_112_B,events/faerun_adventuring_events.txt
ADVN.113,fae_advn.113,fae_advn,character_event,character_event,martial,yes,no,0.188,3,16,score;dead_call,ADVN.115;ADVN.114,EVTOPTA_ADVN_100;EVTDESC_ADVN_100,events/faerun_adventuring_events.txt
ADVN.114,fae_advn.114,fae_advn,character_event,character_event,martial,yes,no,0.500,4,8,score,,EVTOPTA_HFP_10103_default;EVTOPTA_HFP_10103_duelist;EVTDESC_ADVN_111_A,events/faerun_adventuring_events.txt
ADVN.115,fae_advn.115,fae_advn,character_event,character_event,martial,yes,no,0.500,1,2,score,,EVTOPTA_HFP_10104;EVTDESC_ADVN_112_A,events/faerun_adventuring_events.txt
ADVN.12,fae_advn.12,fae_advn,character_event,character_event,default,yes,no,0.789,176,223,score;dead_call;unsaved_scope,ADVN.32,EVTOPTA_ADVN_12;EVTOPTB_ADVN_12;EVTOPTC_ADVN_12;EVTOPTD_ADVN_12;EVTDESC_ADVN_12,events/faerun_adventuring_events.txt
ADVN.13,fae_advn.13,fae_advn,character_event,character_event,default,yes,no,0.759,176,232,score;dead_call;unsaved_scope,ADVN.32,EVTOPTA_ADVN_13;EVTOPTB_ADVN_13;EVTOPTC_ADVN_13;EVTOPTD_ADVN_13;EVTDESC_ADVN_13,events/faerun_adventuring_events.txt
ADVN.2,fae_advn.2,fae_advn,character_event,character_event,battle,yes,no,0.700,28,40,score;dead_call;unsaved_scope,ADVN.104;ADVN.104;ADVN.104;ADVN.104;ADVN.32,EVTOPTA_ADVN_2;EVTOPTB_ADVN_2;EVTOPTC_ADVN_2;EVTOPTD_ADVN_2;EVTDESC_ADVN_2,events/faerun_adventuring_events.txt
ADVN.20,fae_advn.20,fae_advn,character_event,character_event,default,yes,no,0.667,26,39,score;dead_call;unsaved_scope,ADVN.100;ADVN.104;ADVN.100;ADVN.104;ADVN.100;ADVN.104;ADVN.100;ADVN.104;ADVN.109;ADVN.30,EVTOPTA_ADVN_20;EVTOPTB_ADVN_20;EVTOPTC_ADVN_20;EVTOPTD_ADVN_20;EVTDESC_ADVN_20,events/faerun_adventuring_events.txt
ADVN.200,fae_advn.200,fae_advn,character_event,character_event,default,yes,no,0.273,3,11,score,,,events/faerun_adventuring_events.txt
ADVN.201,fae_advn.201,fae_advn,character_event,character_event,travel,yes,no,0.500,78,156,score;from_scope;dead_call;unsaved_scope,ADVN.202;ADVN.203;ADVN.204;ADVN.205;ADVN.202;ADVN.203;ADVN.204;ADVN.205;ADVN.202;ADVN.203;ADVN.204;ADVN.206,EVTOPTA_ADVN_1;EVTOPTB_ADVN_1;EVTOPTA_ADVN_1;EVTDESC_ADVN_1,events/faerun_adventuring_events.txt
ADVN.202,fae_advn.202,fae_advn,character_event,character_event,default,yes,no,0.686,24,35,score;dead_call;unsaved_scope,ADVN.104;ADVN.32,,events/faerun_adventuring_events.txt
ADVN.203,fae_advn.203,fae_advn,character_event,character_event,default,yes,no,0.686,24,35,score;dead_call;unsaved_scope,ADVN.104;ADVN.32,,events/faerun_adventuring_events.txt
ADVN.204,fae_advn.204,fae_advn,character_event,character_event,default,yes,no,0.686,24,35,score;dead_call;unsaved_scope,ADVN.104;ADVN.32,,events/faerun_adventuring_events.txt
ADVN.205,fae_advn.205,fae_advn,character_event,character_event,default,yes,no,0.429,6,14,score;dead_call;unsaved_scope,ADVN.100;ADVN.104;ADVN.31;ADVN.30,,events/faerun_adventuring_events.txt
ADVN.206,fae_advn.206,fae_advn,character_event,character_event,default,yes,no,0.571,8,14,score;dead_call;unsaved_scope,ADVN.100;ADVN.104;ADVN.36;ADVN.35,,events/faerun_adventuring_events.txt
ADVN.21,fae_advn.21,fae_advn,character_event,character_event,default,yes,no,0.741,40,54,score;dead_call;unsaved_scope,ADVN.100;ADVN.109;ADVN.30;ADVN.100;ADVN.109;ADVN.30;ADVN.100;ADVN.109;ADVN.30;ADVN.100;ADVN.109;ADVN.30;ADVN.31,EVTOPTA_ADVN_21;EVTOPTB_ADVN_21;EVTOPTC_ADVN_21;EVTOPTD_ADVN_21;EVTOPTE_ADVN_21;EVTDESC_ADVN_21,events/faerun_adventuring_events.txt
ADVN.3,fae_advn.3,fae_advn,character_event,character_event,disaster,yes,no,0.772,173,224,score;dead_call;unsaved_scope,ADVN.32,EVTOPTA_ADVN_3;EVTOPTB_ADVN_3;EVTOPTC_ADVN_3;EVTOPTD_ADVN_3;EVTDESC_ADVN_3,events/faerun_adventuring_events.txt
ADVN.30,fae_advn.30,fae_advn,character_event,character_event,travel,yes,no,0.389,7,18,score;unsaved_scope,,EVTOPTA_ADVN_30;EVTDESC_ADVN_30,events/faerun_adventuring_events.txt
ADVN.31,fae_advn.31,fae_advn,character_event,character_event,battle,yes,no,0.429,6,14,score;unsaved_scope,,EVTOPTA_ADVN_31;EVTDESC_ADVN_31,events/faerun_adventuring_events.txt
ADVN.32,fae_advn.32,fae_advn,character_event,character_event,battle,yes,no,0.000,0,2,score,,EVTOPTA_ADVN_32;EVTDESC_ADVN_32,events/faerun_adventuring_events.txt
ADVN.33,fae_advn.33,fae_advn,character_event,character_event,war,yes,no,0.718,28,39,score;dead_call;unsaved_scope,ADVN.100;ADVN.104;ADVN.100;ADVN.104;ADVN.100;ADVN.104;ADVN.100;ADVN.104;ADVN.110;ADVN.35,EVTOPTA_ADVN_20;EVTOPTB_ADVN_20;EVTOPTC_ADVN_20;EVTOPTD_ADVN_20;EVTDESC_ADVN_33,events/faerun_adventuring_events.txt
ADVN.34,fae_advn.34,fae_advn,character_event,character_event,war,yes,no,0.741,40,54,score;dead_call;unsaved_scope,ADVN.100;ADVN.110;ADVN.35;ADVN.100;ADVN.110;ADVN.35;ADVN.100;ADVN.110;ADVN.35;ADVN.100;ADVN.110;ADVN.35;ADVN.36,EVTOPTA_ADVN_21;EVTOPTB_ADVN_21;EVTOPTC_ADVN_21;EVTOPTD_ADVN_21;EVTOPTE_ADVN_21;EVTDESC_ADVN_21,events/faerun_adventuring_events.txt
ADVN.35,fae_advn.35,fae_advn,character_event,character_event,travel,yes,no,0.444,4,9,score;unsaved_scope,,EVTOPTA_ADVN_35;EVTDESC_ADVN_35,events/faerun_adventuring_events.txt
ADVN.36,fae_advn.36,fae_advn,character_event,character_event,battle,yes,no,0.462,6,13,score;unsaved_scope,,EVTOPTA_ADVN_36;EVTDESC_ADVN_36,events/faerun_adventuring_events.txt
ADVN.37,fae_advn.37,fae_advn,character_event,character_event,war,yes,no,0.586,202,345,score;dead_call;unsaved_scope,ADVN.46;ADVN.47;ADVN.6;ADVN.48;ADVN.49;ADVN.45;ADVN.46;ADVN.47;ADVN.6;ADVN.48;ADVN.49;ADVN.45;ADVN.33;ADVN.32,EVTOPTA_ADVN_37;EVTOPTB_ADVN_37;EVTOPTC_ADVN_37;EVTOPTD_ADVN_37;EVTDESC_ADVN_37,events/faerun_adventuring_events.txt
ADVN.4,fae_advn.4,fae_advn,character_event,character_event,travel,yes,no,0.848,156,184,score;dead_call;unsaved_scope,ADVN.32,EVTOPTA_ADVN_4;EVTOPTB_ADVN_4;EVTOPTC_ADVN_4;EVTOPTD_ADVN_4;EVTDESC_ADVN_4,events/faerun_adventuring_events.txt
ADVN.40,fae_advn.40,fae_advn,character_event,character_event,war,yes,no,0.870,161,185,score;dead_call;unsaved_scope,ADVN.104;ADVN.104;ADVN.104;ADVN.104;ADVN.32,EVTOPTA_ADVN_40;EVTOPTB_ADVN_40;EVTOPTC_ADVN_40;EVTOPTD_ADVN_40;EVTDESC_ADVN_40,events/faerun_adventuring_events.txt
ADVN.41,fae_advn.41,fae_advn,character_event,character_event,default,yes,no,0.821,160,195,score;dead_call;unsaved_scope,ADVN.2;ADVN.2;ADVN.2;ADVN.2;ADVN.32,EVTOPTA_ADVN_41;EVTOPTB_ADVN_41;EVTOPTC_ADVN_41;EVTOPTD_ADVN_41;EVTDESC_ADVN_41,events/faerun_adventuring_events.txt
ADVN.42,fae_advn.42,fae_advn,character_event,character_event,default,yes,no,0.867,156,180,score;dead_call;unsaved_scope,ADVN.2;ADVN.2;ADVN.2;ADVN.2;ADVN.32,EVTOPTA_ADVN_42;EVTOPTB_ADVN_42;EVTOPTC_ADVN_42;EVTOPTD_ADVN_42;EVTDESC_ADVN_42,events/faerun_adventuring_events.txt
ADVN.43,fae_advn.43,fae_advn,character_event,character_event,default,yes,no,0.867,156,180,score;dead_call;unsaved_scope,ADVN.32,EVTOPTA_ADVN_43;EVTOPTB_ADVN_43;EVTOPTC_ADVN_43;EVTOPTD_ADVN_43;EVTDESC_ADVN_43,events/faerun_adventuring_events.txt
ADVN.44,fae_advn.44,fae_advn,character_event,character_event,war,yes,no,0.875,161,184,score;dead_call;unsaved_scope,ADVN.2;ADVN.2;ADVN.2;ADVN.2;ADVN.32,EVTOPTA_ADVN_44;EVTOPTB_ADVN_44;EVTOPTC_ADVN_44;EVTOPTD_ADVN_44;EVTDESC_ADVN_44,events/faerun_adventuring_events.txt
ADVN.45,fae_advn.45,fae_advn,character_event,character_event,battle,yes,no,0.700,28,40,score;dead_call;unsaved_scope,ADVN.104;ADVN.104;ADVN.104;ADVN.104;ADVN.32,EVTOPTA_ADVN_2;EVTOPTB_ADVN_2;EVTOPTC_ADVN_2;EVTOPTD_ADVN_2;EVTDESC_ADVN_45,events/faerun_adventuring_events.txt
ADVN.46,fae_advn.46,fae_advn,character_event,character_event,default,yes,no,0.788,160,203,score;dead_call;unsaved_scope,ADVN.45;ADVN.45;ADVN.45;ADVN.45;ADVN.32,EVTOPTA_ADVN_46;EVTOPTB_ADVN_46;EVTOPTC_ADVN_46;EVTOPTD_ADVN_46;EVTDESC_ADVN_46,events/faerun_adventuring_events.txt
ADVN.47,fae_advn.47,fae_advn,character_event,character_event,default,yes,no,0.834,156,187,score;dead_call;unsaved_scope,ADVN.45;ADVN.45;ADVN.45;ADVN.45;ADVN.32,EVTOPTA_ADVN_47;EVTOPTB_ADVN_47;EVTOPTC_ADVN_47;EVTOPTD_ADVN_47;EVTDESC_ADVN_47,events/faerun_adventuring_events.txt
ADVN.48,fae_advn.48,fae_advn,character_event,character_event,default,yes,no,0.831,172,207,score;dead_call;unsaved_scope,ADVN.32,EVTOPTA_ADVN_48;EVTOPTB_ADVN_48;EVTOPTC_ADVN_48;EVTOPTD_ADVN_48;EVTDESC_ADVN_48,events/faerun_adventuring_events.txt
ADVN.49,fae_advn.49,fae_advn,character_event,character_event,witchcraft,yes,no,0.827,172,208,score;dead_call;unsaved_scope,ADVN.32,EVTOPTA_ADVN_49;EVTOPTB_ADVN_49;EVTOPTC_ADVN_49;EVTOPTD_ADVN_49;EVTDESC_ADVN_49,events/faerun_adventuring_events.txt
ADVN.5,fae_advn.5,fae_advn,character_event,character_event,travel,yes,no,0.834,156,187,score;dead_call;unsaved_scope,ADVN.32,EVTOPTA_ADVN_5;EVTOPTB_ADVN_5;EVTOPTC_ADVN_5;EVTOPTD_ADVN_5;EVTDESC_ADVN_5,events/faerun_adventuring_events.txt
ADVN.6,fae_advn.6,fae_advn,character_event,character_event,default,yes,no,0.779,166,213,score;dead_call;unsaved_scope,ADVN.45;ADVN.2;ADVN.45;ADVN.2;ADVN.45;ADVN.2;ADVN.45;ADVN.2;ADVN.32,EVTOPTA_ADVN_6;EVTOPTB_ADVN_6;EVTOPTC_ADVN_6;EVTOPTD_ADVN_6;EVTDESC_ADVN_6;EVTDESC_ADVN_6_b,events/faerun_adventuring_events.txt
ADVN.7,fae_advn.7,fae_advn,character_event,character_event,default,yes,no,0.772,173,224,score;dead_call;unsaved_scope,ADVN.32,EVTOPTA_ADVN_7;EVTOPTB_ADVN_7;EVTOPTC_ADVN_7;EVTOPTD_ADVN_7;EVTDESC_ADVN_7,events/faerun_adventuring_events.txt
ADVN.8,fae_advn.8,fae_advn,character_event,character_event,default,yes,no,0.801,157,196,score;dead_call;unsaved_scope,ADVN.2;ADVN.2;ADVN.2;ADVN.2;ADVN.32,EVTOPTA_ADVN_8;EVTOPTB_ADVN_8;EVTOPTC_ADVN_8;EVTOPTD_ADVN_8;EVTDESC_ADVN_8,events/faerun_adventuring_events.txt
ADVN.9,fae_advn.9,fae_advn,character_event,character_event,default,yes,no,0.875,161,184,score;dead_call;unsaved_scope,ADVN.2;ADVN.2;ADVN.2;ADVN.2;ADVN.32,EVTOPTA_ADVN_9;EVTOPTB_ADVN_9;EVTOPTC_ADVN_9;EVTOPTD_ADVN_9;EVTDESC_ADVN_9,events/faerun_adventuring_events.txt
ALWAR.1,fae_alwar.1,fae_alwar,character_event,character_event,default,yes,no,0.125,1,8,score,,,events/faerun_alignment_war_events.txt
ALWAR.10,fae_alwar.10,fae_alwar,character_event,character_event,war,yes,no,0.200,2,10,score;dead_call;unsaved_scope,ALWAR.10;ALWAR.10,EVTOPTA_ALWAR_10;EVTOPTB_ALWAR_10;EVTDESC_ALWAR_10,events/faerun_alignment_war_events.txt
ALWAR.11,fae_alwar.11,fae_alwar,letter_event,letter_event,default,yes,no,0.000,0,5,score;from_scope;unsaved_scope,,EVTOPTA_ALWAR_11;EVTOPTB_ALWAR_11;EVTDESC_ALWAR_11,events/faerun_alignment_war_events.txt
ALWAR.12,fae_alwar.12,fae_alwar,letter_event,letter_event,default,yes,no,0.000,0,2,score,,EVTOPTA_ALWAR_12;EVTOPTB_ALWAR_12;EVTDESC_ALWAR_12,events/faerun_alignment_war_events.txt
ALWAR.13,fae_alwar.13,fae_alwar,letter_event,letter_event,default,yes,no,0.000,0,5,score;from_scope;unsaved_scope,,EVTOPTA_ALWAR_13;EVTOPTB_ALWAR_11;EVTDESC_ALWAR_13,events/faerun_alignment_war_events.txt
ALWAR.2,fae_alwar.2,fae_alwar,character_event,character_event,default,yes,no,0.389,191,491,score;unsaved_scope,,,events/faerun_alignment_war_events.txt
ALWAR.3,fae_alwar.3,fae_alwar,character_event,character_event,default,yes,no,0.123,10,81,score;dead_call;unsaved_scope,ALWAR.4,,events/faerun_alignment_war_events.txt
ALWAR.4,fae_alwar.4,fae_alwar,narrative_event,character_event,default,yes,no,0.760,57,75,score;dead_call;unsaved_scope,ALWAR.5,EVTOPTA_ALWAR_4;EVTNAME_ALWAR_4;EVTDESC_ALWAR_4_1;EVTDESC_ALWAR_4_2;EVTDESC_ALWAR_4_3;EVTDESC_ALWAR_4_1_SHOU;EVTDESC_ALWAR_4_4;EVTDESC_ALWAR_4_5;EVTDESC_ALWAR_4_6;EVTDESC_ALWAR_4_0;EVTDESC_ALWAR_4_7,events/faerun_alignment_war_events.txt
ALWAR.5,fae_alwar.5,fae_alwar,narrative_event,character_event,default,yes,no,0.513,20,39,score;dead_call;unsaved_scope,ALWAR.10;ALWAR.10;ALWAR.10;ALWAR.10,EVTOPTA_ALWAR_5;EVTNAME_ALWAR_5;EVTDESC_ALWAR_5_A;EVTDESC_ALWAR_5_B;EVTDESC_ALWAR_5_C;EVTDESC_ALWAR_5_D,events/faerun_alignment_war_events.txt
ARTF.1,fae_artf.1,fae_artf,character_event,character_event,default,yes,no,0.400,2,5,score;from_scope;unsaved_scope,,,events/faerun_artifact_events.txt
ARTF.2,fae_artf.2,fae_artf,character_event,character_event,default,yes,no,0.536,30,56,score,,,events/faerun_artifact_events.txt
ARTF.3,fae_artf.3,fae_artf,character_event,character_event,stewardship,yes,no,0.558,24,43,score;unsaved_scope,,EVTOPTA_ARTF_3;EVTOPTB_ARTF_3;EVTDESC_ARTF_3,events/faerun_artifact_events.txt
ARTF.4,fae_artf.4,fae_artf,character_event,character_event,default,yes,no,0.750,3,4,score,,,events/faerun_artifact_events.txt
BFL.100,fae_bfl.100,fae_bfl,character_event,character_event,default,yes,no,0.400,4,10,score;from_scope;dead_call;unsaved_scope,BFL.101,,events/faerun_brotherhood_of_true_flame_events.txt
BFL.101,fae_bfl.101,fae_bfl,character_event,character_event,default,yes,no,0.000,0,1,score;from_scope;dead_call;unsaved_scope,BFL.102,,events/faerun_brotherhood_of_true_flame_events.txt
BFL.102,fae_bfl.102,fae_bfl,letter_event,letter_event,faith,yes,no,0.667,2,3,score,,EVTOPTA_BFL_102;EVTDESC_BFL_102,events/faerun_brotherhood_of_true_flame_events.txt
BFL.110,fae_bfl.110,fae_bfl,character_event,character_event,default,yes,no,0.353,6,17,score;dead_call,BFL.111,,events/faerun_brotherhood_of_true_flame_events.txt
BFL.111,fae_bfl.111,fae_bfl,character_event,character_event,default,yes,no,0.619,13,21,score,,,events/faerun_brotherhood_of_true_flame_events.txt
BFL.1413,fae_bfl.1413,fae_bfl,character_event,character_event,default,yes,no,0.500,3,6,score;from_scope;dead_call;unsaved_scope,BFL.1414,,events/faerun_brotherhood_of_true_flame_events.txt
BFL.1414,fae_bfl.1414,fae_bfl,character_event,character_event,learning,yes,no,0.500,2,4,score;from_scope;unsaved_scope,,EVTOPTA_MNM_1414;EVTDESC_MNM_1414,events/faerun_brotherhood_of_true_flame_events.txt
BFL.1415,fae_bfl.1415,fae_bfl,character_event,character_event,default,yes,no,0.308,4,13,score;dead_call,BFL.1416;BRO.1825,,events/faerun_brotherhood_of_true_flame_events.txt
BFL.1416,fae_bfl.1416,fae_bfl,character_event,character_event,death,yes,no,1.000,6,6,from_scope;unsaved_scope,,EVTOPTA_MNM_1416;EVTDESC_MNM_1416_A;EVTDESC_MNM_1416_B,events/faerun_brotherhood_of_true_flame_events.txt
BFL.1611,fae_bfl.1611,fae_bfl,character_event,character_event,default,yes,no,0.000,0,2,score,,,events/faerun_brotherhood_of_true_flame_events.txt
BFL.500,fae_bfl.500,fae_bfl,character_event,character_event,mental_health,yes,no,0.545,6,11,score,,EVTOPTA_BFL_500;EVTOPTB_BFL_500;EVTDESC_BFL_500,events/faerun_brotherhood_of_true_flame_events.txt
BFL.8000,fae_bfl.8000,fae_bfl,character_event,character_event,feast_activity,yes,no,0.400,4,10,score,,EVTOPTA_BFL_8000;EVTOPTB_BFL_8000;EVTDESC_BFL_8000,events/faerun_brotherhood_of_true_flame_events.txt
BFL.8001,fae_bfl.8001,fae_bfl,letter_event,letter_event,default,yes,no,0.200,1,5,score;from_scope;unsaved_scope,BFL.8003,EVTOPTA_BFL_8001;EVTOPTB_BFL_8001;EVTDESC_BFL_8001,events/faerun_brotherhood_of_true_flame_events.txt
BFL.8002,fae_bfl.8002,fae_bfl,letter_event,letter_event,default,yes,yes,1.000,0,0,,,EVTOPTA_BFL_8002;EVTDESC_BFL_8002,events/faerun_brotherhood_of_true_flame_events.txt
BFL.8003,fae_bfl.8003,fae_bfl,letter_event,letter_event,default,yes,yes,1.000,0,0,,,EVTOPTA_BFL_8003;EVTDESC_BFL_8003,events/faerun_brotherhood_of_true_flame_events.txt
BRO.1000,fae_bro.1000,fae_bro,character_event,character_event,default,yes,no,0.327,16,49,score;dead_call;unsaved_scope,BRO.1404;BRO.1120;BRO.1801;BRO.1430,,events/faerun_arcane_brotherhood_events.txt
BRO.110,fae_bro.110,fae_bro,character_event,character_event,default,yes,no,0.353,6,17,score;dead_call,BRO.111,,events/faerun_arcane_brotherhood_events.txt
BRO.1100,fae_bro.1100,fae_bro,character_event,character_event,stewardship,yes,no,0.333,1,3,score,,EVTOPTA_MNM_1100;EVTOPTB_MNM_1100;EVTDESC_MNM_1100,events/faerun_arcane_brotherhood_events.txt
BRO.1101,fae_bro.1101,fae_bro,character_event,character_event,stewardship,yes,no,0.656,21,32,score;dead_call,BRO.1102;BRO.1102;BRO.1102;BRO.1102,EVTOPTA_MNM_1101;EVTOPTB_MNM_1101;EVTOPTC_MNM_1101;EVTOPTD_MNM_1101;EVTDESC_MNM_1101,events/faerun_arcane_brotherhood_events.txt
BRO.1102,fae_bro.1102,fae_bro,character_event,character_event,martial,yes,no,0.518,44,85,score;dead_call,BRO.1103;BRO.1104;BRO.1105;BRO.1106;BRO.1113;BRO.1114;BRO.1115;BRO.1103;BRO.1104;BRO.1105;BRO.1106;BRO.1113;BRO.1114;BRO.1115;BRO.1103;BRO.1104;BRO.1105;BRO.1106;BRO.1113;BRO.1114;BRO.1115;BRO.1103;BRO.1104;BRO.1105;BRO.1106;BRO.1113;BRO.1114;BRO.1115,EVTOPTA_MNM_1102;EVTOPTB_MNM_1102;EVTOPTC_MNM_1102;EVTOPTD_MNM_1102;EVTDESC_MNM_1102,events/faerun_arcane_brotherhood_events.txt
BRO.1103,fae_bro.1103,fae_bro,character_event,character_event,learning,yes,no,0.558,24,43,score;dead_call,BRO.1103;BRO.1104;BRO.1105;BRO.1106;BRO.1107;BRO.1103;BRO.1104;BRO.1105;BRO.1106;BRO.1107,EVTOPTA_MNM_1103;EVTOPTB_MNM_1103;EVTDESC_MNM_1103,events/faerun_arcane_brotherhood_events.txt
