key,section,count
war_score,trigger,16
has_law,trigger,16
capital_holding,trigger,16
any_realm_province,trigger,16
persistent_event_target:minion_culture_primary_persist,trigger,16
any_child,trigger,15
uthgardt_faith_trigger,trigger,15
any_artifact,trigger,15
has_bloodline_flag,trigger,15
is_openly_of_prevs_secret_religion_trigger,trigger,15
has_society_currency_medium_trigger,trigger,14
z_bard,trigger,14
has_building,trigger,14
z_druid,trigger,14
in_revolt,trigger,14
has_status,trigger,14
NAND,trigger,13
has_earmarked_regiments,trigger,13
is_female,trigger,13
leads_faction,trigger,13
any_vassal,trigger,13
war_with,trigger,13
is_alive,trigger,12
is_tributary,trigger,12
has_game_rule,trigger,12
name,trigger,12
max,trigger,12
any_defender,trigger,12
is_ruler,trigger,12
who,trigger,12
has_artifact_flag,trigger,12
reverse_has_truce,trigger,12
realm_size,trigger,11
is_primary_war_attacker,trigger,11
is_not_unreformed_pagan_trigger,trigger,11
z_psion,trigger,11
z_fighter,trigger,11
any_realm_title,trigger,11
realm_levies,trigger,11
is_patrician,trigger,10
has_society_currency_minor_trigger,trigger,10
can_grant_title,trigger,10
any_courtier,trigger,10
any_owned_bloodline,trigger,10
any_attacker,trigger,10
is_undead,trigger,10
plot_power,trigger,10
diplomacy,trigger,9
in_command,trigger,9
type,trigger,9
realm_character_percent,trigger,9
target,trigger,9
holy_order,trigger,8
controls_religion,trigger,8
has_religion_feature,trigger,8
higher_real_tier_than,trigger,8
mercenary,trigger,8
is_married,trigger,8
religion_authority,trigger,8
is_republic,trigger,8
any_spouse,trigger,8
intrigue,trigger,8
is_alternate_start,trigger,8
martial,trigger,8
dynasty,trigger,7
has_injury_trigger,trigger,7
num_of_vassals,trigger,7
opinion,trigger,7
faerun_immortal_race_trigger,trigger,7
persistent_event_target:minion_culture_1_persist,trigger,7
persistent_event_target:minion_culture_2_persist,trigger,7
persistent_event_target:minion_culture_3_persist,trigger,7
has_job_title,trigger,7
has_plot,trigger,7
is_society_grandmaster,trigger,6
is_title_active,trigger,6
is_feudal,trigger,6
has_assigned_minor_title,trigger,6
lower_real_tier_than,trigger,6
race_has_wild_magic,trigger,6
is_member_of_any_assassin_guild_trigger,trigger,6
is_variable_equal,trigger,6
hidden_trigger,trigger,6
immortal,trigger,6
any_province_holding,trigger,6
any_demesne_province,trigger,6
race_has_aberrant_magic,trigger,6
race_has_draconic_magic,trigger,6
race_has_storm_magic,trigger,6
is_merchant_republic,trigger,6
z_ranger,trigger,6
race_has_divine_magic,trigger,6
race_has_shadow_magic,trigger,6
is_plot_active,trigger,6
num_of_plot_backers,trigger,6
plot_target_char,trigger,6
has_epidemic,trigger,6
num_of_children,trigger,5
shou_lung,trigger,5
is_member_of_any_alliance_society_trigger,trigger,5
any_society_member,trigger,5
character_disease_trigger,trigger,5
has_quest,trigger,5
has_focus,trigger,5
has_global_flag,trigger,5
is_pregnant,trigger,5
evilcat_is_chosen,trigger,5
has_opinion_modifier,trigger,5
any_realm_wonder_upgrade,trigger,5
is_active,trigger,5
num_of_symptoms,trigger,5
z_barbarian,trigger,5
any_realm_lord,trigger,5
supported_claimant,trigger,5
real_tier,trigger,5
learning,trigger,5
z_monk,trigger,5
suzerain,trigger,5
has_secret_religion,trigger,5
is_openly_of_roots_secret_religion_trigger,trigger,5
any_dynasty_member,trigger,4
persistent_event_target:society_title_persist,trigger,4
fertility,trigger,4
practical_age,trigger,4
is_generic_sacrifice_religion,trigger,4
d_victorious_blade,trigger,4
band_creator,trigger,4
bloodline_is_active_for,trigger,4
k_grand_caliphate,trigger,4
is_reformed_religion,trigger,4
is_theocracy,trigger,4
is_heir,trigger,4
is_councillor,trigger,4
important_character_to_root_trigger,trigger,4
has_ambition,trigger,4
can_have_more_leadership_traits,trigger,4
had_flag,trigger,4
num_of_trade_posts,trigger,4
has_uthgardt_totem,trigger,4
has_truce,trigger,4
d_sun_soul,trigger,4
is_member_of_any_warrior_lodge_trigger,trigger,4
e_zhentarim,trigger,4
society_has_linked_title_trigger,trigger,3
has_living_children,trigger,3
is_monastic_member_trigger,trigger,3
is_allowed_to_loot,trigger,3
over_max_demesne_size,trigger,3
monthly_income,trigger,3
any_courtier_or_vassal,trigger,3
is_member_of_any_knight_order_trigger,trigger,3
undead_incompatible_race,trigger,3
thirdparty_title_scope,trigger,3
is_dragon,trigger,3
any_close_relative,trigger,3
artifact_type,trigger,3
is_member_of_any_zhent_like_society_trigger,trigger,3
has_wonder_upgrade,trigger,3
is_lowborn,trigger,3
is_ill,trigger,3
has_severe_disability_trigger,trigger,3
is_sick_or_injured_trigger,trigger,3
trigger_else_if,trigger,3
z_artificer,trigger,3
is_evil_religion,trigger,3
orc_religion_trigger,trigger,3
has_province_modifier,trigger,3
has_flag,trigger,3
any_neighbor_independent_ruler,trigger,3
is_dharmic_monastic_member_trigger,trigger,3
completely_controls,trigger,3
has_wonder_upgrade_flag,trigger,3
society_currency,trigger,3
has_temple,trigger,3
has_any_sympathy_trait_trigger,trigger,3
show_scope_change,trigger,2
raiding_ruler_trigger,trigger,2
job_chancellor,trigger,2
has_symptom_trigger,trigger,2
is_dumb_trigger,trigger,2
host,trigger,2
block_general_event_trigger,trigger,2
has_title_flag,trigger,2
is_true_outsider,trigger,2
spouse,trigger,2
is_strong_trigger,trigger,2
is_friend,trigger,2
can_change_faith_trigger,trigger,2
is_government_potential,trigger,2
is_coastal,trigger,2
num_of_claims,trigger,2
num_of_government_vassals,trigger,2
ruled_years,trigger,2
port,trigger,2
has_full_court,trigger,2
is_child_of,trigger,2
demesne_size,trigger,2
dof_is_weak_ruler,trigger,2
player_heir,trigger,2
holder,trigger,2
is_heretic,trigger,2
faction_claimant,trigger,2
graphical_culture,trigger,2
is_island,trigger,2
olrox_is_good_religion_trigger,trigger,2
any_current_enemy,trigger,2
goblin_religion_trigger,trigger,2
z_rogue,trigger,2
gender_equality_trigger,trigger,2
z_shadow,trigger,2
job_spymaster,trigger,2
society_has_active_progress,trigger,2
ai_ambition,trigger,2
governor,trigger,2
is_within_diplo_range,trigger,2
is_allied_with,trigger,2
has_disease,trigger,2
num_of_trade_post_diff,trigger,2
any_consort,trigger,2
race_is_dwarven,trigger,2
is_devil_worshiper_trigger,trigger,2
is_in_society,trigger,2
is_artifact_active,trigger,2
num_of_spouses,trigger,2
lifestyle_traits,trigger,2
had_offmap_tmp_flag,trigger,2
any_neighbor_province,trigger,2
disease,trigger,2
stewardship,trigger,2
is_syncretic_religion,trigger,2
is_learned_trigger,trigger,2
num_of_count_titles,trigger,2
has_warlock_patron,trigger,2
any_bloodline,trigger,2
z_master_arcane,trigger,2
z_renowned_arcane,trigger,2
z_legendary_arcane,trigger,2
is_society,trigger,1
offmap_ruler,trigger,1
z_multiclass,trigger,1
has_any_opinion_modifier,trigger,1
male_can_hold_minor_commander_title_trigger,trigger,1
female_can_hold_minor_title_trigger,trigger,1
in_battle,trigger,1
has_society_currency_massive_trigger,trigger,1
is_a_mammal_trigger,trigger,1
smart_2x_score,trigger,1
has_scarred_trait_trigger,trigger,1
is_weak_trigger,trigger,1
is_lover,trigger,1
event_target:current_caliph,trigger,1
has_overseas_holdings,trigger,1
is_hard_to_convert,trigger,1
is_liege_or_above,trigger,1
is_nomadic_tribal_culture,trigger,1
z_master_martial,trigger,1
z_renowned_martial,trigger,1
z_legendary_martial,trigger,1
z_expert_martial,trigger,1
is_powerful_vassal,trigger,1
total_years_played,trigger,1
court_is_min_crowded_trigger,trigger,1
court_is_mid_crowded_trigger,trigger,1
court_is_max_crowded_trigger,trigger,1
k_many_arrows,trigger,1
has_regent,trigger,1
can_be_given_away,trigger,1
is_capital,trigger,1
is_indestructible,trigger,1
owes_favor_to,trigger,1
is_rival,trigger,1
race_is_aberrant,trigger,1
leader,trigger,1
have_all_armorsmith_artifacts_all_flags_trigger,trigger,1
have_all_weaponsmith_artifacts_all_flags_trigger,trigger,1
have_duplicate_goldsmith_artifacts_flag_okay_trigger,trigger,1
have_duplicate_goldsmith_artifacts_flag_good_trigger,trigger,1
have_duplicate_goldsmith_artifacts_flag_expensive_trigger,trigger,1
have_duplicate_goldsmith_artifacts_flag_amazing_trigger,trigger,1
any_province_lord,trigger,1
is_vassal_or_below,trigger,1
reverse_opinion,trigger,1
any_friend,trigger,1
supported_claimant_title,trigger,1
is_conquered,trigger,1
conquest_culture,trigger,1
liege_before_war,trigger,1
is_innate_master_for_arctic_dwarf_trigger,trigger,1
is_innate_master_for_chessentan_trigger,trigger,1
is_innate_master_for_dragonspawn_trigger,trigger,1
is_innate_master_for_fire_giant_trigger,trigger,1
calc_true_if,trigger,1
amount,trigger,1
is_innate_master_for_shield_dwarf_trigger,trigger,1
is_innate_master_for_storm_giant_trigger,trigger,1
is_innate_master_for_strixiki_trigger,trigger,1
k_great_wyrm,trigger,1
d_mage_hunters,trigger,1
can_marry,trigger,1
is_betrothed,trigger,1
is_consort,trigger,1
barred_from_adopting_trigger,trigger,1
has_children,trigger,1
num_of_max_settlements,trigger,1
health_traits,trigger,1
current_heir,trigger,1
combat_rating,trigger,1
race_is_illithid,trigger,1
gfx_culture_scope,trigger,1
is_dumb_congenital_trigger,trigger,1
adventurer,trigger,1
e_evermeet,trigger,1
any_de_jure_vassal_title,trigger,1
is_fair_non_congenital_trait_upgradeable_trigger,trigger,1
show_only_failed_conditions,trigger,1
is_landless_type_title,trigger,1
e_a_brotherhood,trigger,1
e_brotherhood_of_true_flame,trigger,1
is_lycanthrope_compatible,trigger,1
is_artifact_equipped,trigger,1
claimed_by,trigger,1
has_patron_god,trigger,1
religion_has_patrons,trigger,1
has_wiz_spec,trigger,1
e_anok_imaskar,trigger,1
e_shou_lung_west_governor,trigger,1
num_of_count_titles_in_realm,trigger,1
num_of_baron_titles_in_realm,trigger,1
k_athalantar,trigger,1
e_moradask,trigger,1
k_moradask,trigger,1
k_muluk,trigger,1
e_shanatar,trigger,1
e_shoon,trigger,1
k_uthtower,trigger,1
k_yarlith,trigger,1
is_maimed_trigger,trigger,1
wonder_owner,trigger,1
days_in_society,trigger,1
society_can_rank_up,trigger,1
days_at_current_society_rank,trigger,1
k_ammarindar,trigger,1
d_ammarindar,trigger,1
d_greypeaks,trigger,1
k_besilmer,trigger,1
c_beliard,trigger,1
c_red_larch,trigger,1
c_sumber_hills,trigger,1
c_forlorn_hills,trigger,1
c_westwood,trigger,1
k_black_altar,trigger,1
k_dareth,trigger,1
d_dareth,trigger,1
c_dareth,trigger,1
d_ushar,trigger,1
c_dharvil,trigger,1
k_gharraghaur,trigger,1
d_mirabar,trigger,1
c_mirabar,trigger,1
c_starmetal_hills,trigger,1
c_mt_hotenow,trigger,1
c_lyntara,trigger,1
c_khedrun_valley,trigger,1
d_haunghdannar,trigger,1
c_leilon,trigger,1
c_kryptgarden_forest,trigger,1
c_cony_gap,trigger,1
d_ironstar,trigger,1
c_valley_of_klaidson,trigger,1
c_dark_arrow,trigger,1
c_fell_pass,trigger,1
k_lotus_throne,trigger,1
d_magister,trigger,1
k_oghrann,trigger,1
c_darkhold,trigger,1
c_veilstone,trigger,1
c_tun,trigger,1
c_oghrann,trigger,1
c_storm_horns,trigger,1
d_promenade_of_the_dark_maiden,trigger,1
k_sarphil,trigger,1
c_hulburg,trigger,1
c_galenarr,trigger,1
c_hillsfar,trigger,1
c_mulmaster,trigger,1
k_tethyamar,trigger,1
c_tethyamar,trigger,1
c_miir,trigger,1
c_lost_vale,trigger,1
c_mhaelos,trigger,1
is_pro_death_religion,trigger,1
has_society_landed_title,trigger,1
num_of_prisoners,trigger,1
is_allowed_to_sacrifice_true_believers,trigger,1
diplomatic_immunity,trigger,1
rightful_religious_head_scope,trigger,1
is_married_matrilineally,trigger,1
is_immune_to_conversion_trigger,trigger,1
secret_religious_cult,trigger,1
has_secret_religion_trait_trigger,trigger,1
any_player,trigger,1
shares_prevs_secret_religion_trigger,trigger,1
same_realm,trigger,1
developing_epidemic_disease_trigger,trigger,1
is_member_of_any_thieves_guild_trigger,trigger,1
has_offmap_flag,trigger,1
pacifist,trigger,1
has_dharmic_religion_trigger,trigger,1
is_building_wonder_upgrade,trigger,1
wonder,trigger,1
relative_realm_size,trigger,1
size,trigger,1
d_flaming_fist,trigger,1
duelist_skill_is_high_group_trigger,trigger,1
ai_rationality,trigger,1
has_religion_matching_joined_warrior_lodge_trigger,trigger,1
plot_is_known_by,trigger,1
z_journeyman_arcane,trigger,1
z_expert_arcane,trigger,1
has_education_martial_trigger,trigger,1
has_education_stewardship_trigger,trigger,1
has_education_learning_trigger,trigger,1
has_education_diplomacy_trigger,trigger,1
has_education_intrigue_trigger,trigger,1
has_top_tier_education_trait_trigger,trigger,1
has_bottom_tier_education_trait_trigger,trigger,1
id,effect,309
character_event,effect,274
trait,effect,267
remove_trait,effect,265
add_trait,effect,264
wealth,effect,226
religion,effect,225
set_character_flag,effect,211
has_province_modifier,effect,168
religion_group,effect,161
hidden_tooltip,effect,158
any_demesne_province,effect,143
culture,effect,134
add_character_modifier,effect,126
name,effect,117
give_nickname,effect,113
has_nickname,effect,109
society_member_of,effect,107
piety,effect,103
which,effect,90
custom_tooltip,effect,89
text,effect,89
location,effect,87
remove_province_modifier,effect,84
years,effect,83
province,effect,81
troops,effect,81
owner,effect,80
spawn_unit,effect,77
random_list,effect,76
maintenance_multiplier,effect,75
earmark,effect,73
days,effect,69
remove_character_modifier,effect,69
clr_character_flag,effect,68
add_building,effect,60
can_toggle_looting,effect,59
cannot_inherit,effect,58
reinforces,effect,58
save_event_target_as,effect,57
dynasty,effect,55
disband_on_peace,effect,54
flag,effect,54
is_female,effect,54
is_looter,effect,53
random_traits,effect,53
prestige,effect,51
archers,effect,51
set_graphical_culture,effect,50
attrition,effect,49
female,effect,48
holding_type,effect,48
capital_scope,effect,47
light_infantry,effect,47
home,effect,46
tier,effect,43
any_vassal,effect,40
hidden,effect,40
any_liege,effect,38
intrigue,effect,38
tooltip,effect,37
hidden_effect,effect,37
attributes,effect,37
duration,effect,36
change_variable,effect,36
set_variable,effect,36
learning,effect,36
set_name,effect,35
heavy_infantry,effect,35
months,effect,35
character,effect,35
liege,effect,35
break,effect,34
martial,effect,34
create_character,effect,33
age,effect,33
new_character,effect,32
diplomacy,effect,32
stewardship,effect,32
scaled_wealth,effect,31
shou_lung,effect,29
wild_magic_surge_effect,effect,29
wild_magic_recovery,effect,29
type,effect,29
any_demesne_title,effect,28
grant_title,effect,27
holder,effect,27
set_title_flag,effect,26
has_offmap_name,effect,24
leader,effect,24
ai,effect,22
has_landed_title,effect,22
letter_event,effect,22
set_government_type,effect,21
immortal_age,effect,21
holder_scope,effect,21
has_dlc,effect,20
add_artifact,effect,20
dejure_liege_title,effect,20
num_of_empty_holdings,effect,20
any_direct_de_jure_vassal_title,effect,20
build_holding,effect,20
detract_society_currency_major_effect,effect,19
random,effect,19
increase_visibility_effect,effect,18
refresh_minion_culture_province_modifiers_effect,effect,18
trigger_switch,effect,17
on_trigger,effect,17
min,effect,16
has_law,effect,15
mob_troops,effect,15
add_law,effect,14
detract_society_currency_medium_effect,effect,14
primary_title,effect,14
any_courtier_or_vassal,effect,14
culture_group,effect,13
has_character_modifier,effect,13
who,effect,13
has_religion_feature,effect,13
save_persistent_event_target,effect,13
scope,effect,13
has_character_flag,effect,13
de_jure_liege,effect,13
spouse,effect,13
any_neighbor_independent_ruler,effect,13
society,effect,12
government,effect,12
chance,effect,12
convert_to,effect,12
refill_holding_levy,effect,12
max,effect,12
mult_modifier,effect,12
law,effect,11
opinion_effect,effect,11
light_cavalry,effect,11
chronicle,effect,11
entry,effect,11
change_learning,effect,11
count,effect,10
higher_tier_than,effect,10
detract_society_currency_minor_effect,effect,10
sound_effect,effect,10
pikemen,effect,10
opinion,effect,10
pick_culture_for_spawned_courtier_effect,effect,10
join_society,effect,10
has_minor_title,effect,10
narrative_event,effect,9
picture,effect,9
set_defacto_liege,effect,9
create_random_soldier,effect,9
legendary_wizard,effect,9
renowned_wizard,effect,9
master_wizard,effect,9
destroy_landed_title,effect,8
any_courtier,effect,8
capital_holding,effect,8
is_liege_or_above,effect,8
TECH_CITY_CONSTRUCTION,effect,8
TECH_FORTIFICATIONS_CONSTRUCTION,effect,8
TECH_NAVAL,effect,8
is_coastal,effect,8
TECH_CASTLE_CONSTRUCTION,effect,8
activate_title,effect,8
title,effect,8
status,effect,8
player_heir,effect,8
change_stewardship,effect,8
change_martial,effect,8
is_councillor,effect,8
legendary_warlock,effect,8
renowned_warlock,effect,8
master_warlock,effect,8
expert_wizard,effect,8
copy_title_laws,effect,7
undead_troops,effect,7
expert_warlock,effect,7
journeyman_wizard,effect,7
journeyman_warlock,effect,7
set_secret_religion,effect,7
prisoner,effect,6
create_random_steward,effect,6
any_title_under,effect,6
has_alternate_start_parameter,effect,6
key,effect,6
high_magic_haywire_roll,effect,6
change_intrigue,effect,6
trained_wizard,effect,6
trained_warlock,effect,6
wizard,effect,6
warlock,effect,6
activate_plot,effect,6
create_bloodline,effect,6
inheritance,effect,6
while,effect,6
artifact,effect,6
trigger_if,effect,6
is_alive,effect,5
cooldown,effect,5
animated_objects,effect,5
z_fighter,effect,5
any_province_holding,effect,5
is_patrician,effect,5
create_random_priest,effect,5
any_realm_character,effect,5
region,effect,5
has_holder,effect,5
elemental_troops,effect,5
is_landed,effect,5
force_host,effect,5
any_child,effect,4
any_owned_bloodline,effect,4
has_bloodline_flag,effect,4
spawn_fleet,effect,4
galleys,effect,4
society_rank,effect,4
remove_all_race_traits,effect,4
show_scope_change,effect,4
attacker,effect,4
random_province_holding,effect,4
usurp_title,effect,4
make_capital_holding,effect,4
has_game_rule,effect,4
set_religion_head,effect,4
has_regent,effect,4
kingdom,effect,4
is_alternate_start,effect,4
duchy,effect,4
turn_lich_effect,effect,4
remove_education_effect,effect,4
had_flag,effect,4
clr_flag,effect,4
illusory_troops,effect,4
new_bloodline,effect,4
remove_adopted_bloodline_members_effect,effect,4
can_apply_average_nickname_trigger,effect,4
destroy_artifact,effect,4
top_liege,effect,4
controls_religion,effect,4
same_society_as,effect,4
export_to_variable,effect,4
multiply_variable,effect,4
is_undead,effect,4
random_artifact,effect,4
has_artifact_flag,effect,4
is_artifact_active,effect,4
set_artifact_flag,effect,4
num_of_trade_posts,effect,4
persistent_event_target:society_title_persist,effect,3
create_title,effect,3
landless,effect,3
temporary,effect,3
custom_created,effect,3
base_title,effect,3
new_title,effect,3
increase_visibility_minor_effect,effect,3
spawn_good_commander_effect,effect,3
inherit,effect,3
defender,effect,3
religion_authority,effect,3
create_family_palace,effect,3
is_tribal,effect,3
is_adult,effect,3
bloodline_is_active_for,effect,3
is_strong_non_congenital_trait_upgradeable_trigger,effect,3
supported_claimant,effect,3
clear_persistent_event_target,effect,3
empire,effect,3
de_jure_liege_or_above,effect,3
completely_controls,effect,3
set_gender,effect,3
prompt_name,effect,3
player,effect,3
has_job_title,effect,3
give_minor_title,effect,3
remove_all_negative_congenital_traits_effect,effect,3
update_hidden_modifiers,effect,3
month,effect,3
num_of_count_titles_in_realm,effect,3
random_realm_wonder_upgrade,effect,3
is_active,effect,3
wonder,effect,3
merge,effect,3
propagate_bloodline_from,effect,3
change_society_currency,effect,3
religion_scope,effect,3
leave_society,effect,3
is_member_of_any_alliance_society_trigger,effect,2
has_quest,effect,2
add_society_currency_minor_effect,effect,2
random_society_member,effect,2
has_injury_trigger,effect,2
z_monk,effect,2
spawn_great_commander_effect,effect,2
spawn_fantastic_commander_effect,effect,2
any_current_enemy,effect,2
change_title_army_size,effect,2
band_creator,effect,2
long_character_event,effect,2
beast_troops,effect,2
any_war,effect,2
event_target:enemy_attacker,effect,2
employer,effect,2
set_dynasty_flag,effect,2
any_player,effect,2
qisma,effect,2
ten_thousand_gods,effect,2
pantheist_league,effect,2
muhjari,effect,2
remove_symptoms_effect,effect,2
small_psi_stress,effect,2
to,effect,2
any_artifact,effect,2
move_character,effect,2
stacking,effect,2
banish,effect,2
copy_title_history,effect,2
portrait,effect,2
barbarian,effect,2
trained_barbarian,effect,2
journeyman_barbarian,effect,2
expert_barbarian,effect,2
master_barbarian,effect,2
renowned_barbarian,effect,2
legendary_barbarian,effect,2
is_close_relative,effect,2
abdicate,effect,2
add_province_modifier,effect,2
is_allowed_to_loot,effect,2
rogue,effect,2
trained_rogue,effect,2
journeyman_rogue,effect,2
expert_rogue,effect,2
master_rogue,effect,2
renowned_rogue,effect,2
legendary_rogue,effect,2
arcane_class_gain_xp,effect,2
is_nomadic,effect,2
gender_equality_trigger,effect,2
race_is_one_eyed,effect,2
become_wizard_effect,effect,2
become_cleric_effect,effect,2
become_rogue_effect,effect,2
become_fighter_effect,effect,2
become_aristocrat_effect,effect,2
become_warlock_effect,effect,2
become_sorcerer_effect,effect,2
become_psion_effect,effect,2
set_flag,effect,2
society_has_active_progress,effect,2
set_society_progress,effect,2
start_society_progress,effect,2
governor,effect,2
host,effect,2
has_wonder_upgrade,effect,2
unsafe_destroy_artifact,effect,2
clr_global_flag,effect,2
has_wonder_upgrade_flag,effect,2
is_matriarchal_religion_or_culture,effect,2
is_patriarchal_religion_or_culture,effect,2
legendary_cleric,effect,2
renowned_cleric,effect,2
master_cleric,effect,2
has_secret_religion,effect,2
holy_order,effect,2
mercenary,effect,2
any_society_member,effect,2
is_ruler,effect,2
set_offmap_flag,effect,2
any_attacker,effect,2
divide_variable,effect,2
check_variable,effect,2
remove_guardian,effect,2
legendary_druid,effect,2
renowned_druid,effect,2
master_druid,effect,2
expert_druid,effect,2
journeyman_druid,effect,2
trained_druid,effect,2
druid,effect,2
add_trait_wounded_effect,effect,2
any_suzerain,effect,2
remove_tributary,effect,2
num_of_trade_post_diff,effect,2
random_vassal,effect,2
change_diplomacy,effect,2
legendary_sorcerer,effect,2
renowned_sorcerer,effect,2
master_sorcerer,effect,2
short_name,effect,1
adjective,effect,1
has_title_flag,effect,1
knights,effect,1
clr_quest,effect,1
job_chancellor,effect,1
is_society_grandmaster,effect,1
is_member_of_any_assassin_guild_trigger,effect,1
pay_back_assassins_effect,effect,1
remove_assassins_debt_effect,effect,1
is_strong_trigger,effect,1
is_weak_trigger,effect,1
is_maimed_trigger,effect,1
has_severe_disability_trigger,effect,1
has_medium_disability_trigger,effect,1
has_minor_disability_trigger,effect,1
has_mental_disorder_trigger,effect,1
has_negative_congenital_trigger,effect,1
z_cleric,effect,1
z_paladin,effect,1
z_druid,effect,1
z_barbarian,effect,1
z_ranger,effect,1
is_evil_religion,effect,1
abishai,effect,1
marrashi,effect,1
ghaunadan,effect,1
tanarri,effect,1
baatezu,effect,1
cambion,effect,1
d_victorious_blade,effect,1
combat,effect,1
enemy,effect,1
any_unit_leader,effect,1
repeat_event,effect,1
any_army,effect,1
at_location,effect,1
dragon_breath_on_PREV_effect,effect,1
k_grand_caliphate,effect,1
is_reformed_religion,effect,1
using_cb,effect,1
is_playable,effect,1
reverse_religion,effect,1
is_nomadic_tribal_culture,effect,1
num_of_government_vassals,effect,1
any_unique_dynasty_vassal,effect,1
is_republic,effect,1
k_many_arrows,effect,1
spawn_mielikki_treant_effect,effect,1
random_demesne_title,effect,1
can_be_given_away,effect,1
is_capital,effect,1
z_sorcerer,effect,1
z_psion,effect,1
transfer_scaled_wealth,effect,1
transfer_artifact,effect,1
abdicate_to,effect,1
event_target:combatant_2,effect,1
realm_wonder_or_upgrade_has_flag_inspires_learning_trigger,effect,1
any_friend,effect,1
remove_friend,effect,1
same_liege,effect,1
in_faction,effect,1
arctic_dwarf,effect,1
chessentan,effect,1
persistent_event_target:minion_culture_1_persist,effect,1
persistent_event_target:minion_culture_2_persist,effect,1
persistent_event_target:minion_culture_3_persist,effect,1
dragonspawn,effect,1
fire_giant,effect,1
firenewt,effect,1
kobold,effect,1
lizardfolk,effect,1
shield_dwarf,effect,1
storm_giant,effect,1
strixiki,effect,1
any_title,effect,1
add_pressed_claim,effect,1
set_global_flag,effect,1
c_ebenfar,effect,1
add_holding_slot,effect,1
any_playable_ruler,effect,1
is_married,effect,1
any_spouse,effect,1
remove_spouse,effect,1
remove_special_character_title,effect,1
has_discardable_gendered_nickname,effect,1
scaled_prestige,effect,1
move,effect,1
warpriests,effect,1
mages_troops,effect,1
is_fair_congenital_trait_upgradeable_trigger,effect,1
upgrade_fair_congenital_trait_effect,effect,1
random_demesne_province,effect,1
num_of_max_settlements,effect,1
province_event,effect,1
spawn_good_planewalker_effect,effect,1
is_incapable,effect,1
random_landed_title,effect,1
upgrade_fair_non_congenital_trait_effect,effect,1
join_prev_knight_order_society_effect,effect,1
malenti,effect,1
kuo_toa,effect,1
sahuagin,effect,1
aboleth,effect,1
add_society_currency_major_effect,effect,1
add_offmap_currency,effect,1
offmap,effect,1
med_psi_stress,effect,1
is_fair_non_congenital_trait_upgradeable_trigger,effect,1
is_smart_non_congenital_trait_upgradeable_trigger,effect,1
is_strong_non_congenital_trigger,effect,1
has_fair_trait_non_congenital_trigger,effect,1
add_claim,effect,1
select_patron_effect,effect,1
legendary_bard,effect,1
renowned_bard,effect,1
master_bard,effect,1
expert_bard,effect,1
journeyman_bard,effect,1
trained_bard,effect,1
bard,effect,1
celestial_summon_effect,effect,1
plot_target_char,effect,1
has_building,effect,1
spawn_good_amaunatori_judge_effect,effect,1
spawn_good_deneir_scribe_effect,effect,1
spawn_great_helm_commander_effect,effect,1
spawn_fantastic_helm_commander_effect,effect,1
spawn_good_helm_commander_effect,effect,1
spawn_great_paladin_effect,effect,1
spawn_fantastic_paladin_effect,effect,1
spawn_good_paladin_effect,effect,1
horse_archers,effect,1
event_target:the_wonder,effect,1
e_anok_imaskar,effect,1
e_shanatar,effect,1
e_shoon,effect,1
z_wizard,effect,1
