county,defined,built,max_settlements
c_bellakh,7,1,4
c_belprins_hold,7,1,4
c_beluir,7,4,5
c_bender_adewah,7,1,3
c_bender_berdh,7,1,3
c_beowood,7,1,3
c_berdusk,7,3,4
c_beregost,7,3,3
c_bezantur,7,5,6
c_bezentil,7,1,3
c_bhaerlith,7,1,3
c_bhaluin,7,1,3
c_bhaulaea,7,1,2
c_bidnop_so,7,3,3
c_bildoobaris,7,2,6
c_binatang,7,1,3
c_bisatare,7,2,3
c_bisoturi,7,1,3
c_bitter_well,7,1,3
c_bjeoerns_pass,7,1,3
c_black_ash_plain,7,1,3
c_blackfeather_bridge,7,1,3
c_blackford,7,2,3
c_blackhold,10,2,4
c_blackvale,7,1,5
c_bladed_coast,7,1,3
c_bloodhawk_hold,7,1,2
c_bloodlake,7,1,3
c_bloodstone,7,2,3
c_blumantle_pass,7,1,3
c_boareskyr_bridge,7,1,3
c_boorva,7,1,3
c_borich,7,1,3
c_bottomless_bog,7,1,5
c_bowshot,8,3,4
c_braleuz,7,1,3
c_brandiar,7,2,3
c_bregenduth,7,1,4
c_bregonshire,7,2,3
c_brightaxe_hall,7,1,6
c_brightfields,7,1,3
c_brittlebone_coast,7,1,3
c_broadfields,7,1,3
c_broaspu,7,1,3
c_broken_swords,7,1,3
c_broken_wall_pass,7,2,3
c_broken_well,7,1,2
c_bronze_falcon,7,2,3
c_bronzehelms,7,2,3
c_brost,8,2,3
c_brynwood,7,1,3
c_budais_cleft,7,2,3
c_bukhouk,7,1,3
c_bukitega,7,1,3
c_bulaantaro,7,1,3
c_bulangalant,7,1,3
c_buldamar,7,2,4
c_bulobo,7,1,4
c_bunsha,7,1,3
c_bunshin,7,1,3
c_burich,7,1,3
c_burj,7,3,4
c_burning_shore,7,1,3
c_bynua,7,1,3
c_caer_moray,7,1,2
c_calaunt,7,3,5
c_calim_desert,7,1,4
c_calim_river,7,1,1
c_calimban,7,1,2
c_calimmon,7,3,5
c_calimport,7,6,7
c_calimstone,7,1,2
c_callidyrr,7,4,5
c_calling_horns,7,1,3
c_cambro,7,2,4
c_candlekeep,7,2,3
c_caraguir,7,1,3
c_carmathan,7,2,3
c_carrelath,7,2,3
c_carwyth,7,2,3
c_cathyr,7,4,5
c_cedarvale,7,1,4
c_cennuroth,7,2,3
c_centaur_run,7,3,5
c_chaikou_hills,7,1,3
c_chain_of_broken_dreams,8,1,4
c_chama,7,1,3
c_chan,7,1,3
c_chan_liu_shui,7,1,4
c_chandlerscross,7,2,2
c_changdao,7,1,4
c_channath_rise,7,2,3
c_channathgate,7,3,4
c_channathwood,7,1,3
c_chao_yang,8,3,4
c_ched_nasad,8,3,4
c_chegoyui,7,1,3
c_chelimber,7,1,4
c_chiem,7,1,3
c_chilled_plain,7,1,3
c_chionthar,8,2,3
c_cholta,7,1,3
c_chowok,7,1,3
c_chulacca,8,1,4
c_chulq,7,1,3
c_cimarine_isles,7,1,2
c_cimbar,7,3,5
c_cinnabar,7,1,5
c_citadel_adbar,7,2,3
c_citadel_of_the_raven,7,2,3
c_citadel_rashemar,7,1,4
c_clearflow_vale,7,1,3
c_cloak_bay,8,1,2
c_cloakwood,9,1,3
c_cloven_hills,7,2,3
c_clovis_fields,7,2,3
c_coast_way,7,2,3
c_codsbay,7,1,3
c_coilvines,7,1,3
c_cold_field,7,1,2
c_cold_vale,7,1,3
c_coldcrag,7,1,2
c_coldlight_cliffs,7,1,3
c_coldwood,7,1,4
c_colletro,7,2,4
c_conaluil,8,3,4
c_conaluil_range,7,1,2
c_cony_gap,7,4,3
c_conyberry,7,1,2
c_corellons_grove,7,3,4
c_corm_orp,7,1,3
c_cormanda,10,1,3
c_cortrynn,7,2,3
c_corwell,7,3,4
c_couatl_wilds,7,1,3
c_couatls_landing,7,1,2
c_council_hills,7,2,3
c_crab_reach,7,1,2
c_cragmaw,7,1,2
c_crimmor,8,3,4
c_culmaster,7,2,2
c_curstallyon,7,3,3
c_dabab,7,1,3
c_daerlun,7,4,5
c_daerr,7,2,4
c_dagger_falls,7,2,2
c_daggerdale,7,3,4
c_daggerford,7,3,5
c_dahab_island,7,1,2
c_dakan,7,2,3
c_dalath,7,3,4
c_daltonsvale,7,2,3
c_dalvind,7,1,3
c_damu,7,1,3
c_dancing_dolphins,7,2,3
c_daong_forest,7,1,3
c_dapplegate,7,3,4
c_darabjind,7,3,5
c_darakh,7,1,3
c_dareth,7,1,3
c_dark_arrow,7,1,5
c_darkhold,7,3,3
c_darkturret,7,1,4
c_darkwoods,7,1,5
c_darmesh,7,2,3
c_darmshall,7,2,4
c_darrawn,8,3,5
c_darromar,7,5,6
c_dashadjen,7,2,3
c_daunting,7,2,3
c_dawihi_island,7,1,3
c_dawn_pass,7,2,3
c_dawngleam,7,2,4
c_daynk,7,1,3
c_dead_orc_pass,7,1,2
c_deadstars,7,1,3
c_deep_imaskar,7,3,4
c_dekanter,7,2,4
c_dekar,7,2,4
c_delbyl,7,2,3
c_delliun,7,3,4
c_delphin,7,1,4
c_delrune,7,1,4
c_delselar,7,3,4
c_deltar,7,2,3
c_delthuntle,7,2,4
c_delzimmer,7,3,4
c_denderdale,7,1,3
c_denzar,7,2,3
c_deraala,7,1,3
c_deraiairgak,7,1,3
c_derlusk,7,3,4
c_dernall,7,2,3
c_des,7,3,4
c_despond,7,1,3
c_detar_land,8,1,4
c_dharvil,7,1,3
c_dhaztanar,7,5,7
c_dihliz,7,3,4
c_dilpur,7,2,3
c_dimee_moor,7,1,3
c_dirs,7,1,3
c_djerad_harngha,7,1,4
c_dlusk,7,2,3
c_dmir,7,3,4
c_doegenflow,7,2,3
c_doegwood,7,2,3
c_dolblunde,7,1,4
c_dolsel_gap,7,1,3
c_dragonbones,7,1,4
c_dragongrounds,7,1,3
c_dragonisle,7,2,3
c_dragonspear,7,1,4
c_drakkalor,7,0,
c_dralpur,7,3,4
c_draya,7,2,3
c_drelagara,7,1,3
c_drik_hargunen,7,3,4
c_druarwood,7,1,4
c_drubiev,7,1,3
c_dubegat,7,1,3
c_duirtanal,7,3,4
c_dun_hills,7,1,3
c_dun_orthass,7,1,3
c_dun_tharos,7,1,3
c_dunod,7,2,3
c_dunspeirrin,8,3,4
c_dunwood,7,1,3
c_durgach,7,2,3
c_durlags_tower,7,1,3
c_dusklan,7,2,4
c_dust_road,7,1,3
c_dustwall,7,1,4
c_dustwaves,7,2,3
c_dwarven_valley,7,3,2
c_dynnegall,7,2,3
c_dzoulins_cradle,7,1,2
c_eagle_hills,7,2,3
c_eartheart,7,3,4
c_earthfast,7,2,4
c_earthwood,7,1,4
c_east_keep,7,3,4
c_east_lluirwood,7,1,3
c_east_methwood,7,1,4
c_east_rendai,7,3,3
c_east_soravia,7,1,3
c_east_tejarn,7,2,3
c_eastgulth,7,1,4
c_easting,7,1,4
c_eastwood,7,3,3
c_eayan_aljunun,7,1,3
c_ebenfar,7,2,4
c_edenvale,7,3,5
c_edouura,7,3,4
c_eghagu,7,1,2
c_ejen_horo,7,1,3
c_ekwong,7,1,3
c_elbencort,7,2,3
c_elbulder,7,3,3
c_elchulmarch,7,2,3
c_eldaths_water,7,1,3
c_eldergroves,7,1,3
c_eldrinfar,7,4,5
c_elemetar,7,2,3
c_elghal,7,2,3
c_elion,7,3,4
c_elmwood,7,2,3
c_elne,7,1,3
c_eltabbar,8,4,5
c_elturel,7,4,5
c_elven_court,7,2,5
c_elven_port,7,2,4
c_elventree,7,2,4
c_elversult,8,4,4
c_elveswatch,7,1,3
c_emmech,7,2,3
c_end_of_light,7,2,3
c_endar_aglandtor,7,2,3
c_endless_blizzard,7,2,2
c_enlightened_ring,7,2,3
c_envarl,7,2,3
c_erebos,7,3,4
c_erech_forest,7,1,3
c_errusk,7,1,3
c_erum,7,2,3
c_eryndlyn,7,2,3
c_esbresh,7,3,4
c_escalant,7,3,4
c_eshpurta,7,4,4
c_eskat,7,1,3
c_esmeltaran,7,2,3
c_essembra,7,3,5
c_estan,7,2,4
c_ethvale,7,2,3
c_eveningstar,8,3,4
c_evereska,11,5,6
c_everlund,9,3,5
c_evermelt,7,1,2
c_everwide,7,1,3
c_eyegad,7,1,3
c_faeressar,7,1,2
c_fahhas,7,3,4
c_fairheight,7,2,4
c_fallen_giant_rift,8,1,3
c_fallen_lands,7,3,3
c_fallow_steppe,7,1,3
c_falls_of_erech,7,1,3
c_fanedown,7,2,4
c_fangmoor,7,1,4
c_fanus,7,2,3
c_far_forest,7,1,4
c_far_nemoree,7,1,3
c_far_ulhai,7,1,3
c_farhaven,7,2,3
c_farsea_marsh,7,1,3
c_farshore,7,3,4
c_fasriul,7,3,4
c_fatuta_chuba,7,1,5
c_feifeng,7,2,3
c_felbarr,7,2,3
c_fell_pass,7,2,4
c_fendarls_gate,7,1,4
c_fergana,7,2,3
c_fertile_moon,7,1,3
c_fida,7,1,3
c_fields_of_ganath,7,2,3
c_fields_of_kesk,7,2,3
c_fields_of_nun,7,1,3
c_fields_of_pryollus,7,2,3
c_fields_of_rime,7,1,3
c_fields_of_salt,7,1,3
c_fiends_wing,7,2,3
c_finger_pass,7,2,2
c_fire_river,7,2,3
c_firealm,7,2,3
c_firedrake,8,4,5
c_fireforges,9,3,4
c_firepeaks,7,3,3
c_fireshear,8,2,3
c_firesteap_hills,7,1,3
c_firesteap_woods,7,1,3
c_firetrees,7,3,4
c_firewine,7,2,3
c_flamsterd,7,2,3
c_flatshield,7,1,3
c_flint_rock,7,1,3
c_flowery_well,7,1,3
c_flyndagol,7,2,3
c_forest_of_wyrms,7,1,4
c_forests_edge,7,1,3
c_forgefires,7,1,4
c_forgotten_forest,7,1,4
c_forharn,7,3,4
c_forlorn_hills,7,3,4
c_fornaluit_plain,7,1,3
c_forol,7,1,3
c_free_heights,7,1,3
c_freedale,7,1,2
c_frostfenn,7,1,4
c_frozen_flindyke,7,1,5
c_frozen_forest,7,1,3
c_fuirgar,7,3,3
c_fujegat,7,2,3
c_fukiow,7,2,4
c_fussellshade,7,2,4
c_fustat,7,2,3
c_fyraven,7,4,5
c_gaethluntar,7,1,3
c_galena_snake,7,2,3
c_galenarr,7,1,3
c_gallads_garden,7,1,2
c_galuka,7,1,3
c_gamruhan,7,1,3
c_gana,7,3,5
c_ganathwood,7,2,3
c_gate_of_heaven,7,2,3
c_gauros,8,2,3
c_geman,7,1,3
c_generals_stand,7,1,3
c_genies_garden,7,1,2
c_genval,7,1,3
c_ghaastwood,7,1,4
c_ghajar,7,2,3
c_ghalagar,7,1,3
c_gheldaneth,7,4,6
c_ghost_leopard,7,2,3
c_giant_gap,7,1,3
c_giants_run,7,1,3
c_gildenglade,7,4,6
c_gimise,7,1,3
c_giniracha,7,1,3
c_giteyosha,7,3,4
c_glacier_of_the_white_worm,7,1,3
c_glakis,7,1,2
c_glarn,10,2,4
c_glaurachyndaar,7,4,5
c_glaurflow,10,1,4
c_glister,7,1,3
c_glitterdelve,7,2,3
c_gnarhelm,7,2,4
c_gnollhomes,7,1,3
c_goblin_marches,7,1,3
c_golden_crossing,7,1,3
c_golden_falcon,7,1,3
c_golden_fields,7,2,4
c_golden_road,7,1,3
c_golden_shore,7,2,3
c_goldenfields,7,2,3
c_gomwenk,7,1,2
c_gondistho,8,1,4
c_gontal,8,1,6
c_gontal_pass,7,1,4
c_gracklstugh,8,3,4
c_granuin_forest,7,1,3
c_graskynar,9,3,4
c_graulthanc,7,1,4
c_graxan_forest,8,1,3
c_great_sands,7,1,3
c_great_traders_way,7,1,4
c_green_fields,7,1,3
c_green_shadows,7,2,3
c_greenest,7,2,3
c_greenshores,8,3,4
c_greentree,7,3,4
c_grendel,7,2,3
c_grey_wood,7,1,3
c_greycloak_hills,7,2,3
c_grimroost,8,2,4
c_grondsgrunn,7,1,3
c_grunwald,7,1,3
c_guallidurth,7,2,3
c_guihar,7,1,4
c_guilmarl,7,2,3
c_gukh,7,1,3
c_gullrocks,7,1,3
c_gundar_forest,7,1,3
c_gundarlun,7,1,3
c_gurvandene,7,1,3
c_guth,7,2,3
c_haatar_baen,7,3,3
c_haelwood,7,3,4
c_hafaya,7,4,5
c_hahami,7,2,3
c_hai_jungle,7,1,2
c_hakim,7,1,2
c_halagard,7,2,3
c_halangorn,8,3,4
c_halar_hills,7,2,4
c_halarahh,7,4,6
c_halaze,7,2,4
c_halruaan_heights,7,1,2
c_halu,7,1,3
c_halwa,7,3,5
c_hame,7,1,3
c_hamid,7,1,3
c_hamlar_hills,7,2,3
c_hammer_hall,7,1,4
c_hand_of_the_sky,7,1,3
c_hanya_maut,7,1,2
c_hap,7,2,2
c_haqar,7,1,3
c_harb,7,3,4
c_hardang,7,1,2
c_hardcastle,7,3,4
c_harglast,7,2,4
c_hargleth_forest,7,1,4
c_harheldur,9,3,4
c_harlending,7,3,4
c_harngel,7,1,3
c_harrowdale,7,2,4
c_hartsvale,7,1,4
c_hasira,7,3,3
c_hatgiainli,7,1,3
c_havraquoar,7,1,5
c_hawa,7,4,5
c_hawksroost,7,1,4
c_haxkhun,7,1,4
c_hayyir,7,4,5
c_hazamarch,7,2,3
c_hazuth,7,3,4
c_heartblood,8,2,3
c_heartwood,7,2,3
c_heldar,7,5,6
c_helenas_wood,7,1,3
c_heliogabalus,7,5,6
c_helm_rift,8,1,3
c_helms_hold,8,3,3
c_hengfena,7,1,3
c_heptios,7,2,4
c_herath,7,2,3
c_herders_crook,7,2,3
c_hernes_wood,7,1,3
c_heroes_height,7,1,3
c_hethar,7,3,4
c_hidden_hopes,7,1,2
c_hidden_vale,7,1,2
c_high_gap,7,2,2
c_high_horn,9,2,3
c_high_moors,7,1,3
c_high_valley,7,1,3
c_highcastle,7,2,3
c_highcountry,7,1,4
c_highmoon,7,2,4
c_highplume_station,7,1,2
c_highstars,7,2,3
c_hills_edge,7,2,4
c_hills_of_scent,7,1,3
c_hills_of_the_dead_kings,7,2,3
c_hillsfar,8,3,5
c_hilm,7,4,5
c_hisari,7,2,3
c_hitan_island,7,2,3
c_hiyal,7,4,5
c_hlammach,7,3,4
c_hlath,7,3,4
c_hlaungadath,7,1,3
c_hlintar,7,1,3
c_hlondeth,7,4,5
c_hluthvar,7,1,3
c_hoarbridge,7,1,3
c_holdensword,7,2,4
c_hollow_mountain,7,3,3
c_horaholm,7,1,3
c_horizons,7,1,3
c_horn_of_afyal,7,2,3
c_horseshoe_oasis,7,1,3
c_hosttower_of_the_arcane,7,2,2
c_howling_gap,7,1,3
c_hrakhamar,7,2,4
c_huai,7,1,3
c_hudariyah,7,1,3
c_huddagh,8,3,4
c_hudid,7,4,5
c_hulan,7,1,3
c_hulburg,7,2,5
c_hullack_forest,7,2,3
c_hulm,7,1,3
c_hundelstone,7,2,3
c_hundred_spears,7,1,3
c_huplik,7,1,2
c_huzuz,7,4,7
c_hykopgrok,7,1,2
c_ibelgrak,7,1,2
c_ibreb,7,1,3
c_icelace,7,1,3
c_iceroot_forest,7,1,4
c_icespire_peak,7,1,2
c_icetail,7,1,4
c_icewind_coast,7,1,2
c_igenghack,7,1,2
c_iirgar,7,1,3
c_ikemmu,7,2,4
c_ilighon,7,3,4
c_ilimar,7,1,3
c_ilinvur,7,3,4
c_iliphanar,7,2,3
c_ilipur,7,2,3
c_iljak,7,3,4
c_illuks,7,1,3
c_illuskwood,7,1,3
c_ilmwatch,7,3,4
c_iltkazar,7,2,2
c_imajuvisik,7,1,2
c_imdolphyn,7,2,4
c_immerflow,7,2,3
c_immilmar,7,2,3
c_imnescar,7,3,3
c_impresk,8,4,5
c_imroley,7,1,3
c_ingdals_arm,7,2,3
c_ingmur,7,1,3
c_inkelvale,7,2,3
c_inkrath,7,2,3
c_innarlith,7,3,3
c_inner_ama,8,1,3
c_intibah,7,2,4
c_inupras,7,1,3
c_ioma,10,3,4
c_irestone,7,1,3
c_iriaebor,7,4,5
c_iris_spring,7,1,3
c_iritasker,7,1,4
c_iron_keep,7,2,3
c_ironfang_deep,7,4,5
c_ironfang_keep,7,3,3
c_ironmaster,7,2,3
c_ironspur,7,3,3
c_irphong,7,2,3
c_isfasan,7,3,4
c_ishamar_isles,7,1,4
c_ishau,7,1,4
c_iskashyoll,7,2,3
c_isle_of_prespur,7,2,3
c_isle_of_quelthiir,7,1,4
c_ithal_pass,7,2,3
c_ithan,9,1,4
c_ithmong,7,2,3
c_ithmonn,7,2,5
c_itiraf,7,4,6
c_ixinos,7,2,3
c_iyrandrar,7,1,4
c_jaasa,7,3,4
c_jab,7,1,3
c_jabal_sarahin,7,1,3
c_jade_gate,7,2,3
c_jade_hills,7,3,4
c_jahaka_bay,7,2,3
c_jajam,7,1,2
c_jakadiri,7,1,4
c_jalanthar,7,2,3
c_jamal,7,1,3
c_jaria,7,1,3
c_jarir,7,1,3
c_jasan_pass,7,1,3
c_jazayir_al_alfar,7,1,3
c_jelnesh,7,1,3
c_jelvak,7,1,3
c_jelvym,7,1,3
c_jeradin,7,1,4
c_jeranjah,7,1,3
c_jezarh_jadew,7,1,3
c_jezarh_mah_alewd,7,1,3
c_jezarh_mar,7,1,3
c_jezarh_restakhaz,7,1,3
c_jezarh_shemshar,7,1,3
c_jhalhoran,7,2,3
c_jhalolokati,7,1,3
c_jibal_al_taif,7,1,3
c_jinutt,7,3,3
c_jorhat_shan,7,1,3
c_joums,7,2,3
c_joya,7,1,4
c_jugicha,7,1,3
c_julkoun,7,2,3
c_jumlat,7,3,5
c_jundarwood,7,1,3
c_jungled_approach,7,1,2
c_kaarekh,7,1,3
c_kabus_highlands,7,1,5
c_kabut,7,1,4
c_kadarasto,7,4,5
c_kaget_valley,7,1,3
c_kai_shan,7,4,5
c_kajiaruti,7,1,3
c_kalathtyr,7,4,5
c_kalish,7,1,3
c_kalmins_grove,7,3,5
c_kalterland,7,1,3
c_kaluth,7,1,4
c_kanaglym,7,3,4
c_kangste,7,2,4
c_kaoll,7,2,5
c_kapuli,7,1,3
c_karlyns_vale,8,1,3
c_karmsteppe,7,1,3
c_karoah,7,1,3
c_karondar,7,1,3
c_karzuwa,7,1,4
c_kasal,7,2,3
c_kaslaib,7,1,3
c_kasper,7,2,3
c_kassa_bay,7,1,3
c_katakoro_pass,7,1,3
c_katakoro_tundra,7,1,3
c_kayari,8,1,3
c_keczulla,7,2,3
c_kelazzan,7,2,3
c_kelereng_valley,7,1,3
c_kellesar,7,1,3
c_keltar,7,3,3
c_keluh,7,1,3
c_keluthar,7,3,4
c_kelvins_cairn,7,1,3
c_kemati_valley,7,2,2
c_kera,7,2,3
c_kesh,7,2,3
c_ket_bel,7,1,3
c_ketcheel,7,1,3
c_kethid,7,1,3
c_khaa,7,1,3
c_khaelud,9,3,4
c_khedrun_valley,7,2,3
c_khelas,7,2,3
c_kheldrivver,8,1,3
c_khivak,8,1,3
c_khol,7,1,3
c_kholaa,7,1,3
c_kholassa,7,1,3
c_kholtar,7,3,4
c_khopet_dag,7,1,3
c_khuld,7,1,3
c_kiasia,7,3,3
c_kilastann,7,2,3
c_kindle,7,1,3
c_kings_forest,8,2,3
c_kings_reach,7,2,3
c_kingsbay,7,3,4
c_kingshore,7,2,3
c_kinyo,7,1,3
c_kitbezi,7,1,3
c_kituzeelal,7,1,3
c_klionna,7,4,5
c_klondor,7,2,3
c_kobar,7,1,4
c_kochar_steppe,7,1,4
c_kochung,7,2,4
c_kolapur,7,3,4
c_kolium,7,1,3
c_kollyat,7,1,3
c_konig_hills,7,2,3
c_konigheim,7,4,5
c_korar_hills,10,1,4
c_korinn,7,1,4
c_kork,7,1,2
c_kormul,7,1,4
c_korolnor,7,0,
c_kossuths_eye,7,0,
c_kothask,7,1,4
c_kouangi,7,1,3
c_kourmira,7,2,5
c_krak_al_mazhar,7,1,3
c_krak_al_niraan,7,2,3
c_krak_al_sajjaan,7,3,3
c_krak_al_shidda,7,1,4
c_krak_al_uruj,7,2,3
c_kresttet,7,1,2
c_kront,7,1,5
c_kryptgarden_forest,7,1,4
c_ku_akh,7,2,4
c_kuan_road,7,3,4
c_kuang_chu_road,7,2,3
c_kumandang,7,1,3
c_kuning,7,1,3
c_kuo_meilan,7,1,5
c_kupoteza,7,1,3
c_kuraakim,7,1,3
c_kurrsh,7,1,3
c_kurth,7,2,3
c_kushk,7,3,4
c_kwachow,7,1,4
c_kzelter,7,2,3
c_laas,7,1,3
c_lac_dinneshere,7,2,3
c_lachom,7,1,3
c_lagiluri,7,2,3
c_lahib_island,7,2,4
c_laila,7,2,3
c_lair_of_the_eye,7,2,2
c_laiwei,7,2,3
c_lajang,7,1,4
c_lake_weng,7,2,3
c_lammasus_plain,7,1,3
c_lamrar,7,2,4
c_land_of_ash_and_smoke,7,1,3
c_landithust,7,1,4
c_langdarma,7,4,4
c_laothkund,7,2,4
c_lapaalis,7,1,3
c_lapalgard,7,2,3
c_lapalgulph,7,1,3
c_laphe,7,2,3
c_larut,7,1,4
c_lashghar,7,1,3
c_lashloc,7,1,2
c_lastarr,7,1,3
c_laviguer,7,1,4
c_leaping_grasses,7,1,3
c_legionsway,7,1,3
c_leilon,7,2,4
c_lenchvale,7,2,3
c_leneta,7,1,3
c_leopard_shan,7,1,3
c_leth,7,2,3
c_leuthilspar,7,5,6
c_lhair,7,2,5
c_lheshayl,7,2,4
c_lhespenbog,7,1,3
c_lhesper,7,1,4
c_li_raz,7,1,4
c_liham,7,4,5
c_lilinuk,7,1,3
c_lilit_pass,7,2,3
c_limjung,7,1,3
c_lipo,7,2,3
c_liswood,7,1,5
c_lizard_marsh,7,2,3
c_lizards_tongue_pass,7,1,3
c_llorkh,7,2,3
c_lluirwood,7,1,3
c_llurth_dreier,7,4,5
c_lo_tu,7,3,4
c_loagrann,7,2,3
c_lomatra,7,2,3
c_lonefang,7,1,3
c_lonely_moor,7,1,4
c_lonely_rock,7,1,2
c_long_arm,7,1,3
c_long_marsh,11,1,4
c_longsaddle,7,2,4
c_lopango,7,1,3
c_lost_land,7,1,4
c_lost_peaks,7,3,4
c_lost_vale,9,1,3
c_lothen,7,2,4
c_loudwater,7,3,4
c_loulan,8,3,4
c_lower_glaur,10,1,4
c_lower_kayu,7,1,4
c_lower_kuning,7,1,4
c_lower_red_goat,7,2,3
c_lower_terrace,7,2,3
c_lower_wing,7,2,3
c_lowfork,7,1,3
c_luenath,7,3,4
c_lugabi,7,3,5
c_lugotak,7,1,2
c_luirbrech,7,1,3
c_luirund,7,2,3
c_lundeth,7,1,3
c_lundeth_bay,7,2,3
c_lunru,7,1,4
c_lurkwood,7,2,3
c_lushpool,7,3,4
c_luskan,7,5,6
c_luthcheq,7,3,5
c_lylkara_valley,7,1,4
c_lylorn,7,2,6
c_lyndar,7,1,4
c_lyntara,7,2,3
c_lyrabar,7,3,5
c_maarlith,7,2,3
c_mabasha,7,1,3
c_mache_gap,7,1,4
c_maelar,7,2,3
c_maelevarar,7,2,4
c_maer_dualdon,8,2,3
c_maerch,7,2,3
c_maerchlin,7,2,3
