ck2_trait,source_file,ck3_treatment,note
bio_amaranth,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_amelyssan,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_ammon,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_anomen,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_anthraxus,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_aoth,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_araithe,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_arauthator,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_arcturia,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_aribeth,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_ariel,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_arietta,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_arilyn,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_artemis,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_artor,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_artus,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_arveiaturace,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_astarion,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_aumon,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_auril,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_aurora,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_aurora2,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_avarice,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_aylin,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_azoun,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_azuth,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_baalzebul,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_baeloth,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_baerick,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_balthazar,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_balthazar2,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_bane,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_baphomet,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_barrowin,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_bayalun,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_bel,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_belaphoss,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_bhaal,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_bhrokiti,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_bidderdoo,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_biha,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_bjornhild,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_bladenkerst,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_blizzard,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_bobby,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_boddyknock,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_bodhi,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_bohn,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_brandon,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_branwen,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_brianna,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_brie_zara,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_brindol,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_briza,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_bruenor,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_cadderly,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_caelar,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_caitlyn,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_caladorn,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_casal,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_cassana,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_catti_brie,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_cazador,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_cernd,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_chanar,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_chardath,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_chuth,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_clara,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_clariburnus,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_coral_princess,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_coran,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_cryovain,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_daelan,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_dagult,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_dahlia,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_danifae,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_danilo,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_dantrag,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_darathra,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_darfin,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_dark_urge,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_daurgothoth,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_deekin,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_demogorgon,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_derval,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_deryan,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_desther,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_deudermont,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_diana,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_dinin,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_dispater,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_doric,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_dorn,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_dove,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_dragonbait,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_dran,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_drizfryn,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_drizzt,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_durnan,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_durth,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_duvessa,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_dynaheir,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_ebondeath,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_edgin,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_edwin,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_elaith,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_elanee,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_elbereth,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_eldest,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_eldoth,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_ellesime,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_elminster,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_eltab,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_enver,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_erevis,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_eric,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_errtu,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_evani,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_evin,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_faldorn,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_farideh,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_fenthick,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_filfaeril,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_finder,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_firkraag,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_florin,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_forfallen,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_forge,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_foril,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_fzoul,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_gale,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_gandalug,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_garagos,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_garbo,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_gareth,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_garius,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_gark,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_garmult,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_garrick,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_gerti,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_ghaunadaur,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_ghiirvox,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_giogi,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_glasya,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_glint,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_gnawbone,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_gorion,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_grandolpha,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_grazzt,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_grimgnaw,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_gromph,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_grypht,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_gut,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_hadrhune,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_haer_dalis,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_halaster,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_haliator,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_halima,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_halisstra,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_halsin,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_hank,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_havarlan,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_havilar,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_hazaufein,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_hedrun,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_hekaton,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_hephernaan,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_herzgo,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_hexxat,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_holga,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_horgar,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_hubadai,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_hydia,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_ibbalar,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_icewind,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_icingdeath,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_ilvara,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_imbrar,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_imix,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_imoen,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_inferno,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_io,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_irae,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_isair,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_isarr,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_ishi,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_isobel,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_isteval,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_ivus,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_iymrith,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_jaheira,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_jaluth,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_jan,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_jarir,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_jarlaxle,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_jarnathan,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_javen,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_jeervan,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_jeggred,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_jenevelle,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_jil,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_jon,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_jurin,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_kaanyr,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_kadroth,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_kagain,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_kagha,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_karas,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_karlach,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_kayalithica,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_kazerabet,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_keene,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_keirgar,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_keldorn,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_kella,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_kelson,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_ketheric,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_khalid,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_khaspere,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_khelben,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_khelben2,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_kimmuriel,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_king_of_shadows,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_kinnuki,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_kirukesai,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_klarg,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_klauth,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_kleef,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_koja,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_korgan,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_kregos,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_krydle,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_kryonar,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_kyorl,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_kyriani,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_laeral,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_laezel,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_lamruil,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_lareth,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_larissa,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_larloch,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_liara,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_linu,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_liriel,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_lod,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_lostmauth,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_lyonarth,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_lysan,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_madae,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_malabog,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_malaina,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_malar,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_malcanthet,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_malchor,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_malice,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_malik,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_malkizid,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_manshoon,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_markham,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_markos,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_mathise,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_maugrim,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_maura,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_maxiladanarr,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_maya,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_mazzy,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_mei_wan,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_melegaunt,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_mephistopheles,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_methil,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_mhaere,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_midnight,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_min_ho,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_ming,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_minsc,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_minthara,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_miquiztl,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_mirran,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_mirt,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_mist,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_mizora,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_mkhiin,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_moander,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_montaron,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_moonfire,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_muiral,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_myrineyl,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_myrkul,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_nahaunglaroth,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_nalia,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_nasher,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_nathur,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_neera,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_neeshka,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_neri,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_neronvain,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_niko,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_nildar,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_nimor,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_ningal,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_nobanion,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_nocturne,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_nuli,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_nung_chiang,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_nym,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_nymara,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_obould,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_obould_xvii,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_ogandi,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_orcus,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_ordalf,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
