ck2_code,occurrences,scope_chain,function,status,ck3_code,evidence
[Root.Liege.GetTitledFirstName],460,Root.Liege,GetTitledFirstName,mapped,[ROOT.Char.GetLiege.GetTitledFirstName],Faerun/Faerun/localisation/000_soi_muslim_honorary_titles_events_changes.csv:2
[Recipient.GetBestName],447,Recipient,GetBestName,named_scope,[Recipient.GetTitledFirstName],Faerun/Faerun/localisation/00_ui.csv:230
[Root.GetName],435,Root,GetName,mapped,[ROOT.Char.GetName],Faerun/Faerun/localisation/000_shou_lung.csv:784
[Root.Society.GetName],429,Root.Society,GetName,unmapped,<!CK2:Root.Society.GetName!>,Faerun/Faerun/localisation/000_shou_lung.csv:1367
[GetFirstName],424,,GetFirstName,mapped,[ROOT.Char.GetFirstName],Faerun/Faerun/localisation/00_death_text.csv:1
[From.GetName],407,From,GetName,mapped,[ck2_from.GetName],Faerun/Faerun/localisation/000_shou_lung.csv:842
[Actor.GetBestName],390,Actor,GetBestName,named_scope,[Actor.GetTitledFirstName],Faerun/Faerun/localisation/00_ui.csv:230
[Root.GetSocietyRank],389,Root,GetSocietyRank,custom,[ROOT.Char.Custom('GetSocietyRank')],Faerun/Faerun/localisation/000_starpact.csv:98
[This.GetFirstName],385,This,GetFirstName,mapped,[THIS.Char.GetFirstName],Faerun/Faerun/localisation/000_shou_lung.csv:156
[From.GetTitle],382,From,GetTitle,mapped,[ck2_from.GetTitleAsName],Faerun/Faerun/localisation/000_shou_lung.csv:64
[GetHerHis],376,,GetHerHis,mapped,[ROOT.Char.GetHerHis],Faerun/Faerun/localisation/00_death_text.csv:3
[From.Getihnsie],325,From,Getihnsie,custom,[ck2_from.Custom('Getihnsie')],Faerun/Faerun/localisation/000_starpact.csv:189
[Get_E],315,,Get_E,custom,[ROOT.Char.Custom('Get_E')],Faerun/Faerun/localisation/000_shou_lung.csv:2714
[This.GetHerHis],296,This,GetHerHis,mapped,[THIS.Char.GetHerHis],Faerun/Faerun/localisation/000_shou_lung.csv:434
[This.Getderdie],293,This,Getderdie,custom,[THIS.Char.Custom('Getderdie')],Faerun/Faerun/localisation/000_shou_lung.csv:659
[other_combatant.GetTitledFirstName],292,other_combatant,GetTitledFirstName,named_scope,[other_combatant.GetTitledFirstName],Faerun/Faerun/localisation/15_HFP_duel_events.csv:9
[Root.GetOnA],288,Root,GetOnA,custom,[ROOT.Char.Custom('GetOnA')],Faerun/Faerun/localisation/000_generalvanillaloc.csv:237
[Root.GetSheHe],287,Root,GetSheHe,mapped,[ROOT.Char.GetSheHe],Faerun/Faerun/localisation/000_shou_lung.csv:1268
[FromFrom.GetTitledName],281,FromFrom,GetTitledName,mapped,[ck2_fromfrom.GetTitledFirstName],Faerun/Faerun/localisation/000_shou_lung.csv:2594
[From.Geteineine],280,From,Geteineine,custom,[ck2_from.Custom('Geteineine')],Faerun/Faerun/localisation/000_shou_lung.csv:259
[Root.GetManWoman],274,Root,GetManWoman,custom,[ROOT.Char.Custom('GetManWoman')],Faerun/Faerun/localisation/000_shou_lung.csv:46
[Recipient.GetTitledFirstName],273,Recipient,GetTitledFirstName,named_scope,[Recipient.GetTitledFirstName],Faerun/Faerun/localisation/000_shou_lung.csv:42
[From.Religion.GetName],270,From.Religion,GetName,mapped,[ck2_from.GetFaith.GetName],Faerun/Faerun/localisation/000_shou_lung.csv:745
[From.GetXA],269,From,GetXA,custom,[ck2_from.Custom('GetXA')],Faerun/Faerun/localisation/00_succession_voting.csv:3
[From.Get_du_TitledFirstName],259,From,Get_du_TitledFirstName,custom,[ck2_from.Custom('Get_du_TitledFirstName')],Faerun/Faerun/localisation/000_generalvanillaloc.csv:305
[From.GetLeLa],258,From,GetLeLa,custom,[ck2_from.Custom('GetLeLa')],Faerun/Faerun/localisation/000_shou_lung.csv:114
[shou_lung.GetFullName],257,shou_lung,GetFullName,named_scope,[shou_lung.GetName],Faerun/Faerun/localisation/000_shou_lung.csv:1309
[Root.Get_Le_TitledFirstName],256,Root,Get_Le_TitledFirstName,custom,[ROOT.Char.Custom('Get_Le_TitledFirstName')],Faerun/Faerun/localisation/000_soi_muslim_honorary_titles_events_changes.csv:39
[This.GetName],254,This,GetName,mapped,[THIS.Char.GetName],Faerun/Faerun/localisation/000_shou_lung.csv:2673
[Root.Religion.GetPriestTitle],253,Root.Religion,GetPriestTitle,mapped,[ROOT.Char.GetFaith.PriestNeuter],Faerun/Faerun/localisation/000_shou_lung.csv:79
[other_combatant.GetHerHis],244,other_combatant,GetHerHis,named_scope,[other_combatant.GetHerHis],Faerun/Faerun/localisation/15_HFP_duel_events.csv:5
[From.Capital.GetName],241,From.Capital,GetName,mapped,[ck2_from.GetCapitalLocation.GetName],Faerun/Faerun/localisation/HolyFury.csv:338
[From.PrimaryTitle.GetName],235,From.PrimaryTitle,GetName,mapped,[ck2_from.GetPrimaryTitle.GetName],Faerun/Faerun/localisation/000_shou_lung.csv:27
[GetSheHe],232,,GetSheHe,mapped,[ROOT.Char.GetSheHe],Faerun/Faerun/localisation/000_generalvanillaloc.csv:297
[GetName],225,,GetName,mapped,[ROOT.Char.GetName],Faerun/Faerun/localisation/00_ui.csv:1515
[FromFrom.GetHerHis],220,FromFrom,GetHerHis,mapped,[ck2_fromfrom.GetHerHis],Faerun/Faerun/localisation/000_shou_lung.csv:146
[Root.TrueReligion.GetHighGodName],217,Root.TrueReligion,GetHighGodName,mapped,[ROOT.Char.GetFaith.HighGodName],Faerun/Faerun/localisation/000_shou_lung.csv:30
[This.Get_E],217,This,Get_E,custom,[THIS.Char.Custom('Get_E')],Faerun/Faerun/localisation/00_base_married_life_events.csv:250
[GetHighGodName],216,,GetHighGodName,mapped,[ROOT.Char.GetFaith.HighGodName],Faerun/Faerun/localisation/00_death_text.csv:28
[relic_hunter.GetJobTitle],213,relic_hunter,GetJobTitle,unmapped,<!CK2:relic_hunter.GetJobTitle!>,Faerun/Faerun/localisation/000_shou_lung.csv:1263
[Root.Religion.GetHighGodNameCap],209,Root.Religion,GetHighGodNameCap,mapped,[ROOT.Char.GetFaith.HighGodName|U],Faerun/Faerun/localisation/000_shou_lung.csv:716
[GetTitledFirstName],209,,GetTitledFirstName,mapped,[ROOT.Char.GetTitledFirstName],Faerun/Faerun/localisation/00_ui.csv:83
[GetManWoman],208,,GetManWoman,custom,[ROOT.Char.Custom('GetManWoman')],Faerun/Faerun/localisation/00_death_text.csv:4
[PrimaryTitle.GetTier],208,PrimaryTitle,GetTier,mapped,[PrimaryTitle.GetTier],Faerun/Faerun/localisation/v2_50b.csv:1368
[GetPriestTitle],204,,GetPriestTitle,mapped,[ROOT.Char.GetFaith.PriestNeuter],Faerun/Faerun/localisation/HolyFury.csv:7533
[This.GetLeLa],203,This,GetLeLa,custom,[THIS.Char.Custom('GetLeLa')],Faerun/Faerun/localisation/000_shou_lung.csv:659
[target_name.GetLastWordInDynastyName],200,target_name,GetLastWordInDynastyName,named_scope,[target_name.GetHouse.GetBaseName],Faerun/Faerun/localisation/HolyFury.csv:7768
[From.Get_Le_TitledName],199,From,Get_Le_TitledName,custom,[ck2_from.Custom('Get_Le_TitledName')],Faerun/Faerun/localisation/00_base_plot_events.csv:133
[Root.GetSonDaughter],199,Root,GetSonDaughter,mapped,[ROOT.Char.Custom('DaughterSon')],Faerun/Faerun/localisation/00_ui.csv:2646
[From.Location.GetName],199,From.Location,GetName,mapped,[ck2_from.GetLocation.GetName],Faerun/Faerun/localisation/HolyFury.csv:8580
[Root.GetDWRandomDemon],198,Root,GetDWRandomDemon,custom,[ROOT.Char.Custom('GetDWRandomDemon')],Faerun/Faerun/localisation/000_starpact.csv:86
[From.GetWeaponsmithWeapon],196,From,GetWeaponsmithWeapon,custom,[ck2_from.Custom('GetWeaponsmithWeapon')],Faerun/Faerun/localisation/000_shou_lung.csv:1666
[GetBestName],195,,GetBestName,mapped,[ROOT.Char.GetTitledFirstName],Faerun/Faerun/localisation/00_ui.csv:98
[person_sent_as_tribute.GetTitledFirstName],192,person_sent_as_tribute,GetTitledFirstName,named_scope,[person_sent_as_tribute.GetTitledFirstName],Faerun/Faerun/localisation/000_shou_lung.csv:528
[Root.GetHerHim],189,Root,GetHerHim,mapped,[ROOT.Char.GetHerHim],Faerun/Faerun/localisation/000_shou_lung.csv:1896
[FromFrom.GetSheHe],187,FromFrom,GetSheHe,mapped,[ck2_fromfrom.GetSheHe],Faerun/Faerun/localisation/000_shou_lung.csv:133
[GetScriptureName],186,,GetScriptureName,mapped,[ROOT.Char.GetFaith.ReligiousText],Faerun/Faerun/localisation/HolyFury.csv:7533
[This.GetFirstNameWithNick],185,This,GetFirstNameWithNick,mapped,[THIS.Char.GetFirstName],Faerun/Faerun/localisation/HolyFury.csv:4688
[Root.GetChancellorName],178,Root,GetChancellorName,custom_unverified,[ROOT.Char.Custom('GetChancellorName')],Faerun/Faerun/localisation/000_shou_lung.csv:2203
[Root.Get_le_TitledFirstName],176,Root,Get_le_TitledFirstName,custom,[ROOT.Char.Custom('Get_le_TitledFirstName')],Faerun/Faerun/localisation/000_generalvanillaloc.csv:221
[From.GetLuiElle],175,From,GetLuiElle,custom,[ck2_from.Custom('GetLuiElle')],Faerun/Faerun/localisation/000_shou_lung.csv:102
[Root.Liege.GetLordLady],175,Root.Liege,GetLordLady,mapped,[ROOT.Char.GetLiege.GetLadyLord],Faerun/Faerun/localisation/000_shou_lung.csv:1018
[This.Get_Le_TitledFirstName],175,This,Get_Le_TitledFirstName,custom,[THIS.Char.Custom('Get_Le_TitledFirstName')],Faerun/Faerun/localisation/000_soi_muslim_honorary_titles_events_changes.csv:37
[From.GetElElla],175,From,GetElElla,custom,[ck2_from.Custom('GetElElla')],Faerun/Faerun/localisation/00_succession_voting.csv:157
[relic_hunter.GetFirstName],174,relic_hunter,GetFirstName,named_scope,[relic_hunter.GetFirstName],Faerun/Faerun/localisation/000_shou_lung.csv:1263
[scoped_WL_co_hunter.GetFirstName],174,scoped_WL_co_hunter,GetFirstName,named_scope,[scoped_WL_co_hunter.GetFirstName],Faerun/Faerun/localisation/HolyFury.csv:11648
[This.Get_le_TitledFirstName],170,This,Get_le_TitledFirstName,custom,[THIS.Char.Custom('Get_le_TitledFirstName')],Faerun/Faerun/localisation/000_soi_muslim_honorary_titles_events_changes.csv:36
[Root.Get_le_HighGod],169,Root,Get_le_HighGod,custom,[ROOT.Char.Custom('Get_le_HighGod')],Faerun/Faerun/localisation/000_shou_lung.csv:716
[converting_king.Capital.GetName],168,converting_king.Capital,GetName,named_scope,[converting_king.GetCapitalLocation.GetName],Faerun/Faerun/localisation/HolyFury.csv:308
[From.GetLordLady],167,From,GetLordLady,mapped,[ck2_from.GetLadyLord],Faerun/Faerun/localisation/000_shou_lung.csv:881
[other_combatant.GetSheHe],166,other_combatant,GetSheHe,named_scope,[other_combatant.GetSheHe],Faerun/Faerun/localisation/15_HFP_duel_events.csv:7
[Root.GetXA],165,Root,GetXA,custom,[ROOT.Char.Custom('GetXA')],Faerun/Faerun/localisation/00_casus_belli.csv:85
[FromFrom.GetName],164,FromFrom,GetName,mapped,[ck2_fromfrom.GetName],Faerun/Faerun/localisation/00_tooltips.csv:99
[FromFrom.Get_Le_TitledFirstName],161,FromFrom,Get_Le_TitledFirstName,custom,[ck2_fromfrom.Custom('Get_Le_TitledFirstName')],Faerun/Faerun/localisation/00_base_plot_events.csv:219
[Root.Geteineine],158,Root,Geteineine,custom,[ROOT.Char.Custom('Geteineine')],Faerun/Faerun/localisation/000_shou_lung.csv:46
[corrupt_priest_target.GetTitledFirstName],158,corrupt_priest_target,GetTitledFirstName,named_scope,[corrupt_priest_target.GetTitledFirstName],Faerun/Faerun/localisation/000_starpact.csv:115
[GetRandomEvilGodName],158,,GetRandomEvilGodName,mapped,[ROOT.Char.GetFaith.EvilGodName],Faerun/Faerun/localisation/HolyFury.csv:7533
[GetOA],156,,GetOA,custom,[ROOT.Char.Custom('GetOA')],Faerun/Faerun/localisation/00_ui.csv:149
[Root.Guardian.GetFullName],156,Root.Guardian,GetFullName,unmapped,<!CK2:Root.Guardian.GetFullName!>,Faerun/Faerun/localisation/text1.csv:2202
[sponsoring_king.Religion.GetName],155,sponsoring_king.Religion,GetName,named_scope,[sponsoring_king.GetFaith.GetName],Faerun/Faerun/localisation/HolyFury.csv:284
[Root.Religion.GetScriptureName],152,Root.Religion,GetScriptureName,mapped,[ROOT.Char.GetFaith.ReligiousText],Faerun/Faerun/localisation/000_shou_lung.csv:2634
[Root.GetOnlyDynastyName],149,Root,GetOnlyDynastyName,mapped,[ROOT.Char.GetHouse.GetBaseName],Faerun/Faerun/localisation/000_shou_lung.csv:163
[Root.GetMyChancellorName],147,Root,GetMyChancellorName,custom_unverified,[ROOT.Char.Custom('GetMyChancellorName')],Faerun/Faerun/localisation/000_generalvanillaloc.csv:280
[This.GetElLa],146,This,GetElLa,custom,[THIS.Char.Custom('GetElLa')],Faerun/Faerun/localisation/HolyFury.csv:1096
[relic_hunter.GetTitledFirstName],146,relic_hunter,GetTitledFirstName,named_scope,[relic_hunter.GetTitledFirstName],Faerun/Faerun/localisation/MonksAndMystics.csv:2295
[child_of_destiny.GetFirstName],145,child_of_destiny,GetFirstName,named_scope,[child_of_destiny.GetFirstName],Faerun/Faerun/localisation/000_generalvanillaloc.csv:29
[coronation_priest.GetTitledFirstName],144,coronation_priest,GetTitledFirstName,named_scope,[coronation_priest.GetTitledFirstName],Faerun/Faerun/localisation/HolyFury.csv:800
[From.GetHerselfHimself],142,From,GetHerselfHimself,mapped,[ck2_from.GetHerselfHimself],Faerun/Faerun/localisation/000_generalvanillaloc.csv:46
[shou_lung.Ruler.GetEmperorEmpress],142,shou_lung.Ruler,GetEmperorEmpress,unmapped,<!CK2:shou_lung.Ruler.GetEmperorEmpress!>,Faerun/Faerun/localisation/000_shou_lung.csv:1096
[FromFrom.GetSheHeCap],142,FromFrom,GetSheHeCap,mapped,[ck2_fromfrom.GetSheHe|U],Faerun/Faerun/localisation/000_shou_lung.csv:1800
[Root.PlotTarget.GetTitledName],141,Root.PlotTarget,GetTitledName,unmapped,<!CK2:Root.PlotTarget.GetTitledName!>,Faerun/Faerun/localisation/00_base_plot_events.csv:29
[saint_person.GetFirstName],141,saint_person,GetFirstName,named_scope,[saint_person.GetFirstName],Faerun/Faerun/localisation/HolyFury.csv:5491
[Root.GetMasterMistress],140,Root,GetMasterMistress,mapped,[ROOT.Char.Custom('MistressMaster')],Faerun/Faerun/localisation/000_shou_lung.csv:1555
[Title.GetBaseName],139,Title,GetBaseName,named_scope,[Title.GetBaseName],Faerun/Faerun/localisation/00_casus_belli.csv:9
[Root.GetrMale],138,Root,GetrMale,custom,[ROOT.Char.Custom('GetrMale')],Faerun/Faerun/localisation/000_shou_lung.csv:1321
[From.Get_le_TitledName],138,From,Get_le_TitledName,custom,[ck2_from.Custom('Get_le_TitledName')],Faerun/Faerun/localisation/00_base_plot_events.csv:4
[Root.Father.GetFirstName],136,Root.Father,GetFirstName,mapped,[ROOT.Char.GetFather.GetFirstName],Faerun/Faerun/localisation/05_oldgods_runestone_events.csv:3
[converting_king.GetTitledFirstName],136,converting_king,GetTitledFirstName,named_scope,[converting_king.GetTitledFirstName],Faerun/Faerun/localisation/HolyFury.csv:324
[From.Getihmihr],135,From,Getihmihr,custom,[ck2_from.Custom('Getihmihr')],Faerun/Faerun/localisation/000_shou_lung.csv:140
[target_title.GetName],134,target_title,GetName,named_scope,[target_title.GetName],Faerun/Faerun/localisation/15_HFP_duel_events.csv:1
[From.GetJobTitle],133,From,GetJobTitle,unmapped,<!CK2:From.GetJobTitle!>,Faerun/Faerun/localisation/000_shou_lung.csv:63
[This.GetinFemale],132,This,GetinFemale,custom,[THIS.Char.Custom('GetinFemale')],Faerun/Faerun/localisation/000_shou_lung.csv:659
[From.GetLoLa],132,From,GetLoLa,custom,[ck2_from.Custom('GetLoLa')],Faerun/Faerun/localisation/15_HFP_duel_events.csv:20
[From.GetrMale],131,From,GetrMale,custom,[ck2_from.Custom('GetrMale')],Faerun/Faerun/localisation/000_shou_lung.csv:258
[Root.Spouse.GetTitledFirstName],131,Root.Spouse,GetTitledFirstName,mapped,[ROOT.Char.GetPrimarySpouse.GetTitledFirstName],Faerun/Faerun/localisation/00_base_married_life_events.csv:12
[gbc_lover.GetFirstName],131,gbc_lover,GetFirstName,named_scope,[gbc_lover.GetFirstName],Faerun/Faerun/localisation/ReapersDue.csv:1561
[Root.PrimaryTitle.GetFullName],130,Root.PrimaryTitle,GetFullName,mapped,[ROOT.Char.GetPrimaryTitle.GetName],Faerun/Faerun/localisation/000_shou_lung.csv:63
[Root.Liege.GetOnA],130,Root.Liege,GetOnA,custom,[ROOT.Char.GetLiege.Custom('GetOnA')],Faerun/Faerun/localisation/000_soi_muslim_honorary_titles_events_changes.csv:6
[Root.Religion.GetRandomEvilGodName],129,Root.Religion,GetRandomEvilGodName,mapped,[ROOT.Char.GetFaith.EvilGodName],Faerun/Faerun/localisation/000_shou_lung.csv:1865
[Root.Religion.GetGroupName],128,Root.Religion,GetGroupName,mapped,[ROOT.Char.GetFaith.GetReligion.GetName],Faerun/Faerun/localisation/00_ui.csv:4105
[Root.Getshou_lungLetterBlessing],127,Root,Getshou_lungLetterBlessing,custom,[ROOT.Char.Custom('Getshou_lungLetterBlessing')],Faerun/Faerun/localisation/000_shou_lung.csv:10
[shou_lung.GetShortName],127,shou_lung,GetShortName,named_scope,[shou_lung.GetShortUIName],Faerun/Faerun/localisation/000_shou_lung.csv:1291
[eternal_life_mystic.GetFirstName],126,eternal_life_mystic,GetFirstName,named_scope,[eternal_life_mystic.GetFirstName],Faerun/Faerun/localisation/ReapersDue.csv:1178
[Root.GetBestName],123,Root,GetBestName,mapped,[ROOT.Char.GetTitledFirstName],Faerun/Faerun/localisation/000_shou_lung.csv:2277
[other_combatant.GetManWoman],122,other_combatant,GetManWoman,custom,[other_combatant.Custom('GetManWoman')],Faerun/Faerun/localisation/15_HFP_duel_events.csv:5
[From.Society.GetName],121,From.Society,GetName,unmapped,<!CK2:From.Society.GetName!>,Faerun/Faerun/localisation/15_HFP_duel_events.csv:30
[Root.Holder.TopLiege.GetTitledFirstName],120,Root.Holder.TopLiege,GetTitledFirstName,mapped,[ROOT.Char.GetHolder.GetTopLiege.GetTitledFirstName],Faerun/Faerun/localisation/SwordOfIslam.csv:703
[Root.GetGovernorLetterGreeting],119,Root,GetGovernorLetterGreeting,custom,[ROOT.Char.Custom('GetGovernorLetterGreeting')],Faerun/Faerun/localisation/000_shou_lung.csv:10
[Root.Culture.GetName],119,Root.Culture,GetName,mapped,[ROOT.Char.GetCulture.GetName],Faerun/Faerun/localisation/000_shou_lung.csv:2334
[From.OriginalOwner.GetTitledFirstName],116,From.OriginalOwner,GetTitledFirstName,unmapped,<!CK2:From.OriginalOwner.GetTitledFirstName!>,Faerun/Faerun/localisation/000_shou_lung.csv:2294
[Player.Religion.GetPietyName],116,Player.Religion,GetPietyName,custom_unverified,[GetPlayer.GetFaith.Custom('GetPietyName')],Faerun/Faerun/localisation/00_base_married_life_events.csv:49
[coronation_ruler.GetTitle],116,coronation_ruler,GetTitle,named_scope,[coronation_ruler.GetTitleAsName],Faerun/Faerun/localisation/HolyFury.csv:954
[Root.Get_du_TitledFirstName],115,Root,Get_du_TitledFirstName,custom,[ROOT.Char.Custom('Get_du_TitledFirstName')],Faerun/Faerun/localisation/00_base_married_life_events.csv:271
[saint_person.GetHerHis],115,saint_person,GetHerHis,named_scope,[saint_person.GetHerHis],Faerun/Faerun/localisation/HolyFury.csv:5481
[plot_target.GetFirstName],115,plot_target,GetFirstName,named_scope,[plot_target.GetFirstName],Faerun/Faerun/localisation/HolyFury.csv:12270
[Root.GetDuelWeapon],114,Root,GetDuelWeapon,custom,[ROOT.Char.Custom('GetDuelWeapon')],Faerun/Faerun/localisation/15_HFP_duel_events.csv:5
[This.GetOA],114,This,GetOA,custom,[THIS.Char.Custom('GetOA')],Faerun/Faerun/localisation/HolyFury.csv:1096
[From.GetDynName],112,From,GetDynName,mapped,[ck2_from.GetHouse.GetBaseName],Faerun/Faerun/localisation/000_shou_lung.csv:102
[Root.GetFullName],112,Root,GetFullName,mapped,[ROOT.Char.GetName],Faerun/Faerun/localisation/000_shou_lung.csv:1896
[Root.TrueReligion.GetName],112,Root.TrueReligion,GetName,mapped,[ROOT.Char.GetFaith.GetName],Faerun/Faerun/localisation/HolyFury.csv:4504
[FromFrom.Get_le_TitledFirstName],111,FromFrom,Get_le_TitledFirstName,custom,[ck2_fromfrom.Custom('Get_le_TitledFirstName')],Faerun/Faerun/localisation/000_soi_muslim_honorary_titles_events_changes.csv:11
[This.GetBodyPartInjured],111,This,GetBodyPartInjured,custom,[THIS.Char.Custom('GetBodyPartInjured')],Faerun/Faerun/localisation/HolyFury.csv:158
[ThirdPartyCharacter.GetBestName],111,ThirdPartyCharacter,GetBestName,named_scope,[ThirdPartyCharacter.GetTitledFirstName],Faerun/Faerun/localisation/HolyFury.csv:8597
[Root.Liege.GetTitle],110,Root.Liege,GetTitle,mapped,[ROOT.Char.GetLiege.GetTitleAsName],Faerun/Faerun/localisation/00_base_plot_events.csv:564
[rip_dead.GetFirstName],110,rip_dead,GetFirstName,named_scope,[rip_dead.GetFirstName],Faerun/Faerun/localisation/ReapersDue.csv:2296
[From.GetHerHisCap],109,From,GetHerHisCap,mapped,[ck2_from.GetHerHis|U],Faerun/Faerun/localisation/000_shou_lung.csv:18
[battlefield_location.GetTerrain],109,battlefield_location,GetTerrain,custom,[battlefield_location.Custom('GetTerrain')],Faerun/Faerun/localisation/15_HF_battle_events.csv:23
[GetRootFromInsult],108,,GetRootFromInsult,custom_unverified,[ROOT.Char.Custom('GetRootFromInsult')],Faerun/Faerun/localisation/000_shou_lung.csv:53
[This.GetTitledName],106,This,GetTitledName,mapped,[THIS.Char.GetTitledFirstName],Faerun/Faerun/localisation/000_shou_lung.csv:434
[Root.GetHonorific],106,Root,GetHonorific,custom,[ROOT.Char.Custom('GetHonorific')],Faerun/Faerun/localisation/HolyFury.csv:681
