id,kind,status,emitted,score,reason
auril_embrace,decisions,new,yes,0.500,"below min_score, is_shown forced off"
auril_winter_protection,settlement_decisions,new,no,,"settlement-scope (filter=/ai_target_filter=), CK3 has no settlement-scope decisions"
bacchants_recruit,targeted_decisions,deleted,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
bahamut_attract_dragon,decisions,new,yes,0.625,"below min_score, is_shown forced off"
become_genghis_khan,decisions,deleted,no,,status deleted: out of this lane's scope (README §5 step 3 ports new/modified only)
become_genghis_khan_tribal,decisions,deleted,no,,status deleted: out of this lane's scope (README §5 step 3 ports new/modified only)
become_kshatriya,decisions,deleted,no,,status deleted: out of this lane's scope (README §5 step 3 ports new/modified only)
become_samrat_chakravartin,decisions,deleted,no,,status deleted: out of this lane's scope (README §5 step 3 ports new/modified only)
become_saoshyant,decisions,deleted,no,,status deleted: out of this lane's scope (README §5 step 3 ports new/modified only)
become_vaishya,decisions,deleted,no,,status deleted: out of this lane's scope (README §5 step 3 ports new/modified only)
beholder_eye_sacrifice,decisions,new,yes,0.667,"below min_score, is_shown forced off"
beshabas_boon,decisions,new,yes,0.737,"below min_score, is_shown forced off"
bind_fiend,decisions,new,yes,0.524,"below min_score, is_shown forced off"
bloodthirsty_games_decision,decisions,modified,yes,0.629,"below min_score, is_shown forced off"
bloodthirsty_mass_sacrifice_decision,decisions,modified,yes,0.621,"below min_score, is_shown forced off"
bon_tolerate_indians,decisions,deleted,no,,status deleted: out of this lane's scope (README §5 step 3 ports new/modified only)
borrow_money_assassins,decisions,modified,yes,0.531,"below min_score, is_shown forced off"
borrow_money_bektashi,decisions,deleted,no,,status deleted: out of this lane's scope (README §5 step 3 ports new/modified only)
borrow_money_gurs,decisions,new,yes,0.625,"below min_score, is_shown forced off"
borrow_money_haruriyyah,decisions,deleted,no,,status deleted: out of this lane's scope (README §5 step 3 ports new/modified only)
borrow_money_jewish_special,decisions,deleted,no,,status deleted: out of this lane's scope (README §5 step 3 ports new/modified only)
borrow_money_jews,decisions,deleted,no,,status deleted: out of this lane's scope (README §5 step 3 ports new/modified only)
borrow_money_knights_templar,decisions,deleted,no,,status deleted: out of this lane's scope (README §5 step 3 ports new/modified only)
borrow_money_radhanites,decisions,deleted,no,,status deleted: out of this lane's scope (README §5 step 3 ports new/modified only)
break_non_aggression_pact,targeted_decisions,modified,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
break_up_with_lover,targetted_decisions,modified,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
breath_weapon,decisions,new,yes,0.833,"below min_score, is_shown forced off"
brew_happiness_potion,targeted_decisions,deleted,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
brew_mood_drug,targeted_decisions,new,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
brotherhood_acquire_ingredients_decision,society_decisions,new,yes,0.500,"below min_score, is_shown forced off"
brotherhood_laboratory,society_decisions,new,yes,0.500,"below min_score, is_shown forced off"
build_hospital,title_decisions,kept,no,,"title-scope (filter=/ai_target_filter=), CK3 has no title-scope decisions"
build_knight_bloodline,society_decisions,new,yes,0.500,"below min_score, is_shown forced off"
build_laboratory,society_decisions,deleted,no,,status deleted: out of this lane's scope (README §5 step 3 ports new/modified only)
build_observatory,decisions,modified,yes,0.826,"below min_score, is_shown forced off"
build_spelljammer_port,settlement_decisions,new,no,,"settlement-scope (filter=/ai_target_filter=), CK3 has no settlement-scope decisions"
build_third_temple,decisions,deleted,no,,status deleted: out of this lane's scope (README §5 step 3 ports new/modified only)
buy_indulgence_for_sins,decisions,deleted,no,,status deleted: out of this lane's scope (README §5 step 3 ports new/modified only)
buy_instrument,decisions,new,yes,0.786,"below min_score, is_shown forced off"
call_for_heroes,society_decisions,new,yes,0.444,"below min_score, is_shown forced off"
carousing_with_the_men,decisions,modified,yes,0.710,"below min_score, is_shown forced off"
catholic_pilgrimage,decisions,deleted,no,,status deleted: out of this lane's scope (README §5 step 3 ports new/modified only)
celebrate_bema,decisions,deleted,no,,status deleted: out of this lane's scope (README §5 step 3 ports new/modified only)
celebrate_jashan_e_sadah,decisions,deleted,no,,status deleted: out of this lane's scope (README §5 step 3 ports new/modified only)
celebrate_passover,decisions,deleted,no,,status deleted: out of this lane's scope (README §5 step 3 ports new/modified only)
celibate_mom_dec,decisions,modified,yes,0.730,"below min_score, is_shown forced off"
ceremony_of_honor_to_helm,decisions,new,yes,0.529,"below min_score, is_shown forced off"
ceremorphosis,targetted_decisions,new,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
challenge_the_caliph,decisions,new,yes,0.462,"below min_score, is_shown forced off"
change_composition_mercenary_company_feudal,targetted_decisions,modified,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
change_council_job,targetted_decisions,modified,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
change_pagan_branch_decision,decisions,modified,yes,0.733,"below min_score, is_shown forced off"
change_wards_focus_to_faith,targetted_decisions,modified,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
change_wards_focus_to_heritage,targetted_decisions,modified,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
chauntea_favor,settlement_decisions,new,no,,"settlement-scope (filter=/ai_target_filter=), CK3 has no settlement-scope decisions"
china_force_to_open,offmap_decisions,deleted,no,,offmap-power-scope; offmap powers do not exist in CK3 (docs/mechanics_inventory.md)
china_invade_dragon_throne,offmap_decisions,deleted,no,,offmap-power-scope; offmap powers do not exist in CK3 (docs/mechanics_inventory.md)
china_raid,offmap_decisions,deleted,no,,offmap-power-scope; offmap powers do not exist in CK3 (docs/mechanics_inventory.md)
china_sends_reinforcements,decisions,deleted,no,,status deleted: out of this lane's scope (README §5 step 3 ports new/modified only)
china_stop_raid,offmap_decisions,deleted,no,,offmap-power-scope; offmap powers do not exist in CK3 (docs/mechanics_inventory.md)
china_tributary_break_free,offmap_decisions,deleted,no,,offmap-power-scope; offmap powers do not exist in CK3 (docs/mechanics_inventory.md)
chinese_administrator,offmap_decisions,deleted,no,,offmap-power-scope; offmap powers do not exist in CK3 (docs/mechanics_inventory.md)
chinese_artifact,offmap_decisions,deleted,no,,offmap-power-scope; offmap powers do not exist in CK3 (docs/mechanics_inventory.md)
chinese_grace_become_tributary,offmap_decisions,deleted,no,,offmap-power-scope; offmap powers do not exist in CK3 (docs/mechanics_inventory.md)
chinese_grace_doctor,offmap_decisions,deleted,no,,offmap-power-scope; offmap powers do not exist in CK3 (docs/mechanics_inventory.md)
chinese_grace_offer_artifact,offmap_decisions,deleted,no,,offmap-power-scope; offmap powers do not exist in CK3 (docs/mechanics_inventory.md)
chinese_grace_offer_commander,offmap_decisions,deleted,no,,offmap-power-scope; offmap powers do not exist in CK3 (docs/mechanics_inventory.md)
chinese_grace_offer_concubine,offmap_decisions,deleted,no,,offmap-power-scope; offmap powers do not exist in CK3 (docs/mechanics_inventory.md)
chinese_grace_offer_eunuch,offmap_decisions,deleted,no,,offmap-power-scope; offmap powers do not exist in CK3 (docs/mechanics_inventory.md)
chinese_grace_offer_physician,offmap_decisions,deleted,no,,offmap-power-scope; offmap powers do not exist in CK3 (docs/mechanics_inventory.md)
chinese_grace_peace_deal,offmap_decisions,deleted,no,,offmap-power-scope; offmap powers do not exist in CK3 (docs/mechanics_inventory.md)
chinese_grace_send_gift,offmap_decisions,deleted,no,,offmap-power-scope; offmap powers do not exist in CK3 (docs/mechanics_inventory.md)
chinese_grace_send_relief,offmap_decisions,deleted,no,,offmap-power-scope; offmap powers do not exist in CK3 (docs/mechanics_inventory.md)
chinese_grace_stop_supply_horses,offmap_decisions,deleted,no,,offmap-power-scope; offmap powers do not exist in CK3 (docs/mechanics_inventory.md)
chinese_grace_supply_horses,offmap_decisions,deleted,no,,offmap-power-scope; offmap powers do not exist in CK3 (docs/mechanics_inventory.md)
chinese_imperial_marriage,offmap_decisions,deleted,no,,offmap-power-scope; offmap powers do not exist in CK3 (docs/mechanics_inventory.md)
chinese_kow_tow_pilgrimage,offmap_decisions,deleted,no,,offmap-power-scope; offmap powers do not exist in CK3 (docs/mechanics_inventory.md)
chinese_master_engineer,offmap_decisions,deleted,no,,offmap-power-scope; offmap powers do not exist in CK3 (docs/mechanics_inventory.md)
chinese_request_invasion,offmap_decisions,deleted,no,,offmap-power-scope; offmap powers do not exist in CK3 (docs/mechanics_inventory.md)
chinese_siege_engineers,offmap_decisions,deleted,no,,offmap-power-scope; offmap powers do not exist in CK3 (docs/mechanics_inventory.md)
chinese_silk_road_favored_status,offmap_decisions,deleted,no,,offmap-power-scope; offmap powers do not exist in CK3 (docs/mechanics_inventory.md)
chinese_strategist,offmap_decisions,deleted,no,,offmap-power-scope; offmap powers do not exist in CK3 (docs/mechanics_inventory.md)
choose_hermetic_art,targeted_decisions,modified,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
choose_hindu_patron_deity,decisions,deleted,no,,status deleted: out of this lane's scope (README §5 step 3 ports new/modified only)
choose_military_aspect,targeted_decisions,modified,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
choose_undeath,society_decisions,new,yes,0.440,"below min_score, is_shown forced off"
choose_warhorse_nomad,decisions,modified,yes,0.760,"below min_score, is_shown forced off"
christian_mercenary_against_reconquista_defender_side,targetted_decisions,deleted,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
christian_mercenary_against_reconquista_mercenary_side,targetted_decisions,deleted,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
claim_constantinople,decisions,deleted,no,,status deleted: out of this lane's scope (README §5 step 3 ports new/modified only)
claim_duel_decision,targeted_decisions,modified,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
close_gov_list,decisions,new,yes,1.000,
close_psi_spellbook,decisions,new,yes,1.000,
close_rituals,decisions,new,yes,1.000,
close_sorc_spellbook,decisions,new,yes,0.667,"below min_score, is_shown forced off"
cold_ones_recruit,targeted_decisions,deleted,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
come_out_of_hiding,targetted_decisions,modified,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
commission_runestone,decisions,modified,yes,0.688,"below min_score, is_shown forced off"
commit_suicide,targetted_decisions,modified,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
commit_suicide_immortal,targeted_decisions,deleted,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
concord_brain_golem,society_decisions,new,yes,0.417,"below min_score, is_shown forced off"
concord_thrall_army,society_decisions,new,yes,0.100,"below min_score, is_shown forced off"
conscript_merchant_ships,decisions,modified,yes,0.273,"below min_score, is_shown forced off"
convert_indian_branch,targetted_decisions,deleted,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
convert_to_andalusian,targetted_decisions,deleted,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
convert_to_attacker_religion,decisions,modified,yes,0.393,"below min_score, is_shown forced off"
convert_to_buddhism,targetted_decisions,deleted,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
convert_to_castillan,targetted_decisions,deleted,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
convert_to_catalan,targetted_decisions,deleted,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
convert_to_commonwealth_indep,decisions,new,yes,0.531,"below min_score, is_shown forced off"
convert_to_commonwealth_vassal,decisions,new,yes,0.538,"below min_score, is_shown forced off"
convert_to_danish,targetted_decisions,deleted,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
convert_to_divine_indep,decisions,new,yes,0.583,"below min_score, is_shown forced off"
convert_to_divine_vassal,decisions,new,yes,0.569,"below min_score, is_shown forced off"
convert_to_dutch,targetted_decisions,deleted,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
convert_to_feudalism_indep,decisions,modified,yes,0.500,"below min_score, is_shown forced off"
convert_to_feudalism_vassal,decisions,modified,yes,0.553,"below min_score, is_shown forced off"
convert_to_french,targetted_decisions,deleted,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
convert_to_hinduism,targetted_decisions,deleted,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
convert_to_italian,targetted_decisions,deleted,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
convert_to_jainism,targetted_decisions,deleted,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
convert_to_liege_culture,targeted_decisions,modified,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
convert_to_liege_culture_on_liege,targeted_decisions,modified,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
convert_to_liege_religion,targeted_decisions,modified,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
convert_to_liege_religion_on_liege,targeted_decisions,modified,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
convert_to_local_culture,targeted_decisions,modified,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
convert_to_local_religion,targeted_decisions,modified,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
convert_to_magocracy_indep,decisions,new,yes,0.296,"below min_score, is_shown forced off"
convert_to_magocracy_vassal,decisions,new,yes,0.338,"below min_score, is_shown forced off"
convert_to_nomadic_tribe,decisions,new,yes,0.509,"below min_score, is_shown forced off"
convert_to_norman,targetted_decisions,deleted,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
convert_to_norwegian,targetted_decisions,deleted,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
convert_to_occitan,targetted_decisions,deleted,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
convert_to_outremer,targetted_decisions,deleted,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
convert_to_parent_religion,targeted_decisions,modified,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
convert_to_portuguese,targetted_decisions,deleted,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
convert_to_reformed,targeted_decisions,modified,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
convert_to_republic_ai,decisions,new,yes,0.465,"below min_score, is_shown forced off"
convert_to_republic_indep,decisions,modified,yes,0.567,"below min_score, is_shown forced off"
convert_to_russian,targetted_decisions,deleted,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
convert_to_scottish,targetted_decisions,deleted,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
convert_to_spouse_religion,targetted_decisions,deleted,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
convert_to_swedish,targetted_decisions,deleted,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
convert_to_tribal_indep,society_decisions,new,yes,0.613,"below min_score, is_shown forced off"
convert_to_tribal_vassal,society_decisions,new,yes,0.480,"below min_score, is_shown forced off"
convert_tribal_to_castle,settlement_decisions,modified,no,,"settlement-scope (filter=/ai_target_filter=), CK3 has no settlement-scope decisions"
convert_tribal_to_city,settlement_decisions,modified,no,,"settlement-scope (filter=/ai_target_filter=), CK3 has no settlement-scope decisions"
convert_tribal_to_temple,settlement_decisions,modified,no,,"settlement-scope (filter=/ai_target_filter=), CK3 has no settlement-scope decisions"
convince_to_straighten_up,targetted_decisions,modified,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
court_exodus,decisions,modified,yes,0.606,"below min_score, is_shown forced off"
create_antioch,decisions,deleted,no,,status deleted: out of this lane's scope (README §5 step 3 ports new/modified only)
create_aragon,decisions,deleted,no,,status deleted: out of this lane's scope (README §5 step 3 ports new/modified only)
create_archduchy_of_austria,decisions,deleted,no,,status deleted: out of this lane's scope (README §5 step 3 ports new/modified only)
create_ashokas_chosen,decisions,deleted,no,,status deleted: out of this lane's scope (README §5 step 3 ports new/modified only)
create_bacchants,decisions,deleted,no,,status deleted: out of this lane's scope (README §5 step 3 ports new/modified only)
create_bosnia,decisions,deleted,no,,status deleted: out of this lane's scope (README §5 step 3 ports new/modified only)
create_bulls_rishabha,decisions,deleted,no,,status deleted: out of this lane's scope (README §5 step 3 ports new/modified only)
create_castille,decisions,deleted,no,,status deleted: out of this lane's scope (README §5 step 3 ports new/modified only)
create_cyprus,decisions,deleted,no,,status deleted: out of this lane's scope (README §5 step 3 ports new/modified only)
create_direguard,decisions,new,yes,0.692,"below min_score, is_shown forced off"
create_dralhas_children,decisions,deleted,no,,status deleted: out of this lane's scope (README §5 step 3 ports new/modified only)
create_followers_arjuna,decisions,deleted,no,,status deleted: out of this lane's scope (README §5 step 3 ports new/modified only)
create_fraticelli_papacy,decisions,deleted,no,,status deleted: out of this lane's scope (README §5 step 3 ports new/modified only)
create_grand_caliphate,decisions,new,yes,0.333,"below min_score, is_shown forced off"
create_hungary,decisions,deleted,no,,status deleted: out of this lane's scope (README §5 step 3 ports new/modified only)
create_iconoclast_patriarchy,decisions,deleted,no,,status deleted: out of this lane's scope (README §5 step 3 ports new/modified only)
create_israel,decisions,deleted,no,,status deleted: out of this lane's scope (README §5 step 3 ports new/modified only)
create_kingdom_amalfi,decisions,deleted,no,,status deleted: out of this lane's scope (README §5 step 3 ports new/modified only)
create_kingdom_genoa,decisions,deleted,no,,status deleted: out of this lane's scope (README §5 step 3 ports new/modified only)
create_kingdom_pisa,decisions,deleted,no,,status deleted: out of this lane's scope (README §5 step 3 ports new/modified only)
create_kingdom_venice,decisions,deleted,no,,status deleted: out of this lane's scope (README §5 step 3 ports new/modified only)
create_leon,decisions,deleted,no,,status deleted: out of this lane's scope (README §5 step 3 ports new/modified only)
create_many_arrows,decisions,new,yes,0.545,"below min_score, is_shown forced off"
create_mercenary_company,targetted_decisions,modified,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
create_mercenary_company_feudal,targetted_decisions,modified,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
create_myrmidons,decisions,deleted,no,,status deleted: out of this lane's scope (README §5 step 3 ports new/modified only)
create_portugal,decisions,deleted,no,,status deleted: out of this lane's scope (README §5 step 3 ports new/modified only)
create_powys,decisions,deleted,no,,status deleted: out of this lane's scope (README §5 step 3 ports new/modified only)
create_russian_empire,decisions,deleted,no,,status deleted: out of this lane's scope (README §5 step 3 ports new/modified only)
create_stoics,decisions,deleted,no,,status deleted: out of this lane's scope (README §5 step 3 ports new/modified only)
create_switzerland,decisions,deleted,no,,status deleted: out of this lane's scope (README §5 step 3 ports new/modified only)
create_the_hansa,decisions,deleted,no,,status deleted: out of this lane's scope (README §5 step 3 ports new/modified only)
create_treant,decisions,new,yes,0.364,"below min_score, is_shown forced off"
create_warrior_lodge_hellenic,decisions,deleted,no,,status deleted: out of this lane's scope (README §5 step 3 ports new/modified only)
cult_of_kali_recruit,targeted_decisions,deleted,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
cure_disease_decision,decisions,new,yes,0.609,"below min_score, is_shown forced off"
cure_wound_decision,decisions,new,yes,0.765,"below min_score, is_shown forced off"
cyric_make_rival,targeted_decisions,new,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
death_cheese_ranch,title_decisions,new,no,,"title-scope (filter=/ai_target_filter=), CK3 has no title-scope decisions"
decision_abduct,targeted_decisions,modified,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
decision_break_free,targetted_decisions,modified,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
decision_spy_on,targetted_decisions,modified,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
declare_feud,targetted_decisions,deleted,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
delve_into_classics_decision,decisions,deleted,no,,status deleted: out of this lane's scope (README §5 step 3 ports new/modified only)
delve_into_forbidden,society_decisions,new,yes,0.438,"below min_score, is_shown forced off"
delve_into_heraldry,society_decisions,new,yes,0.467,"below min_score, is_shown forced off"
demand_courtier_religious_conversion,targeted_decisions,new,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
demand_gavelkind,targeted_decisions,modified,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
demand_gavelkind_use_favor,targeted_decisions,modified,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
demand_liege_title,decisions,modified,yes,0.591,"below min_score, is_shown forced off"
demand_vassal_religious_conversion,targeted_decisions,new,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
destroy_artifact,decisions,modified,yes,0.556,"below min_score, is_shown forced off"
destroy_great_pillar,settlement_decisions,deleted,no,,"settlement-scope (filter=/ai_target_filter=), CK3 has no settlement-scope decisions"
detect_thoughts_sorc,decisions,new,yes,0.406,"below min_score, is_shown forced off"
determine_zodiac_sign_decision,decisions,deleted,no,,status deleted: out of this lane's scope (README §5 step 3 ports new/modified only)
devil_worshiper_desecrate_temple_decision,title_decisions,modified,no,,"title-scope (filter=/ai_target_filter=), CK3 has no title-scope decisions"
devil_worshipers_corrupt_priest,targeted_decisions,modified,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
devil_worshipers_dark_divorce,targeted_decisions,deleted,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
devil_worshipers_dark_healing,targeted_decisions,modified,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
devil_worshipers_demonic_possession,targeted_decisions,deleted,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
devil_worshipers_induction,targeted_decisions,modified,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
devil_worshipers_invite_disciple_of_devil,society_decisions,deleted,no,,status deleted: out of this lane's scope (README §5 step 3 ports new/modified only)
devil_worshipers_summon_familiar,targeted_decisions,modified,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
discount_mercs,society_decisions,new,yes,0.381,"below min_score, is_shown forced off"
dissolve_factions_decision,targetted_decisions,modified,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
dissolve_mercenary_company,targetted_decisions,modified,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
dissolve_mercenary_company_feudal,targetted_decisions,modified,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
divine_bloodline,decisions,new,yes,0.500,"below min_score, is_shown forced off"
dof_ravage_territory,settlement_decisions,new,no,,"settlement-scope (filter=/ai_target_filter=), CK3 has no settlement-scope decisions"
dof_weak_abdicate,decisions,new,yes,0.639,"below min_score, is_shown forced off"
dominate_person_sorc,targeted_decisions,new,no,,"third-party character-targeted; maps to CK3 character interactions, out of this lane's scope"
dominate_person_sorc_fake,decisions,new,yes,0.500,"below min_score, is_shown forced off"
donate_money_to_assassins,decisions,deleted,no,,status deleted: out of this lane's scope (README §5 step 3 ports new/modified only)
donate_money_to_bektashi,decisions,deleted,no,,status deleted: out of this lane's scope (README §5 step 3 ports new/modified only)
donate_money_to_chosen_perkunas,decisions,deleted,no,,status deleted: out of this lane's scope (README §5 step 3 ports new/modified only)
donate_money_to_haruriyyah,decisions,deleted,no,,status deleted: out of this lane's scope (README §5 step 3 ports new/modified only)
