ck2_province,name,county,kind,history_terrain,history_ck3_key,bitmap_category,bitmap_ck3_key,agree
83,Trademeet,c_trademeet,land,plains,plains,plains,plains,yes
84,Brost,c_brost,land,hills,hills,plains,plains,no
87,East Tejarn,c_east_tejarn,land,hills,hills,hills,hills,yes
88,Trailstone,c_trailstone,land,hills,hills,plains,plains,no
89,Shilmista,c_shilmista,land,forest,forest,hills,hills,no
90,Old Well,c_old_well,land,plains,plains,steppe,steppe,no
91,Arylon,c_arylon,land,farmlands,farmlands,plains,plains,no
92,Iriaebor,c_iriaebor,land,farmlands,farmlands,plains,plains,no
94,Corm Orp,c_corm_orp,land,farmlands,farmlands,plains,plains,no
97,Serpent Hills,c_serpent_hills,land,hills,hills,hills,hills,yes
98,Hammer Hall,c_hammer_hall,land,hills,hills,hills,hills,yes
99,The Rockshaws,c_the_rockshaws,land,hills,hills,hills,hills,yes
101,Najara,c_najara,land,hills,hills,plains,plains,no
102,Forest of Wyrms,c_forest_of_wyrms,land,forest,forest,plains,plains,no
103,Reaching Wood,c_reaching_wood,land,forest,forest,plains,plains,no
104,Llorkh,c_llorkh,land,hills,hills,hills,hills,yes
105,Ascalhorn,c_ascalhorn,land,hills,hills,arctic,taiga,no
106,Felbarr,c_felbarr,land,hills,hills,arctic,taiga,no
107,Far Forest,c_far_forest,land,forest,forest,arctic,taiga,no
108,Fallen Lands,c_fallen_lands,land,hills,hills,hills,hills,yes
109,Lonely Moor,c_lonely_moor,land,hills,hills,marsh,wetlands,no
110,Forgotten Forest,c_forgotten_forest,land,forest,forest,hills,hills,no
111,Chelimber,c_chelimber,land,marsh,wetlands,marsh,wetlands,yes
112,Evereska,c_evereska,land,mountain,mountains,hills,hills,no
113,Greycloak Hills,c_greycloak_hills,land,hills,hills,hills,hills,yes
115,Well of Dragons,c_well_of_dragons,land,hills,hills,plains,plains,no
116,Firedrake,c_firedrake,land,forest,forest,plains,plains,no
117,Fyraven,c_fyraven,land,forest,forest,plains,plains,no
119,Starspur,c_starspur,land,mountain,mountains,hills,hills,no
122,Elemetar,c_elemetar,land,farmlands,farmlands,plains,plains,no
124,Uluran,c_uluran,land,mountain,mountains,hills,hills,no
128,Clovis Fields,c_clovis_fields,land,farmlands,farmlands,plains,plains,no
136,West Tejarn,c_west_tejarn,land,hills,hills,hills,hills,yes
137,Suldanessellar,c_suldanessellar,land,forest,forest,plains,plains,no
138,Mytharan Woods,c_mytharan_woods,land,forest,forest,plains,plains,no
139,Iskashyoll,c_iskashyoll,land,forest,forest,plains,plains,no
140,Alisiwhann,c_alisiwhann,land,forest,forest,forest,forest,yes
142,Calimport,c_calimport,land,desert,desert,plains,plains,no
143,Teshburl,c_teshburl,land,desert,desert,desert,desert,yes
144,Memnon,c_memnon,land,desert,desert,plains,plains,no
145,Manshaka,c_manshaka,land,farmlands,farmlands,plains,plains,no
146,Calim Desert,c_calim_desert,land,desert,desert,desert,desert,yes
147,Keltar,c_keltar,land,desert,desert,plains,plains,no
149,Schamedar,c_schamedar,land,farmlands,farmlands,plains,plains,no
150,Volothamp,c_volothamp,land,farmlands,farmlands,plains,plains,no
152,Sarenestar,c_sarenestar,land,forest,forest,plains,plains,no
154,Darromar,c_darromar,land,farmlands,farmlands,plains,plains,no
155,Dunod,c_dunod,land,hills,hills,hills,hills,yes
157,The Shield,c_the_shield,land,forest,forest,plains,plains,no
158,Moonglade,c_moonglade,land,forest,forest,plains,plains,no
163,Lheshayl,c_lheshayl,land,plains,plains,steppe,steppe,no
169,The Crags,c_the_crags,land,hills,hills,hills,hills,yes
175,Thornwood,c_thornwood,land,forest,forest,plains,plains,no
176,Ioma,c_ioma,land,coastal,farmlands,hills,hills,no
177,Irphong,c_irphong,land,coastal,farmlands,plains,plains,no
178,Thordentor,c_thordentor,land,coastal,farmlands,plains,plains,no
179,The Rookery,c_the_rookery,land,coastal,farmlands,plains,plains,no
180,Toaridge-at-the-Suns-Setting,c_toaridge_at_the_suns_setting,land,coastal,farmlands,plains,plains,no
181,The Flint,c_the_flint,land,coastal,farmlands,plains,plains,no
182,The Tusks,c_the_tusks,land,coastal,farmlands,plains,plains,no
183,The Singing Rocks,c_the_singing_rocks,land,coastal,farmlands,plains,plains,no
185,Elversult,c_elversult,land,farmlands,farmlands,plains,plains,no
190,Westgate,c_westgate,land,farmlands,farmlands,plains,plains,no
192,Karlyns Vale,c_karlyns_vale,land,mountain,mountains,mountain,mountains,yes
193,Widestep,c_widestep,land,plains,plains,steppe,steppe,no
194,Nathlekh,c_nathlekh,land,plains,plains,plains,plains,yes
195,Assam,c_assam,land,plains,plains,steppe,steppe,no
196,Starfields,c_starfields,land,plains,plains,steppe,steppe,no
197,Ormath,c_ormath,land,plains,plains,steppe,steppe,no
198,Murpeth,c_murpeth,land,hills,hills,hills,hills,yes
199,Surkh,c_surkh,land,hills,hills,steppe,steppe,no
201,Giants Run,c_giants_run,land,plains,plains,steppe,steppe,no
202,Long Arm,c_long_arm,land,hills,hills,plains,plains,no
203,Westmark,c_westmark,land,plains,plains,steppe,steppe,no
204,Broadfields,c_broadfields,land,plains,plains,steppe,steppe,no
205,Hlondeth,c_hlondeth,land,mountain,mountains,hills,hills,no
206,The Wetwoods,c_the_wetwoods,land,marsh,wetlands,marsh,wetlands,yes
207,Lachom,c_lachom,land,mountain,mountains,plains,plains,no
209,Pikemans Folly,c_pikemans_folly,land,mountain,mountains,hills,hills,no
210,Arrabar,c_arrabar,land,farmlands,farmlands,plains,plains,no
211,Marsh of Tun,c_marsh_of_tun,land,marsh,wetlands,marsh,wetlands,yes
212,Veilstone,c_veilstone,land,steppe,steppe,hills,hills,no
213,Gullrocks,c_gullrocks,land,coastal,farmlands,plains,plains,no
214,Flamsterd,c_flamsterd,land,coastal,farmlands,hills,hills,no
215,Norheim,c_norheim,land,coastal,farmlands,hills,hills,no
216,Korinn,c_korinn,land,coastal,farmlands,hills,hills,no
217,Frostfenn,c_frostfenn,land,hills,hills,plains,plains,no
218,Grondsgrunn,c_grondsgrunn,land,hills,hills,plains,plains,no
219,Wave Rocks,c_wave_rocks,land,coastal,farmlands,arctic,taiga,no
220,Westphal,c_westphal,land,coastal,farmlands,plains,plains,no
221,Sunset,c_sunset,land,coastal,farmlands,plains,plains,no
223,Mintarn,c_mintarn,land,coastal,farmlands,plains,plains,no
224,Ruathym,c_ruathym,land,coastal,farmlands,arctic,taiga,no
225,The Icepeak,c_the_icepeak,land,coastal,farmlands,arctic,taiga,no
226,Gundarlun,c_gundarlun,land,coastal,farmlands,hills,hills,no
227,Tuern,c_tuern,land,coastal,farmlands,arctic,taiga,no
228,Purple Rocks,c_purple_rocks,land,coastal,farmlands,arctic,taiga,no
229,Umukek,c_umukek,land,coastal,farmlands,arctic,taiga,no
230,The Whalebones,c_the_whalebones,land,coastal,farmlands,arctic,taiga,no
232,Cimarine Isles,c_cimarine_isles,land,coastal,farmlands,plains,plains,no
233,Ardeep Forest,c_ardeep_forest,land,forest,forest,arctic,taiga,no
234,The Fell Wood,c_the_fell_wood,land,forest,forest,arctic,taiga,no
235,Amkethran,c_amkethran,land,desert,desert,plains,plains,no
237,Purskul,c_purskul,land,farmlands,farmlands,plains,plains,no
238,Alaghon,c_alaghon,land,farmlands,farmlands,plains,plains,no
239,Alaoreum,c_alaoreum,land,hills,hills,plains,plains,no
240,Gildenglade,c_gildenglade,land,farmlands,farmlands,plains,plains,no
241,Holdensword,c_holdensword,land,farmlands,farmlands,plains,plains,no
242,Nonthal,c_nonthal,land,farmlands,farmlands,plains,plains,no
243,The Faraway,c_the_faraway,land,forest,forest,plains,plains,no
244,Xorhun,c_xorhun,land,hills,hills,plains,plains,no
247,Tharsult,c_tharsult,land,coastal,farmlands,plains,plains,no
249,Suzail,c_suzail,land,farmlands,farmlands,plains,plains,no
250,Wyvernwater,c_wyvernwater,land,farmlands,farmlands,plains,plains,no
251,Eveningstar,c_eveningstar,land,hills,hills,hills,hills,yes
252,Marsember,c_marsember,land,forest,forest,plains,plains,no
253,Arabel,c_arabel,land,farmlands,farmlands,plains,plains,no
255,Warmshores,c_warmshores,land,hills,hills,hills,hills,yes
256,Selgaunt,c_selgaunt,land,farmlands,farmlands,plains,plains,no
257,Urmlaspyr,c_urmlaspyr,land,farmlands,farmlands,plains,plains,no
258,Saerloon,c_saerloon,land,farmlands,farmlands,plains,plains,no
259,Daerlun,c_daerlun,land,farmlands,farmlands,plains,plains,no
260,Ordulin,c_ordulin,land,farmlands,farmlands,plains,plains,no
262,Tantras,c_tantras,land,farmlands,farmlands,plains,plains,no
269,Elventree,c_elventree,land,forest,forest,plains,plains,no
270,Mulmaster,c_mulmaster,land,hills,hills,hills,hills,yes
272,Essembra,c_essembra,land,forest,forest,plains,plains,no
273,Archenbridge,c_archenbridge,land,hills,hills,plains,plains,no
274,Daggerdale,c_daggerdale,land,hills,hills,plains,plains,no
275,Highmoon,c_highmoon,land,forest,forest,plains,plains,no
276,Blackfeather Bridge,c_blackfeather_bridge,land,forest,forest,plains,plains,no
277,Harrowdale,c_harrowdale,land,forest,forest,plains,plains,no
278,Highcastle,c_highcastle,land,mountain,mountains,hills,hills,no
279,Ashabenford,c_ashabenford,land,forest,forest,plains,plains,no
280,Scardale,c_scardale,land,hills,hills,plains,plains,no
281,Sessrenglade,c_sessrenglade,land,hills,hills,plains,plains,no
282,Shadowdale,c_shadowdale,land,forest,forest,plains,plains,no
283,Miir,c_miir,land,hills,hills,mountain,mountains,no
284,Tegal's Mark,c_tegals_mark,land,hills,hills,hills,hills,yes
285,Teshwave,c_teshwave,land,hills,hills,plains,plains,no
286,Storm Horns,c_storm_horns,land,mountain,mountains,hills,hills,no
287,Sambar,c_sambar,land,farmlands,farmlands,plains,plains,no
288,Leth,c_leth,land,hills,hills,plains,plains,no
289,Sundrah,c_sundrah,land,hills,hills,plains,plains,no
292,Mother-of-Mists,c_mother_of_mists,land,coastal,farmlands,hills,hills,no
293,The Dawn Warrior,c_the_dawn_warrior,land,coastal,farmlands,plains,plains,no
294,Salpir,c_salpir,land,forest,forest,plains,plains,no
295,Ormen,c_ormen,land,farmlands,farmlands,plains,plains,no
296,Curstallyon,c_curstallyon,land,forest,forest,plains,plains,no
297,Sombor,c_sombor,land,hills,hills,plains,plains,no
298,Beacon Rocks,c_beacon_rocks,land,coastal,farmlands,hills,hills,no
299,The Whales Flukes,c_the_whales_flukes,land,coastal,farmlands,plains,plains,no
300,Eastwood,c_eastwood,land,forest,forest,plains,plains,no
301,Kings Forest,c_kings_forest,land,forest,forest,plains,plains,no
305,Weathercote Wood,c_weathercote_wood,land,forest,forest,plains,plains,no
306,Mt. Hotenow,c_mt_hotenow,land,mountain,mountains,forest,forest,no
307,Westwood,c_westwood,land,forest,forest,hills,hills,no
308,Callidyrr,c_callidyrr,land,forest,forest,plains,plains,no
310,Stagford,c_stagford,land,forest,forest,plains,plains,no
314,Hardang,c_hardang,land,hills,hills,hills,hills,yes
315,Sunder,c_sunder,land,hills,hills,plains,plains,no
316,Dynnegall,c_dynnegall,land,hills,hills,plains,plains,no
318,Synnoria,c_synnoria,land,mountain,mountains,hills,hills,no
320,Myrloch Vale,c_myrloch_vale,land,forest,forest,plains,plains,no
322,Cambro,c_cambro,land,hills,hills,plains,plains,no
323,Winterglen,c_winterglen,land,forest,forest,plains,plains,no
324,Codsbay,c_codsbay,land,marsh,wetlands,plains,plains,no
326,Shrouded Lands,c_shrouded_lands,land,marsh,wetlands,plains,plains,no
328,Tilverton,c_tilverton,land,hills,hills,hills,hills,yes
329,Hullack Forest,c_hullack_forest,land,forest,forest,plains,plains,no
331,Redspring,c_redspring,land,mountain,mountains,hills,hills,no
332,Thunderstone,c_thunderstone,land,marsh,wetlands,plains,plains,no
333,Semberholme,c_semberholme,land,forest,forest,plains,plains,no
334,Mosstrunks,c_mosstrunks,land,forest,forest,plains,plains,no
335,Elven Court,c_elven_court,land,forest,forest,forest,forest,yes
336,Tangled Trees,c_tangled_trees,land,forest,forest,forest,forest,yes
337,Vale of Lost Voices,c_vale_of_lost_voices,land,forest,forest,forest,forest,yes
338,Myth Drannor,c_myth_drannor,land,forest,forest,forest,forest,yes
339,Darkwoods,c_darkwoods,land,forest,forest,forest,forest,yes
340,Liswood,c_liswood,land,forest,forest,plains,plains,no
342,Melvaunt,c_melvaunt,land,plains,plains,hills,hills,no
344,Hulburg,c_hulburg,land,hills,hills,hills,hills,yes
345,Thar,c_thar,land,hills,hills,hills,hills,yes
346,Thentia,c_thentia,land,plains,plains,hills,hills,no
347,North Rystall,c_north_rystall,land,forest,forest,forest,forest,yes
348,Hawksroost,c_hawksroost,land,hills,hills,hills,hills,yes
350,Rystall Wood,c_rystall_wood,land,forest,forest,forest,forest,yes
355,Frozen Flindyke,c_frozen_flindyke,land,hills,hills,arctic,taiga,no
369,Polten,c_polten,land,farmlands,farmlands,plains,plains,no
370,Heliogabalus,c_heliogabalus,land,farmlands,farmlands,plains,plains,no
371,Ostel,c_ostel,land,farmlands,farmlands,plains,plains,no
372,Spiderhaunt Woods,c_spiderhaunt_woods,land,forest,forest,plains,plains,no
373,Araugul,c_araugul,land,desert,desert,plains,plains,no
374,Goblin Marches,c_goblin_marches,land,hills,hills,desert,desert,no
375,Farsea Marsh,c_farsea_marsh,land,marsh,wetlands,marsh,wetlands,yes
376,The Stonelands,c_the_stonelands,land,hills,hills,hills,hills,yes
377,Shaddath,c_shaddath,land,hills,hills,mountain,mountains,no
378,Sixstreams,c_sixstreams,land,hills,hills,plains,plains,no
380,Kings Reach,c_kings_reach,land,hills,hills,plains,plains,no
383,Daltonsvale,c_daltonsvale,land,forest,forest,plains,plains,no
384,Bottomless Bog,c_bottomless_bog,land,marsh,wetlands,marsh,wetlands,yes
385,Misty Forest,c_misty_forest,land,forest,forest,plains,plains,no
387,Frozen Forest,c_frozen_forest,land,forest,forest,forest,forest,yes
392,Samargol,c_samargol,land,farmlands,farmlands,plains,plains,no
403,Sarshel,c_sarshel,land,farmlands,farmlands,plains,plains,no
409,Soussal,c_soussal,land,jungle,jungle,jungle,jungle,yes
410,Laas,c_laas,land,hills,hills,plains,plains,no
419,Tembasi,c_tembasi,land,jungle,jungle,jungle,jungle,yes
425,Sheirtalar,c_sheirtalar,land,farmlands,farmlands,plains,plains,no
430,Thindar,c_thindar,land,farmlands,farmlands,plains,plains,no
431,Blackvale,c_blackvale,land,jungle,jungle,forest,forest,no
441,Mezro,c_mezro,land,jungle,jungle,jungle,jungle,yes
442,The Samarlogh,c_the_samarlogh,land,jungle,jungle,plains,plains,no
443,Talacoast,c_talacoast,land,jungle,jungle,jungle,jungle,yes
445,Sapphire Shores,c_sapphire_shores,land,jungle,jungle,jungle,jungle,yes
446,The Chultengar,c_the_chultengar,land,jungle,jungle,forest,forest,no
447,Valley of Dread,c_valley_of_dread,land,jungle,jungle,hills,hills,no
448,Hisari,c_hisari,land,jungle,jungle,forest,forest,no
449,Shilku Bay,c_shilku_bay,land,jungle,jungle,jungle,jungle,yes
450,Valley of Lost Honor,c_valley_of_lost_honor,land,desert,desert,jungle,jungle,no
451,Couatl Wilds,c_couatl_wilds,land,jungle,jungle,forest,forest,no
453,Mbala,c_mbala,land,jungle,jungle,forest,forest,no
454,Olung,c_olung,land,jungle,jungle,forest,forest,no
455,Shatterwave,c_shatterwave,land,jungle,jungle,forest,forest,no
456,Aldani Basin,c_aldani_basin,land,marsh,wetlands,marsh,wetlands,yes
457,Land of Ash and Smoke,c_land_of_ash_and_smoke,land,desert,desert,desert,desert,yes
458,Wildstorm Vale,c_wildstorm_vale,land,jungle,jungle,jungle,jungle,yes
459,Bulobo,c_bulobo,land,jungle,jungle,forest,forest,no
460,Orolunga,c_orolunga,land,jungle,jungle,forest,forest,no
461,Jahaka Bay,c_jahaka_bay,land,jungle,jungle,hills,hills,no
462,Snapping Turtle Bay,c_snapping_turtle_bay,land,hills,hills,hills,hills,yes
464,Nsi,c_nsi,land,hills,hills,jungle,jungle,no
465,Matolo,c_matolo,land,hills,hills,jungle,jungle,no
467,Lapalgulph,c_lapalgulph,land,jungle,jungle,plains,plains,no
469,Mhairling,c_mhairling,land,jungle,jungle,jungle,jungle,yes
471,Cony Gap,c_cony_gap,land,hills,hills,plains,plains,no
472,Lyntara,c_lyntara,land,arctic,taiga,arctic,taiga,yes
474,Zanzazzar,c_zanzazzar,land,jungle,jungle,forest,forest,no
482,Council Hills,c_council_hills,land,hills,hills,steppe,steppe,no
486,Sharawood,c_sharawood,land,jungle,jungle,jungle,jungle,yes
488,Riftwood,c_riftwood,land,jungle,jungle,steppe,steppe,no
489,Eartheart,c_eartheart,land,subterranean,mountains,steppe,steppe,no
494,Channathwood,c_channathwood,land,jungle,jungle,jungle,jungle,yes
500,Laila,c_laila,land,farmlands,farmlands,plains,plains,no
502,Saraath,c_saraath,land,jungle,jungle,plains,plains,no
503,Coilvines,c_coilvines,land,jungle,jungle,jungle,jungle,yes
505,Kaarekh,c_kaarekh,land,jungle,jungle,jungle,jungle,yes
506,Bamas,c_bamas,land,jungle,jungle,jungle,jungle,yes
507,Oostar,c_oostar,land,jungle,jungle,forest,forest,no
508,Qota,c_qota,land,jungle,jungle,jungle,jungle,yes
509,Toa,c_toa,land,jungle,jungle,forest,forest,no
511,Moonvales,c_moonvales,land,jungle,jungle,plains,plains,no
512,Orphar,c_orphar,land,jungle,jungle,plains,plains,no
513,Mhairhetel,c_mhairhetel,land,jungle,jungle,jungle,jungle,yes
514,Lapaalis,c_lapaalis,land,jungle,jungle,jungle,jungle,yes
515,Sesserash,c_sesserash,land,jungle,jungle,forest,forest,no
516,Kassa Bay,c_kassa_bay,land,jungle,jungle,plains,plains,no
517,Kinyo,c_kinyo,land,jungle,jungle,forest,forest,no
521,Scrabbleground,c_scrabbleground,land,desert,desert,desert,desert,yes
522,Broken Swords,c_broken_swords,land,plains,plains,plains,plains,yes
523,Deadstars,c_deadstars,land,desert,desert,desert,desert,yes
524,Misty Vale,c_misty_vale,land,jungle,jungle,jungle,jungle,yes
526,Iirgar,c_iirgar,land,desert,desert,plains,plains,no
529,The Shaarwood,c_the_shaarwood,land,forest,forest,steppe,steppe,no
535,Shaareach Forest,c_shaareach_forest,land,jungle,jungle,steppe,steppe,no
542,The Duskwood,c_the_duskwood,land,forest,forest,plains,plains,no
546,Qurth Forest,c_qurth_forest,land,forest,forest,plains,plains,no
569,Orbrekhland,c_orbrekhland,land,plains,plains,steppe,steppe,no
571,Westgulth,c_westgulth,land,forest,forest,plains,plains,no
572,Eastgulth,c_eastgulth,land,forest,forest,plains,plains,no
574,Nun,c_nun,land,farmlands,farmlands,plains,plains,no
575,Lilit Pass,c_lilit_pass,land,mountain,mountains,mountain,mountains,yes
576,Nunwood,c_nunwood,land,forest,forest,plains,plains,no
580,Soorenar,c_soorenar,land,farmlands,farmlands,plains,plains,no
581,Ixinos,c_ixinos,land,coastal,farmlands,plains,plains,no
582,Nesme,c_nesme,land,hills,hills,marsh,wetlands,no
583,Snakewood,c_snakewood,land,forest,forest,plains,plains,no
584,Rucien-Xan,c_rucien_xan,land,forest,forest,forest,forest,yes
585,Underhome,c_underhome,land,subterranean,mountains,steppe,steppe,no
586,Quarat,c_quarat,land,subterranean,mountains,steppe,steppe,no
587,Shadows End,c_shadows_end,land,subterranean,mountains,steppe,steppe,no
588,Rimmator,c_rimmator,land,subterranean,mountains,steppe,steppe,no
589,Tarnhall,c_tarnhall,land,subterranean,mountains,steppe,steppe,no
590,Daunting,c_daunting,land,subterranean,mountains,steppe,steppe,no
591,Harlending,c_harlending,land,subterranean,mountains,steppe,steppe,no
592,Glitterdelve,c_glitterdelve,land,subterranean,mountains,steppe,steppe,no
593,Sundasz,c_sundasz,land,subterranean,mountains,steppe,steppe,no
594,Satyr Road,c_satyr_road,land,forest,forest,forest,forest,yes
595,Nearwoods,c_nearwoods,land,forest,forest,plains,plains,no
596,Olum,c_olum,land,forest,forest,plains,plains,no
597,Illuks,c_illuks,land,forest,forest,forest,forest,yes
598,Adder Woods,c_adder_woods,land,forest,forest,plains,plains,no
599,Velsit,c_velsit,land,forest,forest,plains,plains,no
602,North Winterwood,c_north_winterwood,land,forest,forest,plains,plains,no
603,South Winterwood,c_south_winterwood,land,forest,forest,plains,plains,no
604,Ankhwood,c_ankhwood,land,forest,forest,plains,plains,no
606,Ormpetarr,c_ormpetarr,land,farmlands,farmlands,plains,plains,no
610,Zamsgrove,c_zamsgrove,land,forest,forest,plains,plains,no
612,Lomatra,c_lomatra,land,farmlands,farmlands,plains,plains,no
617,Avax,c_avax,land,hills,hills,hills,hills,yes
618,Irestone,c_irestone,land,jungle,jungle,jungle,jungle,yes
619,Vargath,c_vargath,land,jungle,jungle,jungle,jungle,yes
620,Wolfwoods,c_wolfwoods,land,jungle,jungle,forest,forest,no
621,Addak,c_addak,land,jungle,jungle,jungle,jungle,yes
622,Gnollhomes,c_gnollhomes,land,jungle,jungle,jungle,jungle,yes
623,Luthcheq,c_luthcheq,land,farmlands,farmlands,plains,plains,no
624,Mordulkin,c_mordulkin,land,farmlands,farmlands,plains,plains,no
628,Maerchwoods,c_maerchwoods,land,forest,forest,plains,plains,no
629,Maerduuth,c_maerduuth,land,hills,hills,hills,hills,yes
630,Akanax,c_akanax,land,hills,hills,plains,plains,no
632,Thulbane,c_thulbane,land,hills,hills,hills,hills,yes
634,Jade Hills,c_jade_hills,land,hills,hills,plains,plains,no
635,Halarahh,c_halarahh,land,farmlands,farmlands,plains,plains,no
638,Ralasuu Isle,c_ralasuu_isle,land,coastal,farmlands,plains,plains,no
643,Aluar,c_aluar,land,farmlands,farmlands,plains,plains,no
645,Sulaziir,c_sulaziir,land,farmlands,farmlands,plains,plains,no
649,Talathgard,c_talathgard,land,hills,hills,plains,plains,no
650,Thilzoun,c_thilzoun,land,hills,hills,hills,hills,yes
651,Zzuntal,c_zzuntal,land,farmlands,farmlands,plains,plains,no
657,Neldorild,c_neldorild,land,farmlands,farmlands,plains,plains,no
658,Ship of the Gods,c_ship_of_the_gods,land,coastal,farmlands,plains,plains,no
659,Unthalass,c_unthalass,land,farmlands,farmlands,plains,plains,no
662,Methwood,c_methwood,land,forest,forest,plains,plains,no
663,Kaoll,c_kaoll,land,farmlands,farmlands,plains,plains,no
664,Firetrees,c_firetrees,land,hills,hills,plains,plains,no
665,Angol,c_angol,land,farmlands,farmlands,plains,plains,no
667,Black Ash Plain,c_black_ash_plain,land,desert,desert,desert,desert,yes
670,Sadamzar,c_sadamzar,land,farmlands,farmlands,plains,plains,no
671,Adder Swamp,c_adder_swamp,land,marsh,wetlands,marsh,wetlands,yes
673,Uthangol,c_uthangol,land,hills,hills,plains,plains,no
674,Angast,c_angast,land,farmlands,farmlands,plains,plains,no
675,Mishtan,c_mishtan,land,farmlands,farmlands,plains,plains,no
678,Aina,c_aina,land,farmlands,farmlands,plains,plains,no
679,Gheldaneth,c_gheldaneth,land,farmlands,farmlands,plains,plains,no
680,Skuld,c_skuld,land,farmlands,farmlands,plains,plains,no
685,Ganathwood,c_ganathwood,land,forest,forest,plains,plains,no
686,Rauthil,c_rauthil,land,farmlands,farmlands,plains,plains,no
698,High Valley,c_high_valley,land,mountain,mountains,plains,plains,no
699,Upper Murghol,c_upper_murghol,land,hills,hills,plains,plains,no
