ck2_key,count,sources,samples
gunpowder_troops_morale,6,building:00_Class_building.txt,ct_firearms_workshop_1=0.05;ct_firearms_workshop_2=0.1;ct_firearms_workshop_3=0.15
gunpowder_troops_offensive,6,building:00_Class_building.txt,ct_firearms_workshop_1=0.05;ct_firearms_workshop_2=0.1;ct_firearms_workshop_3=0.15
orc_group_opinion,6,trait:race_traits.txt,creature_elf=-10;creature_half_elf=-10;creature_feyri=-10
sahuagin_opinion,6,trait:misc_traits.txt;trait:race_traits.txt,sahuagin_chief=10;sahuagin_baron=15;sahuagin_prince=20
text_effect_artificer_build,6,trait:character_class_traits.txt,artificer=1;journeyman_artificer=1;expert_artificer=1
text_effect_fighter_tactics,6,trait:character_class_traits.txt,trained_fighter=1;journeyman_fighter=1;expert_fighter=1
text_effect_monk_tactic,6,trait:character_class_traits.txt,trained_monk=1;journeyman_monk=1;expert_monk=1
eladrin_group_opinion,5,trait:race_traits.txt,creature_drow=-5;creature_feyri=-20;creature_draegloth=-10
high_elf_group_opinion,5,trait:race_traits.txt,creature_drow=-10;creature_feyri=-15;creature_draegloth=-10
horse_archers,5,building:00_nomadic_tribal.txt;building:00_tribal.txt,tb_nomadtribal=17;tb_steppe_stable_1=5;tb_steppe_stable_2=5
horse_archers_offensive,5,building:00_nomadic_tribal.txt,no_hunting_parties_1=0.04;no_hunting_parties_2=0.04;no_hunting_parties_3=0.04
local_revolt_risk,5,building:00_Castle.txt;building:00_buildings.txt,ca_oppressive_fortifications_1=-0.05;ca_oppressive_fortifications_2=-0.05;ca_oppressive_fortifications_3=-0.05
mob_troops,5,building:00_nomadic_tribal.txt,tb_hordetribal=200;tb_the_loot_1=80;tb_the_loot_2=64
patron_bane_opinion,5,trait:god_patron_traits.txt;trait:religious_traits.txt,patron_hoar=5;patron_iyachtu_xvim=5;patron_abbathor=5
spouse_opinion,5,trait:00_traits.txt;trait:02_traits.txt;trait:god_patron_traits.txt;trait:roleplaying_traits.txt,pregnant=15;hard_pregnancy=15;troubled_pregnancy=15
sylvan_elf_group_opinion,5,trait:race_traits.txt,creature_drow=-10;creature_feyri=-20;creature_draegloth=-10
camel_cavalry,4,building:00_tribal.txt,tb_desert_stable_1=6;tb_desert_stable_2=6;tb_desert_stable_3=6
elven_pantheon_group_opinion,4,trait:02_traits.txt;trait:race_traits.txt;trait:template_traits.txt,pagan_branch_1=10;creature_tiefling=-5;creature_fiend=-50
gnome_group_opinion,4,trait:race_traits.txt,creature_goblin=-10;creature_hobgoblin=-10;creature_bugbear=-10
max_tradeposts,4,building:00_buildings.txt,ct_planned_infrastructure_2=2;fp_mansion_2=3;fp_mansion_3=3
patron_malar_opinion,4,trait:god_patron_traits.txt;trait:religious_traits.txt;trait:template_traits.txt,patron_silvanus=5;chosen_malar=20;natural_lycanthrope=25
build_time_modifier,3,trait:god_patron_traits.txt;trait:template_traits.txt,patron_gond=-0.05;patron_nehushta=-0.05;wiz_transmutation=-0.1
dwarven_pantheon_group_opinion,3,trait:02_traits.txt;trait:race_traits.txt,pagan_branch_1=10;creature_tiefling=-5;creature_fiend=-40
gith_group_opinion,3,trait:race_traits.txt,creature_illithid=-10;creature_ulitharid=-10;creature_elder_brain=-10
humanoid_group_opinion,3,trait:02_traits.txt,one_eyed=10;valhalla_bound=5;blessed_ancestor=50
illithid_pantheon_opinion,3,trait:race_traits.txt,creature_illithid=10;creature_ulitharid=15;creature_elder_brain=20
infernal_opinion,3,trait:god_patron_traits.txt;trait:race_traits.txt;trait:religious_traits.txt,patron_tyr=-30;creature_celestial=-40;chosen_asmodeus=20
loyal_opinion,3,trait:god_patron_traits.txt;trait:religious_traits.txt,patron_torm=5;patron_tyr=5;chosen_siamorphe=10
military_techpoints,3,building:00_hospital.txt;building:unique_city_buildings.txt,medical_academy_1=0.03;observatory_1=0.03;ct_planar_portal=0.01
monthly_grace,3,trait:02_traits.txt,kow_tow_completed_tier_1=1;kow_tow_completed_tier_2=2;kow_tow_completed_tier_3=4
murder_plot_power_modifier,3,trait:god_patron_traits.txt;trait:misc_traits.txt;trait:religious_traits.txt,patron_vlaakith=0.05;bhaalspawn=1.2;chosen_cyric=1.15
patron_oghma_opinion,3,trait:god_patron_traits.txt,patron_gond=5;patron_deneir=5;patron_milil=5
patron_sune_opinion,3,trait:god_patron_traits.txt;trait:religious_traits.txt,patron_lliira=5;patron_sharess=5;chosen_sune=20
patron_tempus_opinion,3,trait:god_patron_traits.txt,patron_garagos=5;patron_red_knight=5;patron_valkur=5
short_reign_length,3,trait:god_patron_traits.txt,patron_zann=-5;patron_re=-5;patron_chih_shih=-5
siege_defence,3,trait:god_patron_traits.txt,patron_achazar=0.05;patron_the_drummer=0.05;patron_dunatis=0.05
winter_combat,3,command_modifier:02_traits.txt;command_modifier:religious_traits.txt,command_modifier=0.5;command_modifier=0.25;command_modifier=0.2
winter_supply,3,command_modifier:02_traits.txt;command_modifier:religious_traits.txt,command_modifier=4;command_modifier=3;command_modifier=1
abyssal_cult_opinion,2,trait:god_patron_traits.txt;trait:race_traits.txt,patron_tyr=-30;creature_celestial=-40
arrest_chance_modifier,2,trait:god_patron_traits.txt;trait:religious_traits.txt,patron_fa_kuan=0.05;chosen_faceless_god=0.05
athar_trait_opinion,2,trait:religious_traits.txt,atheist_trait=5;aoist_trait=-20
blue_flame_opinion,2,trait:god_patron_traits.txt;trait:misc_traits.txt,patron_tyr=-30;spellscar=10
cavalry,2,command_modifier:00_traits.txt;command_modifier:02_traits.txt,command_modifier=0.2;command_modifier=0.15
church_of_cyric_opinion,2,trait:god_patron_traits.txt;trait:religious_traits.txt,patron_tyr=-30;chosen_cyric=20
dark_elf_group_opinion,2,trait:race_traits.txt,creature_elf=-10;creature_dwarf=-10
dragonkin_group_opinion,2,trait:race_traits.txt,creature_dragon=5;creature_kobold=5
faithless_opinion,2,trait:00_traits.txt;trait:god_patron_traits.txt,cynical=5;patron_tyr=-30
giant_group_opinion,2,trait:race_traits.txt,creature_dwarf=-10;creature_half_dwarf=-10
giantkin_group_opinion,2,trait:race_traits.txt,creature_dwarf=-10;creature_half_dwarf=-10
global_levy_size,2,trait:02_traits.txt;trait:roleplaying_traits.txt,adventurer=0.2;former_adventurer=0.1
kiaransalee_opinion,2,trait:template_traits.txt,vampire=10;lich=30
local_build_cost_modifier,2,trait:god_patron_traits.txt,patron_dunatis=-0.05;patron_hsing_yong=-0.05
local_build_time_modifier,2,trait:god_patron_traits.txt,patron_botu_astok=-0.05;padhran_mountain=-0.1
muslim_opinion,2,trait:01_traits.txt;trait:02_traits.txt,mujahid=5;lefthanded=-10
patron_deneir_opinion,2,trait:god_patron_traits.txt;trait:religious_traits.txt,patron_oghma=5;chosen_deneir=20
patron_myrkul_opinion,2,trait:religious_traits.txt;trait:template_traits.txt,chosen_myrkul=20;lich=20
patron_mystra_opinion,2,trait:god_patron_traits.txt;trait:religious_traits.txt,patron_azuth=5;chosen_mystra=20
patron_orcus_opinion,2,trait:template_traits.txt,vampire=10;lich=30
patron_selune_opinion,2,trait:template_traits.txt,natural_lycanthrope=25;afflicted_lycanthrope=25
patron_shargaas_opinion,2,trait:template_traits.txt,vampire=10;lich=30
patron_siamorphe_opinion,2,trait:god_patron_traits.txt;trait:religious_traits.txt,patron_amaunator=5;chosen_siamorphe=20
patron_velsharoon_opinion,2,trait:template_traits.txt,vampire=10;lich=30
retinuesize_perc,2,trait:god_patron_traits.txt,patron_dendar=0.05;patron_obould=0.05
siege_speed,2,trait:god_patron_traits.txt,patron_kiga=0.05;patron_dendar=0.05
thasmudyanic_opinion,2,trait:template_traits.txt,vampire=10;lich=30
tolerates_aberration_group,2,trait:02_traits.txt,sympathy_many=yes;sympathy_aberration_group=yes
tolerates_atheist_group,2,trait:02_traits.txt,sympathy_many=yes;sympathy_atheist_group=yes
tolerates_draconic_group,2,trait:02_traits.txt,sympathy_many=yes;sympathy_draconic_group=yes
tolerates_dwarven_pantheon_group,2,trait:02_traits.txt,sympathy_many=yes;sympathy_dwarven_pantheon_group=yes
tolerates_elven_pantheon_group,2,trait:02_traits.txt,sympathy_many=yes;sympathy_elven_pantheon_group=yes
tolerates_giant_pantheon_group,2,trait:02_traits.txt,sympathy_many=yes;sympathy_giant_pantheon_group=yes
tolerates_good_human_pantheon_group,2,trait:02_traits.txt,sympathy_many=yes;sympathy_good_human_pantheon_group=yes
