lat_band,file,count,share_of_band
4,reeds_01_generator_1.txt,1565,0.035235
4,tree_cypress_01_generator_1.txt,5252,0.118246
4,tree_jungle_01_d_generator_1.txt,131,0.002949
4,tree_leaf_01_single_generator_1.txt,84,0.001891
4,tree_leaf_2_high_generator_1.txt,1135,0.025554
4,tree_leaf_high_generator_1.txt,18631,0.419466
4,tree_leaf_high_generator_2.txt,5410,0.121803
4,tree_leaf_high_generator_3.txt,11423,0.257182
4,tree_palm_generator_1.txt,22,0.000495
4,tree_pine_01_a_generator_1.txt,435,0.009794
4,tree_pine_01_b_generator_1.txt,205,0.004615
4,tree_sakura_01_generator.txt,42,0.000946
4,tree_sakura_02_generator.txt,17,0.000383
4,tree_sakura_03_generator.txt,52,0.001171
4,tree_sakura_forest_generator.txt,12,0.00027
5,reeds_01_generator_1.txt,758,0.020463
5,tree_cypress_01_generator_1.txt,1792,0.048376
5,tree_jungle_01_c_generator_1.txt,144,0.003887
5,tree_jungle_01_d_generator_1.txt,5868,0.15841
5,tree_leaf_01_single_generator_1.txt,160,0.004319
5,tree_leaf_2_high_generator_1.txt,436,0.01177
5,tree_leaf_high_generator_1.txt,11830,0.319359
5,tree_leaf_high_generator_2.txt,4056,0.109494
5,tree_leaf_high_generator_3.txt,8271,0.223281
5,tree_palm_generator_1.txt,3702,0.099938
5,tree_pine_01_a_generator_1.txt,20,0.00054
5,tree_pine_01_b_generator_1.txt,6,0.000162
6,reeds_01_generator_1.txt,868,0.037414
6,tree_jungle_01_c_generator_1.txt,219,0.00944
6,tree_jungle_01_d_generator_1.txt,10762,0.463879
6,tree_leaf_01_single_generator_1.txt,159,0.006853
6,tree_leaf_2_high_generator_1.txt,478,0.020603
6,tree_leaf_high_generator_1.txt,3371,0.145302
6,tree_leaf_high_generator_2.txt,1608,0.06931
6,tree_leaf_high_generator_3.txt,3195,0.137716
6,tree_palm_generator_1.txt,2540,0.109483
7,reeds_01_generator_1.txt,2263,0.090862
7,tree_cypress_01_generator_1.txt,13,0.000522
7,tree_jungle_01_c_generator_1.txt,101,0.004055
7,tree_jungle_01_d_generator_1.txt,5230,0.20999
7,tree_leaf_01_single_generator_1.txt,780,0.031318
7,tree_leaf_2_high_generator_1.txt,117,0.004698
7,tree_leaf_high_generator_1.txt,5397,0.216695
7,tree_leaf_high_generator_2.txt,1627,0.065326
7,tree_leaf_high_generator_3.txt,3634,0.145909
7,tree_palm_generator_1.txt,5744,0.230627
8,reeds_01_generator_1.txt,1827,0.04876
8,tree_cypress_01_generator_1.txt,3,8e-05
8,tree_jungle_01_c_generator_1.txt,681,0.018175
8,tree_jungle_01_d_generator_1.txt,13941,0.372068
8,tree_leaf_01_single_generator_1.txt,2055,0.054845
8,tree_leaf_2_high_generator_1.txt,73,0.001948
8,tree_leaf_high_generator_1.txt,10474,0.279538
8,tree_leaf_high_generator_2.txt,2356,0.062879
8,tree_leaf_high_generator_3.txt,5374,0.143425
8,tree_palm_generator_1.txt,685,0.018282
9,tree_jungle_01_c_generator_1.txt,82,0.030955
9,tree_jungle_01_d_generator_1.txt,2174,0.820687
9,tree_leaf_01_single_generator_1.txt,338,0.127595
9,tree_leaf_high_generator_1.txt,5,0.001888
9,tree_leaf_high_generator_2.txt,1,0.000378
9,tree_leaf_high_generator_3.txt,3,0.001133
9,tree_palm_generator_1.txt,46,0.017365
