ck3_terrain,slope_bin,curvature_bin,elevation_bin,n,top_material,top_share,second_material,second_share,category_shares
desert,high,flat,mid,7913,drylands_01,22.19,desert_wavy_01,16.85,soil=34.66;rock=31.38;other=22.85;grass=10.81;snow=0.3
desert,high,flat,high,17945,desert_cracked,24.26,drylands_01,23.79,soil=34.68;rock=30.59;other=27.06;grass=6.99;snow=0.67
desert,high,valley,low,132572,desert_rocky,21.6,desert_wavy_01,20.32,rock=40.76;soil=30.01;other=19.08;grass=10.07;snow=0.08;forest=0.0
desert,high,valley,mid,18399,drylands_01,21.65,desert_wavy_01,20.2,soil=33.13;rock=32.08;other=22.96;grass=9.2;snow=2.63;forest=0.01
desert,high,valley,high,14379,coastline_cliff_desert,28.38,drylands_01,23.23,rock=41.09;other=25.56;soil=23.92;grass=5.14;snow=4.3
desert_mountains,low,ridge,low,992,hills_01_rocks_medi,26.31,desert_rocky,25.2,rock=52.12;forest=23.49;grass=15.42;other=8.47;soil=0.5
desert_mountains,low,ridge,mid,1082,desert_rocky,49.82,hills_01_rocks_medi,17.01,rock=72.64;grass=12.57;other=11.92;soil=1.66;forest=1.2
desert_mountains,low,ridge,high,825,desert_rocky,34.55,steppe_bushes,21.45,rock=54.42;grass=41.33;other=4.24
desert_mountains,low,flat,low,250,desert_rocky,51.2,forest_jungle_01,38.8,rock=56.4;forest=38.8;other=4.8
desert_mountains,low,valley,low,236,hills_01_rocks_medi,66.95,drylands_01,25.85,rock=73.73;other=25.85;grass=0.42
desert_mountains,low,valley,mid,71,hills_01_rocks_medi,78.87,drylands_01,18.31,rock=78.87;other=21.13
desert_mountains,mid,ridge,low,6226,desert_rocky,40.56,hills_01_rocks_medi,34.12,rock=79.91;grass=12.34;forest=5.43;other=1.99;soil=0.34
desert_mountains,mid,ridge,mid,5641,desert_rocky,34.82,hills_01_rocks_medi,34.48,rock=79.03;grass=13.12;other=7.43;soil=0.39;snow=0.04
desert_mountains,mid,ridge,high,3206,desert_rocky,30.1,hills_01_rocks_medi,26.45,rock=63.35;grass=23.74;other=11.54;snow=1.12;forest=0.19;soil=0.06
desert_mountains,mid,flat,low,2094,desert_rocky,60.17,hills_01_rocks_medi,17.38,rock=81.95;other=9.22;grass=6.11;soil=1.53;forest=1.19
desert_mountains,mid,flat,mid,313,desert_rocky,41.85,hills_01_rocks_medi,18.85,rock=60.7;other=34.19;grass=3.51;soil=1.6
desert_mountains,mid,valley,low,2571,desert_rocky,36.06,hills_01_rocks_medi,27.69,rock=70.05;grass=18.86;other=9.8;soil=0.58;forest=0.47;snow=0.23
desert_mountains,mid,valley,mid,271,hills_01_rocks_medi,51.66,debug,22.88,rock=66.05;other=29.15;grass=4.06;soil=0.74
desert_mountains,high,ridge,low,13562,desert_rocky,43.9,hills_01_rocks_medi,35.57,rock=86.83;other=7.43;grass=4.13;soil=1.35;forest=0.25;snow=0.01
desert_mountains,high,ridge,mid,12669,desert_rocky,45.52,hills_01_rocks_medi,32.37,rock=85.59;other=9.51;grass=2.42;soil=1.65;forest=0.75;snow=0.07
desert_mountains,high,ridge,high,7166,hills_01_rocks_medi,35.03,desert_rocky,30.31,rock=73.08;other=21.3;soil=2.6;grass=2.53;snow=0.5
desert_mountains,high,flat,low,4552,hills_01_rocks_medi,40.82,desert_rocky,34.25,rock=83.63;other=7.12;grass=6.46;soil=2.13;forest=0.62;snow=0.04
desert_mountains,high,flat,mid,1246,hills_01_rocks_medi,45.26,desert_rocky,20.47,rock=74.4;other=19.98;grass=4.98;soil=0.56;snow=0.08
desert_mountains,high,flat,high,205,hills_01_rocks_medi,46.83,debug,42.93,rock=56.1;other=43.41;snow=0.49
desert_mountains,high,valley,low,14688,hills_01_rocks_medi,37.02,desert_rocky,33.56,rock=82.7;grass=8.52;other=5.56;soil=3.22
desert_mountains,high,valley,mid,1449,hills_01_rocks_medi,54.73,desert_rocky,17.46,rock=79.71;other=16.77;grass=2.83;soil=0.69
desert_mountains,high,valley,high,118,debug,40.68,desert_rocky,29.66,rock=59.32;other=40.68
drylands,low,ridge,low,1172,drylands_01_grassy,30.12,plains_01_noisy,12.97,grass=52.82;soil=22.44;rock=13.57;other=10.67;snow=0.34;forest=0.17
drylands,low,ridge,mid,8139,drylands_01_grassy,51.96,drylands_01,30.47,grass=59.55;other=30.47;rock=4.83;soil=4.31;snow=0.74;forest=0.1
drylands,low,ridge,high,12426,drylands_01_grassy,44.09,drylands_01,22.03,grass=67.4;other=22.09;soil=5.5;rock=3.53;forest=0.9;snow=0.57
drylands,low,flat,low,6810,drylands_01_grassy,66.99,plains_01_noisy,9.56,grass=79.75;rock=12.04;soil=4.23;other=2.66;forest=0.88;snow=0.44
drylands,low,flat,mid,42274,drylands_01_grassy,67.86,drylands_01,21.37,grass=70.54;other=25.11;rock=3.33;soil=0.48;forest=0.33;snow=0.2
drylands,low,flat,high,21018,drylands_01_grassy,72.69,drylands_01,14.96,grass=76.55;other=15.93;rock=6.76;soil=0.45;forest=0.29;snow=0.03
drylands,low,valley,low,48373,drylands_01_grassy,76.11,drylands_01,6.71,grass=81.46;rock=8.62;other=7.08;soil=1.73;snow=0.8;forest=0.31
drylands,low,valley,mid,37561,drylands_01_grassy,73.05,drylands_01,16.63,grass=76.37;other=19.31;rock=3.93;snow=0.14;forest=0.13;soil=0.12
drylands,low,valley,high,11721,drylands_01_grassy,73.74,drylands_01,14.94,grass=79.53;other=14.94;rock=3.84;forest=0.84;snow=0.84
drylands,mid,ridge,low,4321,drylands_01_grassy,73.66,drylands_01,7.24,grass=79.06;rock=9.37;other=7.48;soil=3.73;forest=0.35;snow=0.02
drylands,mid,ridge,mid,13053,drylands_01_grassy,64.04,drylands_01,19.6,grass=70.5;other=19.69;rock=4.27;forest=2.97;soil=1.49;snow=1.08
drylands,mid,ridge,high,17863,drylands_01_grassy,52.84,drylands_01,24.2,grass=61.78;other=24.53;rock=7.06;soil=4.34;forest=1.69;snow=0.61
drylands,mid,flat,low,13634,drylands_01_grassy,61.5,drylands_01,13.98,grass=71.54;other=14.65;rock=8.87;forest=2.81;soil=1.79;snow=0.33
drylands,mid,flat,mid,30646,drylands_01_grassy,60.97,drylands_01,21.39,grass=65.71;other=21.94;rock=6.7;forest=4.12;soil=1.25;snow=0.28
drylands,mid,flat,high,20344,drylands_01_grassy,57.97,drylands_01,25.73,grass=63.5;other=25.93;rock=6.84;soil=1.7;forest=1.55;snow=0.49
drylands,mid,valley,low,79462,drylands_01_grassy,74.14,drylands_01,7.78,grass=77.72;rock=10.96;other=8.33;forest=1.22;soil=0.89;snow=0.88
drylands,mid,valley,mid,52286,drylands_01_grassy,72.53,drylands_01,14.39,grass=74.4;other=14.73;rock=7.39;forest=1.52;soil=1.46;snow=0.5
drylands,mid,valley,high,15391,drylands_01_grassy,64.35,drylands_01,20.15,grass=67.52;other=21.12;rock=8.21;soil=1.23;forest=1.13;snow=0.79
drylands,high,ridge,low,5738,drylands_01_grassy,66.19,drylands_01,10.14,grass=66.97;rock=20.74;other=10.79;soil=1.13;snow=0.24;forest=0.12
drylands,high,ridge,mid,8807,drylands_01_grassy,79.4,drylands_01,11.0,grass=79.7;other=11.47;rock=6.49;soil=1.36;forest=0.82;snow=0.16
drylands,high,ridge,high,28104,drylands_01_grassy,77.09,drylands_01,12.85,grass=77.32;other=13.23;rock=7.02;soil=1.23;snow=0.98;forest=0.23
drylands,high,flat,low,9757,drylands_01_grassy,69.27,drylands_01,12.33,grass=70.57;rock=14.05;other=13.31;forest=1.63;soil=0.28;snow=0.15
drylands,high,flat,mid,8803,drylands_01_grassy,75.08,drylands_01,12.79,grass=75.63;other=13.64;rock=9.24;forest=0.84;soil=0.36;snow=0.28
drylands,high,flat,high,15781,drylands_01_grassy,76.86,drylands_01,9.99,grass=77.13;other=12.27;rock=7.76;soil=1.67;snow=1.13;forest=0.03
drylands,high,valley,low,94156,drylands_01_grassy,71.52,mountain_02_d_valleys,11.36,grass=72.36;rock=19.03;other=7.88;snow=0.3;soil=0.24;forest=0.19
drylands,high,valley,mid,21684,drylands_01_grassy,73.34,drylands_01,11.26,grass=73.75;rock=13.97;other=11.49;forest=0.34;soil=0.29;snow=0.17
drylands,high,valley,high,14536,drylands_01_grassy,70.85,drylands_01,9.43,grass=71.06;rock=14.35;other=11.86;snow=1.29;soil=1.18;forest=0.25
farmlands,low,ridge,low,39,wetlands_02_mud,53.85,mountain_02_desert_c,23.08,soil=66.67;rock=28.21;forest=2.56;grass=2.56
farmlands,low,ridge,mid,1064,farmland_01,71.9,plains_01_dry_mud,15.13,soil=87.97;forest=5.83;rock=5.26;snow=0.56;grass=0.38
farmlands,low,ridge,high,1210,farmland_01,75.87,plains_01_dry_mud,11.82,soil=87.69;rock=4.46;grass=3.22;forest=2.48;snow=2.07;other=0.08
farmlands,low,flat,low,661,beach_02,41.15,farmland_01,20.73,other=41.15;soil=22.09;rock=21.03;forest=10.59;grass=4.39;snow=0.76
farmlands,low,flat,mid,1108,farmland_01,69.4,mountain_02_d_valleys,11.64,soil=74.73;rock=16.34;forest=4.78;snow=2.98;grass=1.17
farmlands,low,flat,high,1280,farmland_01,77.42,steppe_grass,4.69,soil=77.5;rock=8.52;snow=6.56;grass=5.0;forest=1.8;other=0.62
farmlands,low,valley,low,3561,farmland_01,54.9,mountain_02_c_snow,10.17,soil=57.51;rock=18.81;snow=10.95;forest=5.42;other=3.68;grass=3.62
farmlands,low,valley,mid,2731,farmland_01,57.78,mountain_02_c_snow,16.73,soil=61.44;snow=17.5;grass=8.53;rock=7.18;forest=4.72;other=0.62
farmlands,low,valley,high,1286,farmland_01,72.71,mountain_02_c_snow,9.41,soil=72.71;snow=9.41;forest=9.33;rock=5.13;grass=3.34;other=0.08
farmlands,mid,ridge,low,122,farmland_01,50.82,mountain_02_c_snow,22.13,soil=50.82;snow=22.13;rock=16.39;forest=9.02;grass=1.64
farmlands,mid,ridge,mid,556,farmland_01,46.04,steppe_grass,34.71,soil=46.94;grass=41.01;forest=8.45;rock=2.88;snow=0.72
farmlands,mid,ridge,high,1985,farmland_01,69.22,steppe_grass,9.12,soil=69.32;forest=11.39;grass=9.97;snow=3.73;rock=3.58;other=2.02
farmlands,mid,flat,low,803,farmland_01,54.17,mountain_02_c_snow,20.05,soil=54.3;snow=22.54;rock=12.45;grass=5.73;forest=4.73;other=0.25
farmlands,mid,flat,mid,1235,farmland_01,65.99,steppe_grass,14.09,soil=68.5;grass=15.22;snow=8.5;forest=5.26;rock=2.51
farmlands,mid,flat,high,1073,farmland_01,56.76,forest_jungle_01,10.81,soil=61.51;forest=13.05;snow=11.0;grass=7.36;rock=6.06;other=1.03
farmlands,mid,valley,low,9440,farmland_01,50.87,mountain_02_desert_c,20.77,soil=53.19;rock=25.1;snow=12.49;forest=5.43;grass=3.49;other=0.31
farmlands,mid,valley,mid,5643,farmland_01,70.33,steppe_grass,8.03,soil=72.44;grass=8.4;rock=6.56;forest=5.97;snow=5.92;other=0.71
farmlands,mid,valley,high,3439,farmland_01,71.13,steppe_bushes,6.11,soil=74.09;grass=7.65;snow=6.69;forest=5.29;rock=4.65;other=1.63
farmlands,high,ridge,low,820,farmland_01,27.56,forest_leaf_01,16.22,soil=32.07;forest=25.24;rock=18.66;grass=17.56;other=3.54;snow=2.93
farmlands,high,ridge,mid,950,farmland_01,31.05,forest_jungle_01,12.53,soil=42.11;forest=21.37;grass=14.42;rock=11.58;snow=5.58;other=4.95
farmlands,high,ridge,high,2639,farmland_01,42.86,plains_01_dry,24.78,soil=47.86;grass=34.18;rock=6.63;snow=5.19;forest=4.55;other=1.59
farmlands,high,flat,low,811,farmland_01,24.04,mountain_02_desert_c,18.5,soil=29.35;grass=27.87;rock=25.15;forest=7.89;snow=7.15;other=2.59
farmlands,high,flat,mid,665,steppe_grass,26.77,farmland_01,25.71,grass=33.23;soil=27.52;forest=17.44;rock=9.17;snow=8.57;other=4.06
farmlands,high,flat,high,1201,steppe_grass,21.57,beach_02_mediterranean,18.48,grass=32.89;other=22.31;snow=12.49;soil=12.49;rock=10.57;forest=9.24
farmlands,high,valley,low,11195,farmland_01,63.63,mountain_02_desert_c,15.94,soil=64.8;rock=20.46;snow=7.09;grass=4.14;other=1.88;forest=1.63
farmlands,high,valley,mid,2607,farmland_01,67.89,mountain_02_desert_c,11.2,soil=68.16;rock=15.38;snow=5.6;grass=4.6;other=4.22;forest=2.03
farmlands,high,valley,high,2003,farmland_01,64.95,forest_leaf_01,8.89,soil=65.45;grass=10.73;forest=8.89;rock=6.64;other=6.39;snow=1.9
floodplains,low,ridge,mid,49,mountain_02_c_snow,69.39,farm_paddy_01,22.45,snow=69.39;soil=26.53;rock=4.08
floodplains,low,ridge,high,572,floodplains_01,40.38,oasis,31.99,soil=42.83;other=32.17;snow=11.89;rock=10.31;forest=1.75;grass=1.05
floodplains,low,flat,low,827,floodplains_01,45.95,mountain_02_b,31.2,rock=46.07;soil=45.95;other=6.29;grass=1.33;forest=0.36
floodplains,low,flat,mid,2970,floodplains_01,41.62,mountain_02_d_valleys,12.96,soil=48.45;rock=18.86;other=10.34;grass=10.1;snow=8.52;forest=3.74
floodplains,low,flat,high,6198,floodplains_01,44.0,mountain_02_d_valleys,26.83,soil=47.06;rock=30.41;other=12.52;grass=4.92;snow=3.76;forest=1.32
floodplains,low,valley,low,9055,floodplains_01,71.44,mountain_02_d_valleys,12.53,soil=71.74;rock=17.4;grass=6.38;other=3.79;snow=0.45;forest=0.23
floodplains,low,valley,mid,9777,floodplains_01,52.61,drylands_01_grassy,17.69,soil=56.54;grass=17.82;rock=9.93;other=7.49;snow=6.92;forest=1.3
floodplains,low,valley,high,4777,floodplains_01,43.96,drylands_01_grassy,11.24,soil=55.01;grass=12.87;snow=10.68;rock=10.42;other=9.32;forest=1.7
floodplains,mid,ridge,low,272,drylands_01_grassy,51.1,floodplains_01,36.4,grass=51.1;soil=36.76;other=7.35;rock=4.78
floodplains,mid,ridge,mid,443,floodplains_01,36.79,drylands_01_grassy,34.76,soil=44.24;grass=34.76;rock=10.61;other=5.64;forest=2.48;snow=2.26
floodplains,mid,ridge,high,2318,drylands_01_grassy,25.75,floodplains_01,23.9,soil=32.4;grass=26.96;other=20.15;rock=12.77;snow=6.43;forest=1.29
floodplains,mid,flat,low,789,floodplains_01,61.6,mountain_02_b,18.25,soil=61.72;rock=21.93;grass=10.9;other=5.45
floodplains,mid,flat,mid,3019,floodplains_01,32.86,drylands_01_grassy,23.42,soil=35.24;grass=23.48;rock=23.09;other=11.0;forest=5.27;snow=1.92
floodplains,mid,flat,high,3334,drylands_01_grassy,28.16,mountain_02_d_valleys,22.68,grass=28.79;rock=26.81;soil=21.84;other=17.97;snow=2.46;forest=2.13
floodplains,mid,valley,low,10571,floodplains_01,48.9,drylands_01_grassy,11.42,soil=52.44;rock=16.01;grass=12.36;snow=9.35;other=7.8;forest=2.04
floodplains,mid,valley,mid,10990,floodplains_01,34.03,mountain_02_c_snow,14.06,soil=40.06;rock=19.22;grass=14.17;snow=14.06;other=8.02;forest=4.48
floodplains,mid,valley,high,5252,floodplains_01,35.83,drylands_01_grassy,18.3,soil=39.13;grass=21.08;rock=16.15;other=12.47;snow=10.13;forest=1.05
floodplains,high,ridge,low,677,drylands_01_grassy,24.08,mountain_02_c_snow,16.69,soil=26.44;grass=24.37;forest=22.45;snow=16.69;rock=6.79;other=3.25
floodplains,high,ridge,mid,487,forest_jungle_01,43.33,plains_01_dry_mud,12.11,forest=51.13;soil=28.34;rock=9.65;grass=4.93;snow=4.11;other=1.85
floodplains,high,ridge,high,3425,floodplains_01,22.95,forest_jungle_01,18.04,soil=26.63;forest=22.98;grass=18.6;other=15.07;rock=10.57;snow=6.16
floodplains,high,flat,low,627,drylands_01_grassy,30.14,forest_leaf_01,15.95,grass=31.9;soil=20.41;other=17.7;forest=15.95;snow=7.34;rock=6.7
floodplains,high,flat,mid,666,floodplains_01,24.77,drylands_01_grassy,22.37,soil=34.68;grass=28.83;other=17.12;forest=11.71;snow=3.9;rock=3.75
floodplains,high,flat,high,1227,floodplains_01,29.01,beach_02_mediterranean,16.87,soil=36.02;other=26.73;grass=17.6;forest=9.21;rock=6.68;snow=3.75
floodplains,high,valley,low,7237,floodplains_01,35.19,mountain_02_c_snow,18.65,soil=45.65;snow=18.65;rock=13.94;other=12.95;forest=5.29;grass=3.51
floodplains,high,valley,mid,3118,floodplains_01,24.7,farm_paddy_01,13.57,soil=41.37;rock=14.91;other=13.82;snow=12.38;grass=10.87;forest=6.64
floodplains,high,valley,high,1570,floodplains_01,28.66,mountain_02_c_snow,16.94,soil=43.18;other=26.05;snow=16.94;grass=6.05;rock=4.27;forest=3.5
forest,low,ridge,low,2769,forest_leaf_01,54.6,mountain_02_c_snow,28.86,forest=57.82;snow=33.44;rock=7.84;other=0.83;grass=0.07
forest,low,ridge,mid,18956,forest_leaf_01,75.82,mountain_02_c_snow,11.6,forest=76.77;snow=13.66;rock=8.61;other=0.43;grass=0.33;soil=0.2
forest,low,ridge,high,20731,forest_leaf_01,74.48,mountain_02_c_snow,11.1,forest=75.67;snow=14.09;rock=8.38;other=1.53;soil=0.25;grass=0.07
forest,low,flat,low,13217,forest_leaf_01,55.01,mountain_02_c_snow,19.76,forest=55.19;rock=22.77;snow=20.62;other=0.96;soil=0.33;grass=0.12
forest,low,flat,mid,55908,forest_leaf_01,80.74,mountain_02_c_snow,8.66,forest=81.75;snow=8.86;rock=8.82;other=0.24;soil=0.24;grass=0.09
forest,low,flat,high,26471,forest_leaf_01,77.91,mountain_02_c_snow,9.29,forest=78.65;snow=10.15;rock=10.07;other=0.68;soil=0.45
forest,low,valley,low,36396,forest_leaf_01,59.96,mountain_02_c_snow,18.49,forest=60.91;snow=19.77;rock=17.51;grass=1.36;other=0.41;soil=0.04
forest,low,valley,mid,41018,forest_leaf_01,76.85,mountain_02_c_snow,10.37,forest=78.34;snow=10.82;rock=9.75;other=0.5;grass=0.46;soil=0.12
forest,low,valley,high,11124,forest_leaf_01,78.94,mountain_02_c_snow,6.86,forest=81.29;rock=10.07;snow=8.15;soil=0.28;other=0.2;grass=0.01
forest,mid,ridge,low,8845,forest_leaf_01,69.52,mountain_02_c_snow,13.88,forest=70.12;snow=16.5;rock=10.62;other=1.23;grass=1.22;soil=0.32
forest,mid,ridge,mid,18694,forest_leaf_01,80.81,mountain_02_c_snow,7.51,forest=82.68;snow=9.48;rock=6.17;grass=1.07;other=0.34;soil=0.25
forest,mid,ridge,high,36319,forest_leaf_01,82.15,mountain_02_c_snow,6.41,forest=84.72;snow=8.24;rock=3.47;grass=1.69;soil=1.02;other=0.86
forest,mid,flat,low,14429,forest_leaf_01,63.21,mountain_02_c_snow,18.07,forest=64.38;snow=20.76;rock=12.83;grass=1.1;other=0.92;soil=0.01
forest,mid,flat,mid,30291,forest_leaf_01,79.48,mountain_02_c_snow,7.01,forest=79.95;rock=12.01;snow=7.73;other=0.17;grass=0.09;soil=0.06
forest,mid,flat,high,17809,forest_leaf_01,80.81,mountain_02_c_snow,7.6,forest=81.87;snow=9.04;rock=7.05;other=1.02;grass=0.72;soil=0.29
forest,mid,valley,low,68408,forest_leaf_01,71.7,mountain_02_c_snow,14.1,forest=73.03;snow=15.11;rock=9.57;grass=0.88;soil=0.73;other=0.69
forest,mid,valley,mid,48795,forest_leaf_01,78.05,mountain_02_c_snow,8.01,forest=79.69;rock=10.21;snow=8.45;soil=0.81;other=0.48;grass=0.36
forest,mid,valley,high,15957,forest_leaf_01,82.12,mountain_02_c_snow,8.09,forest=82.27;snow=8.44;rock=7.41;soil=0.86;other=0.7;grass=0.32
forest,high,ridge,low,12385,forest_leaf_01,73.25,mountain_02_c_snow,12.14,forest=73.25;snow=14.92;rock=7.82;other=1.47;soil=1.4;grass=1.14
forest,high,ridge,mid,14980,forest_leaf_01,73.55,mountain_02_c_snow,9.55,forest=74.15;snow=12.21;rock=5.73;soil=3.7;grass=2.31;other=1.89
forest,high,ridge,high,47447,forest_leaf_01,73.65,mountain_02_c_snow,12.26,forest=76.78;snow=14.65;rock=3.45;soil=2.08;other=1.67;grass=1.37
forest,high,flat,low,13356,forest_leaf_01,77.01,mountain_02_c_snow,11.04,forest=77.05;snow=12.12;rock=6.47;soil=2.05;grass=1.37;other=0.94
forest,high,flat,mid,12853,forest_leaf_01,84.95,mountain_02_c_snow,6.28,forest=85.09;snow=7.73;rock=3.42;other=2.09;grass=1.07;soil=0.6
forest,high,flat,high,14588,forest_leaf_01,80.96,mountain_02_c_snow,6.44,forest=81.53;snow=7.24;other=5.41;rock=3.81;grass=1.17;soil=0.84
forest,high,valley,low,75691,forest_leaf_01,79.08,mountain_02_c_snow,8.04,forest=79.56;snow=8.6;rock=7.83;soil=1.86;other=1.45;grass=0.68
forest,high,valley,mid,24610,forest_leaf_01,83.97,mountain_02_c_snow,6.51,forest=84.21;snow=6.94;rock=4.16;other=2.62;grass=1.32;soil=0.75
forest,high,valley,high,14127,forest_leaf_01,79.76,mountain_02_c_snow,8.66,forest=80.07;snow=8.94;rock=4.49;other=4.2;grass=1.95;soil=0.34
hills,low,ridge,low,7319,drylands_01_grassy,17.07,desert_rocky,16.81,rock=47.73;grass=19.7;other=17.07;soil=7.41;forest=7.35;snow=0.75
hills,low,ridge,mid,28147,drylands_01_grassy,33.23,desert_rocky,16.54,rock=42.23;grass=38.59;other=8.03;forest=7.01;soil=3.98;snow=0.15
hills,low,ridge,high,28280,drylands_01_grassy,17.32,steppe_rocks,11.36,rock=39.07;grass=32.61;other=10.76;forest=6.75;soil=6.22;snow=4.59
hills,low,flat,low,17509,drylands_01_grassy,29.16,hills_01,14.39,rock=36.43;grass=31.78;other=18.84;forest=7.38;soil=5.06;snow=0.5
hills,low,flat,mid,25277,drylands_01_grassy,38.71,desert_rocky,13.04,grass=40.21;rock=35.7;other=12.3;forest=8.23;soil=3.49;snow=0.07
hills,low,flat,high,7819,drylands_01_grassy,28.9,hills_01,13.05,rock=36.99;grass=31.26;other=17.24;forest=8.76;soil=3.88;snow=1.88
hills,low,valley,low,33375,drylands_01_grassy,31.5,hills_01,17.12,rock=36.72;grass=33.35;other=21.2;forest=5.1;soil=2.1;snow=1.53
hills,low,valley,mid,15551,drylands_01_grassy,36.28,desert_rocky,18.67,rock=37.44;grass=37.12;other=18.55;soil=4.17;forest=2.25;snow=0.47
hills,low,valley,high,3538,hills_01,30.47,drylands_01_grassy,24.17,rock=38.19;other=31.71;grass=25.16;forest=2.8;soil=1.36;snow=0.79
hills,mid,ridge,low,32272,hills_01,21.91,drylands_01_grassy,19.4,rock=36.86;other=25.07;grass=23.12;forest=9.16;soil=4.44;snow=1.36
hills,mid,ridge,mid,76394,drylands_01_grassy,21.22,hills_01,14.54,rock=36.51;grass=28.37;other=17.48;forest=11.93;soil=4.89;snow=0.83
hills,mid,ridge,high,91155,hills_01,13.24,drylands_01_grassy,12.07,rock=34.54;grass=26.93;other=15.42;soil=9.94;forest=7.54;snow=5.63
hills,mid,flat,low,38063,drylands_01_grassy,20.97,hills_01,17.53,rock=40.82;grass=24.05;other=21.15;forest=10.63;soil=2.37;snow=0.97
hills,mid,flat,mid,42154,drylands_01_grassy,21.74,hills_01,16.22,rock=44.93;grass=24.58;other=18.12;forest=9.09;soil=2.63;snow=0.65
hills,mid,flat,high,15242,hills_01,15.9,drylands_01_grassy,14.61,rock=46.15;grass=21.47;other=18.41;forest=6.64;soil=4.52;snow=2.81
hills,mid,valley,low,100465,drylands_01_grassy,23.49,hills_01,20.87,rock=37.41;grass=25.32;other=24.72;forest=8.7;snow=2.24;soil=1.6
hills,mid,valley,mid,38861,hills_01,24.46,drylands_01_grassy,21.78,rock=39.68;other=27.49;grass=22.72;forest=7.32;soil=1.79;snow=1.01
hills,mid,valley,high,7555,hills_01,30.62,mountain_02_d,9.25,rock=43.69;other=33.18;grass=11.82;forest=7.57;soil=2.38;snow=1.35
hills,high,ridge,low,39597,hills_01,24.46,hills_01_rocks,10.07,rock=30.5;other=28.8;grass=15.79;forest=12.34;snow=7.23;soil=5.35
hills,high,ridge,mid,69349,hills_01,17.29,hills_01_rocks,9.3,rock=33.19;other=20.7;forest=17.01;grass=13.21;snow=8.18;soil=7.71
hills,high,ridge,high,109690,hills_01,12.4,hills_01_rocks,9.14,rock=34.68;grass=20.95;other=14.14;forest=11.19;snow=9.92;soil=9.14
