field,value,uses
picture,"Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3335, key='trigger', op='=', value=Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3335, key='event_target:final_boss', op='=', value=Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3335, key='culture', op='=', value='orc', quoted_key=False, quoted_value=False)], end_comments=[], multiline=False), quoted_key=False, quoted_value=False)], end_comments=[], multiline=False), quoted_key=False, quoted_value=False), Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3336, key='picture', op='=', value='GFX_evt_orcs', quoted_key=False, quoted_value=False)], end_comments=[], multiline=False)",1
picture,"Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3339, key='trigger', op='=', value=Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3339, key='event_target:final_boss', op='=', value=Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3339, key='culture', op='=', value='goblin', quoted_key=False, quoted_value=False)], end_comments=[], multiline=False), quoted_key=False, quoted_value=False)], end_comments=[], multiline=False), quoted_key=False, quoted_value=False), Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3340, key='picture', op='=', value='GFX_evt_goblin_1', quoted_key=False, quoted_value=False)], end_comments=[], multiline=False)",1
picture,"Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3343, key='trigger', op='=', value=Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3343, key='event_target:final_boss', op='=', value=Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3343, key='culture', op='=', value='hobgoblin', quoted_key=False, quoted_value=False)], end_comments=[], multiline=False), quoted_key=False, quoted_value=False)], end_comments=[], multiline=False), quoted_key=False, quoted_value=False), Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3344, key='picture', op='=', value='GFX_evt_hobgoblin_1', quoted_key=False, quoted_value=False)], end_comments=[], multiline=False)",1
picture,"Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3347, key='trigger', op='=', value=Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3347, key='event_target:final_boss', op='=', value=Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3347, key='culture', op='=', value='bugbear', quoted_key=False, quoted_value=False)], end_comments=[], multiline=False), quoted_key=False, quoted_value=False)], end_comments=[], multiline=False), quoted_key=False, quoted_value=False), Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3348, key='picture', op='=', value='GFX_evt_bugbear_1', quoted_key=False, quoted_value=False)], end_comments=[], multiline=False)",1
picture,"Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3351, key='trigger', op='=', value=Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3351, key='event_target:final_boss', op='=', value=Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3351, key='culture', op='=', value='gnoll', quoted_key=False, quoted_value=False)], end_comments=[], multiline=False), quoted_key=False, quoted_value=False)], end_comments=[], multiline=False), quoted_key=False, quoted_value=False), Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3352, key='picture', op='=', value='GFX_evt_gnoll_1', quoted_key=False, quoted_value=False)], end_comments=[], multiline=False)",1
picture,"Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3355, key='trigger', op='=', value=Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3355, key='event_target:final_boss', op='=', value=Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3355, key='culture', op='=', value='ogre', quoted_key=False, quoted_value=False)], end_comments=[], multiline=False), quoted_key=False, quoted_value=False)], end_comments=[], multiline=False), quoted_key=False, quoted_value=False), Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3356, key='picture', op='=', value='GFX_evt_ogre_1', quoted_key=False, quoted_value=False)], end_comments=[], multiline=False)",1
picture,"Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3359, key='trigger', op='=', value=Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3359, key='event_target:final_boss', op='=', value=Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3359, key='culture', op='=', value='kobold', quoted_key=False, quoted_value=False)], end_comments=[], multiline=False), quoted_key=False, quoted_value=False)], end_comments=[], multiline=False), quoted_key=False, quoted_value=False), Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3360, key='picture', op='=', value='GFX_evt_kobold_1', quoted_key=False, quoted_value=False)], end_comments=[], multiline=False)",1
picture,"Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3363, key='trigger', op='=', value=Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3363, key='event_target:final_boss', op='=', value=Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3363, key='culture', op='=', value='drow', quoted_key=False, quoted_value=False)], end_comments=[], multiline=False), quoted_key=False, quoted_value=False)], end_comments=[], multiline=False), quoted_key=False, quoted_value=False), Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3364, key='picture', op='=', value='GFX_evt_drow_1', quoted_key=False, quoted_value=False)], end_comments=[], multiline=False)",1
picture,"Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3367, key='trigger', op='=', value=Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3367, key='event_target:final_boss', op='=', value=Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3367, key='culture', op='=', value='sahuagin', quoted_key=False, quoted_value=False)], end_comments=[], multiline=False), quoted_key=False, quoted_value=False)], end_comments=[], multiline=False), quoted_key=False, quoted_value=False), Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3368, key='picture', op='=', value='GFX_evt_sahuagin_1', quoted_key=False, quoted_value=False)], end_comments=[], multiline=False)",1
picture,"Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3371, key='trigger', op='=', value=Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3371, key='event_target:final_boss', op='=', value=Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3371, key='trait', op='=', value='undead', quoted_key=False, quoted_value=False)], end_comments=[], multiline=False), quoted_key=False, quoted_value=False)], end_comments=[], multiline=False), quoted_key=False, quoted_value=False), Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3372, key='picture', op='=', value='GFX_evt_undead_3', quoted_key=False, quoted_value=False)], end_comments=[], multiline=False)",1
picture,"Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3375, key='trigger', op='=', value=Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3375, key='event_target:final_boss', op='=', value=Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3375, key='culture', op='=', value='ogre_magi', quoted_key=False, quoted_value=False)], end_comments=[], multiline=False), quoted_key=False, quoted_value=False)], end_comments=[], multiline=False), quoted_key=False, quoted_value=False), Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3376, key='picture', op='=', value='GFX_evt_ogre_magi', quoted_key=False, quoted_value=False)], end_comments=[], multiline=False)",1
picture,"Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3379, key='trigger', op='=', value=Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3379, key='event_target:final_boss', op='=', value=Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3379, key='culture', op='=', value='troll', quoted_key=False, quoted_value=False)], end_comments=[], multiline=False), quoted_key=False, quoted_value=False)], end_comments=[], multiline=False), quoted_key=False, quoted_value=False), Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3380, key='picture', op='=', value='GFX_evt_troll_1', quoted_key=False, quoted_value=False)], end_comments=[], multiline=False)",1
picture,"Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3383, key='trigger', op='=', value=Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3383, key='event_target:final_boss', op='=', value=Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3383, key='culture', op='=', value='minotaur', quoted_key=False, quoted_value=False)], end_comments=[], multiline=False), quoted_key=False, quoted_value=False)], end_comments=[], multiline=False), quoted_key=False, quoted_value=False), Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3384, key='picture', op='=', value='GFX_evt_minotaur_1', quoted_key=False, quoted_value=False)], end_comments=[], multiline=False)",1
picture,"Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3387, key='trigger', op='=', value=Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3387, key='event_target:final_boss', op='=', value=Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3387, key='trait', op='=', value='creature_giant', quoted_key=False, quoted_value=False)], end_comments=[], multiline=False), quoted_key=False, quoted_value=False)], end_comments=[], multiline=False), quoted_key=False, quoted_value=False), Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3388, key='picture', op='=', value='GFX_evt_giant_fire', quoted_key=False, quoted_value=False)], end_comments=[], multiline=False)",1
picture,"Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3391, key='trigger', op='=', value=Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3391, key='event_target:final_boss', op='=', value=Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3391, key='culture', op='=', value='illithid', quoted_key=False, quoted_value=False)], end_comments=[], multiline=False), quoted_key=False, quoted_value=False)], end_comments=[], multiline=False), quoted_key=False, quoted_value=False), Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3392, key='picture', op='=', value='GFX_evt_mind_flayers_2', quoted_key=False, quoted_value=False)], end_comments=[], multiline=False)",1
picture,"Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3395, key='trigger', op='=', value=Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3395, key='event_target:final_boss', op='=', value=Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3395, key='culture', op='=', value='beholder', quoted_key=False, quoted_value=False)], end_comments=[], multiline=False), quoted_key=False, quoted_value=False)], end_comments=[], multiline=False), quoted_key=False, quoted_value=False), Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3396, key='picture', op='=', value='GFX_evt_beholder_1', quoted_key=False, quoted_value=False)], end_comments=[], multiline=False)",1
picture,"Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3399, key='trigger', op='=', value=Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3399, key='event_target:final_boss', op='=', value=Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3399, key='culture', op='=', value='aboleth', quoted_key=False, quoted_value=False)], end_comments=[], multiline=False), quoted_key=False, quoted_value=False)], end_comments=[], multiline=False), quoted_key=False, quoted_value=False), Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3400, key='picture', op='=', value='GFX_evt_aboleth_1', quoted_key=False, quoted_value=False)], end_comments=[], multiline=False)",1
picture,"Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3403, key='trigger', op='=', value=Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3403, key='event_target:final_boss', op='=', value=Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3403, key='trait', op='=', value='creature_dragon', quoted_key=False, quoted_value=False)], end_comments=[], multiline=False), quoted_key=False, quoted_value=False)], end_comments=[], multiline=False), quoted_key=False, quoted_value=False), Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3404, key='picture', op='=', value='GFX_evt_dragon_2', quoted_key=False, quoted_value=False)], end_comments=[], multiline=False)",1
picture,"Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3407, key='trigger', op='=', value=Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3407, key='event_target:final_boss', op='=', value=Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3407, key='trait', op='=', value='vampire', quoted_key=False, quoted_value=False)], end_comments=[], multiline=False), quoted_key=False, quoted_value=False)], end_comments=[], multiline=False), quoted_key=False, quoted_value=False), Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3408, key='picture', op='=', value='GFX_evt_vampire_1', quoted_key=False, quoted_value=False)], end_comments=[], multiline=False)",1
picture,"Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3411, key='trigger', op='=', value=Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3411, key='event_target:final_boss', op='=', value=Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3411, key='trait', op='=', value='natural_lycanthrope', quoted_key=False, quoted_value=False)], end_comments=[], multiline=False), quoted_key=False, quoted_value=False)], end_comments=[], multiline=False), quoted_key=False, quoted_value=False), Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3412, key='picture', op='=', value='GFX_evt_werewolf', quoted_key=False, quoted_value=False)], end_comments=[], multiline=False)",1
picture,"Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3415, key='trigger', op='=', value=Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3415, key='event_target:final_boss', op='=', value=Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3415, key='culture', op='=', value='naga', quoted_key=False, quoted_value=False)], end_comments=[], multiline=False), quoted_key=False, quoted_value=False)], end_comments=[], multiline=False), quoted_key=False, quoted_value=False), Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3416, key='picture', op='=', value='GFX_evt_naga_2', quoted_key=False, quoted_value=False)], end_comments=[], multiline=False)",1
picture,"Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3419, key='trigger', op='=', value=Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3419, key='event_target:final_boss', op='=', value=Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3419, key='culture', op='=', value='baatezu', quoted_key=False, quoted_value=False)], end_comments=[], multiline=False), quoted_key=False, quoted_value=False)], end_comments=[], multiline=False), quoted_key=False, quoted_value=False), Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3420, key='picture', op='=', value='GFX_evt_devils_1', quoted_key=False, quoted_value=False)], end_comments=[], multiline=False)",1
picture,"Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3423, key='trigger', op='=', value=Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3423, key='event_target:final_boss', op='=', value=Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3423, key='culture', op='=', value='tanarri', quoted_key=False, quoted_value=False)], end_comments=[], multiline=False), quoted_key=False, quoted_value=False)], end_comments=[], multiline=False), quoted_key=False, quoted_value=False), Node(leading_comments=[], trailing_comment=None, blank_before=False, line=3424, key='picture', op='=', value='GFX_evt_demons_1', quoted_key=False, quoted_value=False)], end_comments=[], multiline=False)",1
picture,"Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=4348, key='trigger', op='=', value=Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=4348, key='event_target:final_boss', op='=', value=Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=4348, key='culture', op='=', value='orc', quoted_key=False, quoted_value=False)], end_comments=[], multiline=False), quoted_key=False, quoted_value=False)], end_comments=[], multiline=False), quoted_key=False, quoted_value=False), Node(leading_comments=[], trailing_comment=None, blank_before=False, line=4349, key='picture', op='=', value='GFX_evt_orcs', quoted_key=False, quoted_value=False)], end_comments=[], multiline=False)",1
picture,"Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=4352, key='trigger', op='=', value=Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=4352, key='event_target:final_boss', op='=', value=Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=4352, key='culture', op='=', value='goblin', quoted_key=False, quoted_value=False)], end_comments=[], multiline=False), quoted_key=False, quoted_value=False)], end_comments=[], multiline=False), quoted_key=False, quoted_value=False), Node(leading_comments=[], trailing_comment=None, blank_before=False, line=4353, key='picture', op='=', value='GFX_evt_goblin_1', quoted_key=False, quoted_value=False)], end_comments=[], multiline=False)",1
picture,"Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=4356, key='trigger', op='=', value=Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=4356, key='event_target:final_boss', op='=', value=Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=4356, key='culture', op='=', value='hobgoblin', quoted_key=False, quoted_value=False)], end_comments=[], multiline=False), quoted_key=False, quoted_value=False)], end_comments=[], multiline=False), quoted_key=False, quoted_value=False), Node(leading_comments=[], trailing_comment=None, blank_before=False, line=4357, key='picture', op='=', value='GFX_evt_hobgoblin_1', quoted_key=False, quoted_value=False)], end_comments=[], multiline=False)",1
picture,"Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=4360, key='trigger', op='=', value=Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=4360, key='event_target:final_boss', op='=', value=Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=4360, key='culture', op='=', value='bugbear', quoted_key=False, quoted_value=False)], end_comments=[], multiline=False), quoted_key=False, quoted_value=False)], end_comments=[], multiline=False), quoted_key=False, quoted_value=False), Node(leading_comments=[], trailing_comment=None, blank_before=False, line=4361, key='picture', op='=', value='GFX_evt_bugbear_1', quoted_key=False, quoted_value=False)], end_comments=[], multiline=False)",1
picture,"Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=4364, key='trigger', op='=', value=Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=4364, key='event_target:final_boss', op='=', value=Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=4364, key='culture', op='=', value='gnoll', quoted_key=False, quoted_value=False)], end_comments=[], multiline=False), quoted_key=False, quoted_value=False)], end_comments=[], multiline=False), quoted_key=False, quoted_value=False), Node(leading_comments=[], trailing_comment=None, blank_before=False, line=4365, key='picture', op='=', value='GFX_evt_gnoll_1', quoted_key=False, quoted_value=False)], end_comments=[], multiline=False)",1
picture,"Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=4368, key='trigger', op='=', value=Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=4368, key='event_target:final_boss', op='=', value=Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=4368, key='culture', op='=', value='ogre', quoted_key=False, quoted_value=False)], end_comments=[], multiline=False), quoted_key=False, quoted_value=False)], end_comments=[], multiline=False), quoted_key=False, quoted_value=False), Node(leading_comments=[], trailing_comment=None, blank_before=False, line=4369, key='picture', op='=', value='GFX_evt_ogre_1', quoted_key=False, quoted_value=False)], end_comments=[], multiline=False)",1
picture,"Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=4372, key='trigger', op='=', value=Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=4372, key='event_target:final_boss', op='=', value=Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=4372, key='culture', op='=', value='kobold', quoted_key=False, quoted_value=False)], end_comments=[], multiline=False), quoted_key=False, quoted_value=False)], end_comments=[], multiline=False), quoted_key=False, quoted_value=False), Node(leading_comments=[], trailing_comment=None, blank_before=False, line=4373, key='picture', op='=', value='GFX_evt_kobold_1', quoted_key=False, quoted_value=False)], end_comments=[], multiline=False)",1
picture,"Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=4376, key='trigger', op='=', value=Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=4376, key='event_target:final_boss', op='=', value=Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=4376, key='culture', op='=', value='drow', quoted_key=False, quoted_value=False)], end_comments=[], multiline=False), quoted_key=False, quoted_value=False)], end_comments=[], multiline=False), quoted_key=False, quoted_value=False), Node(leading_comments=[], trailing_comment=None, blank_before=False, line=4377, key='picture', op='=', value='GFX_evt_drow_1', quoted_key=False, quoted_value=False)], end_comments=[], multiline=False)",1
picture,"Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=4380, key='trigger', op='=', value=Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=4380, key='event_target:final_boss', op='=', value=Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=4380, key='culture', op='=', value='sahuagin', quoted_key=False, quoted_value=False)], end_comments=[], multiline=False), quoted_key=False, quoted_value=False)], end_comments=[], multiline=False), quoted_key=False, quoted_value=False), Node(leading_comments=[], trailing_comment=None, blank_before=False, line=4381, key='picture', op='=', value='GFX_evt_sahuagin_1', quoted_key=False, quoted_value=False)], end_comments=[], multiline=False)",1
picture,"Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=4384, key='trigger', op='=', value=Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=4384, key='event_target:final_boss', op='=', value=Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=4384, key='trait', op='=', value='undead', quoted_key=False, quoted_value=False)], end_comments=[], multiline=False), quoted_key=False, quoted_value=False)], end_comments=[], multiline=False), quoted_key=False, quoted_value=False), Node(leading_comments=[], trailing_comment=None, blank_before=False, line=4385, key='picture', op='=', value='GFX_evt_undead_3', quoted_key=False, quoted_value=False)], end_comments=[], multiline=False)",1
picture,"Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=4388, key='trigger', op='=', value=Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=4388, key='event_target:final_boss', op='=', value=Block(entries=[Node(leading_comments=[], trailing_comment=None, blank_before=False, line=4388, key='culture', op='=', value='ogre_magi', quoted_key=False, quoted_value=False)], end_comments=[], multiline=False), quoted_key=False, quoted_value=False)], end_comments=[], multiline=False), quoted_key=False, quoted_value=False), Node(leading_comments=[], trailing_comment=None, blank_before=False, line=4389, key='picture', op='=', value='GFX_evt_ogre_magi', quoted_key=False, quoted_value=False)], end_comments=[], multiline=False)",1
