transect,canvas_row,canvas_col,ck2_source,plain,deterrace,shipped,land
A,1842,4770,7376,7376,7142,9263,1
A,1842,4771,7099,6822,7046,9223,1
A,1842,4772,7099,6822,6966,9187,1
A,1842,4773,7099,7099,6905,9139,1
A,1842,4774,7099,7099,6854,9083,1
A,1842,4775,6822,6822,6804,9041,1
A,1842,4776,6822,6822,6755,9010,1
A,1842,4777,6822,6822,6710,8973,1
A,1842,4778,6822,6822,6672,8918,1
A,1842,4779,6545,6545,6648,8829,1
A,1842,4780,6545,6545,6638,8711,1
A,1842,4781,6545,6545,6646,8580,1
A,1842,4782,6545,6545,6671,8434,1
A,1842,4783,6545,6545,6715,8256,1
A,1842,4784,7376,6822,6777,8045,1
A,1842,4785,7376,7376,6838,7805,1
A,1842,4786,6822,7376,6871,7543,1
A,1842,4787,6822,6822,6870,7278,1
A,1842,4788,6822,6822,6851,7034,1
A,1842,4789,6822,6822,6831,6831,1
A,1842,4790,6822,6822,6816,6682,1
A,1842,4791,6822,6822,6807,6583,1
A,1842,4792,6545,6822,6801,6526,1
A,1842,4793,6545,6545,6802,6506,1
A,1842,4794,6822,6545,6817,6518,1
A,1842,4795,6822,6822,6848,6564,1
A,1842,4796,6822,6822,6885,6653,1
A,1842,4797,6822,7099,6918,6792,1
A,1842,4798,6822,6822,6938,6959,1
A,1842,4799,6822,6822,6951,7120,1
A,1842,4800,6822,6822,6968,7252,1
A,1842,4801,6822,6822,6999,7349,1
A,1842,4802,7099,7099,7043,7423,1
A,1842,4803,7099,7099,7093,7491,1
A,1842,4804,7099,7099,7142,7549,1
A,1842,4805,7099,7099,7183,7582,1
A,1842,4806,7099,7099,7217,7590,1
A,1842,4807,7099,7099,7249,7577,1
A,1842,4808,7099,7099,7284,7550,1
A,1842,4809,7099,7099,7326,7523,1
A,1842,4810,7376,7376,7373,7516,1
A,1842,4811,7376,7376,7421,7533,1
A,1842,4812,7376,7376,7464,7565,1
A,1842,4813,7376,7376,7499,7603,1
A,1842,4814,7099,7376,7531,7637,1
A,1842,4815,7099,7376,7569,7662,1
A,1842,4816,7653,7376,7620,7693,1
A,1842,4817,7653,7653,7682,7747,1
A,1842,4818,7930,7930,7745,7815,1
A,1842,4819,7930,7930,7800,7859,1
A,1842,4820,7653,7653,7846,7850,1
A,1842,4821,7653,7653,7887,7800,1
A,1842,4822,7930,7930,7927,7746,1
A,1842,4823,7930,7930,7962,7702,1
A,1842,4824,7930,7930,7974,7656,1
A,1842,4825,7653,8207,7940,7602,1
A,1842,4826,7653,7930,7865,7555,1
A,1842,4827,7653,7930,7812,7543,1
A,1842,4828,7653,7930,7801,7563,1
A,1842,4829,7653,7930,7823,7611,1
A,1842,4830,7653,7930,7864,7659,1
A,1842,4831,8484,8207,7902,7645,1
A,1842,4832,8484,8761,8810,8455,1
A,1842,4833,9038,9038,8891,8267,1
A,1842,4834,9038,9315,9041,8003,1
A,1842,4835,9038,9315,9419,8014,1
A,1842,4836,9038,9592,9577,8032,1
A,1842,4837,8761,9592,9620,8096,1
A,1842,4838,8761,9315,9567,8074,1
A,1842,4839,8761,9315,9512,8039,1
A,1842,4840,8761,9315,9524,8071,1
A,1842,4841,9315,9592,9601,7559,1
A,1842,4842,9315,9869,9730,4883,0
A,1842,4843,9592,9869,9899,4883,0
A,1842,4844,9592,10423,10057,4883,0
A,1842,4845,10423,11254,11457,4883,0
A,1842,4846,10423,11808,11438,4883,0
A,1842,4847,9592,11531,11376,4883,0
A,1842,4848,9592,10977,11290,4883,0
A,1842,4849,7653,9592,9591,4883,0
A,1842,4850,7653,8484,8162,4883,0
A,1842,4851,7099,7930,8094,4883,0
A,1842,4852,7099,7930,8007,4883,0
A,1842,4853,6545,7930,7935,4883,0
A,1842,4854,6545,7930,7876,6124,1
A,1842,4855,5991,7930,7824,5984,1
A,1842,4856,5991,7653,7782,5954,1
A,1842,4857,5714,7099,6973,5591,1
A,1842,4858,5714,6822,6937,4883,0
A,1842,4859,5714,6822,6904,4883,0
A,1842,4860,5714,6822,6893,4883,0
A,1842,4861,5437,6822,6916,4883,0
A,1842,4862,5437,6822,6977,4883,0
A,1842,4863,5991,7099,7076,4883,0
A,1842,4864,5991,7099,7208,4883,0
A,1842,4865,5991,7376,7348,4883,0
A,1842,4866,6822,7653,7444,4883,0
A,1842,4867,6822,8207,8235,4883,0
A,1842,4868,7653,8761,8868,4883,0
A,1842,4869,7653,9038,8931,4883,0
A,1842,4870,8761,9592,9564,4883,0
A,1842,4871,8761,10146,10345,4883,0
A,1842,4872,9869,10423,10415,4883,0
A,1842,4873,9869,10700,10476,4883,0
A,1842,4874,11254,11254,11473,4883,0
A,1842,4875,11254,11808,11497,8399,1
A,1842,4876,12639,12639,13124,9214,1
A,1842,4877,12639,13193,13134,9516,1
A,1842,4878,12916,13193,13172,10259,1
A,1842,4879,12916,13193,13193,11155,1
A,1842,4880,13193,13193,13229,11725,1
A,1842,4881,13193,13193,13303,12401,1
A,1842,4882,13470,13470,13410,12747,1
A,1842,4883,13470,13470,13541,13119,1
A,1842,4884,14024,13470,13688,12986,1
A,1842,4885,14024,14301,13826,12203,1
A,1842,4886,17349,15964,15646,12773,1
A,1842,4887,17349,17903,17858,13988,1
A,1842,4888,19842,19842,19842,13510,1
A,1842,4889,19842,21227,21227,4883,0
A,1842,4890,22612,22612,22949,4883,0
A,1842,4891,22612,23166,23311,4883,0
A,1842,4892,23443,23443,23386,4883,0
A,1842,4893,23443,23443,23415,4883,0
A,1842,4894,23720,23443,23415,4883,0
A,1842,4895,23720,23443,23385,4883,0
A,1842,4896,22889,23166,23340,4883,0
A,1842,4897,22889,22335,22383,4883,0
A,1842,4898,21781,22058,22321,4883,0
A,1842,4899,21781,21781,22334,15276,1
A,1842,4900,22889,22612,22566,15364,1
A,1842,4901,22889,23166,23236,16797,1
A,1842,4902,23443,23443,23293,18989,1
A,1842,4903,23443,23443,23326,21522,1
A,1842,4904,23443,23443,23324,22793,1
A,1842,4905,23443,23443,23284,23845,1
A,1842,4906,23166,22889,23219,23770,1
A,1842,4907,23166,22889,23147,23625,1
A,1842,4908,23166,23166,23076,23426,1
A,1842,4909,23166,23166,23001,23194,1
A,1842,4910,23166,22889,22913,22957,1
A,1842,4911,22612,22889,22814,22736,1
A,1842,4912,22612,22335,22721,22555,1
A,1842,4913,22612,22335,22648,22433,1
A,1842,4914,22612,22612,22588,22348,1
A,1842,4915,22612,22612,22522,22259,1
A,1842,4916,22612,22612,22427,22149,1
A,1842,4917,22335,22612,22290,22040,1
A,1842,4918,22335,22335,22059,21894,1
A,1842,4919,21781,21781,21839,21788,1
A,1842,4920,21781,21781,21728,21781,1
A,1842,4921,21781,21781,21669,21816,1
A,1842,4922,21781,21781,21644,21877,1
A,1842,4923,21781,21781,21640,21941,1
A,1842,4924,21781,21781,21644,21999,1
A,1842,4925,21504,21504,21649,22057,1
A,1842,4926,21504,21504,21653,22098,1
A,1842,4927,21781,21504,21663,22101,1
A,1842,4928,21781,21781,21689,22086,1
A,1842,4929,21781,21781,21738,22089,1
A,1842,4930,21781,21781,21814,22101,1
A,1842,4931,22058,21781,21912,22088,1
A,1842,4932,22058,22058,22032,22018,1
A,1842,4933,22612,22612,22485,22197,1
A,1842,4934,22612,22889,22661,22066,1
A,1842,4935,23166,23166,22978,22122,1
A,1842,4936,23166,23443,23211,22138,1
A,1842,4937,23720,23720,23415,22134,1
A,1842,4938,23720,23720,23602,22177,1
A,1842,4939,23720,23720,23771,22312,1
A,1842,4940,23720,23720,23952,22519,1
A,1842,4941,24828,24274,24163,22792,1
A,1842,4942,24828,24828,24633,23394,1
A,1842,4943,25382,25105,24809,23730,1
A,1842,4944,25382,25382,25278,24352,1
A,1842,4945,26213,25659,25478,24830,1
A,1842,4946,26213,25936,25676,25418,1
A,1842,4947,26490,26213,26010,25933,1
A,1842,4948,26490,26213,26191,26036,1
A,1842,4949,25936,25936,26244,26062,1
A,1842,4950,25936,25382,25188,25158,1
A,1842,4951,25382,25105,25108,25299,1
A,1842,4952,25382,24828,24794,25358,1
A,1842,4953,25382,24551,24562,25410,1
A,1842,4954,25105,24551,24442,25548,1
A,1842,4955,25105,24551,24455,25747,1
A,1842,4956,25105,24274,24538,25918,1
A,1842,4957,25105,24551,24659,25534,1
A,1842,4958,29537,25936,26339,25806,1
A,1842,4959,29537,28429,28312,26360,1
A,1842,4960,30645,29814,29874,27760,1
A,1842,4961,30645,30091,29864,28788,1
A,1842,4962,29814,29814,29863,29866,1
A,1842,4963,29814,29537,29898,30467,1
A,1842,4964,28983,28983,28936,29944,1
A,1842,4965,28983,28706,28977,30431,1
A,1842,4966,30091,29260,29032,30377,1
A,1842,4967,30091,30091,30574,31767,1
A,1842,4968,30922,30645,30782,32342,1
A,1842,4969,30922,30645,30938,32940,1
A,1842,4970,31199,30922,31055,33311,1
A,1842,4971,31199,31199,31151,33002,1
A,1842,4972,31476,31476,31261,31949,1
A,1842,4973,31476,31476,31425,30625,1
A,1842,4974,31753,31476,31567,29637,1
A,1842,4975,31753,31476,31663,29101,1
A,1842,4976,33969,32030,31721,28248,1
A,1842,4977,33969,33138,33137,27783,1
A,1842,4978,36739,34800,34802,26988,1
A,1842,4979,36739,36185,36189,25907,1
A,1842,4980,37847,37293,37309,24293,1
A,1842,4981,37847,37293,37309,21111,1
A,1842,4982,35354,35908,35908,17069,1
A,1842,4983,35354,33692,33692,14005,1
A,1842,4984,28429,30368,30120,11961,1
A,1842,4985,28429,26490,26355,11377,1
A,1842,4986,22335,22889,22890,11715,1
A,1842,4987,22335,20673,20723,12587,1
A,1842,4988,21781,20673,20740,13873,1
A,1842,4989,21781,20950,20753,13498,1
A,1842,4990,24551,22058,21919,13028,1
A,1842,4991,24551,24551,24527,13395,1
A,1842,4992,29537,27598,27528,14724,1
A,1842,4993,29537,29537,29788,17023,1
A,1842,4994,30368,30091,29724,18736,1
A,1842,4995,28706,29260,29446,20415,1
A,1842,4996,28706,28152,27846,19917,1
A,1842,4997,28152,27598,27779,20404,1
A,1842,4998,28152,27321,27773,21347,1
A,1842,4999,28983,27875,27840,22804,1
A,1842,5000,28983,28152,27922,24077,1
A,1842,5001,29537,28706,28941,25942,1
A,1842,5002,29537,28983,29019,27023,1
A,1842,5003,28429,28983,29070,28261,1
A,1842,5004,28429,28429,28222,28163,1
A,1842,5005,28706,28152,28221,28314,1
A,1842,5006,28706,28152,28242,28403,1
A,1842,5007,29260,28429,28290,28632,1
A,1842,5008,29260,28706,28307,28591,1
A,1842,5009,30368,29260,29473,29342,1
A,1842,5010,30368,29814,29922,29348,1
A,1842,5011,30091,30091,29908,29128,1
A,1842,5012,30091,30091,29873,29193,1
A,1842,5013,29814,29814,29854,29590,1
A,1842,5014,29814,29537,29876,30146,1
A,1842,5015,30368,29814,29947,30445,1
A,1842,5016,30368,30091,30030,30050,1
A,1842,5017,30091,30368,30082,28636,1
A,1842,5018,30091,30091,30081,26191,1
A,1842,5019,29537,29814,30031,23424,1
A,1842,5020,29537,29537,29934,21425,1
A,1842,5021,28706,29537,29745,20486,1
A,1842,5022,28706,29537,29656,20254,1
A,1842,5023,28429,29814,29624,20236,1
A,1842,5024,28429,29537,29613,20788,1
A,1842,5025,26767,28706,28711,21162,1
A,1842,5026,26767,27875,27746,21809,1
A,1842,5027,26213,27598,27742,23452,1
A,1842,5028,26213,26767,26647,24233,1
A,1842,5029,24828,26490,26717,26351,1
A,1842,5030,24828,25936,25701,27044,1
A,1842,5031,24551,25382,25539,28100,1
A,1842,5032,24551,25382,25435,29100,1
A,1842,5033,23997,24828,24606,29310,1
A,1842,5034,23997,24551,24529,29903,1
A,1842,5035,23720,24274,24420,30144,1
A,1842,5036,23720,24274,24303,30366,1
A,1842,5037,23997,24274,24173,30576,1
A,1842,5038,24551,24551,24142,30676,1
A,1842,5039,24551,25105,25405,31823,1
A,1842,5040,25105,25382,25406,31688,1
A,1842,5041,25105,25105,25390,31653,1
A,1842,5042,25659,25105,25415,31677,1
A,1842,5043,25659,25382,25453,31391,1
A,1842,5044,26213,25659,25454,30385,1
A,1842,5045,26213,25936,25455,28636,1
A,1842,5046,25382,25659,25451,26450,1
A,1842,5047,25382,25105,25460,24236,1
A,1842,5048,24274,24551,24429,21031,1
A,1842,5049,24274,23997,24133,18429,1
A,1842,5050,23166,23443,23207,15045,1
A,1842,5051,23166,23166,22983,12425,1
A,1842,5052,22335,22612,22801,10283,1
A,1842,5053,22335,22058,22210,8553,1
A,1842,5054,20396,21504,22129,7832,1
A,1842,5055,20396,20119,20319,6803,1
A,1842,5056,16795,18457,18507,6269,1
A,1842,5057,16795,16518,16710,6024,1
A,1842,5058,13193,14855,14875,5925,1
A,1842,5059,13193,13193,13136,5933,1
A,1842,5060,10977,11808,11699,6086,1
A,1842,5061,10977,10700,10827,6594,1
A,1842,5062,9592,9869,9506,6725,1
A,1842,5063,9592,9315,9467,7718,1
A,1842,5064,9315,9315,9392,8301,1
A,1842,5065,9315,9315,9275,8643,1
A,1842,5066,8761,9038,9123,9043,1
A,1842,5067,8761,8484,8394,8873,1
A,1842,5068,7930,8207,8282,9086,1
A,1842,5069,7930,7930,8192,9097,1
A,1842,5070,7653,7930,8094,9077,1
A,1842,5071,7653,7930,7964,9119,1
A,1842,5072,7653,7653,7800,9203,1
A,1842,5073,7653,7653,7616,9269,1
A,1842,5074,7099,7376,7432,9267,1
A,1842,5075,7099,7099,7116,9109,1
A,1842,5076,6268,6822,6943,9185,1
A,1842,5077,6268,5991,5787,8290,1
A,1842,5078,5437,5437,5656,8176,1
A,1842,5079,5437,5437,5498,7347,1
A,1842,5080,5437,5437,5342,6624,1
A,1842,5081,4729,5160,5173,6136,1
A,1842,5082,4729,4780,5003,4680,0
A,1842,5083,4729,4729,4877,4476,0
A,1842,5084,4729,4729,4794,4273,0
A,1842,5085,4677,4729,4741,4149,0
A,1842,5086,4677,4677,4708,4020,0
A,1842,5087,4677,4677,4686,3866,0
A,1842,5088,4677,4677,4669,3697,0
A,1842,5089,4626,4677,4656,3518,0
A,1842,5090,4626,4626,4645,3334,0
A,1842,5091,4626,4626,4635,3145,0
A,1842,5092,4626,4626,4628,2953,0
A,1842,5093,4626,4626,4621,2759,0
A,1842,5094,4626,4626,4613,2563,0
A,1842,5095,4575,4626,4605,2433,0
A,1842,5096,4575,4575,4595,2293,0
A,1842,5097,4575,4575,4587,2146,0
A,1842,5098,4575,4575,4581,1991,0
A,1842,5099,4575,4575,4578,1831,0
A,1842,5100,4575,4575,4575,1666,0
A,1842,5101,4575,4575,4573,1497,0
A,1842,5102,4575,4575,4569,1324,0
A,1842,5103,4575,4575,4563,1148,0
A,1842,5104,4575,4575,4556,969,0
A,1842,5105,4523,4523,4547,788,0
A,1842,5106,4523,4523,4538,606,0
A,1842,5107,4523,4523,4531,421,0
A,1842,5108,4523,4523,4526,235,0
A,1842,5109,4523,4523,4523,47,0
A,1842,5110,4523,4523,4519,0,0
A,1842,5111,4523,4523,4515,0,0
A,1842,5112,4523,4523,4509,0,0
A,1842,5113,4472,4472,4501,0,0
A,1842,5114,4472,4472,4494,0,0
A,1842,5115,4472,4472,4487,0,0
A,1842,5116,4472,4472,4480,0,0
A,1842,5117,4472,4472,4475,0,0
A,1842,5118,4472,4472,4470,0,0
A,1842,5119,4472,4472,4465,0,0
A,1842,5120,4472,4472,4459,0,0
A,1842,5121,4420,4420,4452,0,0
A,1842,5122,4420,4420,4447,0,0
A,1842,5123,4420,4420,4441,0,0
A,1842,5124,4420,4420,4437,0,0
A,1842,5125,4420,4420,4433,0,0
A,1842,5126,4420,4420,4430,0,0
A,1842,5127,4420,4420,4429,0,0
A,1842,5128,4420,4420,4428,0,0
A,1842,5129,4420,4420,4428,0,0
A,1842,5130,4420,4420,4429,0,0
A,1842,5131,4420,4420,4430,0,0
A,1842,5132,4420,4420,4433,0,0
A,1842,5133,4420,4420,4437,47,0
A,1842,5134,4420,4420,4441,120,0
A,1842,5135,4420,4420,4445,186,0
A,1842,5136,4472,4420,4451,243,0
A,1842,5137,4472,4472,4457,293,0
A,1842,5138,4472,4472,4464,334,0
A,1842,5139,4472,4472,4472,365,0
A,1842,5140,4472,4472,4481,388,0
A,1842,5141,4472,4472,4489,402,0
A,1842,5142,4523,4472,4498,407,0
A,1842,5143,4523,4523,4505,402,0
A,1842,5144,4523,4523,4512,388,0
A,1842,5145,4523,4523,4518,379,0
A,1842,5146,4523,4523,4522,439,0
A,1842,5147,4523,4523,4527,491,0
A,1842,5148,4523,4523,4531,534,0
A,1842,5149,4523,4523,4537,567,0
A,1842,5150,4523,4523,4543,591,0
A,1842,5151,4523,4523,4549,606,0
A,1842,5152,4575,4575,4556,610,0
A,1842,5153,4575,4575,4562,610,0
A,1842,5154,4575,4575,4567,606,0
A,1842,5155,4575,4575,4571,591,0
A,1842,5156,4575,4575,4573,591,0
A,1842,5157,4575,4575,4574,763,0
A,1842,5158,4575,4575,4575,933,0
A,1842,5159,4575,4575,4575,1098,0
A,1842,5160,4575,4575,4575,1261,0
A,1842,5161,4575,4575,4575,1418,0
A,1842,5162,4575,4575,4575,1571,0
A,1842,5163,4575,4575,4576,1718,0
A,1842,5164,4575,4575,4577,1858,0
A,1842,5165,4575,4575,4579,1991,0
A,1842,5166,4575,4575,4582,2116,0
A,1842,5167,4575,4575,4588,2230,0
A,1842,5168,4575,4575,4595,2334,0
A,1842,5169,4626,4575,4604,2425,0
A,1842,5170,4626,4626,4612,2502,0
A,1842,5171,4626,4626,4619,2563,0
A,1842,5172,4626,4626,4626,2720,0
A,1842,5173,4626,4626,4633,2869,0
A,1842,5174,4626,4626,4641,3007,0
A,1842,5175,4677,4626,4651,3157,0
A,1842,5176,4677,4677,4662,3294,0
A,1842,5177,4677,4677,4674,3444,0
A,1842,5178,4677,4677,4686,3580,0
A,1842,5179,4729,4677,4700,3732,0
A,1842,5180,4729,4729,4714,3866,0
A,1842,5181,4729,4729,4732,4020,0
A,1842,5182,4729,4729,4755,4149,0
A,1842,5183,4729,4677,4786,4308,0
A,1842,5184,4729,4677,4825,4476,0
A,1842,5185,5437,4832,4857,4680,0
A,1842,5186,5437,5437,5780,4912,1
A,1842,5187,6268,5991,6214,4903,1
A,1842,5188,6268,6268,6357,4897,1
A,1842,5189,7376,6545,6611,4899,1
A,1842,5190,7376,7099,7114,4913,1
A,1842,5191,8484,7930,8153,5010,1
A,1842,5192,8484,8761,8442,5021,1
A,1842,5193,10700,10146,10098,5534,1
A,1842,5194,10700,10977,10999,6324,1
A,1842,5195,10977,11254,10942,7299,1
A,1842,5196,10977,11254,10903,9036,1
A,1842,5197,10977,11254,10860,10741,1
A,1842,5198,10977,11254,10798,11770,1
A,1842,5199,10423,10977,10729,12282,1
A,1842,5200,10423,10700,10692,12609,1
A,1842,5201,10423,10423,10716,12948,1
A,1842,5202,10423,10423,10796,13346,1
A,1842,5203,10700,10977,10890,13745,1
A,1842,5204,10700,10977,10968,14086,1
A,1842,5205,10977,10977,11033,14327,1
A,1842,5206,10977,10977,11098,14430,1
A,1842,5207,10977,10977,11173,14386,1
A,1842,5208,10977,11254,11259,14230,1
A,1842,5209,11531,11531,11435,14125,1
A,1842,5210,11808,11808,11572,14039,1
A,1842,5211,11808,12085,11728,14052,1
A,1842,5212,12085,12085,11919,14097,1
A,1842,5213,12085,12362,12120,14090,1
A,1842,5214,11808,12362,12106,13857,1
A,1842,5215,11808,11808,11981,13575,1
A,1842,5216,11808,11808,11908,13383,1
A,1842,5217,11808,11808,11892,13210,1
A,1842,5218,12085,11808,11927,13017,1
A,1842,5219,12085,12085,12008,12810,1
A,1842,5220,12362,12085,12131,12567,1
A,1842,5221,12362,12362,12291,12266,1
A,1842,5222,12639,12362,12480,11966,1
A,1842,5223,12639,12639,12681,11786,1
A,1842,5224,13193,12916,12879,11803,1
A,1842,5225,13193,13193,13071,12022,1
A,1842,5226,13470,13193,13261,12401,1
A,1842,5227,13470,13470,13461,12839,1
A,1842,5228,14301,13747,13676,13169,1
A,1842,5229,14301,14024,13904,13254,1
A,1842,5230,14578,14301,14115,13073,1
A,1842,5231,14578,14578,14338,12783,1
A,1842,5232,14855,14855,14601,12644,1
A,1842,5233,14855,14855,14786,12779,1
A,1842,5234,14855,14855,14936,13254,1
A,1842,5235,14855,14578,15076,13805,1
A,1842,5236,15409,15132,15210,14232,1
A,1842,5237,15409,15409,15333,14688,1
A,1842,5238,15686,15409,15433,15251,1
A,1842,5239,15686,15409,15495,15785,1
A,1842,5240,16795,16241,16491,17376,1
A,1842,5241,16795,16518,16447,18114,1
A,1842,5242,15686,15964,15888,18708,1
A,1842,5243,15686,15686,15870,19608,1
A,1842,5244,15686,15409,15898,20020,1
A,1842,5245,15686,15964,15962,20119,1
A,1842,5246,16241,16241,16054,19934,1
A,1842,5247,16241,16518,16176,19450,1
A,1842,5248,16795,16518,16357,18882,1
A,1842,5249,16795,16518,16502,18188,1
A,1842,5250,17349,16795,16651,17108,1
A,1842,5251,17349,17349,16819,15456,1
A,1842,5252,19288,18180,18169,14297,1
A,1842,5253,21781,19565,19809,13226,1
A,1842,5254,21781,20950,20956,12357,1
A,1842,5255,24274,22335,22509,12710,1
A,1842,5256,24274,23443,23466,12905,1
A,1842,5257,25659,24274,24554,13671,1
A,1842,5258,25659,24828,24533,13902,1
A,1842,5259,26490,25382,25576,15683,1
A,1842,5260,26490,25936,25622,16880,1
A,1842,5261,26213,25936,25630,17771,1
A,1842,5262,26213,25659,25547,18279,1
A,1842,5263,25659,25382,25084,18464,1
A,1842,5264,25659,25105,25001,19213,1
A,1842,5265,24828,24828,24979,20221,1
A,1842,5266,24828,24274,24043,20441,1
A,1842,5267,23997,23997,23964,21353,1
A,1842,5268,23997,23720,23831,21897,1
A,1842,5269,23443,23720,23641,22342,1
A,1842,5270,23443,23443,23578,23182,1
A,1842,5271,23443,23720,23559,24260,1
A,1842,5272,23443,23443,23562,25356,1
A,1842,5273,23166,23166,23592,26432,1
A,1842,5274,23166,23443,23666,27448,1
A,1842,5275,24274,23720,23814,28341,1
A,1842,5276,24274,24274,24270,29405,1
A,1842,5277,24274,24274,24385,30123,1
A,1842,5278,24274,23997,24520,30815,1
A,1842,5279,25105,24551,24893,31624,1
A,1842,5280,25105,24828,25076,32240,1
A,1842,5281,25382,25382,25536,33332,1
A,1842,5282,25382,25382,25603,34342,1
A,1842,5283,25382,25382,25605,35483,1
A,1842,5284,25382,25382,25558,36506,1
A,1842,5285,25382,25382,25476,37203,1
A,1842,5286,25382,25382,25376,37577,1
A,1842,5287,24828,25105,25264,37740,1
A,1842,5288,24828,25105,25143,37756,1
A,1842,5289,24828,24828,25027,37644,1
A,1842,5290,24828,24828,24957,37436,1
A,1842,5291,24551,24551,24937,37070,1
A,1842,5292,24551,24828,24962,36388,1
A,1842,5293,25382,25382,25023,35300,1
A,1842,5294,26490,25936,25657,34486,1
A,1842,5295,26490,26490,26637,34076,1
A,1842,5296,26767,27044,26728,32975,1
A,1842,5297,26767,27044,26734,31716,1
A,1842,5298,26490,27044,26693,30153,1
A,1842,5299,26490,27044,26651,28592,1
A,1842,5300,25382,26490,26635,27373,1
A,1842,5301,25382,25659,25356,25100,1
A,1842,5302,24274,25105,25181,23996,1
A,1842,5303,24274,24274,24122,22407,1
A,1842,5304,22889,23443,23563,22161,1
A,1842,5305,22889,22612,22568,22235,1
A,1842,5306,22058,22058,21634,22645,1
A,1842,5307,22058,21504,21521,23832,1
A,1842,5308,20673,20950,21263,24756,1
A,1842,5309,20673,20119,19968,24422,1
A,1842,5310,20119,20119,19958,25009,1
A,1842,5311,20119,19842,19961,25314,1
A,1842,5312,19842,19842,19952,25546,1
A,1842,5313,19842,19842,19906,25802,1
A,1842,5314,19842,19842,19822,25995,1
A,1842,5315,19842,19842,19705,25997,1
A,1842,5316,19288,19565,19548,25808,1
A,1842,5317,19288,19288,19344,25534,1
A,1842,5318,18457,19011,19124,25284,1
A,1842,5319,18457,18734,18989,25079,1
A,1842,5320,19011,18734,18901,24677,1
A,1842,5321,19011,19011,18833,23908,1
A,1842,5322,18734,19011,18758,22832,1
A,1842,5323,18734,18734,18659,21703,1
A,1842,5324,18457,18734,18527,20808,1
A,1842,5325,18457,18457,18366,20278,1
A,1842,5326,17626,17903,18037,19839,1
A,1842,5327,17626,17903,17858,19504,1
A,1842,5328,17349,17349,17727,19030,1
A,1842,5329,17349,17349,17682,18628,1
A,1842,5330,17072,17626,17734,18540,1
A,1842,5331,17072,17626,17726,18610,1
A,1842,5332,16795,17072,17109,18100,1
A,1842,5333,16795,17072,17088,18046,1
A,1842,5334,17072,17349,17144,17934,1
A,1842,5335,17072,17349,17201,17841,1
A,1842,5336,16518,16795,17198,17811,1
A,1842,5337,16518,16795,17200,17837,1
A,1842,5338,16518,17072,17228,17854,1
A,1842,5339,15964,17072,17247,17881,1
A,1842,5340,15964,16241,15939,16647,1
A,1842,5341,15686,15964,15906,16691,1
A,1842,5342,15686,15686,15608,16442,1
A,1842,5343,14578,15409,15433,16339,1
A,1842,5344,14578,14855,14892,15866,1
A,1842,5345,14301,14301,14706,15675,1
