# CK2 culture group -> CK3 culture `traditions` (space-separated vanilla ids).
# ALL VALUES ARE assumed placeholders, submod to replace: CK2 has no tradition
# concept, so nothing here is converted from the source mod. Generated by
# scripts/seed_culture_traditions.py from overrides/race_of_culture_group.csv
# (race) plus a short per-group table; see docs/step_cultures_religions.md
# section `Placeholder culture traditions` for the derivation table.
# An EMPTY `traditions` cell means deliberately none (animals, undead,
# constructs, the monster filler culture) -- not missing input.
# A group with NO ROW at all makes the cultures step warn.
# The step merges these with the CK2-flag traditions (seafarer ->
# tradition_seafaring, allow_looting -> tradition_practiced_pirates), dedupes
# and truncates to DEFAULT_MAX_TRADITIONS = 5.
# Every id is base game (common/culture/traditions/00_*.txt), no DLC; checked
# by scripts/verify_culture_traditions.py.
ck2_culture_group,traditions,race,derivation
imaskari_group,tradition_hidden_cities tradition_philosopher_culture,human,per-group table for imaskari_group
katakoro_group,tradition_hereditary_hierarchy tradition_martial_admiration,human,race human
katashakan_group,tradition_hereditary_hierarchy tradition_martial_admiration,human,race human
lapal_group,tradition_wetlanders tradition_jungle_dwellers,human,per-group table for lapal_group
malatran_group,tradition_jungle_dwellers tradition_hunters,human,per-group table for malatran_group; 1 CK2 flag(s) add per culture at runtime
maztican_group,tradition_jungle_dwellers tradition_warrior_culture,human,per-group table for maztican_group
mulan_group,tradition_hereditary_hierarchy tradition_martial_admiration,human,race human
zakharan_group,tradition_desert_nomads tradition_esteemed_hospitality,human,per-group table for zakharan_group; 2 CK2 flag(s) add per culture at runtime
netherese_group,tradition_mystical_ancestors tradition_hereditary_hierarchy,human,per-group table for netherese_group
taan_group,tradition_horse_lords tradition_pastoralists,human,per-group table for taan_group
shou_group,tradition_hereditary_hierarchy tradition_philosopher_culture,human,per-group table for shou_group; 2 CK2 flag(s) add per culture at runtime
tethyrian_group,tradition_hereditary_hierarchy tradition_martial_admiration,human,race human
ulutiun_group,tradition_hunters tradition_esteemed_hospitality,human,per-group table for ulutiun_group
old_zakharan_group,tradition_desert_nomads tradition_esteemed_hospitality,human,per-group table for old_zakharan_group
gnome_group,tradition_hidden_cities tradition_metal_craftsmanship,gnome,race gnome
halfling_group,tradition_esteemed_hospitality tradition_storytellers,halfling,race halfling
undead_group,,undead,race undead is on the no-traditions list
minotaur_group,tradition_hidden_cities tradition_only_the_strong,minotaur,race minotaur; 1 CK2 flag(s) add per culture at runtime
beastfolk_group,tradition_hunters tradition_tribe_unity,beastfolk,race beastfolk; 1 CK2 flag(s) add per culture at runtime
fish_group,tradition_fishermen tradition_seafaring,fish,race fish; 2 CK2 flag(s) add per culture at runtime
centaur_group,tradition_horse_lords tradition_pastoralists,centaur,race centaur; 1 CK2 flag(s) add per culture at runtime
avian_group,tradition_mountaineers tradition_hunters,avian,race avian
aberration_culture_group,tradition_hidden_cities tradition_isolationist,aberration,race aberration; 1 CK2 flag(s) add per culture at runtime
construct_group,,construct,race construct is on the no-traditions list
plant_group,tradition_forest_folk tradition_sacred_groves,plant,race plant
fey_group,tradition_forest_folk tradition_sacred_groves,fey,race fey
celestial_group,tradition_hereditary_hierarchy tradition_philosopher_culture,celestial,race celestial
fiendish_group,tradition_ruling_caste tradition_only_the_strong,fiendish,race fiendish
gith_group,tradition_warrior_culture tradition_isolationist,gith,race gith
planetouched_group,tradition_diasporic tradition_astute_diplomats,planetouched,race planetouched
genie_group,tradition_ruling_caste tradition_hereditary_hierarchy,genie,race genie
outsider_group,tradition_mystical_ancestors tradition_isolationist,outsider,race outsider
outworlder_group,tradition_diasporic tradition_xenophilic,outworlder,race outworlder; 2 CK2 flag(s) add per culture at runtime
slaad_group,tradition_strength_in_numbers tradition_only_the_strong,slaad,race slaad; 2 CK2 flag(s) add per culture at runtime
monster_group,,monster,race monster is on the no-traditions list
serpent_group,tradition_mystical_ancestors tradition_ruling_caste,serpent,race serpent
scaly_group,tradition_jungle_dwellers tradition_hunters,scaly,race scaly; 1 CK2 flag(s) add per culture at runtime
