# CK2 `graphical_cultures` value -> the four independent CK3 gfx axes.
# Seeded by scripts/seed_culture_overrides.py; mappings/culture_fields.csv.
# Only the CK2 values with a real-world CK3 analogue are listed. Faerun uses 320
# distinct values; the ~280 fantasy ones (drowgfx, beholdergfx, ...) have no CK3
# counterpart and fall through to the western_* defaults. Add a row to override one.
ck2_graphical_culture,coa_gfx,building_gfx,clothing_gfx,unit_gfx,review
pagangfx,baltic_group_coa_gfx,western_building_gfx,northern_clothing_gfx,northern_unit_gfx,no
persiangfx,iranian_group_coa_gfx,iranian_building_gfx,iranian_clothing_gfx,iranian_unit_gfx,no
saxongfx,anglo_saxon_coa_gfx,western_building_gfx,english_clothing_gfx,western_unit_gfx,no
serbsouthslavicgfx,south_slavic_group_coa_gfx,byzantine_building_gfx,west_slavic_clothing_gfx,eastern_unit_gfx,no
southerngfx,latin_group_coa_gfx,mediterranean_building_gfx,western_clothing_gfx,western_unit_gfx,no
southindiangfx,dravidian_group_coa_gfx,indian_building_gfx,indian_clothing_gfx,indian_unit_gfx,no
turkishgfx,turkic_group_coa_gfx,mena_building_gfx,turkic_clothing_gfx,mena_unit_gfx,no
ugricgfx,ugro_permian_group_coa_gfx,western_building_gfx,ugro_permian_clothing_gfx,northern_unit_gfx,no
westafricangfx,west_african_group_coa_gfx,african_building_gfx,african_clothing_gfx,sub_sahran_unit_gfx,no
westafricanholygfx,west_african_group_coa_gfx,african_building_gfx,african_clothing_gfx,sub_sahran_unit_gfx,no
westerngfx,western_coa_gfx,western_building_gfx,western_clothing_gfx,western_unit_gfx,no
westernslavicgfx,west_slavic_group_coa_gfx,western_building_gfx,west_slavic_clothing_gfx,eastern_unit_gfx,no
