# GENERATED by scripts/build_loc_key_map.py - do not hand-edit.
# Read by the `loc` step as [loc] key_map. `mode`: `rename` drops the
# CK2 key, `copy` emits the text under both keys.
#   traits: 1084 rows
#   titles: 5664 rows
#   cultures_religions: 1384 rows
ck2_key,ck3_key,mode,source
creature_hengeyokai_desc,trait_creature_hengeyokai_desc,rename,traits
creature_hobgoblin,trait_creature_hobgoblin,rename,traits
creature_hobgoblin_desc,trait_creature_hobgoblin_desc,rename,traits
creature_human,trait_creature_human,rename,traits
creature_human_desc,trait_creature_human_desc,rename,traits
creature_illithid,trait_creature_illithid,rename,traits
creature_illithid_desc,trait_creature_illithid_desc,rename,traits
creature_kobold,trait_creature_kobold,rename,traits
creature_kobold_desc,trait_creature_kobold_desc,rename,traits
creature_kuotoa,trait_creature_kuotoa,rename,traits
creature_kuotoa_desc,trait_creature_kuotoa_desc,rename,traits
creature_lamia,trait_creature_lamia,rename,traits
creature_lamia_desc,trait_creature_lamia_desc,rename,traits
creature_lizardfolk,trait_creature_lizardfolk,rename,traits
creature_lizardfolk_desc,trait_creature_lizardfolk_desc,rename,traits
creature_malenti,trait_creature_malenti,rename,traits
creature_malenti_desc,trait_creature_malenti_desc,rename,traits
creature_malison,trait_creature_malison,rename,traits
creature_malison_desc,trait_creature_malison_desc,rename,traits
creature_minotaur,trait_creature_minotaur,rename,traits
creature_minotaur_desc,trait_creature_minotaur_desc,rename,traits
creature_monster,trait_creature_monster,rename,traits
creature_monster_desc,trait_creature_monster_desc,rename,traits
creature_naga,trait_creature_naga,rename,traits
creature_naga_desc,trait_creature_naga_desc,rename,traits
creature_ogre,trait_creature_ogre,rename,traits
creature_ogre_desc,trait_creature_ogre_desc,rename,traits
creature_ogrillon,trait_creature_ogrillon,rename,traits
creature_ogrillon_desc,trait_creature_ogrillon_desc,rename,traits
creature_orc,trait_creature_orc,rename,traits
creature_orc_desc,trait_creature_orc_desc,rename,traits
creature_outsider,trait_creature_outsider,rename,traits
creature_outsider_desc,trait_creature_outsider_desc,rename,traits
creature_pterafolk,trait_creature_pterafolk,rename,traits
creature_pterafolk_desc,trait_creature_pterafolk_desc,rename,traits
creature_pureblood,trait_creature_pureblood,rename,traits
creature_pureblood_desc,trait_creature_pureblood_desc,rename,traits
creature_sahuagin,trait_creature_sahuagin,rename,traits
creature_sahuagin_desc,trait_creature_sahuagin_desc,rename,traits
creature_sarrukh,trait_creature_sarrukh,rename,traits
creature_sarrukh_desc,trait_creature_sarrukh_desc,rename,traits
creature_satyr,trait_creature_satyr,rename,traits
creature_satyr_desc,trait_creature_satyr_desc,rename,traits
creature_saurial,trait_creature_saurial,rename,traits
creature_saurial_desc,trait_creature_saurial_desc,rename,traits
creature_slaad,trait_creature_slaad,rename,traits
creature_slaad_desc,trait_creature_slaad_desc,rename,traits
creature_spirit_folk,trait_creature_spirit_folk,rename,traits
creature_spirit_folk_desc,trait_creature_spirit_folk_desc,rename,traits
creature_tabaxi,trait_creature_tabaxi,rename,traits
creature_tabaxi_desc,trait_creature_tabaxi_desc,rename,traits
creature_tanarukk,trait_creature_tanarukk,rename,traits
creature_tanarukk_desc,trait_creature_tanarukk_desc,rename,traits
creature_tengu,trait_creature_tengu,rename,traits
creature_tengu_desc,trait_creature_tengu_desc,rename,traits
creature_tiefling,trait_creature_tiefling,rename,traits
creature_tiefling_desc,trait_creature_tiefling_desc,rename,traits
creature_treant,trait_creature_treant,rename,traits
creature_treant_desc,trait_creature_treant_desc,rename,traits
creature_troll,trait_creature_troll,rename,traits
creature_troll_desc,trait_creature_troll_desc,rename,traits
creature_ulitharid,trait_creature_ulitharid,rename,traits
creature_ulitharid_desc,trait_creature_ulitharid_desc,rename,traits
creature_wemic,trait_creature_wemic,rename,traits
creature_wemic_desc,trait_creature_wemic_desc,rename,traits
creature_yikarian,trait_creature_yikarian,rename,traits
creature_yikarian_desc,trait_creature_yikarian_desc,rename,traits
crowned_by_bishop,trait_crowned_by_bishop,rename,traits
crowned_by_bishop_desc,trait_crowned_by_bishop_desc,rename,traits
crowned_by_myself,trait_crowned_by_myself,rename,traits
crowned_by_myself_desc,trait_crowned_by_myself_desc,rename,traits
crowned_by_pope,trait_crowned_by_pope,rename,traits
crowned_by_pope_desc,trait_crowned_by_pope_desc,rename,traits
crowned_by_priest,trait_crowned_by_priest,rename,traits
crowned_by_priest_desc,trait_crowned_by_priest_desc,rename,traits
cruel,trait_sadistic,rename,traits
cruel_desc,trait_sadistic_desc,rename,traits
curious,trait_curious,rename,traits
curious_desc,trait_curious_desc,rename,traits
cursed,trait_cursed,rename,traits
cursed_desc,trait_cursed_desc,rename,traits
cynical,trait_cynical,rename,traits
cynical_desc,trait_cynical_desc,rename,traits
dancing_plague,trait_dancing_plague,rename,traits
dancing_plague_desc,trait_dancing_plague_desc,rename,traits
dead_crown_aztec_fylkir,trait_dead_crown_aztec_fylkir,rename,traits
dead_crown_aztec_fylkir_desc,trait_dead_crown_aztec_fylkir_desc,rename,traits
dead_crown_byzantine,trait_dead_crown_byzantine,rename,traits
dead_crown_byzantine_desc,trait_dead_crown_byzantine_desc,rename,traits
dead_crown_finnish_fylkir,trait_dead_crown_finnish_fylkir,rename,traits
dead_crown_finnish_fylkir_desc,trait_dead_crown_finnish_fylkir_desc,rename,traits
dead_crown_fylkir,trait_dead_crown_fylkir,rename,traits
dead_crown_fylkir_desc,trait_dead_crown_fylkir_desc,rename,traits
dead_crown_hre,trait_dead_crown_hre,rename,traits
dead_crown_hre_desc,trait_dead_crown_hre_desc,rename,traits
dead_crown_pahlavi,trait_dead_crown_pahlavi,rename,traits
dead_crown_pahlavi_desc,trait_dead_crown_pahlavi_desc,rename,traits
dead_crown_romuva_fylkir,trait_dead_crown_romuva_fylkir,rename,traits
dead_crown_romuva_fylkir_desc,trait_dead_crown_romuva_fylkir_desc,rename,traits
dead_crown_slavic_fylkir,trait_dead_crown_slavic_fylkir,rename,traits
dead_crown_slavic_fylkir_desc,trait_dead_crown_slavic_fylkir_desc,rename,traits
dead_crown_tengri_fylkir,trait_dead_crown_tengri_fylkir,rename,traits
dead_crown_tengri_fylkir_desc,trait_dead_crown_tengri_fylkir_desc,rename,traits
dead_crown_west_african_fylkir,trait_dead_crown_west_african_fylkir,rename,traits
dead_crown_west_african_fylkir_desc,trait_dead_crown_west_african_fylkir_desc,rename,traits
dead_crown_zun_fylkir,trait_dead_crown_zun_fylkir,rename,traits
dead_crown_zun_fylkir_desc,trait_dead_crown_zun_fylkir_desc,rename,traits
dead_cursed_diamond_crown,trait_dead_cursed_diamond_crown,rename,traits
dead_cursed_diamond_crown_desc,trait_dead_cursed_diamond_crown_desc,rename,traits
dead_iron_crown_lombardy,trait_dead_iron_crown_lombardy,rename,traits
dead_iron_crown_lombardy_desc,trait_dead_iron_crown_lombardy_desc,rename,traits
dead_scepter_bon_fylkir,trait_dead_scepter_bon_fylkir,rename,traits
dead_scepter_bon_fylkir_desc,trait_dead_scepter_bon_fylkir_desc,rename,traits
dead_scepter_hellenic_fylkir,trait_dead_scepter_hellenic_fylkir,rename,traits
dead_scepter_hellenic_fylkir_desc,trait_dead_scepter_hellenic_fylkir_desc,rename,traits
deathmask,trait_deathmask,rename,traits
deathmask_desc,trait_deathmask_desc,rename,traits
decadent,trait_decadent,rename,traits
decadent_desc,trait_decadent_desc,rename,traits
deceitful,trait_deceitful,rename,traits
deceitful_desc,trait_deceitful_desc,rename,traits
defensive_leader,trait_unyielding_defender,rename,traits
defensive_leader_desc,trait_unyielding_defender_desc,rename,traits
delicate,trait_delicate,rename,traits
delicate_desc,trait_delicate_desc,rename,traits
depressed,trait_depressed_1,rename,traits
depressed_desc,trait_depressed_1_desc,rename,traits
desert_terrain_leader,trait_desert_terrain_leader,rename,traits
desert_terrain_leader_desc,trait_desert_terrain_leader_desc,rename,traits
detached_priest,trait_education_learning_1,rename,traits
detached_priest_desc,trait_education_learning_1_desc,rename,traits
dhampyr,trait_dhampyr,rename,traits
dhampyr_desc,trait_dhampyr_desc,rename,traits
diarrhea,trait_diarrhea,rename,traits
diarrhea_desc,trait_diarrhea_desc,rename,traits
diligent,trait_diligent,rename,traits
diligent_desc,trait_diligent_desc,rename,traits
dim,trait_dim,rename,traits
dim_desc,trait_dim_desc,rename,traits
disfigured,trait_disfigured,rename,traits
disfigured_desc,trait_disfigured_desc,rename,traits
disinherited,trait_disinherited,rename,traits
disinherited_desc,trait_disinherited_desc,rename,traits
dragon_adult,trait_dragon_adult,rename,traits
dragon_adult_desc,trait_dragon_adult_desc,rename,traits
dragon_ancient,trait_dragon_ancient,rename,traits
dragon_ancient_desc,trait_dragon_ancient_desc,rename,traits
dragon_wyrmling,trait_dragon_wyrmling,rename,traits
dragon_wyrmling_desc,trait_dragon_wyrmling_desc,rename,traits
dragon_young,trait_dragon_young,rename,traits
dragon_young_desc,trait_dragon_young_desc,rename,traits
drunkard,trait_drunkard,rename,traits
drunkard_desc,trait_drunkard_desc,rename,traits
duelist,trait_lifestyle_blademaster,rename,traits
duelist_desc,trait_lifestyle_blademaster_desc,rename,traits
dull,trait_dull,rename,traits
dull_desc,trait_dull_desc,rename,traits
dumb,trait_dumb,rename,traits
dumb_desc,trait_dumb_desc,rename,traits
dwarf,trait_dwarf,rename,traits
dwarf_desc,trait_dwarf_desc,rename,traits
dwarven_lodge_leader,trait_dwarven_lodge_leader,rename,traits
dwarven_lodge_leader_desc,trait_dwarven_lodge_leader_desc,rename,traits
dynastic_kinslayer,trait_dynastic_kinslayer,rename,traits
dynastic_kinslayer_desc,trait_dynastic_kinslayer_desc,rename,traits
dysentery,trait_dysentery,rename,traits
dysentery_desc,trait_dysentery_desc,rename,traits
eagle_warrior,trait_eagle_warrior,rename,traits
eagle_warrior_desc,trait_eagle_warrior_desc,rename,traits
elder_orb,trait_elder_orb,rename,traits
elder_orb_desc,trait_elder_orb_desc,rename,traits
elusive_shadow,trait_education_intrigue_4,rename,traits
elusive_shadow_desc,trait_education_intrigue_4_desc,rename,traits
elven_lodge_leader,trait_elven_lodge_leader,rename,traits
elven_lodge_leader_desc,trait_elven_lodge_leader_desc,rename,traits
erudite,trait_erudite,rename,traits
erudite_desc,trait_erudite_desc,rename,traits
eunuch,trait_eunuch,rename,traits
eunuch_desc,trait_eunuch_desc,rename,traits
excommunicated,trait_excommunicated,rename,traits
excommunicated_desc,trait_excommunicated_desc,rename,traits
fair,trait_beauty_good_3,rename,traits
fair_desc,trait_beauty_good_3_desc,rename,traits
falconer,trait_lifestyle_hunter,rename,traits
falconer_desc,trait_lifestyle_hunter_desc,rename,traits
familial_kinslayer,trait_familial_kinslayer,rename,traits
familial_kinslayer_desc,trait_familial_kinslayer_desc,rename,traits
fatigue,trait_fatigue,rename,traits
fatigue_desc,trait_fatigue_desc,rename,traits
feeble,trait_feeble,rename,traits
feeble_desc,trait_feeble_desc,rename,traits
fever,trait_fever,rename,traits
fever_desc,trait_fever_desc,rename,traits
feytouched,trait_feytouched,rename,traits
feytouched_desc,trait_feytouched_desc,rename,traits
fit,trait_fit,rename,traits
fit_desc,trait_fit_desc,rename,traits
flamboyant_schemer,trait_education_intrigue_2,rename,traits
flamboyant_schemer_desc,trait_education_intrigue_2_desc,rename,traits
flanker,trait_flexible_leader,rename,traits
flanker_desc,trait_flexible_leader_desc,rename,traits
flat_terrain_leader,trait_flat_terrain_leader,rename,traits
flat_terrain_leader_desc,trait_flat_terrain_leader_desc,rename,traits
flu,trait_flu,rename,traits
flu_desc,trait_flu_desc,rename,traits
food_poisoning,trait_food_poisoning,rename,traits
food_poisoning_desc,trait_food_poisoning_desc,rename,traits
fortune_builder,trait_education_stewardship_3,rename,traits
fortune_builder_desc,trait_education_stewardship_3_desc,rename,traits
freckles,trait_freckles,rename,traits
freckles_2,trait_freckles_2,rename,traits
freckles_2_desc,trait_freckles_2_desc,rename,traits
freckles_3,trait_freckles_3,rename,traits
freckles_3_desc,trait_freckles_3_desc,rename,traits
freckles_4,trait_freckles_4,rename,traits
freckles_4_desc,trait_freckles_4_desc,rename,traits
freckles_5,trait_freckles_5,rename,traits
freckles_5_desc,trait_freckles_5_desc,rename,traits
freckles_desc,trait_freckles_desc,rename,traits
fussy,trait_fussy,rename,traits
fussy_desc,trait_fussy_desc,rename,traits
gamer,trait_gamer,rename,traits
gamer_desc,trait_gamer_desc,rename,traits
gardener,trait_lifestyle_gardener,rename,traits
gardener_desc,trait_lifestyle_gardener_desc,rename,traits
genius,trait_intellect_good_3,rename,traits
genius_desc,trait_intellect_good_3_desc,rename,traits
giant,trait_giant,rename,traits
giant_desc,trait_giant_desc,rename,traits
gladiator,trait_gladiator,rename,traits
gladiator_desc,trait_gladiator_desc,rename,traits
gluttonous,trait_gluttonous,rename,traits
gluttonous_desc,trait_gluttonous_desc,rename,traits
goblins_lodge_leader,trait_goblins_lodge_leader,rename,traits
goblins_lodge_leader_desc,trait_goblins_lodge_leader_desc,rename,traits
gondi_shahansha,trait_gondi_shahansha,rename,traits
gondi_shahansha_desc,trait_gondi_shahansha_desc,rename,traits
gout,trait_gout,rename,traits
gout_desc,trait_gout_desc,rename,traits
greater_celestial,trait_greater_celestial,rename,traits
greater_celestial_desc,trait_greater_celestial_desc,rename,traits
greater_fiend,trait_greater_fiend,rename,traits
greater_fiend_desc,trait_greater_fiend_desc,rename,traits
greedy,trait_greedy,rename,traits
greedy_desc,trait_greedy_desc,rename,traits
gregarious,trait_gregarious,rename,traits
gregarious_desc,trait_gregarious_desc,rename,traits
grey_eminence,trait_education_diplomacy_4,rename,traits
grey_eminence_desc,trait_education_diplomacy_4_desc,rename,traits
groomed,trait_groomed,rename,traits
groomed_desc,trait_groomed_desc,rename,traits
grounded,trait_grounded,rename,traits
grounded_desc,trait_grounded_desc,rename,traits
half_celestial,trait_half_celestial,rename,traits
half_celestial_desc,trait_half_celestial_desc,rename,traits
half_dragon,trait_half_dragon,rename,traits
half_dragon_desc,trait_half_dragon_desc,rename,traits
half_fiend,trait_half_fiend,rename,traits
half_fiend_desc,trait_half_fiend_desc,rename,traits
half_troll,trait_half_troll,rename,traits
half_troll_desc,trait_half_troll_desc,rename,traits
hard_pregnancy,trait_hard_pregnancy,rename,traits
hard_pregnancy_desc,trait_hard_pregnancy_desc,rename,traits
hardy,trait_hardy,rename,traits
hardy_desc,trait_hardy_desc,rename,traits
harelip,trait_beauty_bad_1,rename,traits
harelip_desc,trait_beauty_bad_1_desc,rename,traits
has_aztec_disease,trait_has_aztec_disease,rename,traits
has_aztec_disease_desc,trait_has_aztec_disease_desc,rename,traits
has_bubonic_plague,trait_bubonic_plague,rename,traits
has_bubonic_plague_desc,trait_bubonic_plague_desc,rename,traits
has_measles,trait_measles,rename,traits
has_measles_desc,trait_measles_desc,rename,traits
has_small_pox,trait_smallpox,rename,traits
has_small_pox_desc,trait_smallpox_desc,rename,traits
has_tuberculosis,trait_consumption,rename,traits
has_tuberculosis_desc,trait_consumption_desc,rename,traits
has_typhoid_fever,trait_typhus,rename,traits
has_typhoid_fever_desc,trait_typhus_desc,rename,traits
has_typhus,trait_typhus,rename,traits
has_typhus_desc,trait_typhus_desc,rename,traits
haughty,trait_haughty,rename,traits
haughty_desc,trait_haughty_desc,rename,traits
headache,trait_headache,rename,traits
headache_desc,trait_headache_desc,rename,traits
hearty,trait_hearty,rename,traits
hearty_desc,trait_hearty_desc,rename,traits
hedgehog,trait_hedgehog,rename,traits
hedgehog_desc,trait_hedgehog_desc,rename,traits
hedonist,trait_lifestyle_reveler,rename,traits
hedonist_desc,trait_lifestyle_reveler_desc,rename,traits
heresiarch,trait_heresiarch,rename,traits
heresiarch_desc,trait_heresiarch_desc,rename,traits
hidden_spellplague_trait,trait_hidden_spellplague_trait,rename,traits
hidden_spellplague_trait_desc,trait_hidden_spellplague_trait_desc,rename,traits
holy_warrior,trait_holy_warrior,rename,traits
holy_warrior_desc,trait_holy_warrior_desc,rename,traits
honest,trait_honest,rename,traits
honest_desc,trait_honest_desc,rename,traits
horned,trait_horned,rename,traits
horned_desc,trait_horned_desc,rename,traits
hornless,trait_hornless,rename,traits
hornless_desc,trait_hornless_desc,rename,traits
horse,trait_horse,rename,traits
horse_desc,trait_horse_desc,rename,traits
house_dog,trait_house_dog,rename,traits
house_dog_desc,trait_house_dog_desc,rename,traits
humble,trait_humble,rename,traits
humble_desc,trait_humble_desc,rename,traits
hunchback,trait_hunchbacked,rename,traits
hunchback_desc,trait_hunchbacked_desc,rename,traits
hunter,trait_lifestyle_hunter,rename,traits
hunter_desc,trait_lifestyle_hunter_desc,rename,traits
i_used_to_be_a_player,trait_i_used_to_be_a_player,rename,traits
i_used_to_be_a_player_desc,trait_i_used_to_be_a_player_desc,rename,traits
idiot,trait_idiot,rename,traits
idiot_desc,trait_idiot_desc,rename,traits
idolizer,trait_idolizer,rename,traits
idolizer_desc,trait_idolizer_desc,rename,traits
ignorant,trait_ignorant,rename,traits
ignorant_desc,trait_ignorant_desc,rename,traits
ill,trait_ill,rename,traits
ill_desc,trait_ill_desc,rename,traits
imbecile,trait_intellect_bad_3,rename,traits
imbecile_desc,trait_intellect_bad_3_desc,rename,traits
immaculate,trait_immaculate,rename,traits
immaculate_desc,trait_immaculate_desc,rename,traits
immortal,trait_immortal,rename,traits
immortal_desc,trait_immortal_desc,rename,traits
impaler,trait_torturer,rename,traits
