# overrides/race_lifespan.csv - human input for the `traits` step.
#
# STATUS: every number below is `assumed`, not verified. Defaults come from the
# D&D 3.5e Forgotten Realms Campaign Setting maximum ages (the edition that
# matches the 1371 DR start date, docs/PROJECT.md) and are the submod's to tune.
#
# columns
#   ck2_trait        the CK2 trait id the row applies to (race traits only)
#   race             the D&D race the trait stands for, for the reader
#   dnd_max_age      D&D 3.5e maximum age in years, the source datum
#   life_expectancy  the CK3 modifier value, i.e. dnd_max_age - 60
#                    (60 = the CK3 base life expectancy in years, `assumed`:
#                    CK3 1.19 exposes no define for it). Empty = emit none.
#   immortal         yes -> emit `immortal = yes` instead of life_expectancy
#   note             why
#
# A race trait with no row here, or with an empty life_expectancy, gets
# `genetic`/`physical` but no lifespan; the step warns about each one.
ck2_trait,race,dnd_max_age,life_expectancy,immortal,note
creature_slaad,,,,no,no D&D default; fill in or leave blank
creature_spirit_folk,,,,no,no D&D default; fill in or leave blank
creature_tabaxi,,,,no,no D&D default; fill in or leave blank
creature_tanarukk,,,,no,no D&D default; fill in or leave blank
creature_tengu,,,,no,no D&D default; fill in or leave blank
creature_tiefling,tiefling,100,40,no,"planetouched, ~1.2x human"
creature_treant,,,,no,no D&D default; fill in or leave blank
creature_troll,,,,no,no D&D default; fill in or leave blank
creature_ulitharid,,,,no,no D&D default; fill in or leave blank
creature_wemic,,,,no,no D&D default; fill in or leave blank
creature_yikarian,,,,no,no D&D default; fill in or leave blank
dhampyr,dhampyr,1000,940,no,half-vampire; CK2 trait is not immortal
elder_orb,,,,no,no D&D default; fill in or leave blank
feytouched,,,,no,no D&D default; fill in or leave blank
greater_celestial,,,,no,no D&D default; fill in or leave blank
greater_fiend,,,,no,no D&D default; fill in or leave blank
half_celestial,,,,no,no D&D default; fill in or leave blank
half_dragon,,,,no,no D&D default; fill in or leave blank
half_fiend,,,,no,no D&D default; fill in or leave blank
half_troll,,,,no,no D&D default; fill in or leave blank
lich,lich,,,yes,CK2 trait has immortal = yes
lich_baelnorn,lich,,,yes,CK2 trait has immortal = yes
longevity,longevity,1000,940,no,Faerûn longevity marker
mutant,,,,no,no D&D default; fill in or leave blank
natural_lycanthrope,,,,no,no D&D default; fill in or leave blank
origin_aberrant_mind,,,,no,no D&D default; fill in or leave blank
origin_divine_soul,,,,no,no D&D default; fill in or leave blank
origin_draconic,,,,no,no D&D default; fill in or leave blank
origin_shadow,,,,no,no D&D default; fill in or leave blank
origin_storm,,,,no,no D&D default; fill in or leave blank
origin_wild_magic,,,,no,no D&D default; fill in or leave blank
psi_potential,,,,no,no D&D default; fill in or leave blank
shifter,,,,no,no D&D default; fill in or leave blank
stasis_clone,,,,no,no D&D default; fill in or leave blank
undead,undead,,,yes,CK2 trait has immortal = yes
vampire,vampire,,,yes,CK2 trait has immortal = yes
vampire_spawn,vampire,,,yes,CK2 trait has immortal = yes
warlock_celestial,,,,no,no D&D default; fill in or leave blank
warlock_elemental,,,,no,no D&D default; fill in or leave blank
warlock_fey,,,,no,no D&D default; fill in or leave blank
warlock_fiend,,,,no,no D&D default; fill in or leave blank
warlock_old_one,,,,no,no D&D default; fill in or leave blank
werecrocodile,,,,no,no D&D default; fill in or leave blank
wererat,,,,no,no D&D default; fill in or leave blank
werespider,,,,no,no D&D default; fill in or leave blank
weretiger,,,,no,no D&D default; fill in or leave blank
werewolf,,,,no,no D&D default; fill in or leave blank
wiz_abjuration,,,,no,no D&D default; fill in or leave blank
wiz_conjuration,,,,no,no D&D default; fill in or leave blank
wiz_divination,,,,no,no D&D default; fill in or leave blank
wiz_enchantment,,,,no,no D&D default; fill in or leave blank
wiz_evocation,,,,no,no D&D default; fill in or leave blank
wiz_illusion,,,,no,no D&D default; fill in or leave blank
wiz_necromancy,,,,no,no D&D default; fill in or leave blank
wiz_transmutation,,,,no,no D&D default; fill in or leave blank
