set,lat_band,file,family,count,share_of_band
vanilla,3,tree_pine_01_a_generator_1.txt,pine,93,0.001352
vanilla,3,tree_sakura_03_generator.txt,sakura,80,0.001163
vanilla,3,tree_cypress_01_generator_1.txt,cypress,76,0.001105
vanilla,3,tree_sakura_02_generator.txt,sakura,34,0.000494
vanilla,3,tree_jungle_01_d_generator_1.txt,jungle,7,0.000102
vanilla,4,tree_leaf_high_generator_1.txt,broadleaf,18677,0.419802
vanilla,4,tree_leaf_high_generator_3.txt,broadleaf,11441,0.257159
vanilla,4,tree_leaf_high_generator_2.txt,broadleaf,5414,0.12169
vanilla,4,tree_cypress_01_generator_1.txt,cypress,5252,0.118049
vanilla,4,reeds_01_generator_1.txt,reeds,1569,0.035266
vanilla,4,tree_leaf_2_high_generator_1.txt,broadleaf,1137,0.025556
vanilla,4,tree_pine_01_a_generator_1.txt,pine,435,0.009777
vanilla,4,tree_pine_01_b_generator_1.txt,pine,205,0.004608
vanilla,4,tree_jungle_01_d_generator_1.txt,jungle,131,0.002944
vanilla,4,tree_leaf_01_single_generator_1.txt,broadleaf,84,0.001888
vanilla,4,tree_sakura_03_generator.txt,sakura,52,0.001169
vanilla,4,tree_sakura_01_generator.txt,sakura,42,0.000944
vanilla,4,tree_palm_generator_1.txt,palm,22,0.000494
vanilla,4,tree_sakura_02_generator.txt,sakura,17,0.000382
vanilla,4,tree_sakura_forest_generator.txt,sakura,12,0.00027
vanilla,5,tree_leaf_high_generator_1.txt,broadleaf,11829,0.319452
vanilla,5,tree_leaf_high_generator_3.txt,broadleaf,8271,0.223365
vanilla,5,tree_jungle_01_d_generator_1.txt,jungle,5859,0.158227
vanilla,5,tree_leaf_high_generator_2.txt,broadleaf,4055,0.109509
vanilla,5,tree_palm_generator_1.txt,palm,3700,0.099922
vanilla,5,tree_cypress_01_generator_1.txt,cypress,1792,0.048395
vanilla,5,reeds_01_generator_1.txt,reeds,757,0.020443
vanilla,5,tree_leaf_2_high_generator_1.txt,broadleaf,436,0.011775
vanilla,5,tree_leaf_01_single_generator_1.txt,broadleaf,160,0.004321
vanilla,5,tree_jungle_01_c_generator_1.txt,jungle,144,0.003889
vanilla,5,tree_pine_01_a_generator_1.txt,pine,20,0.00054
vanilla,5,tree_pine_01_b_generator_1.txt,pine,6,0.000162
vanilla,6,tree_jungle_01_d_generator_1.txt,jungle,10769,0.463981
vanilla,6,tree_leaf_high_generator_1.txt,broadleaf,3372,0.145282
vanilla,6,tree_leaf_high_generator_3.txt,broadleaf,3195,0.137656
vanilla,6,tree_palm_generator_1.txt,palm,2542,0.109522
vanilla,6,tree_leaf_high_generator_2.txt,broadleaf,1608,0.06928
vanilla,6,reeds_01_generator_1.txt,reeds,868,0.037398
vanilla,6,tree_leaf_2_high_generator_1.txt,broadleaf,478,0.020595
vanilla,6,tree_jungle_01_c_generator_1.txt,jungle,219,0.009436
vanilla,6,tree_leaf_01_single_generator_1.txt,broadleaf,159,0.00685
vanilla,7,tree_palm_generator_1.txt,palm,5736,0.230936
vanilla,7,tree_leaf_high_generator_1.txt,broadleaf,5386,0.216845
vanilla,7,tree_jungle_01_d_generator_1.txt,jungle,5197,0.209236
vanilla,7,tree_leaf_high_generator_3.txt,broadleaf,3622,0.145825
vanilla,7,reeds_01_generator_1.txt,reeds,2264,0.091151
vanilla,7,tree_leaf_high_generator_2.txt,broadleaf,1625,0.065424
vanilla,7,tree_leaf_01_single_generator_1.txt,broadleaf,778,0.031323
vanilla,7,tree_leaf_2_high_generator_1.txt,broadleaf,117,0.004711
vanilla,7,tree_jungle_01_c_generator_1.txt,jungle,100,0.004026
vanilla,7,tree_cypress_01_generator_1.txt,cypress,13,0.000523
vanilla,8,tree_jungle_01_d_generator_1.txt,jungle,13968,0.372202
vanilla,8,tree_leaf_high_generator_1.txt,broadleaf,10485,0.279391
vanilla,8,tree_leaf_high_generator_3.txt,broadleaf,5386,0.14352
vanilla,8,tree_leaf_high_generator_2.txt,broadleaf,2359,0.06286
vanilla,8,tree_leaf_01_single_generator_1.txt,broadleaf,2053,0.054706
vanilla,8,reeds_01_generator_1.txt,reeds,1827,0.048684
vanilla,8,tree_palm_generator_1.txt,palm,693,0.018466
vanilla,8,tree_jungle_01_c_generator_1.txt,jungle,681,0.018146
vanilla,8,tree_leaf_2_high_generator_1.txt,broadleaf,73,0.001945
vanilla,8,tree_cypress_01_generator_1.txt,cypress,3,8e-05
vanilla,9,tree_jungle_01_d_generator_1.txt,jungle,2182,0.819684
vanilla,9,tree_leaf_01_single_generator_1.txt,broadleaf,342,0.128475
vanilla,9,tree_jungle_01_c_generator_1.txt,jungle,83,0.03118
vanilla,9,tree_palm_generator_1.txt,palm,46,0.01728
vanilla,9,tree_leaf_high_generator_1.txt,broadleaf,5,0.001878
vanilla,9,tree_leaf_high_generator_3.txt,broadleaf,3,0.001127
vanilla,9,tree_leaf_high_generator_2.txt,broadleaf,1,0.000376
ours_terrain_only,0,tree_leaf_high_generator_1.txt,broadleaf,52216,0.660728
ours_terrain_only,0,reeds_01_generator_1.txt,reeds,13821,0.174887
ours_terrain_only,0,tree_pine_01_b_generator_1.txt,pine,12890,0.163107
ours_terrain_only,0,tree_leaf_01_single_generator_1.txt,broadleaf,101,0.001278
ours_terrain_only,1,tree_leaf_high_generator_1.txt,broadleaf,82636,0.732031
ours_terrain_only,1,tree_pine_01_b_generator_1.txt,pine,13813,0.122362
ours_terrain_only,1,tree_leaf_01_single_generator_1.txt,broadleaf,10702,0.094804
ours_terrain_only,1,steppe_bush_01_generator.txt,steppe bush,3597,0.031864
ours_terrain_only,1,reeds_01_generator_1.txt,reeds,2138,0.018939
ours_terrain_only,2,tree_leaf_01_single_generator_1.txt,broadleaf,41472,0.567666
ours_terrain_only,2,tree_leaf_high_generator_1.txt,broadleaf,25212,0.3451
ours_terrain_only,2,steppe_bush_01_generator.txt,steppe bush,5338,0.073066
ours_terrain_only,2,tree_pine_01_b_generator_1.txt,pine,649,0.008883
ours_terrain_only,2,reeds_01_generator_1.txt,reeds,386,0.005284
ours_terrain_only,3,tree_leaf_01_single_generator_1.txt,broadleaf,55257,0.605855
ours_terrain_only,3,tree_leaf_high_generator_1.txt,broadleaf,32124,0.352218
ours_terrain_only,3,steppe_bush_01_generator.txt,steppe bush,1612,0.017674
ours_terrain_only,3,reeds_01_generator_1.txt,reeds,1448,0.015876
ours_terrain_only,3,tree_pine_01_b_generator_1.txt,pine,764,0.008377
ours_terrain_only,4,tree_leaf_high_generator_1.txt,broadleaf,36985,0.423955
ours_terrain_only,4,tree_leaf_01_single_generator_1.txt,broadleaf,24526,0.281139
ours_terrain_only,4,tree_jungle_01_d_generator_1.txt,jungle,20463,0.234565
ours_terrain_only,4,steppe_bush_01_generator.txt,steppe bush,3989,0.045725
ours_terrain_only,4,reeds_01_generator_1.txt,reeds,730,0.008368
ours_terrain_only,4,tree_pine_01_b_generator_1.txt,pine,545,0.006247
ours_terrain_only,5,tree_leaf_high_generator_1.txt,broadleaf,54191,0.417779
ours_terrain_only,5,tree_jungle_01_d_generator_1.txt,jungle,44209,0.340824
ours_terrain_only,5,tree_leaf_01_single_generator_1.txt,broadleaf,19192,0.147959
ours_terrain_only,5,tree_pine_01_b_generator_1.txt,pine,7511,0.057905
ours_terrain_only,5,steppe_bush_01_generator.txt,steppe bush,3175,0.024477
ours_terrain_only,5,reeds_01_generator_1.txt,reeds,1434,0.011055
ours_terrain_only,6,tree_leaf_high_generator_1.txt,broadleaf,24014,0.530872
ours_terrain_only,6,tree_pine_01_b_generator_1.txt,pine,10198,0.225445
ours_terrain_only,6,tree_leaf_01_single_generator_1.txt,broadleaf,5227,0.115552
ours_terrain_only,6,tree_jungle_01_d_generator_1.txt,jungle,3544,0.078346
ours_terrain_only,6,reeds_01_generator_1.txt,reeds,2252,0.049784
ours_terrain_only,7,tree_leaf_high_generator_1.txt,broadleaf,29499,0.511931
ours_terrain_only,7,tree_jungle_01_d_generator_1.txt,jungle,16878,0.292904
ours_terrain_only,7,tree_leaf_01_single_generator_1.txt,broadleaf,9557,0.165854
ours_terrain_only,7,reeds_01_generator_1.txt,reeds,1689,0.029311
ours_terrain_only,8,tree_jungle_01_d_generator_1.txt,jungle,12692,0.581962
ours_terrain_only,8,tree_leaf_01_single_generator_1.txt,broadleaf,8619,0.395204
ours_terrain_only,8,tree_leaf_high_generator_1.txt,broadleaf,498,0.022835
ours_terrain_only,9,tree_jungle_01_d_generator_1.txt,jungle,6548,0.464991
ours_terrain_only,9,tree_leaf_01_single_generator_1.txt,broadleaf,5080,0.360744
ours_terrain_only,9,tree_leaf_high_generator_1.txt,broadleaf,2454,0.174265
ours_regional,0,tree_pine_01_b_generator_1.txt,pine,47005,0.594789
ours_regional,0,reeds_01_generator_1.txt,reeds,10908,0.138027
ours_regional,0,tree_leaf_high_generator_1.txt,broadleaf,7598,0.096143
ours_regional,0,tree_pine_01_a_generator_1.txt,pine,5655,0.071557
ours_regional,0,tree_leaf_high_generator_3.txt,broadleaf,5213,0.065964
ours_regional,0,tree_leaf_high_generator_2.txt,broadleaf,2311,0.029243
ours_regional,0,tree_leaf_2_high_generator_1.txt,broadleaf,191,0.002417
ours_regional,0,tree_pine_impassable_01_a_generator_1.txt,pine,147,0.00186
ours_regional,1,tree_pine_01_b_generator_1.txt,pine,63467,0.562222
ours_regional,1,tree_pine_01_a_generator_1.txt,pine,23364,0.20697
ours_regional,1,tree_leaf_high_generator_1.txt,broadleaf,11139,0.098675
ours_regional,1,tree_leaf_high_generator_3.txt,broadleaf,7893,0.06992
ours_regional,1,tree_leaf_high_generator_2.txt,broadleaf,4499,0.039854
ours_regional,1,reeds_01_generator_1.txt,reeds,1220,0.010807
ours_regional,1,tree_leaf_2_high_generator_1.txt,broadleaf,795,0.007043
ours_regional,1,tree_pine_impassable_01_a_generator_1.txt,pine,509,0.004509
ours_regional,2,tree_leaf_high_generator_1.txt,broadleaf,23290,0.318792
ours_regional,2,tree_leaf_2_high_generator_1.txt,broadleaf,12904,0.176629
ours_regional,2,tree_leaf_high_generator_3.txt,broadleaf,12506,0.171181
ours_regional,2,reeds_01_generator_1.txt,reeds,9679,0.132486
ours_regional,2,tree_leaf_high_generator_2.txt,broadleaf,7502,0.102687
ours_regional,2,tree_pine_01_a_generator_1.txt,pine,5572,0.076269
ours_regional,2,tree_pine_01_b_generator_1.txt,pine,1338,0.018314
ours_regional,2,tree_leaf_01_single_generator_1.txt,broadleaf,206,0.00282
ours_regional,2,tree_pine_impassable_01_a_generator_1.txt,pine,37,0.000506
ours_regional,2,steppe_bush_01_generator.txt,steppe bush,23,0.000315
ours_regional,3,tree_leaf_high_generator_1.txt,broadleaf,37744,0.413837
ours_regional,3,tree_leaf_high_generator_3.txt,broadleaf,24567,0.26936
ours_regional,3,tree_leaf_high_generator_2.txt,broadleaf,11653,0.127767
ours_regional,3,tree_leaf_2_high_generator_1.txt,broadleaf,8036,0.088109
ours_regional,3,reeds_01_generator_1.txt,reeds,5957,0.065314
ours_regional,3,steppe_bush_01_generator.txt,steppe bush,911,0.009988
ours_regional,3,tree_pine_01_b_generator_1.txt,pine,553,0.006063
ours_regional,3,tree_sakura_01_generator.txt,sakura,445,0.004879
ours_regional,3,tree_sakura_forest_generator.txt,sakura,433,0.004748
ours_regional,3,tree_pine_01_a_generator_1.txt,pine,371,0.004068
ours_regional,3,tree_leaf_01_single_generator_1.txt,broadleaf,280,0.00307
ours_regional,3,tree_sakura_03_generator.txt,sakura,207,0.00227
ours_regional,3,tree_pine_impassable_01_a_generator_1.txt,pine,27,0.000296
ours_regional,3,tree_cypress_01_generator_1.txt,cypress,21,0.00023
ours_regional,4,tree_leaf_high_generator_1.txt,broadleaf,33657,0.385807
ours_regional,4,tree_leaf_high_generator_3.txt,broadleaf,18064,0.207066
ours_regional,4,tree_jungle_01_d_generator_1.txt,jungle,14558,0.166877
ours_regional,4,tree_cypress_01_generator_1.txt,cypress,8941,0.10249
ours_regional,4,tree_leaf_high_generator_2.txt,broadleaf,8102,0.092872
ours_regional,4,reeds_01_generator_1.txt,reeds,1119,0.012827
ours_regional,4,tree_leaf_2_high_generator_1.txt,broadleaf,978,0.011211
ours_regional,4,tree_jungle_01_c_generator_1.txt,jungle,768,0.008804
ours_regional,4,tree_pine_01_b_generator_1.txt,pine,433,0.004963
ours_regional,4,tree_pine_01_a_generator_1.txt,pine,396,0.004539
ours_regional,4,tree_palm_generator_1.txt,palm,131,0.001502
ours_regional,4,tree_leaf_01_single_generator_1.txt,broadleaf,70,0.000802
ours_regional,4,tree_sakura_03_generator.txt,sakura,20,0.000229
ours_regional,4,tree_pine_impassable_01_a_generator_1.txt,pine,1,1.1e-05
ours_regional,5,tree_leaf_high_generator_1.txt,broadleaf,39427,0.303958
ours_regional,5,tree_jungle_01_d_generator_1.txt,jungle,38140,0.294036
ours_regional,5,tree_leaf_high_generator_3.txt,broadleaf,24618,0.18979
ours_regional,5,tree_leaf_high_generator_2.txt,broadleaf,11511,0.088743
ours_regional,5,tree_cypress_01_generator_1.txt,cypress,4675,0.036041
ours_regional,5,tree_pine_01_b_generator_1.txt,pine,4030,0.031069
ours_regional,5,tree_pine_01_a_generator_1.txt,pine,2828,0.021802
ours_regional,5,tree_jungle_01_c_generator_1.txt,jungle,1392,0.010731
ours_regional,5,reeds_01_generator_1.txt,reeds,1332,0.010269
ours_regional,5,tree_leaf_2_high_generator_1.txt,broadleaf,924,0.007123
ours_regional,5,tree_leaf_01_single_generator_1.txt,broadleaf,416,0.003207
ours_regional,5,tree_palm_generator_1.txt,palm,358,0.00276
ours_regional,5,tree_pine_impassable_01_a_generator_1.txt,pine,61,0.00047
ours_regional,6,tree_leaf_2_high_generator_1.txt,broadleaf,10082,0.222881
ours_regional,6,tree_jungle_01_d_generator_1.txt,jungle,8255,0.182491
ours_regional,6,tree_leaf_high_generator_1.txt,broadleaf,6516,0.144048
ours_regional,6,tree_pine_01_b_generator_1.txt,pine,6115,0.135183
ours_regional,6,tree_leaf_high_generator_3.txt,broadleaf,6051,0.133768
ours_regional,6,tree_pine_01_a_generator_1.txt,pine,3509,0.077573
ours_regional,6,tree_leaf_high_generator_2.txt,broadleaf,3114,0.06884
ours_regional,6,reeds_01_generator_1.txt,reeds,613,0.013551
ours_regional,6,tree_leaf_01_single_generator_1.txt,broadleaf,589,0.013021
ours_regional,6,tree_palm_generator_1.txt,palm,171,0.00378
ours_regional,6,tree_jungle_01_c_generator_1.txt,jungle,115,0.002542
ours_regional,6,tree_pine_impassable_01_a_generator_1.txt,pine,105,0.002321
ours_regional,7,tree_leaf_high_generator_1.txt,broadleaf,21870,0.379536
ours_regional,7,tree_jungle_01_d_generator_1.txt,jungle,16791,0.291394
ours_regional,7,tree_leaf_high_generator_3.txt,broadleaf,10062,0.174618
ours_regional,7,tree_leaf_high_generator_2.txt,broadleaf,4027,0.069885
ours_regional,7,reeds_01_generator_1.txt,reeds,2163,0.037537
ours_regional,7,tree_leaf_01_single_generator_1.txt,broadleaf,1752,0.030405
ours_regional,7,tree_palm_generator_1.txt,palm,656,0.011384
ours_regional,7,tree_jungle_01_c_generator_1.txt,jungle,162,0.002811
ours_regional,7,tree_leaf_2_high_generator_1.txt,broadleaf,140,0.00243
ours_regional,8,tree_jungle_01_d_generator_1.txt,jungle,14717,0.674813
ours_regional,8,tree_leaf_high_generator_1.txt,broadleaf,1767,0.081022
ours_regional,8,tree_leaf_01_single_generator_1.txt,broadleaf,1673,0.076711
ours_regional,8,tree_leaf_high_generator_3.txt,broadleaf,1368,0.062726
ours_regional,8,tree_leaf_high_generator_2.txt,broadleaf,854,0.039158
ours_regional,8,tree_jungle_01_c_generator_1.txt,jungle,705,0.032326
ours_regional,8,reeds_01_generator_1.txt,reeds,570,0.026136
ours_regional,8,tree_palm_generator_1.txt,palm,128,0.005869
ours_regional,8,tree_leaf_2_high_generator_1.txt,broadleaf,27,0.001238
ours_regional,9,tree_jungle_01_d_generator_1.txt,jungle,10295,0.731075
ours_regional,9,tree_leaf_high_generator_1.txt,broadleaf,1182,0.083937
ours_regional,9,tree_leaf_high_generator_3.txt,broadleaf,714,0.050703
ours_regional,9,tree_leaf_01_single_generator_1.txt,broadleaf,694,0.049283
ours_regional,9,tree_palm_generator_1.txt,palm,604,0.042892
ours_regional,9,tree_jungle_01_c_generator_1.txt,jungle,301,0.021375
ours_regional,9,tree_leaf_high_generator_2.txt,broadleaf,279,0.019813
ours_regional,9,tree_leaf_2_high_generator_1.txt,broadleaf,9,0.000639
ours_regional,9,reeds_01_generator_1.txt,reeds,4,0.000284
